"#"	"Date"	"Heure, GMT+01:00"	"Temp., °C (LGR S/N: 10956555, SEN S/N: 10956555)"	"Coupleur détaché (LGR S/N: 10956555, SEN S/N: 10956555)"	"Coupleur attaché (LGR S/N: 10956555, SEN S/N: 10956555)"	"Arrêté (LGR S/N: 10956555, SEN S/N: 10956555)"	"Fin de fichier (LGR S/N: 10956555, SEN S/N: 10956555)"
1	25/11/19	10:00:00	17.106	Enregistré			
2	25/11/19	11:00:00	17.130				
3	25/11/19	12:00:00	17.130				
4	25/11/19	13:00:00	17.130				
5	25/11/19	14:00:00	17.130				
6	25/11/19	15:00:00	17.130				
7	25/11/19	16:00:00	17.130				
8	25/11/19	17:00:00	17.106				
9	25/11/19	18:00:00	17.106				
10	25/11/19	19:00:00	17.106				
11	25/11/19	20:00:00	17.106				
12	25/11/19	21:00:00	17.082				
13	25/11/19	22:00:00	17.082				
14	25/11/19	23:00:00	17.082				
15	26/11/19	00:00:00	17.082				
16	26/11/19	01:00:00	17.082				
17	26/11/19	02:00:00	17.082				
18	26/11/19	03:00:00	17.082				
19	26/11/19	04:00:00	17.106				
20	26/11/19	05:00:00	17.106				
21	26/11/19	06:00:00	17.106				
22	26/11/19	07:00:00	17.106				
23	26/11/19	08:00:00	17.106				
24	26/11/19	09:00:00	17.106				
25	26/11/19	10:00:00	17.106				
26	26/11/19	11:00:00	17.130				
27	26/11/19	12:00:00	17.106				
28	26/11/19	13:00:00	17.106				
29	26/11/19	14:00:00	17.082				
30	26/11/19	15:00:00	17.082				
31	26/11/19	16:00:00	17.082				
32	26/11/19	17:00:00	17.058				
33	26/11/19	18:00:00	17.058				
34	26/11/19	19:00:00	17.034				
35	26/11/19	20:00:00	17.034				
36	26/11/19	21:00:00	17.034				
37	26/11/19	22:00:00	17.034				
38	26/11/19	23:00:00	17.296				
39	27/11/19	00:00:00	17.296				
40	27/11/19	01:00:00	17.320				
41	27/11/19	02:00:00	17.296				
42	27/11/19	03:00:00	17.320				
43	27/11/19	04:00:00	17.368				
44	27/11/19	05:00:00	17.368				
45	27/11/19	06:00:00	17.439				
46	27/11/19	07:00:00	17.463				
47	27/11/19	08:00:00	17.463				
48	27/11/19	09:00:00	17.463				
49	27/11/19	10:00:00	17.558				
50	27/11/19	11:00:00	17.463				
51	27/11/19	12:00:00	17.463				
52	27/11/19	13:00:00	17.368				
53	27/11/19	14:00:00	17.391				
54	27/11/19	15:00:00	17.368				
55	27/11/19	16:00:00	17.296				
56	27/11/19	17:00:00	17.272				
57	27/11/19	18:00:00	17.296				
58	27/11/19	19:00:00	17.225				
59	27/11/19	20:00:00	17.153				
60	27/11/19	21:00:00	17.082				
61	27/11/19	22:00:00	17.082				
62	27/11/19	23:00:00	17.106				
63	28/11/19	00:00:00	17.130				
64	28/11/19	01:00:00	17.153				
65	28/11/19	02:00:00	17.153				
66	28/11/19	03:00:00	17.153				
67	28/11/19	04:00:00	17.130				
68	28/11/19	05:00:00	17.106				
69	28/11/19	06:00:00	17.106				
70	28/11/19	07:00:00	17.106				
71	28/11/19	08:00:00	17.130				
72	28/11/19	09:00:00	17.106				
73	28/11/19	10:00:00	17.177				
74	28/11/19	11:00:00	17.177				
75	28/11/19	12:00:00	17.177				
76	28/11/19	13:00:00	17.201				
77	28/11/19	14:00:00	17.201				
78	28/11/19	15:00:00	17.201				
79	28/11/19	16:00:00	17.177				
80	28/11/19	17:00:00	17.177				
81	28/11/19	18:00:00	17.153				
82	28/11/19	19:00:00	17.153				
83	28/11/19	20:00:00	17.153				
84	28/11/19	21:00:00	17.153				
85	28/11/19	22:00:00	17.177				
86	28/11/19	23:00:00	17.153				
87	29/11/19	00:00:00	17.153				
88	29/11/19	01:00:00	17.153				
89	29/11/19	02:00:00	17.177				
90	29/11/19	03:00:00	17.177				
91	29/11/19	04:00:00	17.177				
92	29/11/19	05:00:00	17.177				
93	29/11/19	06:00:00	17.177				
94	29/11/19	07:00:00	17.177				
95	29/11/19	08:00:00	17.177				
96	29/11/19	09:00:00	17.153				
97	29/11/19	10:00:00	17.177				
98	29/11/19	11:00:00	17.153				
99	29/11/19	12:00:00	17.130				
100	29/11/19	13:00:00	17.106				
101	29/11/19	14:00:00	17.082				
102	29/11/19	15:00:00	17.130				
103	29/11/19	16:00:00	17.106				
104	29/11/19	17:00:00	17.058				
105	29/11/19	18:00:00	17.034				
106	29/11/19	19:00:00	16.987				
107	29/11/19	20:00:00	16.987				
108	29/11/19	21:00:00	16.963				
109	29/11/19	22:00:00	16.963				
110	29/11/19	23:00:00	16.963				
111	30/11/19	00:00:00	16.915				
112	30/11/19	01:00:00	16.915				
113	30/11/19	02:00:00	16.915				
114	30/11/19	03:00:00	16.892				
115	30/11/19	04:00:00	16.892				
116	30/11/19	05:00:00	16.868				
117	30/11/19	06:00:00	16.892				
118	30/11/19	07:00:00	16.892				
119	30/11/19	08:00:00	16.868				
120	30/11/19	09:00:00	16.915				
121	30/11/19	10:00:00	16.939				
122	30/11/19	11:00:00	16.963				
123	30/11/19	12:00:00	16.987				
124	30/11/19	13:00:00	16.915				
125	30/11/19	14:00:00	16.987				
126	30/11/19	15:00:00	16.963				
127	30/11/19	16:00:00	16.939				
128	30/11/19	17:00:00	16.939				
129	30/11/19	18:00:00	16.915				
130	30/11/19	19:00:00	16.915				
131	30/11/19	20:00:00	16.915				
132	30/11/19	21:00:00	16.915				
133	30/11/19	22:00:00	16.915				
134	30/11/19	23:00:00	16.915				
135	01/12/19	00:00:00	16.939				
136	01/12/19	01:00:00	16.939				
137	01/12/19	02:00:00	16.939				
138	01/12/19	03:00:00	16.939				
139	01/12/19	04:00:00	16.939				
140	01/12/19	05:00:00	16.939				
141	01/12/19	06:00:00	16.915				
142	01/12/19	07:00:00	16.868				
143	01/12/19	08:00:00	16.844				
144	01/12/19	09:00:00	16.844				
145	01/12/19	10:00:00	16.844				
146	01/12/19	11:00:00	16.820				
147	01/12/19	12:00:00	16.796				
148	01/12/19	13:00:00	16.749				
149	01/12/19	14:00:00	16.773				
150	01/12/19	15:00:00	16.820				
151	01/12/19	16:00:00	16.844				
152	01/12/19	17:00:00	16.844				
153	01/12/19	18:00:00	16.844				
154	01/12/19	19:00:00	16.892				
155	01/12/19	20:00:00	16.892				
156	01/12/19	21:00:00	16.892				
157	01/12/19	22:00:00	16.939				
158	01/12/19	23:00:00	16.963				
159	02/12/19	00:00:00	16.963				
160	02/12/19	01:00:00	16.963				
161	02/12/19	02:00:00	16.963				
162	02/12/19	03:00:00	16.939				
163	02/12/19	04:00:00	16.915				
164	02/12/19	05:00:00	16.892				
165	02/12/19	06:00:00	16.844				
166	02/12/19	07:00:00	16.820				
167	02/12/19	08:00:00	16.796				
168	02/12/19	09:00:00	16.773				
169	02/12/19	10:00:00	16.796				
170	02/12/19	11:00:00	16.796				
171	02/12/19	12:00:00	16.796				
