"#"	"Date"	"Heure, GMT+01:00"	"Temp., °C (LGR S/N: 10956560, SEN S/N: 10956560)"	"Coupleur détaché (LGR S/N: 10956560, SEN S/N: 10956560)"	"Coupleur attaché (LGR S/N: 10956560, SEN S/N: 10956560)"	"Hôte connecté (LGR S/N: 10956560, SEN S/N: 10956560)"	"Arrêté (LGR S/N: 10956560, SEN S/N: 10956560)"	"Fin de fichier (LGR S/N: 10956560, SEN S/N: 10956560)"
1	13/01/20	11:00:00	14.936	Enregistré				
2	13/01/20	12:00:00	14.960					
3	13/01/20	13:00:00	14.960					
4	13/01/20	14:00:00	14.960					
5	13/01/20	15:00:00	14.960					
6	13/01/20	16:00:00	14.984					
7	13/01/20	17:00:00	14.984					
8	13/01/20	18:00:00	14.984					
9	13/01/20	19:00:00	14.984					
10	13/01/20	20:00:00	14.984					
11	13/01/20	21:00:00	14.984					
12	13/01/20	22:00:00	14.960					
13	13/01/20	23:00:00	14.984					
14	14/01/20	00:00:00	14.960					
15	14/01/20	01:00:00	14.960					
16	14/01/20	02:00:00	14.960					
17	14/01/20	03:00:00	14.960					
18	14/01/20	04:00:00	14.960					
19	14/01/20	05:00:00	14.936					
20	14/01/20	06:00:00	14.960					
21	14/01/20	07:00:00	14.936					
22	14/01/20	08:00:00	14.960					
23	14/01/20	09:00:00	14.984					
24	14/01/20	10:00:00	14.984					
25	14/01/20	11:00:00	15.008					
26	14/01/20	12:00:00	15.008					
27	14/01/20	13:00:00	15.008					
28	14/01/20	14:00:00	15.008					
29	14/01/20	15:00:00	15.031					
30	14/01/20	16:00:00	15.031					
31	14/01/20	17:00:00	15.055					
32	14/01/20	18:00:00	15.079					
33	14/01/20	19:00:00	15.079					
34	14/01/20	20:00:00	15.103					
35	14/01/20	21:00:00	15.103					
36	14/01/20	22:00:00	15.103					
37	14/01/20	23:00:00	15.151					
38	15/01/20	00:00:00	15.151					
39	15/01/20	01:00:00	15.151					
40	15/01/20	02:00:00	15.151					
41	15/01/20	03:00:00	15.151					
42	15/01/20	04:00:00	15.127					
43	15/01/20	05:00:00	15.103					
44	15/01/20	06:00:00	15.103					
45	15/01/20	07:00:00	15.103					
46	15/01/20	08:00:00	15.079					
47	15/01/20	09:00:00	15.103					
48	15/01/20	10:00:00	15.103					
49	15/01/20	11:00:00	15.103					
50	15/01/20	12:00:00	15.103					
51	15/01/20	13:00:00	15.103					
52	15/01/20	14:00:00	15.103					
53	15/01/20	15:00:00	15.103					
54	15/01/20	16:00:00	15.103					
55	15/01/20	17:00:00	15.055					
56	15/01/20	18:00:00	15.055					
57	15/01/20	19:00:00	15.031					
58	15/01/20	20:00:00	15.055					
59	15/01/20	21:00:00	15.055					
60	15/01/20	22:00:00	15.055					
61	15/01/20	23:00:00	15.055					
62	16/01/20	00:00:00	15.008					
63	16/01/20	01:00:00	15.008					
64	16/01/20	02:00:00	15.008					
65	16/01/20	03:00:00	15.008					
66	16/01/20	04:00:00	15.008					
67	16/01/20	05:00:00	15.008					
68	16/01/20	06:00:00	15.008					
69	16/01/20	07:00:00	15.008					
70	16/01/20	08:00:00	15.031					
71	16/01/20	09:00:00	15.031					
72	16/01/20	10:00:00	15.079					
73	16/01/20	11:00:00	15.079					
74	16/01/20	12:00:00	15.079					
75	16/01/20	13:00:00	15.079					
76	16/01/20	14:00:00	15.031					
77	16/01/20	15:00:00	15.031					
78	16/01/20	16:00:00	15.055					
79	16/01/20	17:00:00	15.055					
80	16/01/20	18:00:00	15.079					
81	16/01/20	19:00:00	15.055					
82	16/01/20	20:00:00	15.055					
83	16/01/20	21:00:00	15.055					
84	16/01/20	22:00:00	15.055					
85	16/01/20	23:00:00	15.055					
86	17/01/20	00:00:00	15.031					
87	17/01/20	01:00:00	15.031					
88	17/01/20	02:00:00	15.031					
89	17/01/20	03:00:00	15.031					
90	17/01/20	04:00:00	15.031					
91	17/01/20	05:00:00	15.031					
92	17/01/20	06:00:00	15.031					
93	17/01/20	07:00:00	15.008					
94	17/01/20	08:00:00	15.008					
95	17/01/20	09:00:00	15.008					
96	17/01/20	10:00:00	15.008					
97	17/01/20	11:00:00	15.008					
98	17/01/20	12:00:00	15.008					
99	17/01/20	13:00:00	15.008					
100	17/01/20	14:00:00	15.008					
101	17/01/20	15:00:00	15.008					
102	17/01/20	16:00:00	15.008					
103	17/01/20	17:00:00	14.984					
104	17/01/20	18:00:00	14.984					
105	17/01/20	19:00:00	14.960					
106	17/01/20	20:00:00	14.936					
107	17/01/20	21:00:00	14.936					
108	17/01/20	22:00:00	14.936					
109	17/01/20	23:00:00	14.936					
110	18/01/20	00:00:00	14.936					
111	18/01/20	01:00:00	14.936					
