"#"	"Date"	"Heure, GMT+03:00"	"Temp., °C (LGR S/N: 10547181, SEN S/N: 10547181)"	"Coupleur détaché (LGR S/N: 10547181, SEN S/N: 10547181)"	"Coupleur attaché (LGR S/N: 10547181, SEN S/N: 10547181)"	"Fin de fichier (LGR S/N: 10547181, SEN S/N: 10547181)"
1	25/10/19	11:00:00	24.315	Enregistré		
2	25/10/19	12:00:00	24.388			
3	25/10/19	13:00:00	24.412			
4	25/10/19	14:00:00	24.436			
5	25/10/19	15:00:00	24.412			
6	25/10/19	16:00:00	24.412			
7	25/10/19	17:00:00	24.363			
8	25/10/19	18:00:00	24.363			
9	25/10/19	19:00:00	24.339			
10	25/10/19	20:00:00	24.171			
11	25/10/19	21:00:00	24.243			
12	25/10/19	22:00:00	24.267			
13	25/10/19	23:00:00	24.219			
14	26/10/19	00:00:00	24.243			
15	26/10/19	01:00:00	24.243			
16	26/10/19	02:00:00	24.243			
17	26/10/19	03:00:00	24.243			
18	26/10/19	04:00:00	24.243			
19	26/10/19	05:00:00	24.243			
20	26/10/19	06:00:00	24.243			
21	26/10/19	07:00:00	24.195			
22	26/10/19	08:00:00	24.098			
23	26/10/19	09:00:00	24.122			
24	26/10/19	10:00:00	24.171			
25	26/10/19	11:00:00	24.243			
26	26/10/19	12:00:00	24.291			
27	26/10/19	13:00:00	24.363			
28	26/10/19	14:00:00	24.363			
29	26/10/19	15:00:00	24.388			
30	26/10/19	16:00:00	24.339			
31	26/10/19	17:00:00	24.291			
32	26/10/19	18:00:00	24.267			
33	26/10/19	19:00:00	24.267			
34	26/10/19	20:00:00	24.243			
35	26/10/19	21:00:00	24.195			
36	26/10/19	22:00:00	24.219			
37	26/10/19	23:00:00	24.243			
38	27/10/19	00:00:00	24.219			
39	27/10/19	01:00:00	24.219			
40	27/10/19	02:00:00	24.219			
41	27/10/19	03:00:00	24.219			
42	27/10/19	04:00:00	24.171			
43	27/10/19	05:00:00	24.219			
44	27/10/19	06:00:00	24.219			
45	27/10/19	07:00:00	24.219			
46	27/10/19	08:00:00	24.243			
47	27/10/19	09:00:00	24.267			
48	27/10/19	10:00:00	24.267			
49	27/10/19	11:00:00	24.315			
50	27/10/19	12:00:00	24.388			
51	27/10/19	13:00:00	24.339			
52	27/10/19	14:00:00	24.363			
53	27/10/19	15:00:00	24.291			
54	27/10/19	16:00:00	24.291			
55	27/10/19	17:00:00	24.243			
56	27/10/19	18:00:00	24.195			
57	27/10/19	19:00:00	24.171			
58	27/10/19	20:00:00	24.146			
59	27/10/19	21:00:00	24.146			
60	27/10/19	22:00:00	24.146			
61	27/10/19	23:00:00	24.122			
62	28/10/19	00:00:00	24.122			
63	28/10/19	01:00:00	24.122			
64	28/10/19	02:00:00	24.074			
65	28/10/19	03:00:00	24.026			
66	28/10/19	04:00:00	24.026			
67	28/10/19	05:00:00	24.074			
68	28/10/19	06:00:00	24.002			
69	28/10/19	07:00:00	24.026			
70	28/10/19	08:00:00	24.002			
71	28/10/19	09:00:00	24.026			
72	28/10/19	10:00:00	24.050			
73	28/10/19	11:00:00	24.026			
74	28/10/19	12:00:00	24.098			
75	28/10/19	13:00:00	24.122			
76	28/10/19	14:00:00	24.146			
77	28/10/19	15:00:00	24.171			
78	28/10/19	16:00:00	24.195			
79	28/10/19	17:00:00	24.098			
80	28/10/19	18:00:00	24.122			
81	28/10/19	19:00:00	24.050			
82	28/10/19	20:00:00	24.002			
83	28/10/19	21:00:00	23.978			
84	28/10/19	22:00:00	23.978			
85	28/10/19	23:00:00	23.954			
86	29/10/19	00:00:00	23.954			
87	29/10/19	01:00:00	23.930			
88	29/10/19	02:00:00	23.930			
89	29/10/19	03:00:00	23.930			
90	29/10/19	04:00:00	23.905			
91	29/10/19	05:00:00	23.881			
92	29/10/19	06:00:00	23.881			
93	29/10/19	07:00:00	23.857			
94	29/10/19	08:00:00	23.833			
95	29/10/19	09:00:00	23.857			
96	29/10/19	10:00:00	23.905			
97	29/10/19	11:00:00	23.954			
98	29/10/19	12:00:00	23.978			
99	29/10/19	13:00:00	24.026			
100	29/10/19	14:00:00	24.050			
101	29/10/19	15:00:00	24.050			
102	29/10/19	16:00:00	24.002			
103	29/10/19	17:00:00	23.978			
104	29/10/19	18:00:00	23.954			
105	29/10/19	19:00:00	23.930			
106	29/10/19	20:00:00	23.930			
107	29/10/19	21:00:00	23.905			
108	29/10/19	22:00:00	23.905			
109	29/10/19	23:00:00	23.881			
110	30/10/19	00:00:00	23.881			
111	30/10/19	01:00:00	23.833			
112	30/10/19	02:00:00	23.809			
113	30/10/19	03:00:00	23.785			
114	30/10/19	04:00:00	23.785			
115	30/10/19	05:00:00	23.761			
116	30/10/19	06:00:00	23.785			
117	30/10/19	07:00:00	23.737			
118	30/10/19	08:00:00	23.713			
119	30/10/19	09:00:00	23.737			
120	30/10/19	10:00:00	23.761			
121	30/10/19	11:00:00	23.809			
122	30/10/19	12:00:00	23.857			
123	30/10/19	13:00:00	23.881			
124	30/10/19	14:00:00	23.881			
125	30/10/19	15:00:00	23.881			
126	30/10/19	16:00:00	23.833			
127	30/10/19	17:00:00	23.785			
128	30/10/19	18:00:00	23.737			
129	30/10/19	19:00:00	23.761			
130	30/10/19	20:00:00	23.809			
131	30/10/19	21:00:00	23.809			
132	30/10/19	22:00:00	23.809			
133	30/10/19	23:00:00	23.761			
134	31/10/19	00:00:00	23.761			
135	31/10/19	01:00:00	23.761			
136	31/10/19	02:00:00	23.665			
137	31/10/19	03:00:00	23.641			
138	31/10/19	04:00:00	23.665			
139	31/10/19	05:00:00	23.665			
140	31/10/19	06:00:00	23.665			
141	31/10/19	07:00:00	23.665			
142	31/10/19	08:00:00	23.665			
143	31/10/19	09:00:00	23.689			
144	31/10/19	10:00:00	23.689			
145	31/10/19	11:00:00	23.737			
146	31/10/19	12:00:00	23.761			
147	31/10/19	13:00:00	23.737			
148	31/10/19	14:00:00	23.737			
149	31/10/19	15:00:00	23.737			
150	31/10/19	16:00:00	23.713			
151	31/10/19	17:00:00	23.689			
152	31/10/19	18:00:00	23.689			
153	31/10/19	19:00:00	23.665			
154	31/10/19	20:00:00	23.641			
155	31/10/19	21:00:00	23.641			
156	31/10/19	22:00:00	23.641			
157	31/10/19	23:00:00	23.641			
158	01/11/19	00:00:00	23.665			
159	01/11/19	01:00:00	23.617			
160	01/11/19	02:00:00	23.593			
161	01/11/19	03:00:00	23.569			
162	01/11/19	04:00:00	23.545			
163	01/11/19	05:00:00	23.545			
164	01/11/19	06:00:00	23.521			
165	01/11/19	07:00:00	23.521			
166	01/11/19	08:00:00	23.472			
167	01/11/19	09:00:00	23.472			
168	01/11/19	10:00:00	23.521			
169	01/11/19	11:00:00	23.617			
170	01/11/19	12:00:00	23.521			
171	01/11/19	13:00:00	23.593			
172	01/11/19	14:00:00	23.521			
173	01/11/19	15:00:00	23.497			
174	01/11/19	16:00:00	23.352			
175	01/11/19	17:00:00	23.376			
176	01/11/19	18:00:00	23.424			
177	01/11/19	19:00:00	23.352			
178	01/11/19	20:00:00	23.352			
179	01/11/19	21:00:00	23.497			
180	01/11/19	22:00:00	23.545			
181	01/11/19	23:00:00	23.352			
182	02/11/19	00:00:00	23.400			
183	02/11/19	01:00:00	23.472			
184	02/11/19	02:00:00	23.448			
185	02/11/19	03:00:00	23.448			
186	02/11/19	04:00:00	23.448			
187	02/11/19	05:00:00	23.232			
188	02/11/19	06:00:00	23.304			
189	02/11/19	07:00:00	23.304			
190	02/11/19	08:00:00	23.280			
191	02/11/19	09:00:00	23.280			
192	02/11/19	10:00:00	23.304			
193	02/11/19	11:00:00	23.208			
194	02/11/19	12:00:00	23.232			
195	02/11/19	13:00:00	23.208			
196	02/11/19	14:00:00	23.280			
197	02/11/19	15:00:00	23.280			
198	02/11/19	16:00:00	23.112			
199	02/11/19	17:00:00	23.160			
200	02/11/19	18:00:00	23.064			
201	02/11/19	19:00:00	22.968			
202	02/11/19	20:00:00	22.920			
203	02/11/19	21:00:00	22.920			
204	02/11/19	22:00:00	22.920			
205	02/11/19	23:00:00	22.896			
206	03/11/19	00:00:00	22.848			
207	03/11/19	01:00:00	22.848			
208	03/11/19	02:00:00	22.848			
209	03/11/19	03:00:00	22.848			
210	03/11/19	04:00:00	22.824			
211	03/11/19	05:00:00	22.824			
212	03/11/19	06:00:00	22.848			
213	03/11/19	07:00:00	22.776			
214	03/11/19	08:00:00	22.705			
215	03/11/19	09:00:00	22.824			
216	03/11/19	10:00:00	22.920			
217	03/11/19	11:00:00	22.992			
218	03/11/19	12:00:00	23.064			
219	03/11/19	13:00:00	22.968			
220	03/11/19	14:00:00	22.968			
221	03/11/19	15:00:00	22.920			
222	03/11/19	16:00:00	22.872			
223	03/11/19	17:00:00	22.800			
224	03/11/19	18:00:00	22.800			
225	03/11/19	19:00:00	22.800			
226	03/11/19	20:00:00	22.776			
227	03/11/19	21:00:00	22.848			
228	03/11/19	22:00:00	22.800			
229	03/11/19	23:00:00	22.824			
230	04/11/19	00:00:00	22.824			
231	04/11/19	01:00:00	22.824			
232	04/11/19	02:00:00	22.848			
233	04/11/19	03:00:00	22.848			
234	04/11/19	04:00:00	22.824			
235	04/11/19	05:00:00	22.824			
236	04/11/19	06:00:00	22.824			
237	04/11/19	07:00:00	22.848			
238	04/11/19	08:00:00	22.753			
239	04/11/19	09:00:00	22.753			
240	04/11/19	10:00:00	22.776			
241	04/11/19	11:00:00	22.753			
242	04/11/19	12:00:00	22.729			
243	04/11/19	13:00:00	22.824			
244	04/11/19	14:00:00	22.776			
245	04/11/19	15:00:00	22.776			
246	04/11/19	16:00:00	22.753			
247	04/11/19	17:00:00	22.729			
248	04/11/19	18:00:00	22.729			
249	04/11/19	19:00:00	22.705			
250	04/11/19	20:00:00	22.705			
251	04/11/19	21:00:00	22.705			
252	04/11/19	22:00:00	22.705			
253	04/11/19	23:00:00	22.753			
254	05/11/19	00:00:00	22.729			
255	05/11/19	01:00:00	22.776			
256	05/11/19	02:00:00	22.729			
257	05/11/19	03:00:00	22.848			
258	05/11/19	04:00:00	22.848			
259	05/11/19	05:00:00	22.872			
260	05/11/19	06:00:00	22.872			
261	05/11/19	07:00:00	22.896			
262	05/11/19	08:00:00	22.896			
263	05/11/19	09:00:00	22.920			
264	05/11/19	10:00:00	22.896			
265	05/11/19	11:00:00	22.968			
266	05/11/19	12:00:00	23.016			
267	05/11/19	13:00:00	23.064			
268	05/11/19	14:00:00	23.040			
269	05/11/19	15:00:00	23.040			
270	05/11/19	16:00:00	23.040			
271	05/11/19	17:00:00	22.992			
272	05/11/19	18:00:00	22.944			
273	05/11/19	19:00:00	22.896			
274	05/11/19	20:00:00	22.848			
275	05/11/19	21:00:00	22.824			
276	05/11/19	22:00:00	22.872			
277	05/11/19	23:00:00	22.896			
278	06/11/19	00:00:00	22.920			
279	06/11/19	01:00:00	22.896			
280	06/11/19	02:00:00	22.944			
281	06/11/19	03:00:00	22.920			
282	06/11/19	04:00:00	22.848			
283	06/11/19	05:00:00	22.872			
284	06/11/19	06:00:00	22.848			
285	06/11/19	07:00:00	22.753			
286	06/11/19	08:00:00	22.753			
287	06/11/19	09:00:00	22.753			
288	06/11/19	10:00:00	22.824			
289	06/11/19	11:00:00	22.920			
290	06/11/19	12:00:00	22.968			
291	06/11/19	13:00:00	23.016			
292	06/11/19	14:00:00	23.040			
293	06/11/19	15:00:00	22.992			
294	06/11/19	16:00:00	22.992			
295	06/11/19	17:00:00	22.872			
296	06/11/19	18:00:00	22.872			
297	06/11/19	19:00:00	22.872			
298	06/11/19	20:00:00	22.872			
299	06/11/19	21:00:00	22.872			
300	06/11/19	22:00:00	22.872			
301	06/11/19	23:00:00	22.872			
302	07/11/19	00:00:00	22.872			
303	07/11/19	01:00:00	22.800			
304	07/11/19	02:00:00	22.753			
305	07/11/19	03:00:00	22.753			
306	07/11/19	04:00:00	22.824			
307	07/11/19	05:00:00	22.800			
308	07/11/19	06:00:00	22.729			
309	07/11/19	07:00:00	22.729			
310	07/11/19	08:00:00	22.681			
311	07/11/19	09:00:00	22.753			
312	07/11/19	10:00:00	22.800			
313	07/11/19	11:00:00	22.872			
314	07/11/19	12:00:00	22.920			
315	07/11/19	13:00:00	22.968			
316	07/11/19	14:00:00	22.992			
317	07/11/19	15:00:00	22.896			
318	07/11/19	16:00:00	22.896			
319	07/11/19	17:00:00	22.872			
320	07/11/19	18:00:00	22.848			
321	07/11/19	19:00:00	22.848			
322	07/11/19	20:00:00	22.848			
323	07/11/19	21:00:00	22.824			
324	07/11/19	22:00:00	22.824			
325	07/11/19	23:00:00	22.824			
326	08/11/19	00:00:00	22.776			
327	08/11/19	01:00:00	22.776			
328	08/11/19	02:00:00	22.800			
329	08/11/19	03:00:00	22.800			
330	08/11/19	04:00:00	22.776			
331	08/11/19	05:00:00	22.800			
332	08/11/19	06:00:00	22.776			
333	08/11/19	07:00:00	22.776			
334	08/11/19	08:00:00	22.800			
335	08/11/19	09:00:00	22.800			
336	08/11/19	10:00:00	22.824			
337	08/11/19	11:00:00	22.848			
338	08/11/19	12:00:00	22.896			
339	08/11/19	13:00:00	22.920			
340	08/11/19	14:00:00	22.920			
341	08/11/19	15:00:00	22.920			
342	08/11/19	16:00:00	22.896			
343	08/11/19	17:00:00	22.848			
344	08/11/19	18:00:00	22.800			
345	08/11/19	19:00:00	22.800			
346	08/11/19	20:00:00	22.800			
347	08/11/19	21:00:00	22.800			
348	08/11/19	22:00:00	22.800			
349	08/11/19	23:00:00	22.800			
350	09/11/19	00:00:00	22.800			
351	09/11/19	01:00:00	22.776			
