"#"	"Date"	"Heure, GMT+02:00"	"Temp., °C (LGR S/N: 9691730, SEN S/N: 9691730)"	"Intensité, Lux (LGR S/N: 9691730, SEN S/N: 9691730)"	"Pile défectueuse (LGR S/N: 9691730, SEN S/N: 9691730)"	"Coupleur attaché (LGR S/N: 9691730, SEN S/N: 9691730)"	"Hôte connecté (LGR S/N: 9691730, SEN S/N: 9691730)"	"Arrêté (LGR S/N: 9691730, SEN S/N: 9691730)"	"Fin de fichier (LGR S/N: 9691730, SEN S/N: 9691730)"
1	10/05/18	10:00:00	18.426	958.0					
2	10/05/18	11:00:00	18.521	1,194.8					
3	10/05/18	12:00:00	18.236	1,722.2					
4	10/05/18	13:00:00	18.045	2,411.1					
5	10/05/18	14:00:00	18.331	3,961.1					
6	10/05/18	15:00:00	18.521	4,305.6					
7	10/05/18	16:00:00	18.331	3,444.5					
8	10/05/18	17:00:00	18.140	2,669.5					
9	10/05/18	18:00:00	17.855	1,334.7					
10	10/05/18	19:00:00	17.950	387.5					
11	10/05/18	20:00:00	18.521	10.8					
12	10/05/18	21:00:00	18.616	0.0					
13	10/05/18	22:00:00	19.567	0.0					
14	10/05/18	23:00:00	19.092	0.0					
15	11/05/18	00:00:00	18.426	0.0					
16	11/05/18	01:00:00	18.331	0.0					
17	11/05/18	02:00:00	18.426	0.0					
18	11/05/18	03:00:00	18.426	0.0					
19	11/05/18	04:00:00	18.711	0.0					
20	11/05/18	05:00:00	18.901	0.0					
21	11/05/18	06:00:00	19.092	53.8					
22	11/05/18	07:00:00	19.092	258.3					
23	11/05/18	08:00:00	19.377	473.6					
24	11/05/18	09:00:00	18.711	678.1					
25	11/05/18	10:00:00	18.806	936.5					
26	11/05/18	11:00:00	18.711	1,302.4					
27	11/05/18	12:00:00	17.570	1,722.2					
28	11/05/18	13:00:00	17.570	2,238.9					
29	11/05/18	14:00:00	18.331	3,272.2					
30	11/05/18	15:00:00	18.236	4,133.4					
31	11/05/18	16:00:00	18.140	2,927.8					
32	11/05/18	17:00:00	16.903	2,066.7					
33	11/05/18	18:00:00	16.618	1,141.0					
34	11/05/18	19:00:00	16.427	409.0					
35	11/05/18	20:00:00	16.332	10.8					
36	11/05/18	21:00:00	16.999	0.0					
37	11/05/18	22:00:00	17.094	0.0					
38	11/05/18	23:00:00	17.284	0.0					
39	12/05/18	00:00:00	16.999	0.0					
40	12/05/18	01:00:00	18.331	0.0					
41	12/05/18	02:00:00	19.282	0.0					
42	12/05/18	03:00:00	17.760	0.0					
43	12/05/18	04:00:00	17.855	0.0					
44	12/05/18	05:00:00	18.045	0.0					
45	12/05/18	06:00:00	17.950	32.3					
46	12/05/18	07:00:00	17.855	247.6					
47	12/05/18	08:00:00	17.570	419.8					
48	12/05/18	09:00:00	17.475	688.9					
