"#"	"Date"	"Heure, GMT+02:00"	"Temp., °C (LGR S/N: 9691738, SEN S/N: 9691738)"	"Intensité, Lux (LGR S/N: 9691738, SEN S/N: 9691738)"	"Coupleur attaché (LGR S/N: 9691738, SEN S/N: 9691738)"	"Hôte connecté (LGR S/N: 9691738, SEN S/N: 9691738)"	"Arrêté (LGR S/N: 9691738, SEN S/N: 9691738)"	"Fin de fichier (LGR S/N: 9691738, SEN S/N: 9691738)"
1	10/05/18	10:00:00	15.664	839.6				
2	10/05/18	11:00:00	17.570	1,065.6				
3	10/05/18	12:00:00	17.475	1,377.8				
4	10/05/18	13:00:00	16.618	1,894.5				
5	10/05/18	14:00:00	16.618	2,411.1				
6	10/05/18	15:00:00	16.999	2,755.6				
7	10/05/18	16:00:00	16.808	2,325.0				
8	10/05/18	17:00:00	16.903	1,550.0				
9	10/05/18	18:00:00	16.808	796.5				
10	10/05/18	19:00:00	16.903	247.6				
11	10/05/18	20:00:00	17.855	0.0				
12	10/05/18	21:00:00	18.236	0.0				
13	10/05/18	22:00:00	19.377	0.0				
14	10/05/18	23:00:00	18.521	0.0				
15	11/05/18	00:00:00	17.950	0.0				
16	11/05/18	01:00:00	17.950	0.0				
17	11/05/18	02:00:00	18.140	0.0				
18	11/05/18	03:00:00	15.951	0.0				
19	11/05/18	04:00:00	16.046	0.0				
20	11/05/18	05:00:00	16.332	0.0				
21	11/05/18	06:00:00	16.237	43.1				
22	11/05/18	07:00:00	17.094	215.3				
23	11/05/18	08:00:00	16.332	409.0				
24	11/05/18	09:00:00	15.569	602.8				
25	11/05/18	10:00:00	15.378	839.6				
26	11/05/18	11:00:00	15.569	1,097.9				
27	11/05/18	12:00:00	15.473	1,377.8				
28	11/05/18	13:00:00	15.378	1,894.5				
29	11/05/18	14:00:00	15.378	2,411.1				
30	11/05/18	15:00:00	15.664	2,583.4				
31	11/05/18	16:00:00	15.473	2,066.7				
32	11/05/18	17:00:00	15.569	1,259.4				
33	11/05/18	18:00:00	15.282	699.7				
34	11/05/18	19:00:00	15.378	258.3				
35	11/05/18	20:00:00	15.855	0.0				
36	11/05/18	21:00:00	16.046	0.0				
37	11/05/18	22:00:00	15.664	0.0				
38	11/05/18	23:00:00	15.378	0.0				
39	12/05/18	00:00:00	15.473	0.0				
40	12/05/18	01:00:00	15.760	0.0				
41	12/05/18	02:00:00	16.046	0.0				
42	12/05/18	03:00:00	17.284	0.0				
43	12/05/18	04:00:00	17.379	0.0				
44	12/05/18	05:00:00	16.618	0.0				
45	12/05/18	06:00:00	16.332	32.3				
46	12/05/18	07:00:00	16.046	215.3				
47	12/05/18	08:00:00	15.951	387.5				
48	12/05/18	09:00:00	15.855	613.5				
49	12/05/18	10:00:00	16.427	861.1				
50	12/05/18	11:00:00	16.332	1,065.6				
51	12/05/18	12:00:00	16.427	1,463.9				
52	12/05/18	13:00:00	16.427	1,980.6				
53	12/05/18	14:00:00	16.237	2,497.2				
54	12/05/18	15:00:00	16.523	2,927.8				
