"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 10838308, SEN S/N: 10838308)"	"Acoplador separado (LGR S/N: 10838308, SEN S/N: 10838308)"	"Acoplador adjunto (LGR S/N: 10838308, SEN S/N: 10838308)"	"Host conectado (LGR S/N: 10838308, SEN S/N: 10838308)"	"Parado (LGR S/N: 10838308, SEN S/N: 10838308)"	"Final de archivo (LGR S/N: 10838308, SEN S/N: 10838308)"
1	10/02/22	23:00:00	13.161	Registrado				
2	11/02/22	00:00:00	13.112					
3	11/02/22	01:00:00	13.137					
4	11/02/22	02:00:00	13.088					
5	11/02/22	03:00:00	13.064					
6	11/02/22	04:00:00	13.064					
7	11/02/22	05:00:00	13.088					
8	11/02/22	06:00:00	12.437					
9	11/02/22	07:00:00	12.316					
10	11/02/22	08:00:00	12.050					
11	11/02/22	09:00:00	12.243					
12	11/02/22	10:00:00	12.485					
13	11/02/22	11:00:00	12.268					
14	11/02/22	12:00:00	11.977					
15	11/02/22	13:00:00	11.953					
16	11/02/22	14:00:00	12.122					
17	11/02/22	15:00:00	12.171					
18	11/02/22	16:00:00	12.944					
19	11/02/22	17:00:00	12.847					
20	11/02/22	18:00:00	12.364					
21	11/02/22	19:00:00	12.509					
22	11/02/22	20:00:00	12.098					
23	11/02/22	21:00:00	12.025					
24	11/02/22	22:00:00	12.025					
25	11/02/22	23:00:00	11.977					
26	12/02/22	00:00:00	11.904					
27	12/02/22	01:00:00	11.734					
28	12/02/22	02:00:00	11.710					
29	12/02/22	03:00:00	11.759					
30	12/02/22	04:00:00	11.807					
31	12/02/22	05:00:00	11.807					
32	12/02/22	06:00:00	11.783					
33	12/02/22	07:00:00	11.759					
34	12/02/22	08:00:00	11.783					
35	12/02/22	09:00:00	11.807					
36	12/02/22	10:00:00	11.807					
37	12/02/22	11:00:00	11.759					
38	12/02/22	12:00:00	11.783					
39	12/02/22	13:00:00	11.783					
40	12/02/22	14:00:00	11.759					
41	12/02/22	15:00:00	11.759					
42	12/02/22	16:00:00	11.759					
43	12/02/22	17:00:00	11.783					
44	12/02/22	18:00:00	11.783					
45	12/02/22	19:00:00	11.904					
46	12/02/22	20:00:00	11.880					
47	12/02/22	21:00:00	11.904					
48	12/02/22	22:00:00	11.880					
49	12/02/22	23:00:00	11.953					
50	13/02/22	00:00:00	11.929					
51	13/02/22	01:00:00	11.904					
52	13/02/22	02:00:00	11.783					
53	13/02/22	03:00:00	11.807					
54	13/02/22	04:00:00	11.734					
55	13/02/22	05:00:00	11.759					
56	13/02/22	06:00:00	11.807					
57	13/02/22	07:00:00	11.710					
58	13/02/22	08:00:00	11.686					
59	13/02/22	09:00:00	11.734					
60	13/02/22	10:00:00	11.710					
61	13/02/22	11:00:00	11.686					
62	13/02/22	12:00:00	11.710					
63	13/02/22	13:00:00	11.880					
64	13/02/22	14:00:00	11.929					
65	13/02/22	15:00:00	11.929					
66	13/02/22	16:00:00	11.929					
67	13/02/22	17:00:00	11.977					
68	13/02/22	18:00:00	11.953					
69	13/02/22	19:00:00	11.929					
70	13/02/22	20:00:00	11.904					
71	13/02/22	21:00:00	11.880					
72	13/02/22	22:00:00	11.832					
73	13/02/22	23:00:00	11.807					
74	14/02/22	00:00:00	11.783					
75	14/02/22	01:00:00	11.783					
76	14/02/22	02:00:00	11.783					
77	14/02/22	03:00:00	11.783					
78	14/02/22	04:00:00	11.759					
79	14/02/22	05:00:00	11.759					
80	14/02/22	06:00:00	11.977					
81	14/02/22	07:00:00	12.001					
82	14/02/22	08:00:00	11.977					
83	14/02/22	09:00:00	11.977					
84	14/02/22	10:00:00	12.001					
85	14/02/22	11:00:00	12.001					
86	14/02/22	12:00:00	11.856					
87	14/02/22	13:00:00	11.807					
88	14/02/22	14:00:00	11.807					
89	14/02/22	15:00:00	11.783					
90	14/02/22	16:00:00	11.710					
91	14/02/22	17:00:00	11.637					
92	14/02/22	18:00:00	11.565					
93	14/02/22	19:00:00	11.540					
94	14/02/22	20:00:00	11.565					
95	14/02/22	21:00:00	11.565					
96	14/02/22	22:00:00	11.540					
97	14/02/22	23:00:00	11.540					
98	15/02/22	00:00:00	11.613					
99	15/02/22	01:00:00	11.613					
100	15/02/22	02:00:00	11.759					
101	15/02/22	03:00:00	11.832					
102	15/02/22	04:00:00	11.856					
103	15/02/22	05:00:00	11.880					
104	15/02/22	06:00:00	11.880					
105	15/02/22	07:00:00	11.880					
106	15/02/22	08:00:00	11.880					
107	15/02/22	09:00:00	11.880					
108	15/02/22	10:00:00	11.856					
109	15/02/22	11:00:00	11.880					
110	15/02/22	12:00:00	11.880					
111	15/02/22	13:00:00	11.880					
112	15/02/22	14:00:00	11.904					
113	15/02/22	15:00:00	11.880					
114	15/02/22	16:00:00	11.880					
115	15/02/22	17:00:00	11.880					
116	15/02/22	18:00:00	11.856					
117	15/02/22	19:00:00	11.856					
118	15/02/22	20:00:00	11.856					
119	15/02/22	21:00:00	11.856					
120	15/02/22	22:00:00	11.856					
121	15/02/22	23:00:00	11.832					
122	16/02/22	00:00:00	11.832					
123	16/02/22	01:00:00	11.832					
124	16/02/22	02:00:00	11.832					
125	16/02/22	03:00:00	11.832					
