"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 20954339, SEN S/N: 20954339)"	"Acoplador separado (LGR S/N: 20954339, SEN S/N: 20954339)"	"Acoplador adjunto (LGR S/N: 20954339, SEN S/N: 20954339)"	"Host conectado (LGR S/N: 20954339, SEN S/N: 20954339)"	"Final de archivo (LGR S/N: 20954339, SEN S/N: 20954339)"
1	21/02/21	10:00:00	11.151	Registrado			
2	21/02/21	11:00:00	11.200				
3	21/02/21	12:00:00	11.224				
4	21/02/21	13:00:00	11.394				
5	21/02/21	14:00:00	11.297				
6	21/02/21	15:00:00	11.273				
7	21/02/21	16:00:00	11.200				
8	21/02/21	17:00:00	11.151				
9	21/02/21	18:00:00	11.102				
10	21/02/21	19:00:00	11.151				
11	21/02/21	20:00:00	11.102				
12	21/02/21	21:00:00	11.102				
13	21/02/21	22:00:00	11.102				
14	21/02/21	23:00:00	11.127				
15	22/02/21	00:00:00	11.102				
16	22/02/21	01:00:00	11.102				
17	22/02/21	02:00:00	11.102				
18	22/02/21	03:00:00	11.127				
19	22/02/21	04:00:00	11.127				
20	22/02/21	05:00:00	11.127				
21	22/02/21	06:00:00	11.175				
22	22/02/21	07:00:00	11.151				
23	22/02/21	08:00:00	11.151				
24	22/02/21	09:00:00	11.248				
25	22/02/21	10:00:00	11.273				
26	22/02/21	11:00:00	11.297				
27	22/02/21	12:00:00	11.370				
28	22/02/21	13:00:00	11.346				
29	22/02/21	14:00:00	11.297				
30	22/02/21	15:00:00	11.321				
31	22/02/21	16:00:00	11.224				
32	22/02/21	17:00:00	11.248				
33	22/02/21	18:00:00	11.297				
34	22/02/21	19:00:00	11.346				
35	22/02/21	20:00:00	11.346				
36	22/02/21	21:00:00	11.394				
37	22/02/21	22:00:00	11.419				
38	22/02/21	23:00:00	11.394				
39	23/02/21	00:00:00	11.419				
40	23/02/21	01:00:00	11.419				
41	23/02/21	02:00:00	11.419				
42	23/02/21	03:00:00	11.394				
43	23/02/21	04:00:00	11.443				
44	23/02/21	05:00:00	11.394				
45	23/02/21	06:00:00	11.346				
46	23/02/21	07:00:00	11.394				
47	23/02/21	08:00:00	11.443				
48	23/02/21	09:00:00	11.443				
49	23/02/21	10:00:00	11.443				
50	23/02/21	11:00:00	11.492				
51	23/02/21	12:00:00	11.516				
52	23/02/21	13:00:00	11.589				
53	23/02/21	14:00:00	11.565				
54	23/02/21	15:00:00	11.540				
55	23/02/21	16:00:00	11.443				
56	23/02/21	17:00:00	11.419				
57	23/02/21	18:00:00	11.394				
58	23/02/21	19:00:00	11.370				
59	23/02/21	20:00:00	11.370				
60	23/02/21	21:00:00	11.370				
61	23/02/21	22:00:00	11.419				
62	23/02/21	23:00:00	11.394				
63	24/02/21	00:00:00	11.346				
64	24/02/21	01:00:00	11.321				
65	24/02/21	02:00:00	11.321				
66	24/02/21	03:00:00	11.273				
67	24/02/21	04:00:00	11.248				
68	24/02/21	05:00:00	11.297				
69	24/02/21	06:00:00	11.297				
70	24/02/21	07:00:00	11.321				
71	24/02/21	08:00:00	11.346				
72	24/02/21	09:00:00	11.370				
73	24/02/21	10:00:00	11.370				
74	24/02/21	11:00:00	11.394				
75	24/02/21	12:00:00	11.394				
76	24/02/21	13:00:00	11.467				
77	24/02/21	14:00:00	11.492				
78	24/02/21	15:00:00	11.540				
79	24/02/21	16:00:00	11.443				
80	24/02/21	17:00:00	11.419				
81	24/02/21	18:00:00	11.419				
82	24/02/21	19:00:00	11.394				
83	24/02/21	20:00:00	11.394				
84	24/02/21	21:00:00	11.419				
85	24/02/21	22:00:00	11.419				
86	24/02/21	23:00:00	11.419				
87	25/02/21	00:00:00	11.394				
88	25/02/21	01:00:00	11.419				
89	25/02/21	02:00:00	11.394				
90	25/02/21	03:00:00	11.394				
91	25/02/21	04:00:00	11.346				
92	25/02/21	05:00:00	11.370				
93	25/02/21	06:00:00	11.346				
94	25/02/21	07:00:00	11.346				
95	25/02/21	08:00:00	11.394				
96	25/02/21	09:00:00	11.346				
97	25/02/21	10:00:00	11.346				
98	25/02/21	11:00:00	11.443				
99	25/02/21	12:00:00	11.492				
100	25/02/21	13:00:00	11.540				
101	25/02/21	14:00:00	11.589				
102	25/02/21	15:00:00	11.565				
103	25/02/21	16:00:00	11.492				
104	25/02/21	17:00:00	11.443				
105	25/02/21	18:00:00	11.492				
106	25/02/21	19:00:00	11.492				
107	25/02/21	20:00:00	11.467				
108	25/02/21	21:00:00	11.467				
109	25/02/21	22:00:00	11.467				
110	25/02/21	23:00:00	11.443				
111	26/02/21	00:00:00	11.467				
112	26/02/21	01:00:00	11.467				
113	26/02/21	02:00:00	11.467				
114	26/02/21	03:00:00	11.443				
115	26/02/21	04:00:00	11.443				
116	26/02/21	05:00:00	11.419				
117	26/02/21	06:00:00	11.394				
118	26/02/21	07:00:00	11.394				
119	26/02/21	08:00:00	11.419				
120	26/02/21	09:00:00	11.443				
121	26/02/21	10:00:00	11.467				
122	26/02/21	11:00:00	11.492				
123	26/02/21	12:00:00	11.540				
124	26/02/21	13:00:00	11.613				
125	26/02/21	14:00:00	11.637				
126	26/02/21	15:00:00	11.637				
127	26/02/21	16:00:00	11.662				
128	26/02/21	17:00:00	11.516				
129	26/02/21	18:00:00	11.540				
130	26/02/21	19:00:00	11.540				
131	26/02/21	20:00:00	11.540				
132	26/02/21	21:00:00	11.540				
133	26/02/21	22:00:00	11.540				
134	26/02/21	23:00:00	11.540				
135	27/02/21	00:00:00	11.540				
136	27/02/21	01:00:00	11.540				
137	27/02/21	02:00:00	11.516				
138	27/02/21	03:00:00	11.516				
139	27/02/21	04:00:00	11.516				
140	27/02/21	05:00:00	11.492				
141	27/02/21	06:00:00	11.492				
142	27/02/21	07:00:00	11.467				
143	27/02/21	08:00:00	11.492				
144	27/02/21	09:00:00	11.516				
145	27/02/21	10:00:00	11.540				
146	27/02/21	11:00:00	11.565				
147	27/02/21	12:00:00	11.565				
148	27/02/21	13:00:00	11.589				
149	27/02/21	14:00:00	11.589				
150	27/02/21	15:00:00	11.589				
151	27/02/21	16:00:00	11.613				
152	27/02/21	17:00:00	11.589				
153	27/02/21	18:00:00	11.565				
154	27/02/21	19:00:00	11.516				
155	27/02/21	20:00:00	11.540				
156	27/02/21	21:00:00	11.540				
157	27/02/21	22:00:00	11.516				
158	27/02/21	23:00:00	11.467				
159	28/02/21	00:00:00	11.492				
160	28/02/21	01:00:00	11.467				
161	28/02/21	02:00:00	11.443				
162	28/02/21	03:00:00	11.443				
163	28/02/21	04:00:00	11.419				
164	28/02/21	05:00:00	11.394				
165	28/02/21	06:00:00	11.370				
166	28/02/21	07:00:00	11.346				
167	28/02/21	08:00:00	11.394				
168	28/02/21	09:00:00	11.419				
169	28/02/21	10:00:00	11.443				
170	28/02/21	11:00:00	11.467				
171	28/02/21	12:00:00	11.540				
172	28/02/21	13:00:00	11.565				
173	28/02/21	14:00:00	11.613				
174	28/02/21	15:00:00	11.613				
175	28/02/21	16:00:00	11.589				
