"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 20954335, SEN S/N: 20954335)"	"Acoplador separado (LGR S/N: 20954335, SEN S/N: 20954335)"	"Acoplador adjunto (LGR S/N: 20954335, SEN S/N: 20954335)"	"Host conectado (LGR S/N: 20954335, SEN S/N: 20954335)"	"Final de archivo (LGR S/N: 20954335, SEN S/N: 20954335)"
1	21/02/21	10:00:00	10.834	Registrado			
2	21/02/21	11:00:00	10.932				
3	21/02/21	12:00:00	11.029				
4	21/02/21	13:00:00	11.127				
5	21/02/21	14:00:00	11.200				
6	21/02/21	15:00:00	11.224				
7	21/02/21	16:00:00	11.151				
8	21/02/21	17:00:00	11.175				
9	21/02/21	18:00:00	11.127				
10	21/02/21	19:00:00	11.127				
11	21/02/21	20:00:00	11.053				
12	21/02/21	21:00:00	11.078				
13	21/02/21	22:00:00	11.078				
14	21/02/21	23:00:00	11.053				
15	22/02/21	00:00:00	11.078				
16	22/02/21	01:00:00	11.102				
17	22/02/21	02:00:00	11.102				
18	22/02/21	03:00:00	11.029				
19	22/02/21	04:00:00	11.029				
20	22/02/21	05:00:00	11.005				
21	22/02/21	06:00:00	11.029				
22	22/02/21	07:00:00	11.005				
23	22/02/21	08:00:00	11.005				
24	22/02/21	09:00:00	11.029				
25	22/02/21	10:00:00	11.078				
26	22/02/21	11:00:00	11.224				
27	22/02/21	12:00:00	11.394				
28	22/02/21	13:00:00	11.492				
29	22/02/21	14:00:00	11.394				
30	22/02/21	15:00:00	11.273				
31	22/02/21	16:00:00	11.346				
32	22/02/21	17:00:00	11.273				
33	22/02/21	18:00:00	11.273				
34	22/02/21	19:00:00	11.273				
35	22/02/21	20:00:00	11.273				
36	22/02/21	21:00:00	11.297				
37	22/02/21	22:00:00	11.321				
38	22/02/21	23:00:00	11.321				
39	23/02/21	00:00:00	11.346				
40	23/02/21	01:00:00	11.346				
41	23/02/21	02:00:00	11.370				
42	23/02/21	03:00:00	11.370				
43	23/02/21	04:00:00	11.346				
44	23/02/21	05:00:00	11.346				
45	23/02/21	06:00:00	11.346				
46	23/02/21	07:00:00	11.346				
47	23/02/21	08:00:00	11.321				
48	23/02/21	09:00:00	11.346				
49	23/02/21	10:00:00	11.370				
50	23/02/21	11:00:00	11.419				
51	23/02/21	12:00:00	11.443				
52	23/02/21	13:00:00	11.467				
53	23/02/21	14:00:00	11.516				
54	23/02/21	15:00:00	11.516				
55	23/02/21	16:00:00	11.443				
56	23/02/21	17:00:00	11.394				
57	23/02/21	18:00:00	11.394				
58	23/02/21	19:00:00	11.370				
59	23/02/21	20:00:00	11.370				
60	23/02/21	21:00:00	11.346				
61	23/02/21	22:00:00	11.346				
62	23/02/21	23:00:00	11.321				
63	24/02/21	00:00:00	11.321				
64	24/02/21	01:00:00	11.297				
65	24/02/21	02:00:00	11.297				
66	24/02/21	03:00:00	11.297				
67	24/02/21	04:00:00	11.273				
68	24/02/21	05:00:00	11.273				
69	24/02/21	06:00:00	11.297				
70	24/02/21	07:00:00	11.297				
71	24/02/21	08:00:00	11.273				
72	24/02/21	09:00:00	11.297				
73	24/02/21	10:00:00	11.321				
74	24/02/21	11:00:00	11.297				
75	24/02/21	12:00:00	11.346				
76	24/02/21	13:00:00	11.419				
77	24/02/21	14:00:00	11.443				
78	24/02/21	15:00:00	11.467				
79	24/02/21	16:00:00	11.443				
80	24/02/21	17:00:00	11.394				
81	24/02/21	18:00:00	11.394				
82	24/02/21	19:00:00	11.394				
83	24/02/21	20:00:00	11.346				
84	24/02/21	21:00:00	11.321				
85	24/02/21	22:00:00	11.321				
86	24/02/21	23:00:00	11.273				
87	25/02/21	00:00:00	11.346				
88	25/02/21	01:00:00	11.248				
89	25/02/21	02:00:00	11.175				
90	25/02/21	03:00:00	11.297				
91	25/02/21	04:00:00	11.321				
92	25/02/21	05:00:00	11.297				
