"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 10547213, SEN S/N: 10547213)"	"Acoplador separado (LGR S/N: 10547213, SEN S/N: 10547213)"	"Acoplador adjunto (LGR S/N: 10547213, SEN S/N: 10547213)"	"Host conectado (LGR S/N: 10547213, SEN S/N: 10547213)"	"Parado (LGR S/N: 10547213, SEN S/N: 10547213)"	"Final de archivo (LGR S/N: 10547213, SEN S/N: 10547213)"	
88	17/06/20	01:00:00	18.937					
89	17/06/20	02:00:00	18.652					
90	17/06/20	03:00:00	18.533					
91	17/06/20	04:00:00	18.224					
92	17/06/20	05:00:00	17.748					
93	17/06/20	06:00:00	17.867					
94	17/06/20	07:00:00	17.819					
95	17/06/20	08:00:00	18.033					
96	17/06/20	09:00:00	17.653					
97	17/06/20	10:00:00	17.558					
98	17/06/20	11:00:00	17.748					
99	17/06/20	12:00:00	18.057					
100	17/06/20	13:00:00	18.366					
101	17/06/20	14:00:00	18.604					
102	17/06/20	15:00:00	18.485					
103	17/06/20	16:00:00	18.152					
104	17/06/20	17:00:00	18.414					
105	17/06/20	18:00:00	18.390					
106	17/06/20	19:00:00	18.224					
107	17/06/20	20:00:00	18.081					
108	17/06/20	21:00:00	17.867					
109	17/06/20	22:00:00	18.438					
110	17/06/20	23:00:00	19.008					
111	18/06/20	00:00:00	19.698					
112	18/06/20	01:00:00	18.961					
113	18/06/20	02:00:00	18.224					
114	18/06/20	03:00:00	18.675					
115	18/06/20	04:00:00	18.889					
116	18/06/20	05:00:00	18.533					
117	18/06/20	06:00:00	18.152					
118	18/06/20	07:00:00	17.915					
119	18/06/20	08:00:00	18.604					
120	18/06/20	09:00:00	17.486					
121	18/06/20	10:00:00	17.843					
122	18/06/20	11:00:00	17.962					
123	18/06/20	12:00:00	18.414					
124	18/06/20	13:00:00	19.270					
125	18/06/20	14:00:00	19.103					
126	18/06/20	15:00:00	18.818					
127	18/06/20	16:00:00	18.247					
128	18/06/20	17:00:00	17.510					
129	18/06/20	18:00:00	17.582					
130	18/06/20	19:00:00	18.010					
131	18/06/20	20:00:00	18.010					
132	18/06/20	21:00:00	18.271					
133	18/06/20	22:00:00	18.390					
134	18/06/20	23:00:00	18.794					
135	19/06/20	00:00:00	20.531					
136	19/06/20	01:00:00	19.199					
137	19/06/20	02:00:00	19.651					
138	19/06/20	03:00:00	19.222					
139	19/06/20	04:00:00	18.818					
140	19/06/20	05:00:00	18.771					
141	19/06/20	06:00:00	18.247					
142	19/06/20	07:00:00	17.629					
143	19/06/20	08:00:00	17.130					
144	19/06/20	09:00:00	17.867					
145	19/06/20	10:00:00	17.724					
146	19/06/20	11:00:00	17.534					
147	19/06/20	12:00:00	18.771					
148	19/06/20	13:00:00	20.174					
149	19/06/20	14:00:00	19.722					
150	19/06/20	15:00:00	18.343					
151	19/06/20	16:00:00	17.867					
152	19/06/20	17:00:00	17.510					
153	19/06/20	18:00:00	17.272					
154	19/06/20	19:00:00	17.819					
155	19/06/20	20:00:00	17.653					
156	19/06/20	21:00:00	18.319					
157	19/06/20	22:00:00	17.724					
158	19/06/20	23:00:00	18.889					
159	20/06/20	00:00:00	20.007					
