"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20461877, SEN S/N: 20461877)"	"Acoplador separado (LGR S/N: 20461877, SEN S/N: 20461877)"	"Acoplador adjunto (LGR S/N: 20461877, SEN S/N: 20461877)"	"Host conectado (LGR S/N: 20461877, SEN S/N: 20461877)"	"Parado (LGR S/N: 20461877, SEN S/N: 20461877)"	"Final de archivo (LGR S/N: 20461877, SEN S/N: 20461877)"
1	06/09/20	10:00:00	23.064	Registrado				
2	06/09/20	11:00:00	23.016					
3	06/09/20	12:00:00	23.016					
4	06/09/20	13:00:00	23.088					
5	06/09/20	14:00:00	23.136					
6	06/09/20	15:00:00	23.088					
7	06/09/20	16:00:00	23.088					
8	06/09/20	17:00:00	23.136					
9	06/09/20	18:00:00	23.352					
10	06/09/20	19:00:00	23.232					
11	06/09/20	20:00:00	23.400					
12	06/09/20	21:00:00	23.545					
13	06/09/20	22:00:00	23.617					
14	06/09/20	23:00:00	23.400					
15	07/09/20	00:00:00	23.424					
16	07/09/20	01:00:00	23.569					
17	07/09/20	02:00:00	23.545					
18	07/09/20	03:00:00	23.400					
19	07/09/20	04:00:00	23.689					
20	07/09/20	05:00:00	23.545					
21	07/09/20	06:00:00	23.713					
22	07/09/20	07:00:00	23.400					
23	07/09/20	08:00:00	23.641					
24	07/09/20	09:00:00	23.713					
25	07/09/20	10:00:00	23.521					
26	07/09/20	11:00:00	23.665					
27	07/09/20	12:00:00	23.785					
28	07/09/20	13:00:00	23.954					
29	07/09/20	14:00:00	24.098					
30	07/09/20	15:00:00	24.291					
31	07/09/20	16:00:00	24.653					
32	07/09/20	17:00:00	23.713					
33	07/09/20	18:00:00	23.617					
34	07/09/20	19:00:00	23.617					
35	07/09/20	20:00:00	24.315					
36	07/09/20	21:00:00	24.460					
37	07/09/20	22:00:00	24.629					
38	07/09/20	23:00:00	24.629					
39	08/09/20	00:00:00	23.978					
40	08/09/20	01:00:00	24.122					
41	08/09/20	02:00:00	24.436					
42	08/09/20	03:00:00	24.436					
43	08/09/20	04:00:00	24.412					
44	08/09/20	05:00:00	23.954					
45	08/09/20	06:00:00	23.881					
46	08/09/20	07:00:00	23.737					
47	08/09/20	08:00:00	23.713					
48	08/09/20	09:00:00	23.665					
49	08/09/20	10:00:00	23.737					
50	08/09/20	11:00:00	23.809					
51	08/09/20	12:00:00	23.809					
52	08/09/20	13:00:00	23.785					
53	08/09/20	14:00:00	23.833					
54	08/09/20	15:00:00	23.905					
55	08/09/20	16:00:00	23.689					
56	08/09/20	17:00:00	23.497					
