"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 10377128, SEN S/N: 10377128)"	"Acoplador separado (LGR S/N: 10377128, SEN S/N: 10377128)"	"Acoplador adjunto (LGR S/N: 10377128, SEN S/N: 10377128)"	"Host conectado (LGR S/N: 10377128, SEN S/N: 10377128)"	"Parado (LGR S/N: 10377128, SEN S/N: 10377128)"	"Final de archivo (LGR S/N: 10377128, SEN S/N: 10377128)"
1	06/09/20	10:00:00	19.770	Registrado				
2	06/09/20	11:00:00	20.746					
3	06/09/20	12:00:00	21.294					
4	06/09/20	13:00:00	20.555					
5	06/09/20	14:00:00	20.936					
6	06/09/20	15:00:00	21.676					
7	06/09/20	16:00:00	22.705					
8	06/09/20	17:00:00	22.920					
9	06/09/20	18:00:00	22.776					
10	06/09/20	19:00:00	22.321					
11	06/09/20	20:00:00	21.533					
12	06/09/20	21:00:00	20.960					
13	06/09/20	22:00:00	21.008					
14	06/09/20	23:00:00	21.437					
15	07/09/20	00:00:00	20.627					
16	07/09/20	01:00:00	21.127					
17	07/09/20	02:00:00	21.366					
18	07/09/20	03:00:00	21.987					
19	07/09/20	04:00:00	22.441					
20	07/09/20	05:00:00	23.016					
21	07/09/20	06:00:00	22.393					
22	07/09/20	07:00:00	22.848					
23	07/09/20	08:00:00	22.202					
24	07/09/20	09:00:00	21.175					
25	07/09/20	10:00:00	20.627					
26	07/09/20	11:00:00	21.270					
27	07/09/20	12:00:00	21.342					
28	07/09/20	13:00:00	21.390					
29	07/09/20	14:00:00	21.533					
30	07/09/20	15:00:00	21.891					
31	07/09/20	16:00:00	22.657					
32	07/09/20	17:00:00	23.088					
33	07/09/20	18:00:00	23.136					
34	07/09/20	19:00:00	23.136					
35	07/09/20	20:00:00	22.920					
36	07/09/20	21:00:00	20.007					
37	07/09/20	22:00:00	19.484					
38	07/09/20	23:00:00	19.674					
39	08/09/20	00:00:00	20.436					
40	08/09/20	01:00:00	21.294					
41	08/09/20	02:00:00	21.724					
42	08/09/20	03:00:00	22.250					
43	08/09/20	04:00:00	22.011					
44	08/09/20	05:00:00	21.557					
45	08/09/20	06:00:00	20.841					
46	08/09/20	07:00:00	19.888					
47	08/09/20	08:00:00	19.603					
48	08/09/20	09:00:00	19.056					
49	08/09/20	10:00:00	19.627					
50	08/09/20	11:00:00	20.007					
51	08/09/20	12:00:00	19.532					
52	08/09/20	13:00:00	21.056					
53	08/09/20	14:00:00	21.413					
54	08/09/20	15:00:00	21.318					
55	08/09/20	16:00:00	20.865					
56	08/09/20	17:00:00	21.819					
57	08/09/20	18:00:00	21.915					
58	08/09/20	19:00:00	18.533					
59	08/09/20	20:00:00	18.961					
60	08/09/20	21:00:00	19.127					
61	08/09/20	22:00:00	19.436					
62	08/09/20	23:00:00	20.365					
63	09/09/20	00:00:00	20.674					
64	09/09/20	01:00:00	21.008					
65	09/09/20	02:00:00	20.984					
66	09/09/20	03:00:00	21.056					
67	09/09/20	04:00:00	21.342					
68	09/09/20	05:00:00	21.533					
69	09/09/20	06:00:00	21.676					
70	09/09/20	07:00:00	21.819					
71	09/09/20	08:00:00	21.437					
72	09/09/20	09:00:00	21.437					
73	09/09/20	10:00:00	21.604					
74	09/09/20	11:00:00	21.843					
75	09/09/20	12:00:00	22.345					
76	09/09/20	13:00:00	22.633					
77	09/09/20	14:00:00	22.753					
78	09/09/20	15:00:00	22.848					
79	09/09/20	16:00:00	22.848					
80	09/09/20	17:00:00	22.848					
81	09/09/20	18:00:00	22.992					
82	09/09/20	19:00:00	22.992					
83	09/09/20	20:00:00	22.872					
