"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20235950, SEN S/N: 20235950, LBL: 10m)"	"Acoplador separado (LGR S/N: 20235950, SEN S/N: 20235950)"	"Acoplador adjunto (LGR S/N: 20235950, SEN S/N: 20235950)"	"Host conectado (LGR S/N: 20235950, SEN S/N: 20235950)"	"Parado (LGR S/N: 20235950, SEN S/N: 20235950)"	"Final de archivo (LGR S/N: 20235950, SEN S/N: 20235950)"
1	24/09/21	10:22:17	25.065					
2	24/09/21	10:22:27		Registrado				
3	24/09/21	11:22:17	23.064					
4	24/09/21	12:22:17	23.160					
5	24/09/21	13:22:17	24.098					
6	24/09/21	14:22:17	26.256					
7	24/09/21	15:22:17	24.171					
8	24/09/21	16:22:17	24.146					
9	24/09/21	17:22:17	24.074					
10	24/09/21	18:22:17	24.002					
11	24/09/21	19:22:17	23.978					
12	24/09/21	20:22:17	23.978					
13	24/09/21	21:22:17	23.954					
14	24/09/21	22:22:17	23.857					
15	24/09/21	23:22:17	23.833					
16	25/09/21	00:22:17	23.833					
17	25/09/21	01:22:17	23.809					
18	25/09/21	02:22:17	23.833					
19	25/09/21	03:22:17	23.857					
20	25/09/21	04:22:17	23.857					
21	25/09/21	05:22:17	23.857					
22	25/09/21	06:22:17	23.833					
23	25/09/21	07:22:17	23.809					
24	25/09/21	08:22:17	23.809					
25	25/09/21	09:22:17	23.857					
26	25/09/21	10:22:17	23.978					
27	25/09/21	11:22:17	24.074					
28	25/09/21	12:22:17	24.195					
29	25/09/21	13:22:17	24.243					
30	25/09/21	14:22:17	24.146					
31	25/09/21	15:22:17	24.074					
32	25/09/21	16:22:17	23.954					
33	25/09/21	17:22:17	23.978					
34	25/09/21	18:22:17	23.930					
35	25/09/21	19:22:17	23.905					
36	25/09/21	20:22:17	23.881					
37	25/09/21	21:22:17	23.954					
38	25/09/21	22:22:17	23.930					
39	25/09/21	23:22:17	23.930					
40	26/09/21	00:22:17	23.930					
41	26/09/21	01:22:17	23.930					
42	26/09/21	02:22:17	23.930					
43	26/09/21	03:22:17	23.905					
44	26/09/21	04:22:17	23.905					
45	26/09/21	05:22:17	23.905					
46	26/09/21	06:22:17	23.905					
47	26/09/21	07:22:17	23.905					
48	26/09/21	08:22:17	23.930					
49	26/09/21	09:22:17	23.905					
50	26/09/21	10:22:17	23.905					
51	26/09/21	11:22:17	23.930					
52	26/09/21	12:22:17	24.171					
53	26/09/21	13:22:17	24.243					
54	26/09/21	14:22:17	24.195					
55	26/09/21	15:22:17	24.098					
56	26/09/21	16:22:17	24.050					
57	26/09/21	17:22:17	24.050					
58	26/09/21	18:22:17	24.074					
59	26/09/21	19:22:17	24.026					
60	26/09/21	20:22:17	23.978					
61	26/09/21	21:22:17	23.978					
62	26/09/21	22:22:17	23.905					
63	26/09/21	23:22:17	23.881					
64	27/09/21	00:22:17	23.881					
65	27/09/21	01:22:17	23.881					
66	27/09/21	02:22:17	23.905					
67	27/09/21	03:22:17	23.905					
68	27/09/21	04:22:17	23.881					
69	27/09/21	05:22:17	23.881					
70	27/09/21	06:22:17	23.857					
71	27/09/21	07:22:17	23.881					
72	27/09/21	08:22:17	23.881					
73	27/09/21	09:22:17	23.905					
74	27/09/21	10:22:17	23.930					
75	27/09/21	11:22:17	23.930					
76	27/09/21	12:22:17	24.002					
77	27/09/21	13:22:17	24.243					
78	27/09/21	14:22:17	24.171					
79	27/09/21	15:22:17	24.171					
80	27/09/21	16:22:17	24.074					
81	27/09/21	17:22:17	24.074					
82	27/09/21	18:22:17	24.026					
83	27/09/21	19:22:17	24.026					
84	27/09/21	20:22:17	24.002					
85	27/09/21	21:22:17	23.978					
86	27/09/21	22:22:17	24.002					
87	27/09/21	23:22:17	24.026					
88	28/09/21	00:22:17	24.002					
89	28/09/21	01:22:17	23.978					
90	28/09/21	02:22:17	23.930					
91	28/09/21	03:22:17	23.857					
92	28/09/21	04:22:17	23.857					
93	28/09/21	05:22:17	23.857					
94	28/09/21	06:22:17	23.857					
95	28/09/21	07:22:17	23.833					
96	28/09/21	08:22:17	23.881					
97	28/09/21	09:22:17	23.978					
98	28/09/21	10:22:17	24.098					
99	28/09/21	11:22:17	24.146					
100	28/09/21	12:22:17	24.122					
101	28/09/21	13:22:17	24.146					
102	28/09/21	14:22:17	24.074					
103	28/09/21	15:22:17	24.122					
104	28/09/21	16:22:17	24.050					
105	28/09/21	17:22:17	24.050					
106	28/09/21	18:22:17	23.954					
107	28/09/21	19:22:17	23.954					
108	28/09/21	20:22:17	23.954					
109	28/09/21	21:22:17	23.954					
110	28/09/21	22:22:17	23.930					
111	28/09/21	23:22:17	23.905					
112	29/09/21	00:22:17	23.905					
113	29/09/21	01:22:17	23.930					
114	29/09/21	02:22:17	23.905					
115	29/09/21	03:22:17	23.930					
116	29/09/21	04:22:17	23.930					
117	29/09/21	05:22:17	23.930					
118	29/09/21	06:22:17	23.905					
119	29/09/21	07:22:17	23.905					
120	29/09/21	08:22:17	23.930					
121	29/09/21	09:22:17	23.930					
122	29/09/21	10:22:17	24.050					
123	29/09/21	11:22:17	24.026					
124	29/09/21	12:22:17	24.074					
125	29/09/21	13:22:17	24.050					
126	29/09/21	14:22:17	24.098					
127	29/09/21	15:22:17	24.171					
128	29/09/21	16:22:17	24.219					
129	29/09/21	17:22:17	24.219					
130	29/09/21	18:22:17	24.146					
131	29/09/21	19:22:17	24.098					
132	29/09/21	20:22:17	24.050					
133	29/09/21	21:22:17	24.050					
134	29/09/21	22:22:17	24.026					
135	29/09/21	23:22:17	24.002					
136	30/09/21	00:22:17	24.002					
137	30/09/21	01:22:17	23.978					
138	30/09/21	02:22:17	23.978					
139	30/09/21	03:22:17	23.978					
140	30/09/21	04:22:17	23.978					
141	30/09/21	05:22:17	23.930					
142	30/09/21	06:22:17	23.930					
143	30/09/21	07:22:17	23.905					
144	30/09/21	08:22:17	23.930					
145	30/09/21	09:22:17	23.930					
146	30/09/21	10:22:17	24.026					
147	30/09/21	11:22:17	24.026					
148	30/09/21	12:22:17	24.074					
149	30/09/21	13:22:17	24.098					
150	30/09/21	14:22:17	24.074					
151	30/09/21	15:22:17	24.074					
152	30/09/21	16:22:17	24.122					
153	30/09/21	17:22:17	24.146					
154	30/09/21	18:22:17	24.122					
155	30/09/21	19:22:17	24.098					
156	30/09/21	20:22:17	24.098					
157	30/09/21	21:22:17	24.074					
158	30/09/21	22:22:17	24.074					
159	30/09/21	23:22:17	24.050					
160	01/10/21	00:22:17	24.002					
161	01/10/21	01:22:17	24.002					
162	01/10/21	02:22:17	23.978					
163	01/10/21	03:22:17	23.978					
164	01/10/21	04:22:17	23.978					
165	01/10/21	05:22:17	23.978					
166	01/10/21	06:22:17	23.930					
167	01/10/21	07:22:17	23.905					
168	01/10/21	08:22:17	23.905					
169	01/10/21	09:22:17	23.881					
170	01/10/21	10:22:17	24.002					
171	01/10/21	11:22:17	24.026					
172	01/10/21	12:22:17	24.098					
173	01/10/21	13:22:17	24.122					
174	01/10/21	14:22:17	24.098					
175	01/10/21	15:22:17	24.122					
