"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20925632, SEN S/N: 20925632)"	"Acoplador separado (LGR S/N: 20925632, SEN S/N: 20925632)"	"Acoplador adjunto (LGR S/N: 20925632, SEN S/N: 20925632)"	"Host conectado (LGR S/N: 20925632, SEN S/N: 20925632)"	"Parado (LGR S/N: 20925632, SEN S/N: 20925632)"	"Final de archivo (LGR S/N: 20925632, SEN S/N: 20925632)"
1	24/06/22	10:00:00	18.247	Registrado				
2	24/06/22	11:00:00	19.008					
3	24/06/22	12:00:00	20.627					
4	24/06/22	13:00:00	21.461					
5	24/06/22	14:00:00	21.199					
6	24/06/22	15:00:00	21.461					
7	24/06/22	16:00:00	22.034					
8	24/06/22	17:00:00	22.274					
9	24/06/22	18:00:00	23.160					
10	24/06/22	19:00:00	20.531					
11	24/06/22	20:00:00	18.794					
12	24/06/22	21:00:00	17.843					
13	24/06/22	22:00:00	19.746					
14	24/06/22	23:00:00	22.321					
15	25/06/22	00:00:00	22.609					
16	25/06/22	01:00:00	23.136					
17	25/06/22	02:00:00	23.160					
18	25/06/22	03:00:00	23.184					
19	25/06/22	04:00:00	23.160					
20	25/06/22	05:00:00	20.388					
21	25/06/22	06:00:00	20.317					
22	25/06/22	07:00:00	22.034					
23	25/06/22	08:00:00	22.681					
24	25/06/22	09:00:00	22.011					
25	25/06/22	10:00:00	22.609					
26	25/06/22	11:00:00	22.705					
27	25/06/22	12:00:00	22.896					
28	25/06/22	13:00:00	19.484					
29	25/06/22	14:00:00	18.224					
30	25/06/22	15:00:00	17.510					
31	25/06/22	16:00:00	17.772					
32	25/06/22	17:00:00	16.892					
33	25/06/22	18:00:00	17.629					
34	25/06/22	19:00:00	18.414					
35	25/06/22	20:00:00	19.294					
36	25/06/22	21:00:00	18.771					
37	25/06/22	22:00:00	19.532					
38	25/06/22	23:00:00	17.296					
39	26/06/22	00:00:00	17.106					
40	26/06/22	01:00:00	17.153					
41	26/06/22	02:00:00	17.701					
42	26/06/22	03:00:00	17.796					
43	26/06/22	04:00:00	18.390					
44	26/06/22	05:00:00	19.841					
45	26/06/22	06:00:00	18.366					
46	26/06/22	07:00:00	18.224					
47	26/06/22	08:00:00	16.463					
48	26/06/22	09:00:00	16.630					
49	26/06/22	10:00:00	19.222					
50	26/06/22	11:00:00	22.944					
51	26/06/22	12:00:00	21.270					
52	26/06/22	13:00:00	18.604					
53	26/06/22	14:00:00	18.771					
54	26/06/22	15:00:00	18.129					
55	26/06/22	16:00:00	17.677					
56	26/06/22	17:00:00	20.222					
57	26/06/22	18:00:00	19.056					
58	26/06/22	19:00:00	18.985					
59	26/06/22	20:00:00	18.985					
60	26/06/22	21:00:00	18.295					
61	26/06/22	22:00:00	18.533					
62	26/06/22	23:00:00	20.555					
63	27/06/22	00:00:00	22.729					
64	27/06/22	01:00:00	20.722					
65	27/06/22	02:00:00	21.390					
66	27/06/22	03:00:00	23.136					
67	27/06/22	04:00:00	23.088					
68	27/06/22	05:00:00	23.280					
69	27/06/22	06:00:00	23.256					
70	27/06/22	07:00:00	23.256					
71	27/06/22	08:00:00	23.232					
72	27/06/22	09:00:00	23.232					
73	27/06/22	10:00:00	22.992					
74	27/06/22	11:00:00	23.232					
75	27/06/22	12:00:00	23.232					
76	27/06/22	13:00:00	23.208					
77	27/06/22	14:00:00	23.256					
78	27/06/22	15:00:00	23.304					
79	27/06/22	16:00:00	23.352					
80	27/06/22	17:00:00	23.352					
81	27/06/22	18:00:00	23.352					
82	27/06/22	19:00:00	23.304					
83	27/06/22	20:00:00	23.016					
84	27/06/22	21:00:00	23.040					
85	27/06/22	22:00:00	23.064					
86	27/06/22	23:00:00	23.088					
87	28/06/22	00:00:00	23.112					
88	28/06/22	01:00:00	23.088					
89	28/06/22	02:00:00	23.088					
90	28/06/22	03:00:00	23.088					
91	28/06/22	04:00:00	23.112					
92	28/06/22	05:00:00	23.088					
93	28/06/22	06:00:00	22.729					
94	28/06/22	07:00:00	22.417					
95	28/06/22	08:00:00	22.441					
96	28/06/22	09:00:00	22.537					
97	28/06/22	10:00:00	22.585					
98	28/06/22	11:00:00	22.609					
99	28/06/22	12:00:00	22.609					
100	28/06/22	13:00:00	22.609					
101	28/06/22	14:00:00	22.585					
102	28/06/22	15:00:00	22.609					
103	28/06/22	16:00:00	22.633					
104	28/06/22	17:00:00	22.657					
105	28/06/22	18:00:00	22.585					
106	28/06/22	19:00:00	22.537					
107	28/06/22	20:00:00	22.585					
108	28/06/22	21:00:00	22.513					
109	28/06/22	22:00:00	22.154					
110	28/06/22	23:00:00	21.581					
111	29/06/22	00:00:00	21.509					
112	29/06/22	01:00:00	21.509					
113	29/06/22	02:00:00	21.652					
114	29/06/22	03:00:00	21.604					
115	29/06/22	04:00:00	21.652					
116	29/06/22	05:00:00	21.724					
117	29/06/22	06:00:00	21.437					
118	29/06/22	07:00:00	21.509					
119	29/06/22	08:00:00	21.127					
120	29/06/22	09:00:00	21.342					
121	29/06/22	10:00:00	21.318					
122	29/06/22	11:00:00	21.318					
123	29/06/22	12:00:00	21.270					
124	29/06/22	13:00:00	21.246					
125	29/06/22	14:00:00	20.960					
126	29/06/22	15:00:00	21.008					
127	29/06/22	16:00:00	20.913					
128	29/06/22	17:00:00	20.770					
129	29/06/22	18:00:00	20.746					
130	29/06/22	19:00:00	20.793					
131	29/06/22	20:00:00	20.841					
132	29/06/22	21:00:00	20.865					
133	29/06/22	22:00:00	20.913					
134	29/06/22	23:00:00	20.936					
135	30/06/22	00:00:00	20.913					
136	30/06/22	01:00:00	21.008					
137	30/06/22	02:00:00	20.984					
138	30/06/22	03:00:00	20.984					
139	30/06/22	04:00:00	20.984					
140	30/06/22	05:00:00	21.056					
141	30/06/22	06:00:00	21.199					
142	30/06/22	07:00:00	21.509					
143	30/06/22	08:00:00	21.485					
144	30/06/22	09:00:00	21.246					
145	30/06/22	10:00:00	21.843					
146	30/06/22	11:00:00	21.939					
147	30/06/22	12:00:00	21.079					
148	30/06/22	13:00:00	15.748					
149	30/06/22	14:00:00	20.793					
150	30/06/22	15:00:00	21.223					
151	30/06/22	16:00:00	20.936					
152	30/06/22	17:00:00	21.056					
153	30/06/22	18:00:00	21.270					
154	30/06/22	19:00:00	21.318					
155	30/06/22	20:00:00	21.294					
156	30/06/22	21:00:00	21.294					
157	30/06/22	22:00:00	22.298					
158	30/06/22	23:00:00	22.681					
159	01/07/22	00:00:00	22.369					
160	01/07/22	01:00:00	22.369					
161	01/07/22	02:00:00	22.274					
162	01/07/22	03:00:00	22.441					
163	01/07/22	04:00:00	22.321					
164	01/07/22	05:00:00	22.345					
165	01/07/22	06:00:00	22.369					
166	01/07/22	07:00:00	22.345					
167	01/07/22	08:00:00	22.345					
168	01/07/22	09:00:00	22.345					
169	01/07/22	10:00:00	22.321					
170	01/07/22	11:00:00	22.345					
171	01/07/22	12:00:00	22.393					
172	01/07/22	13:00:00	22.441					
173	01/07/22	14:00:00	22.417					
174	01/07/22	15:00:00	22.465					
175	01/07/22	16:00:00	22.465					
176	01/07/22	17:00:00	22.513					
177	01/07/22	18:00:00	22.537					
178	01/07/22	19:00:00	22.513					
179	01/07/22	20:00:00	22.537					
180	01/07/22	21:00:00	22.513					
181	01/07/22	22:00:00	22.393					
182	01/07/22	23:00:00	22.345					
183	02/07/22	00:00:00	22.345					
184	02/07/22	01:00:00	22.226					
185	02/07/22	02:00:00	22.106					
