"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20954349, SEN S/N: 20954349)"	"Acoplador separado (LGR S/N: 20954349, SEN S/N: 20954349)"	"Acoplador adjunto (LGR S/N: 20954349, SEN S/N: 20954349)"	"Host conectado (LGR S/N: 20954349, SEN S/N: 20954349)"	"Parado (LGR S/N: 20954349, SEN S/N: 20954349)"	"Final de archivo (LGR S/N: 20954349, SEN S/N: 20954349)"
1	10/07/21	15:00:00	23.737	Registrado				
2	10/07/21	16:00:00	23.978					
3	10/07/21	17:00:00	24.315					
4	10/07/21	18:00:00	24.122					
5	10/07/21	19:00:00	24.291					
6	10/07/21	20:00:00	24.146					
7	10/07/21	21:00:00	23.016					
8	10/07/21	22:00:00	23.328					
9	10/07/21	23:00:00	24.171					
10	11/07/21	00:00:00	25.380					
11	11/07/21	01:00:00	25.477					
12	11/07/21	02:00:00	25.477					
13	11/07/21	03:00:00	25.647					
14	11/07/21	04:00:00	25.550					
15	11/07/21	05:00:00	25.186					
16	11/07/21	06:00:00	25.016					
17	11/07/21	07:00:00	24.992					
18	11/07/21	08:00:00	24.581					
19	11/07/21	09:00:00	23.785					
20	11/07/21	10:00:00	23.713					
21	11/07/21	11:00:00	23.521					
22	11/07/21	12:00:00	23.424					
23	11/07/21	13:00:00	23.809					
24	11/07/21	14:00:00	24.484					
25	11/07/21	15:00:00	24.605					
26	11/07/21	16:00:00	24.871					
27	11/07/21	17:00:00	24.508					
28	11/07/21	18:00:00	24.653					
29	11/07/21	19:00:00	24.460					
30	11/07/21	20:00:00	24.460					
31	11/07/21	21:00:00	24.195					
32	11/07/21	22:00:00	23.785					
33	11/07/21	23:00:00	23.472					
34	12/07/21	00:00:00	23.304					
35	12/07/21	01:00:00	24.992					
36	12/07/21	02:00:00	24.992					
37	12/07/21	03:00:00	24.774					
38	12/07/21	04:00:00	24.508					
39	12/07/21	05:00:00	24.798					
40	12/07/21	06:00:00	24.026					
41	12/07/21	07:00:00	23.833					
42	12/07/21	08:00:00	23.040					
43	12/07/21	09:00:00	23.232					
44	12/07/21	10:00:00	23.280					
45	12/07/21	11:00:00	23.545					
46	12/07/21	12:00:00	23.136					
47	12/07/21	13:00:00	23.857					
48	12/07/21	14:00:00	24.436					
49	12/07/21	15:00:00	24.532					
50	12/07/21	16:00:00	24.823					
51	12/07/21	17:00:00	25.065					
52	12/07/21	18:00:00	24.508					
53	12/07/21	19:00:00	24.992					
54	12/07/21	20:00:00	25.113					
55	12/07/21	21:00:00	24.968					
56	12/07/21	22:00:00	24.195					
57	12/07/21	23:00:00	24.267					
58	13/07/21	00:00:00	23.328					
59	13/07/21	01:00:00	25.817					
60	13/07/21	02:00:00	25.744					
61	13/07/21	03:00:00	26.134					
62	13/07/21	04:00:00	24.702					
63	13/07/21	05:00:00	24.677					
64	13/07/21	06:00:00	25.598					
65	13/07/21	07:00:00	25.428					
66	13/07/21	08:00:00	24.484					
67	13/07/21	09:00:00	24.460					
68	13/07/21	10:00:00	25.331					
69	13/07/21	11:00:00	25.258					
70	13/07/21	12:00:00	25.162					
71	13/07/21	13:00:00	25.598					
72	13/07/21	14:00:00	25.647					
73	13/07/21	15:00:00	25.695					
74	13/07/21	16:00:00	25.550					
75	13/07/21	17:00:00	25.525					
76	13/07/21	18:00:00	25.380					
77	13/07/21	19:00:00	25.720					
78	13/07/21	20:00:00	25.744					
79	13/07/21	21:00:00	25.914					
80	13/07/21	22:00:00	25.841					
81	13/07/21	23:00:00	25.914					
82	14/07/21	00:00:00	26.012					
83	14/07/21	01:00:00	26.109					
84	14/07/21	02:00:00	25.841					
85	14/07/21	03:00:00	25.817					
86	14/07/21	04:00:00	25.914					
87	14/07/21	05:00:00	25.695					
88	14/07/21	06:00:00	25.647					
89	14/07/21	07:00:00	25.550					
90	14/07/21	08:00:00	25.355					
