"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20969994, SEN S/N: 20969994)"	"Acoplador separado (LGR S/N: 20969994, SEN S/N: 20969994)"	"Acoplador adjunto (LGR S/N: 20969994, SEN S/N: 20969994)"	"Host conectado (LGR S/N: 20969994, SEN S/N: 20969994)"	"Parado (LGR S/N: 20969994, SEN S/N: 20969994)"	"Final de archivo (LGR S/N: 20969994, SEN S/N: 20969994)"
1	04/08/22	12:00:00	25.963	Registrado				
2	04/08/22	13:00:00	26.598					
3	04/08/22	14:00:00	26.989					
4	04/08/22	15:00:00	27.235					
5	04/08/22	16:00:00	26.940					
6	04/08/22	17:00:00	27.087					
7	04/08/22	18:00:00	25.817					
8	04/08/22	19:00:00	25.841					
9	04/08/22	20:00:00	25.890					
10	04/08/22	21:00:00	25.841					
11	04/08/22	22:00:00	25.574					
12	04/08/22	23:00:00	25.428					
13	05/08/22	00:00:00	26.182					
14	05/08/22	01:00:00	25.939					
15	05/08/22	02:00:00	26.012					
16	05/08/22	03:00:00	25.550					
17	05/08/22	04:00:00	24.026					
18	05/08/22	05:00:00	24.653					
19	05/08/22	06:00:00	25.841					
20	05/08/22	07:00:00	25.720					
21	05/08/22	08:00:00	25.768					
22	05/08/22	09:00:00	25.793					
23	05/08/22	10:00:00	25.793					
24	05/08/22	11:00:00	25.841					
25	05/08/22	12:00:00	25.890					
26	05/08/22	13:00:00	26.012					
27	05/08/22	14:00:00	26.109					
28	05/08/22	15:00:00	26.182					
29	05/08/22	16:00:00	26.231					
30	05/08/22	17:00:00	26.304					
31	05/08/22	18:00:00	26.207					
32	05/08/22	19:00:00	26.207					
33	05/08/22	20:00:00	26.085					
34	05/08/22	21:00:00	26.061					
35	05/08/22	22:00:00	26.134					
36	05/08/22	23:00:00	25.963					
37	06/08/22	00:00:00	25.914					
38	06/08/22	01:00:00	25.671					
39	06/08/22	02:00:00	25.477					
40	06/08/22	03:00:00	25.428					
41	06/08/22	04:00:00	25.817					
42	06/08/22	05:00:00	25.866					
43	06/08/22	06:00:00	25.768					
44	06/08/22	07:00:00	25.817					
45	06/08/22	08:00:00	25.744					
46	06/08/22	09:00:00	25.695					
47	06/08/22	10:00:00	25.720					
48	06/08/22	11:00:00	25.768					
49	06/08/22	12:00:00	25.841					
50	06/08/22	13:00:00	25.987					
51	06/08/22	14:00:00	26.109					
52	06/08/22	15:00:00	26.231					
53	06/08/22	16:00:00	26.012					
54	06/08/22	17:00:00	25.793					
55	06/08/22	18:00:00	26.134					
56	06/08/22	19:00:00	26.061					
57	06/08/22	20:00:00	25.987					
58	06/08/22	21:00:00	26.085					
59	06/08/22	22:00:00	26.158					
60	06/08/22	23:00:00	26.207					
61	07/08/22	00:00:00	26.158					
62	07/08/22	01:00:00	25.793					
63	07/08/22	02:00:00	25.890					
64	07/08/22	03:00:00	25.914					
65	07/08/22	04:00:00	25.963					
66	07/08/22	05:00:00	25.890					
67	07/08/22	06:00:00	25.939					
68	07/08/22	07:00:00	25.866					
69	07/08/22	08:00:00	25.939					
70	07/08/22	09:00:00	25.963					
71	07/08/22	10:00:00	26.036					
72	07/08/22	11:00:00	26.085					
73	07/08/22	12:00:00	26.109					
74	07/08/22	13:00:00	26.134					
75	07/08/22	14:00:00	26.134					
76	07/08/22	15:00:00	26.134					
77	07/08/22	16:00:00	26.158					
78	07/08/22	17:00:00	26.158					
79	07/08/22	18:00:00	26.012					
80	07/08/22	19:00:00	26.036					
81	07/08/22	20:00:00	26.036					
82	07/08/22	21:00:00	26.036					
83	07/08/22	22:00:00	25.939					
84	07/08/22	23:00:00	25.089					
85	08/08/22	00:00:00	25.258					
86	08/08/22	01:00:00	25.744					
87	08/08/22	02:00:00	25.914					
88	08/08/22	03:00:00	25.914					
89	08/08/22	04:00:00	25.890					
90	08/08/22	05:00:00	25.841					
91	08/08/22	06:00:00	25.768					
92	08/08/22	07:00:00	25.793					
93	08/08/22	08:00:00	25.768					
94	08/08/22	09:00:00	25.817					
95	08/08/22	10:00:00	25.817					
96	08/08/22	11:00:00	25.866					
97	08/08/22	12:00:00	25.939					
98	08/08/22	13:00:00	26.109					
99	08/08/22	14:00:00	26.231					
100	08/08/22	15:00:00	26.402					
101	08/08/22	16:00:00	26.207					
102	08/08/22	17:00:00	26.061					
103	08/08/22	18:00:00	26.109					
104	08/08/22	19:00:00	26.158					
105	08/08/22	20:00:00	26.158					
106	08/08/22	21:00:00	26.207					
107	08/08/22	22:00:00	26.134					
108	08/08/22	23:00:00	26.109					
109	09/08/22	00:00:00	25.841					
110	09/08/22	01:00:00	25.963					
111	09/08/22	02:00:00	25.890					
112	09/08/22	03:00:00	25.914					
113	09/08/22	04:00:00	25.987					
114	09/08/22	05:00:00	26.012					
115	09/08/22	06:00:00	25.987					
116	09/08/22	07:00:00	25.987					
117	09/08/22	08:00:00	25.963					
118	09/08/22	09:00:00	26.036					
119	09/08/22	10:00:00	26.134					
120	09/08/22	11:00:00	26.256					
121	09/08/22	12:00:00	26.426					
122	09/08/22	13:00:00	26.549					
