"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20969948, SEN S/N: 20969948)"	"Acoplador separado (LGR S/N: 20969948, SEN S/N: 20969948)"	"Acoplador adjunto (LGR S/N: 20969948, SEN S/N: 20969948)"	"Host conectado (LGR S/N: 20969948, SEN S/N: 20969948)"	"Parado (LGR S/N: 20969948, SEN S/N: 20969948)"	"Final de archivo (LGR S/N: 20969948, SEN S/N: 20969948)"
1	24/07/21	12:00:00	23.064	Registrado				
2	24/07/21	13:00:00	23.881					
3	24/07/21	14:00:00	22.321					
4	24/07/21	15:00:00	22.489					
5	24/07/21	16:00:00	21.963					
6	24/07/21	17:00:00	17.843					
7	24/07/21	18:00:00	18.818					
8	24/07/21	19:00:00	19.365					
9	24/07/21	20:00:00	21.103					
10	24/07/21	21:00:00	23.954					
11	24/07/21	22:00:00	24.219					
12	24/07/21	23:00:00	23.112					
13	25/07/21	00:00:00	23.809					
14	25/07/21	01:00:00	23.905					
15	25/07/21	02:00:00	24.074					
16	25/07/21	03:00:00	23.617					
17	25/07/21	04:00:00	18.985					
18	25/07/21	05:00:00	23.232					
19	25/07/21	06:00:00	24.363					
20	25/07/21	07:00:00	24.339					
21	25/07/21	08:00:00	24.339					
22	25/07/21	09:00:00	24.339					
23	25/07/21	10:00:00	24.363					
24	25/07/21	11:00:00	24.363					
25	25/07/21	12:00:00	24.363					
26	25/07/21	13:00:00	24.339					
27	25/07/21	14:00:00	24.291					
28	25/07/21	15:00:00	24.315					
29	25/07/21	16:00:00	24.098					
30	25/07/21	17:00:00	24.339					
31	25/07/21	18:00:00	24.146					
32	25/07/21	19:00:00	24.412					
33	25/07/21	20:00:00	24.436					
34	25/07/21	21:00:00	24.436					
35	25/07/21	22:00:00	24.557					
36	25/07/21	23:00:00	24.605					
37	26/07/21	00:00:00	24.605					
38	26/07/21	01:00:00	24.629					
39	26/07/21	02:00:00	24.605					
40	26/07/21	03:00:00	24.581					
41	26/07/21	04:00:00	24.557					
42	26/07/21	05:00:00	24.532					
43	26/07/21	06:00:00	24.532					
44	26/07/21	07:00:00	24.508					
45	26/07/21	08:00:00	24.532					
46	26/07/21	09:00:00	24.508					
47	26/07/21	10:00:00	24.388					
48	26/07/21	11:00:00	24.243					
49	26/07/21	12:00:00	24.171					
50	26/07/21	13:00:00	24.291					
51	26/07/21	14:00:00	24.460					
52	26/07/21	15:00:00	24.460					
53	26/07/21	16:00:00	24.412					
54	26/07/21	17:00:00	24.412					
