"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20969964, SEN S/N: 20969964)"	"Acoplador separado (LGR S/N: 20969964, SEN S/N: 20969964)"	"Final de archivo (LGR S/N: 20969964, SEN S/N: 20969964)"
1	24/07/21	12:00:00	14.553	Registrado	Registrado
2	24/07/21	12:00:00	14.577		
3	24/07/21	12:00:00	14.314		
4	24/07/21	12:00:00	14.146		
5	24/07/21	12:00:00	14.098		
6	24/07/21	12:00:00	14.050		
7	24/07/21	12:00:00	14.098		
8	24/07/21	12:00:00	14.146		
9	24/07/21	12:00:00	14.170		
10	24/07/21	12:00:00	14.170		
11	24/07/21	12:00:00	14.266		
12	24/07/21	12:00:00	14.697		
13	24/07/21	12:00:00	14.816		
14	24/07/21	12:00:00	15.963		
15	24/07/21	12:00:00	15.724		
16	24/07/21	12:00:00	15.270		
17	24/07/21	12:00:00	14.960		
18	24/07/21	12:00:00	14.385		
19	24/07/21	12:00:00	14.529		
20	24/07/21	12:00:00	14.481		
21	24/07/21	12:00:00	14.409		
22	24/07/21	12:00:00	14.864		
23	24/07/21	12:00:00	14.888		
24	24/07/21	12:00:00	14.936		
25	24/07/21	12:00:00	15.342		
26	24/07/21	12:00:00	15.629		
27	24/07/21	12:00:00	15.605		
28	24/07/21	12:00:00	15.891		
29	24/07/21	12:00:00	15.318		
30	24/07/21	12:00:00	15.390		
31	24/07/21	12:00:00	17.582		
32	24/07/21	12:00:00	17.938		
33	24/07/21	12:00:00	17.724		
34	24/07/21	12:00:00	18.200		
35	24/07/21	12:00:00	17.629		
36	24/07/21	12:00:00	18.866		
37	24/07/21	12:00:00	16.677		
38	24/07/21	12:00:00	16.677		
39	24/07/21	12:00:00	16.463		
40	24/07/21	12:00:00	15.986		
41	24/07/21	12:00:00	16.725		
42	24/07/21	12:00:00	16.320		
43	24/07/21	12:00:00	17.130		
44	24/07/21	12:00:00	16.677		
45	24/07/21	12:00:00	16.915		
46	24/07/21	12:00:00	16.606		
47	24/07/21	12:00:00	17.130		
48	24/07/21	12:00:00	15.676		
49	24/07/21	12:00:00	15.915		
50	24/07/21	12:00:00	15.223		
51	24/07/21	12:00:00	15.247		
52	24/07/21	12:00:00	18.438		
53	24/07/21	12:00:00	17.748		
54	24/07/21	12:00:00	17.034		
55	24/07/21	12:00:00	17.034		
56	24/07/21	12:00:00	16.963		
57	24/07/21	12:00:00	15.986		
58	24/07/21	12:00:00	18.485		
59	24/07/21	12:00:00	18.295		
60	24/07/21	12:00:00	17.582		
61	24/07/21	12:00:00	21.366		
62	24/07/21	12:00:00	22.106		
63	24/07/21	12:00:00	20.936		
64	24/07/21	12:00:00	19.318		
65	24/07/21	12:00:00	16.034		
66	24/07/21	12:00:00	17.320		
67	24/07/21	12:00:00	17.605		
68	24/07/21	12:00:00	17.439		
69	24/07/21	12:00:00	16.487		
70	24/07/21	12:00:00	17.153		
71	24/07/21	12:00:00	17.748		
72	24/07/21	12:00:00	17.272		
73	24/07/21	12:00:00	16.296		
74	24/07/21	12:00:00	15.724		
75	24/07/21	12:00:00	16.177		
76	24/07/21	12:00:00	20.007		
77	24/07/21	12:00:00	17.130		
78	24/07/21	12:00:00	16.463		
79	24/07/21	12:00:00	16.344		
80	24/07/21	12:00:00	16.439		
81	24/07/21	12:00:00	16.129		
82	24/07/21	12:00:00	16.106		
83	24/07/21	12:00:00	15.175		
84	24/07/21	12:00:00	15.008		
85	24/07/21	12:00:00	15.008		
86	24/07/21	12:00:00	15.199		
87	24/07/21	12:00:00	14.888		
88	24/07/21	12:00:00	15.318		
89	24/07/21	12:00:00	15.223		
90	24/07/21	12:00:00	15.557		
91	24/07/21	12:00:00	15.151		
92	24/07/21	12:00:00	15.079		
93	24/07/21	12:00:00	15.223		
94	24/07/21	12:00:00	15.772		
95	24/07/21	12:00:00	15.557		
96	24/07/21	12:00:00	15.438		
97	24/07/21	12:00:00	15.843		
98	24/07/21	12:00:00	15.819		
99	24/07/21	12:00:00	15.509		
100	24/07/21	12:00:00	14.912		
101	24/07/21	12:00:00	14.816		
102	24/07/21	12:00:00	14.673		
103	24/07/21	12:00:00	14.601		
104	24/07/21	12:00:00	14.864		
105	24/07/21	12:00:00	14.816		
106	24/07/21	12:00:00	15.103		
107	24/07/21	12:00:00	15.199		
108	24/07/21	12:00:00	15.175		
109	24/07/21	12:00:00	15.247		
110	24/07/21	12:00:00	15.247		
111	24/07/21	12:00:00	15.366		
112	24/07/21	12:00:00	15.342		
113	24/07/21	12:00:00	15.438		
114	24/07/21	12:00:00	15.294		
115	24/07/21	12:00:00	14.768		
116	24/07/21	12:00:00	14.960		
117	24/07/21	12:00:00	15.223		
118	24/07/21	12:00:00	15.175		
119	24/07/21	12:00:00	14.745		
120	24/07/21	12:00:00	14.673		
121	24/07/21	12:00:00	15.127		
122	24/07/21	12:00:00	15.031		
123	24/07/21	12:00:00	14.816		
124	24/07/21	12:00:00	14.721		
125	24/07/21	12:00:00	14.649		
126	24/07/21	12:00:00	14.457		
127	24/07/21	12:00:00	14.505		
128	24/07/21	12:00:00	14.433		
129	24/07/21	12:00:00	14.409		
130	24/07/21	12:00:00	14.385		
131	24/07/21	12:00:00	14.361		
132	24/07/21	12:00:00	14.361		
133	24/07/21	12:00:00	14.361		
134	24/07/21	12:00:00	14.385		
135	24/07/21	12:00:00	14.625		
136	24/07/21	12:00:00	14.385		
137	24/07/21	12:00:00	14.553		
138	24/07/21	12:00:00	14.577		
139	24/07/21	12:00:00	14.481		
140	24/07/21	12:00:00	14.505		
141	24/07/21	12:00:00	15.581		
142	24/07/21	12:00:00	15.390		
143	24/07/21	12:00:00	15.247		
144	24/07/21	12:00:00	14.840		
145	24/07/21	12:00:00	14.792		
146	24/07/21	12:00:00	14.553		
147	24/07/21	12:00:00	14.481		
148	24/07/21	12:00:00	14.266		
149	24/07/21	12:00:00	14.960		
150	24/07/21	12:00:00	14.553		
151	24/07/21	12:00:00	14.385		
152	24/07/21	12:00:00	14.433		
153	24/07/21	12:00:00	14.697		
154	24/07/21	12:00:00	14.481		
155	24/07/21	12:00:00	14.505		
156	24/07/21	12:00:00	14.673		
157	24/07/21	12:00:00	15.103		
158	24/07/21	12:00:00	14.960		
159	24/07/21	12:00:00	15.318		
160	24/07/21	12:00:00	15.915		
161	24/07/21	12:00:00	16.320		
162	24/07/21	12:00:00	15.342		
163	24/07/21	12:00:00	15.557		
164	24/07/21	12:00:00	16.153		
165	24/07/21	12:00:00	15.772		
166	24/07/21	12:00:00	15.581		
167	24/07/21	12:00:00	15.342		
168	24/07/21	12:00:00	14.888		
169	24/07/21	12:00:00	14.481		
170	24/07/21	12:00:00	14.385		
171	24/07/21	12:00:00	14.601		
172	24/07/21	12:00:00	14.649		
173	24/07/21	12:00:00	14.864		
174	24/07/21	12:00:00	14.816		
175	24/07/21	12:00:00	14.840		
176	24/07/21	12:00:00	14.888		
177	24/07/21	12:00:00	14.768		
178	24/07/21	12:00:00	14.960		
179	24/07/21	12:00:00	17.962		
180	24/07/21	12:00:00	19.413		
181	24/07/21	12:00:00	19.341		
182	24/07/21	12:00:00	19.294		
183	24/07/21	12:00:00	19.555		
184	24/07/21	12:00:00	21.294		
185	24/07/21	12:00:00	22.226		
