"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20618088, SEN S/N: 20618088, LBL: Portofino_CalaOro_20m)"	"Acoplador separado (LGR S/N: 20618088, SEN S/N: 20618088)"	"Acoplador adjunto (LGR S/N: 20618088, SEN S/N: 20618088)"	"Parado (LGR S/N: 20618088, SEN S/N: 20618088)"	"Final de archivo (LGR S/N: 20618088, SEN S/N: 20618088)"
1	11/10/21	13:00:00	18.176	Registrado			
2	11/10/21	14:00:00	22.106				
3	11/10/21	15:00:00	22.106				
4	11/10/21	16:00:00	22.034				
5	11/10/21	17:00:00	22.082				
6	11/10/21	18:00:00	22.058				
7	11/10/21	19:00:00	22.011				
8	11/10/21	20:00:00	22.058				
9	11/10/21	21:00:00	22.082				
10	11/10/21	22:00:00	22.034				
11	11/10/21	23:00:00	21.963				
12	12/10/21	00:00:00	21.795				
13	12/10/21	01:00:00	21.819				
14	12/10/21	02:00:00	21.748				
15	12/10/21	03:00:00	21.557				
16	12/10/21	04:00:00	21.795				
17	12/10/21	05:00:00	21.915				
18	12/10/21	06:00:00	21.939				
19	12/10/21	07:00:00	21.557				
20	12/10/21	08:00:00	21.843				
21	12/10/21	09:00:00	21.867				
22	12/10/21	10:00:00	21.891				
23	12/10/21	11:00:00	21.915				
24	12/10/21	12:00:00	21.867				
25	12/10/21	13:00:00	21.915				
26	12/10/21	14:00:00	21.915				
27	12/10/21	15:00:00	21.963				
28	12/10/21	16:00:00	21.939				
29	12/10/21	17:00:00	21.891				
30	12/10/21	18:00:00	21.891				
31	12/10/21	19:00:00	21.843				
32	12/10/21	20:00:00	21.843				
33	12/10/21	21:00:00	21.891				
34	12/10/21	22:00:00	21.772				
35	12/10/21	23:00:00	21.891				
36	13/10/21	00:00:00	21.700				
37	13/10/21	01:00:00	21.819				
38	13/10/21	02:00:00	21.533				
39	13/10/21	03:00:00	21.318				
40	13/10/21	04:00:00	21.676				
41	13/10/21	05:00:00	21.724				
42	13/10/21	06:00:00	21.724				
43	13/10/21	07:00:00	21.724				
44	13/10/21	08:00:00	21.724				
45	13/10/21	09:00:00	21.724				
46	13/10/21	10:00:00	21.700				
47	13/10/21	11:00:00	21.724				
48	13/10/21	12:00:00	21.724				
49	13/10/21	13:00:00	21.628				
50	13/10/21	14:00:00	21.676				
51	13/10/21	15:00:00	21.724				
52	13/10/21	16:00:00	21.724				
53	13/10/21	17:00:00	21.652				
54	13/10/21	18:00:00	21.676				
55	13/10/21	19:00:00	21.724				
56	13/10/21	20:00:00	21.700				
57	13/10/21	21:00:00	21.676				
58	13/10/21	22:00:00	21.604				
59	13/10/21	23:00:00	21.509				
60	14/10/21	00:00:00	21.581				
61	14/10/21	01:00:00	21.581				
62	14/10/21	02:00:00	21.581				
63	14/10/21	03:00:00	21.557				
64	14/10/21	04:00:00	21.557				
65	14/10/21	05:00:00	21.557				
66	14/10/21	06:00:00	21.533				
67	14/10/21	07:00:00	21.533				
68	14/10/21	08:00:00	21.509				
69	14/10/21	09:00:00	21.509				
70	14/10/21	10:00:00	21.485				
71	14/10/21	11:00:00	21.485				
72	14/10/21	12:00:00	21.533				
73	14/10/21	13:00:00	21.628				
74	14/10/21	14:00:00	21.676				
75	14/10/21	15:00:00	21.724				
76	14/10/21	16:00:00	21.676				
77	14/10/21	17:00:00	21.652				
78	14/10/21	18:00:00	21.676				
79	14/10/21	19:00:00	21.676				
80	14/10/21	20:00:00	21.628				
81	14/10/21	21:00:00	21.557				
82	14/10/21	22:00:00	21.557				
83	14/10/21	23:00:00	21.581				
84	15/10/21	00:00:00	21.557				
85	15/10/21	01:00:00	21.557				
86	15/10/21	02:00:00	21.581				
87	15/10/21	03:00:00	21.557				
88	15/10/21	04:00:00	21.533				
89	15/10/21	05:00:00	21.533				
90	15/10/21	06:00:00	21.509				
91	15/10/21	07:00:00	21.509				
92	15/10/21	08:00:00	21.485				
93	15/10/21	09:00:00	21.485				
94	15/10/21	10:00:00	21.461				
95	15/10/21	11:00:00	21.461				
96	15/10/21	12:00:00	21.485				
97	15/10/21	13:00:00	21.533				
98	15/10/21	14:00:00	21.533				
99	15/10/21	15:00:00	21.557				
100	15/10/21	16:00:00	21.533				
101	15/10/21	17:00:00	21.485				
102	15/10/21	18:00:00	21.437				
103	15/10/21	19:00:00	21.437				
104	15/10/21	20:00:00	21.437				
105	15/10/21	21:00:00	21.437				
106	15/10/21	22:00:00	21.437				
107	15/10/21	23:00:00	21.437				
108	16/10/21	00:00:00	21.413				
109	16/10/21	01:00:00	21.413				
110	16/10/21	02:00:00	21.390				
111	16/10/21	03:00:00	21.390				
112	16/10/21	04:00:00	21.366				
113	16/10/21	05:00:00	21.366				
114	16/10/21	06:00:00	21.342				
115	16/10/21	07:00:00	21.342				
116	16/10/21	08:00:00	21.175				
117	16/10/21	09:00:00	21.151				
118	16/10/21	10:00:00	21.127				
119	16/10/21	11:00:00	21.246				
120	16/10/21	12:00:00	21.318				
121	16/10/21	13:00:00	21.199				
122	16/10/21	14:00:00	21.270				
123	16/10/21	15:00:00	21.246				
124	16/10/21	16:00:00	21.199				
125	16/10/21	17:00:00	21.199				
126	16/10/21	18:00:00	21.056				
127	16/10/21	19:00:00	20.960				
128	16/10/21	20:00:00	21.151				
129	16/10/21	21:00:00	21.127				
130	16/10/21	22:00:00	21.079				
131	16/10/21	23:00:00	21.151				
132	17/10/21	00:00:00	21.151				
133	17/10/21	01:00:00	21.056				
134	17/10/21	02:00:00	21.103				
135	17/10/21	03:00:00	21.127				
136	17/10/21	04:00:00	21.032				
137	17/10/21	05:00:00	21.056				
138	17/10/21	06:00:00	21.032				
139	17/10/21	07:00:00	21.056				
140	17/10/21	08:00:00	21.056				
141	17/10/21	09:00:00	21.056				
142	17/10/21	10:00:00	21.056				
143	17/10/21	11:00:00	21.056				
144	17/10/21	12:00:00	21.103				
145	17/10/21	13:00:00	21.103				
146	17/10/21	14:00:00	21.032				
147	17/10/21	15:00:00	21.008				
148	17/10/21	16:00:00	21.056				
149	17/10/21	17:00:00	21.032				
150	17/10/21	18:00:00	21.008				
151	17/10/21	19:00:00	21.008				
152	17/10/21	20:00:00	21.008				
153	17/10/21	21:00:00	21.008				
154	17/10/21	22:00:00	21.032				
155	17/10/21	23:00:00	21.056				
156	18/10/21	00:00:00	21.032				
157	18/10/21	01:00:00	21.032				
158	18/10/21	02:00:00	21.008				
159	18/10/21	03:00:00	21.008				
160	18/10/21	04:00:00	20.984				
161	18/10/21	05:00:00	20.984				
162	18/10/21	06:00:00	20.984				
163	18/10/21	07:00:00	20.960				
164	18/10/21	08:00:00	20.960				
165	18/10/21	09:00:00	20.960				
166	18/10/21	10:00:00	20.960				
167	18/10/21	11:00:00	20.984				
168	18/10/21	12:00:00	21.008				
169	18/10/21	13:00:00	21.032				
170	18/10/21	14:00:00	21.079				
171	18/10/21	15:00:00	21.079				
172	18/10/21	16:00:00	21.056				
173	18/10/21	17:00:00	21.008				
174	18/10/21	18:00:00	20.960				
175	18/10/21	19:00:00	20.865				
176	18/10/21	20:00:00	20.889				
177	18/10/21	21:00:00	20.889				
178	18/10/21	22:00:00	20.960				
179	18/10/21	23:00:00	20.960				
180	19/10/21	00:00:00	20.770				
181	19/10/21	01:00:00	20.770				
182	19/10/21	02:00:00	20.722				
183	19/10/21	03:00:00	20.770				
184	19/10/21	04:00:00	20.770				
185	19/10/21	05:00:00	20.770				
186	19/10/21	06:00:00	20.770				
187	19/10/21	07:00:00	20.770				
188	19/10/21	08:00:00	20.770				
189	19/10/21	09:00:00	20.770				
190	19/10/21	10:00:00	20.770				
191	19/10/21	11:00:00	20.841				
192	19/10/21	12:00:00	20.865				
193	19/10/21	13:00:00	20.889				
194	19/10/21	14:00:00	20.984				
195	19/10/21	15:00:00	20.960				
196	19/10/21	16:00:00	20.960				
197	19/10/21	17:00:00	20.865				
198	19/10/21	18:00:00	20.841				
199	19/10/21	19:00:00	20.793				
200	19/10/21	20:00:00	21.008				
201	19/10/21	21:00:00	20.960				
202	19/10/21	22:00:00	21.008				
203	19/10/21	23:00:00	21.079				
204	20/10/21	00:00:00	20.889				
205	20/10/21	01:00:00	20.865				
206	20/10/21	02:00:00	20.865				
207	20/10/21	03:00:00	20.817				
208	20/10/21	04:00:00	20.865				
209	20/10/21	05:00:00	20.865				
210	20/10/21	06:00:00	20.817				
211	20/10/21	07:00:00	20.793				
212	20/10/21	08:00:00	20.793				
213	20/10/21	09:00:00	20.793				
214	20/10/21	10:00:00	20.770				
215	20/10/21	11:00:00	20.817				
216	20/10/21	12:00:00	20.793				
217	20/10/21	13:00:00	20.865				
218	20/10/21	14:00:00	20.865				
219	20/10/21	15:00:00	20.817				
220	20/10/21	16:00:00	20.841				
221	20/10/21	17:00:00	20.865				
222	20/10/21	18:00:00	20.841				
223	20/10/21	19:00:00	20.841				
224	20/10/21	20:00:00	20.817				
225	20/10/21	21:00:00	20.793				
226	20/10/21	22:00:00	20.793				
227	20/10/21	23:00:00	20.793				
228	21/10/21	00:00:00	20.770				
229	21/10/21	01:00:00	20.770				
230	21/10/21	02:00:00	20.770				
231	21/10/21	03:00:00	20.770				
232	21/10/21	04:00:00	20.770				
233	21/10/21	05:00:00	20.770				
234	21/10/21	06:00:00	20.770				
235	21/10/21	07:00:00	20.770				
236	21/10/21	08:00:00	20.770				
237	21/10/21	09:00:00	20.770				
238	21/10/21	10:00:00	20.770				
239	21/10/21	11:00:00	20.770				
240	21/10/21	12:00:00	20.746				
241	21/10/21	13:00:00	20.793				
