"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20618089, SEN S/N: 20618089, LBL: Portofino_CalaOro_35m)"	"Acoplador separado (LGR S/N: 20618089, SEN S/N: 20618089)"	"Acoplador adjunto (LGR S/N: 20618089, SEN S/N: 20618089)"	"Host conectado (LGR S/N: 20618089, SEN S/N: 20618089)"	"Parado (LGR S/N: 20618089, SEN S/N: 20618089)"	"Final de archivo (LGR S/N: 20618089, SEN S/N: 20618089)"
1	11/10/21	15:00:00	17.558	Registrado				
2	11/10/21	16:00:00	17.605					
3	11/10/21	17:00:00	18.533					
4	11/10/21	18:00:00	17.748					
5	11/10/21	19:00:00	17.677					
6	11/10/21	20:00:00	21.509					
7	11/10/21	21:00:00	18.129					
8	11/10/21	22:00:00	17.724					
9	11/10/21	23:00:00	17.391					
10	12/10/21	00:00:00	16.439					
11	12/10/21	01:00:00	16.844					
12	12/10/21	02:00:00	17.034					
13	12/10/21	03:00:00	17.177					
14	12/10/21	04:00:00	19.460					
15	12/10/21	05:00:00	19.865					
16	12/10/21	06:00:00	21.819					
17	12/10/21	07:00:00	20.460					
18	12/10/21	08:00:00	20.150					
19	12/10/21	09:00:00	19.294					
20	12/10/21	10:00:00	18.319					
21	12/10/21	11:00:00	17.772					
22	12/10/21	12:00:00	20.746					
23	12/10/21	13:00:00	16.963					
24	12/10/21	14:00:00	20.484					
25	12/10/21	15:00:00	16.463					
26	12/10/21	16:00:00	17.772					
27	12/10/21	17:00:00	19.127					
28	12/10/21	18:00:00	18.319					
29	12/10/21	19:00:00	20.436					
30	12/10/21	20:00:00	18.485					
31	12/10/21	21:00:00	18.985					
32	12/10/21	22:00:00	20.412					
33	12/10/21	23:00:00	19.246					
34	13/10/21	00:00:00	20.341					
35	13/10/21	01:00:00	18.010					
36	13/10/21	02:00:00	16.320					
37	13/10/21	03:00:00	16.677					
38	13/10/21	04:00:00	19.222					
39	13/10/21	05:00:00	17.843					
40	13/10/21	06:00:00	18.033					
41	13/10/21	07:00:00	17.891					
42	13/10/21	08:00:00	17.915					
43	13/10/21	09:00:00	18.152					
44	13/10/21	10:00:00	18.152					
45	13/10/21	11:00:00	17.320					
46	13/10/21	12:00:00	18.414					
47	13/10/21	13:00:00	17.463					
48	13/10/21	14:00:00	18.224					
49	13/10/21	15:00:00	17.225					
50	13/10/21	16:00:00	18.533					
51	13/10/21	17:00:00	17.344					
52	13/10/21	18:00:00	17.249					
53	13/10/21	19:00:00	18.105					
54	13/10/21	20:00:00	17.748					
55	13/10/21	21:00:00	17.486					
56	13/10/21	22:00:00	16.892					
57	13/10/21	23:00:00	16.606					
58	14/10/21	00:00:00	16.320					
59	14/10/21	01:00:00	16.249					
60	14/10/21	02:00:00	16.558					
61	14/10/21	03:00:00	18.390					
62	14/10/21	04:00:00	18.771					
63	14/10/21	05:00:00	17.249					
64	14/10/21	06:00:00	17.772					
65	14/10/21	07:00:00	19.246					
66	14/10/21	08:00:00	18.224					
67	14/10/21	09:00:00	20.817					
