"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20954350, SEN S/N: 20954350)"	"Acoplador separado (LGR S/N: 20954350, SEN S/N: 20954350)"	"Acoplador adjunto (LGR S/N: 20954350, SEN S/N: 20954350)"	"Host conectado (LGR S/N: 20954350, SEN S/N: 20954350)"	"Parado (LGR S/N: 20954350, SEN S/N: 20954350)"	"Final de archivo (LGR S/N: 20954350, SEN S/N: 20954350)"
1	18/09/21	07:00:00	22.776	Registrado				
2	18/09/21	08:00:00	22.896					
3	18/09/21	09:00:00	22.848					
4	18/09/21	10:00:00	22.920					
5	18/09/21	11:00:00	22.800					
6	18/09/21	12:00:00	22.920					
7	18/09/21	13:00:00	22.872					
8	18/09/21	14:00:00	22.992					
9	18/09/21	15:00:00	23.424					
10	18/09/21	16:00:00	23.376					
11	18/09/21	17:00:00	23.665					
12	18/09/21	18:00:00	23.713					
13	18/09/21	19:00:00	23.304					
14	18/09/21	20:00:00	23.448					
15	18/09/21	21:00:00	22.944					
16	18/09/21	22:00:00	22.872					
17	18/09/21	23:00:00	22.729					
18	19/09/21	00:00:00	22.609					
19	19/09/21	01:00:00	22.824					
20	19/09/21	02:00:00	22.705					
21	19/09/21	03:00:00	22.824					
22	19/09/21	04:00:00	22.824					
23	19/09/21	05:00:00	22.920					
24	19/09/21	06:00:00	22.800					
25	19/09/21	07:00:00	22.800					
26	19/09/21	08:00:00	22.920					
27	19/09/21	09:00:00	22.800					
28	19/09/21	10:00:00	22.753					
29	19/09/21	11:00:00	22.872					
30	19/09/21	12:00:00	23.016					
31	19/09/21	13:00:00	23.040					
32	19/09/21	14:00:00	23.064					
33	19/09/21	15:00:00	22.824					
34	19/09/21	16:00:00	22.896					
35	19/09/21	17:00:00	23.112					
36	19/09/21	18:00:00	23.088					
37	19/09/21	19:00:00	23.256					
38	19/09/21	20:00:00	23.016					
39	19/09/21	21:00:00	23.088					
40	19/09/21	22:00:00	23.160					
41	19/09/21	23:00:00	23.112					
42	20/09/21	00:00:00	22.992					
43	20/09/21	01:00:00	23.040					
44	20/09/21	02:00:00	23.064					
45	20/09/21	03:00:00	23.064					
46	20/09/21	04:00:00	23.280					
47	20/09/21	05:00:00	23.304					
48	20/09/21	06:00:00	23.280					
49	20/09/21	07:00:00	23.184					
50	20/09/21	08:00:00	23.136					
51	20/09/21	09:00:00	22.920					
52	20/09/21	10:00:00	22.585					
53	20/09/21	11:00:00	22.202					
54	20/09/21	12:00:00	22.178					
55	20/09/21	13:00:00	22.274					
56	20/09/21	14:00:00	21.557					
57	20/09/21	15:00:00	22.561					
58	20/09/21	16:00:00	22.753					
59	20/09/21	17:00:00	22.657					
60	20/09/21	18:00:00	22.753					
61	20/09/21	19:00:00	22.872					
62	20/09/21	20:00:00	22.992					
63	20/09/21	21:00:00	23.040					
64	20/09/21	22:00:00	23.160					
65	20/09/21	23:00:00	23.232					
66	21/09/21	00:00:00	23.064					
67	21/09/21	01:00:00	22.872					
68	21/09/21	02:00:00	22.753					
69	21/09/21	03:00:00	22.753					
70	21/09/21	04:00:00	22.705					
71	21/09/21	05:00:00	22.657					
72	21/09/21	06:00:00	22.417					
73	21/09/21	07:00:00	22.465					
74	21/09/21	08:00:00	22.250					
75	21/09/21	09:00:00	22.250					
76	21/09/21	10:00:00	22.202					
77	21/09/21	11:00:00	22.250					
78	21/09/21	12:00:00	22.345					
79	21/09/21	13:00:00	22.369					
80	21/09/21	14:00:00	22.729					
81	21/09/21	15:00:00	22.872					
82	21/09/21	16:00:00	22.848					
83	21/09/21	17:00:00	22.705					
84	21/09/21	18:00:00	22.753					
