"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20954357, SEN S/N: 20954357)"	"Acoplador separado (LGR S/N: 20954357, SEN S/N: 20954357)"	"Acoplador adjunto (LGR S/N: 20954357, SEN S/N: 20954357)"	"Parado (LGR S/N: 20954357, SEN S/N: 20954357)"	"Final de archivo (LGR S/N: 20954357, SEN S/N: 20954357)"
1	18/09/21	07:00:00	20.317	Registrado			
2	18/09/21	08:00:00	20.603				
3	18/09/21	09:00:00	19.984				
4	18/09/21	10:00:00	20.936				
5	18/09/21	11:00:00	19.817				
6	18/09/21	12:00:00	19.199				
7	18/09/21	13:00:00	18.224				
8	18/09/21	14:00:00	18.247				
9	18/09/21	15:00:00	18.913				
10	18/09/21	16:00:00	21.175				
11	18/09/21	17:00:00	21.437				
12	18/09/21	18:00:00	21.533				
13	18/09/21	19:00:00	20.865				
14	18/09/21	20:00:00	20.650				
15	18/09/21	21:00:00	20.222				
16	18/09/21	22:00:00	20.650				
17	18/09/21	23:00:00	20.722				
18	19/09/21	00:00:00	20.388				
19	19/09/21	01:00:00	20.198				
20	19/09/21	02:00:00	20.531				
21	19/09/21	03:00:00	20.603				
22	19/09/21	04:00:00	20.889				
23	19/09/21	05:00:00	20.793				
24	19/09/21	06:00:00	20.293				
25	19/09/21	07:00:00	21.032				
26	19/09/21	08:00:00	21.628				
27	19/09/21	09:00:00	21.819				
28	19/09/21	10:00:00	21.008				
29	19/09/21	11:00:00	20.936				
30	19/09/21	12:00:00	21.509				
31	19/09/21	13:00:00	21.485				
32	19/09/21	14:00:00	21.461				
33	19/09/21	15:00:00	21.581				
34	19/09/21	16:00:00	21.557				
35	19/09/21	17:00:00	21.867				
36	19/09/21	18:00:00	21.413				
37	19/09/21	19:00:00	21.652				
38	19/09/21	20:00:00	21.581				
39	19/09/21	21:00:00	21.175				
40	19/09/21	22:00:00	21.628				
41	19/09/21	23:00:00	21.867				
42	20/09/21	00:00:00	22.034				
43	20/09/21	01:00:00	21.604				
44	20/09/21	02:00:00	21.151				
45	20/09/21	03:00:00	22.393				
46	20/09/21	04:00:00	22.944				
47	20/09/21	05:00:00	21.557				
48	20/09/21	06:00:00	21.867				
49	20/09/21	07:00:00	21.557				
50	20/09/21	08:00:00	21.581				
51	20/09/21	09:00:00	21.915				
52	20/09/21	10:00:00	21.533				
53	20/09/21	11:00:00	20.960				
54	20/09/21	12:00:00	21.270				
55	20/09/21	13:00:00	21.103				
56	20/09/21	14:00:00	21.199				
57	20/09/21	15:00:00	21.079				
58	20/09/21	16:00:00	21.891				
59	20/09/21	17:00:00	22.321				
60	20/09/21	18:00:00	21.270				
61	20/09/21	19:00:00	21.413				
62	20/09/21	20:00:00	21.604				
63	20/09/21	21:00:00	22.058				
64	20/09/21	22:00:00	21.795				
65	20/09/21	23:00:00	21.843				
66	21/09/21	00:00:00	21.795				
67	21/09/21	01:00:00	21.533				
68	21/09/21	02:00:00	21.557				
69	21/09/21	03:00:00	21.366				
70	21/09/21	04:00:00	21.724				
71	21/09/21	05:00:00	21.318				
72	21/09/21	06:00:00	21.342				
73	21/09/21	07:00:00	21.056				
74	21/09/21	08:00:00	21.151				
75	21/09/21	09:00:00	20.913				
76	21/09/21	10:00:00	20.960				
77	21/09/21	11:00:00	21.652				
78	21/09/21	12:00:00	21.939				
79	21/09/21	13:00:00	22.274				
80	21/09/21	14:00:00	22.274				
81	21/09/21	15:00:00	22.274				
82	21/09/21	16:00:00	22.298				
83	21/09/21	17:00:00	22.489				
84	21/09/21	18:00:00	22.465				
85	21/09/21	19:00:00	22.106				
86	21/09/21	20:00:00	22.034				
87	21/09/21	21:00:00	21.939				
88	21/09/21	22:00:00	21.676				
89	21/09/21	23:00:00	21.581				
90	22/09/21	00:00:00	20.627				
91	22/09/21	01:00:00	20.555				
92	22/09/21	02:00:00	21.032				
93	22/09/21	03:00:00	21.390				
94	22/09/21	04:00:00	21.963				
95	22/09/21	05:00:00	22.058				
96	22/09/21	06:00:00	22.202				
97	22/09/21	07:00:00	22.082				
98	22/09/21	08:00:00	21.963				
99	22/09/21	09:00:00	21.915				
100	22/09/21	10:00:00	21.748				
101	22/09/21	11:00:00	21.748				
102	22/09/21	12:00:00	22.011				
103	22/09/21	13:00:00	21.079				
104	22/09/21	14:00:00	20.293				
105	22/09/21	15:00:00	20.984				
106	22/09/21	16:00:00	21.509				
107	22/09/21	17:00:00	21.819				
108	22/09/21	18:00:00	22.082				
109	22/09/21	19:00:00	22.106				
110	22/09/21	20:00:00	21.795				
111	22/09/21	21:00:00	21.748				
112	22/09/21	22:00:00	21.772				
113	22/09/21	23:00:00	21.700				
114	23/09/21	00:00:00	21.103				
115	23/09/21	01:00:00	20.936				
116	23/09/21	02:00:00	20.913				
117	23/09/21	03:00:00	21.127				
118	23/09/21	04:00:00	21.413				
119	23/09/21	05:00:00	21.437				
120	23/09/21	06:00:00	21.581				
121	23/09/21	07:00:00	20.650				
122	23/09/21	08:00:00	21.270				
123	23/09/21	09:00:00	20.936				
124	23/09/21	10:00:00	21.366				
125	23/09/21	11:00:00	21.032				
126	23/09/21	12:00:00	21.390				
127	23/09/21	13:00:00	21.485				
128	23/09/21	14:00:00	21.628				
129	23/09/21	15:00:00	21.676				
130	23/09/21	16:00:00	21.246				
131	23/09/21	17:00:00	21.676				
132	23/09/21	18:00:00	21.915				
133	23/09/21	19:00:00	21.437				
134	23/09/21	20:00:00	21.652				
135	23/09/21	21:00:00	20.126				
136	23/09/21	22:00:00	20.770				
137	23/09/21	23:00:00	20.913				
138	24/09/21	00:00:00	21.079				
139	24/09/21	01:00:00	21.509				
140	24/09/21	02:00:00	21.748				
141	24/09/21	03:00:00	21.390				
142	24/09/21	04:00:00	21.509				
143	24/09/21	05:00:00	21.294				
144	24/09/21	06:00:00	21.533				
145	24/09/21	07:00:00	21.652				
146	24/09/21	08:00:00	21.318				
147	24/09/21	09:00:00	21.127				
148	24/09/21	10:00:00	21.581				
149	24/09/21	11:00:00	21.246				
150	24/09/21	12:00:00	21.509				
151	24/09/21	13:00:00	21.056				
152	24/09/21	14:00:00	21.390				
153	24/09/21	15:00:00	21.509				
154	24/09/21	16:00:00	21.819				
155	24/09/21	17:00:00	22.011				
156	24/09/21	18:00:00	21.509				
157	24/09/21	19:00:00	21.437				
158	24/09/21	20:00:00	21.151				
159	24/09/21	21:00:00	21.604				
160	24/09/21	22:00:00	21.557				
161	24/09/21	23:00:00	21.246				
162	25/09/21	00:00:00	21.223				
163	25/09/21	01:00:00	21.270				
164	25/09/21	02:00:00	21.056				
165	25/09/21	03:00:00	21.127				
166	25/09/21	04:00:00	21.413				
167	25/09/21	05:00:00	21.127				
168	25/09/21	06:00:00	21.318				
169	25/09/21	07:00:00	21.676				
170	25/09/21	08:00:00	21.509				
171	25/09/21	09:00:00	21.032				
172	25/09/21	10:00:00	20.889				
173	25/09/21	11:00:00	21.032				
174	25/09/21	12:00:00	20.507				
175	25/09/21	13:00:00	20.627				
176	25/09/21	14:00:00	20.412				
177	25/09/21	15:00:00	20.746				
178	25/09/21	16:00:00	21.056				
179	25/09/21	17:00:00	21.246				
180	25/09/21	18:00:00	21.366				
181	25/09/21	19:00:00	21.676				
182	25/09/21	20:00:00	21.533				
183	25/09/21	21:00:00	21.437				
184	25/09/21	22:00:00	21.318				
185	25/09/21	23:00:00	21.342				
186	26/09/21	00:00:00	21.103				
187	26/09/21	01:00:00	21.175				
188	26/09/21	02:00:00	21.151				
189	26/09/21	03:00:00	21.127				
190	26/09/21	04:00:00	21.413				
191	26/09/21	05:00:00	21.413				
192	26/09/21	06:00:00	21.175				
193	26/09/21	07:00:00	21.342				
194	26/09/21	08:00:00	21.366				
195	26/09/21	09:00:00	20.770				
196	26/09/21	10:00:00	20.841				
197	26/09/21	11:00:00	20.793				
198	26/09/21	12:00:00	20.531				
199	26/09/21	13:00:00	20.222				
200	26/09/21	14:00:00	20.555				
201	26/09/21	15:00:00	20.436				
202	26/09/21	16:00:00	20.293				
203	26/09/21	17:00:00	20.293				
204	26/09/21	18:00:00	20.793				
205	26/09/21	19:00:00	21.223				
206	26/09/21	20:00:00	21.843				
207	26/09/21	21:00:00	21.581				
208	26/09/21	22:00:00	21.891				
209	26/09/21	23:00:00	21.437				
210	27/09/21	00:00:00	20.889				
211	27/09/21	01:00:00	21.294				
212	27/09/21	02:00:00	20.579				
213	27/09/21	03:00:00	20.984				
214	27/09/21	04:00:00	21.008				
215	27/09/21	05:00:00	21.223				
216	27/09/21	06:00:00	21.533				
217	27/09/21	07:00:00	21.509				
218	27/09/21	08:00:00	21.581				
219	27/09/21	09:00:00	21.056				
220	27/09/21	10:00:00	20.913				
221	27/09/21	11:00:00	20.627				
222	27/09/21	12:00:00	20.555				
223	27/09/21	13:00:00	20.865				
224	27/09/21	14:00:00	21.032				
225	27/09/21	15:00:00	20.889				
226	27/09/21	16:00:00	20.770				
227	27/09/21	17:00:00	20.913				
228	27/09/21	18:00:00	20.793				
229	27/09/21	19:00:00	20.889				
230	27/09/21	20:00:00	21.056				
231	27/09/21	21:00:00	21.127				
232	27/09/21	22:00:00	21.175				
233	27/09/21	23:00:00	20.793				
234	28/09/21	00:00:00	20.746				
235	28/09/21	01:00:00	20.984				
236	28/09/21	02:00:00	20.770				
237	28/09/21	03:00:00	20.674				
238	28/09/21	04:00:00	20.698				
239	28/09/21	05:00:00	20.793				
240	28/09/21	06:00:00	21.008				
241	28/09/21	07:00:00	21.294				
242	28/09/21	08:00:00	21.246				
243	28/09/21	09:00:00	21.151				
244	28/09/21	10:00:00	21.151				
245	28/09/21	11:00:00	21.032				
246	28/09/21	12:00:00	20.698				
247	28/09/21	13:00:00	20.269				
248	28/09/21	14:00:00	20.174				
249	28/09/21	15:00:00	19.627				
250	28/09/21	16:00:00	19.222				
251	28/09/21	17:00:00	19.460				
252	28/09/21	18:00:00	19.770				
253	28/09/21	19:00:00	19.936				
254	28/09/21	20:00:00	20.150				
255	28/09/21	21:00:00	20.531				
256	28/09/21	22:00:00	20.579				
257	28/09/21	23:00:00	20.531				
258	29/09/21	00:00:00	20.484				
259	29/09/21	01:00:00	20.436				
260	29/09/21	02:00:00	20.269				
261	29/09/21	03:00:00	20.055				
262	29/09/21	04:00:00	19.912				
263	29/09/21	05:00:00	19.888				
264	29/09/21	06:00:00	20.317				
265	29/09/21	07:00:00	20.388				
266	29/09/21	08:00:00	20.484				
267	29/09/21	09:00:00	20.746				
268	29/09/21	10:00:00	20.674				
269	29/09/21	11:00:00	20.555				
270	29/09/21	12:00:00	20.460				
271	29/09/21	13:00:00	20.484				
272	29/09/21	14:00:00	20.317				
273	29/09/21	15:00:00	20.246				
274	29/09/21	16:00:00	20.222				
275	29/09/21	17:00:00	19.865				
276	29/09/21	18:00:00	19.674				
277	29/09/21	19:00:00	19.674				
278	29/09/21	20:00:00	20.317				
279	29/09/21	21:00:00	20.269				
280	29/09/21	22:00:00	20.531				
281	29/09/21	23:00:00	20.293				
282	30/09/21	00:00:00	20.222				
283	30/09/21	01:00:00	20.412				
284	30/09/21	02:00:00	20.484				
285	30/09/21	03:00:00	20.531				
286	30/09/21	04:00:00	20.531				
287	30/09/21	05:00:00	20.889				
288	30/09/21	06:00:00	19.960				
289	30/09/21	07:00:00	19.817				
