"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20852769, SEN S/N: 20852769)"	"Acoplador separado (LGR S/N: 20852769, SEN S/N: 20852769)"	"Acoplador adjunto (LGR S/N: 20852769, SEN S/N: 20852769)"	"Host conectado (LGR S/N: 20852769, SEN S/N: 20852769)"	"Parado (LGR S/N: 20852769, SEN S/N: 20852769)"	"Final de archivo (LGR S/N: 20852769, SEN S/N: 20852769)"
1	01/06/22	11:00:00	25.355	Registrado				
2	01/06/22	11:30:00	26.012					
3	01/06/22	12:00:00	21.987					
4	01/06/22	12:30:00	17.486					
5	01/06/22	13:00:00	18.033					
6	01/06/22	13:30:00	17.701					
7	01/06/22	14:00:00	18.129					
8	01/06/22	14:30:00	17.867					
9	01/06/22	15:00:00	18.390					
10	01/06/22	15:30:00	17.867					
11	01/06/22	16:00:00	18.057					
12	01/06/22	16:30:00	17.605					
13	01/06/22	17:00:00	17.677					
14	01/06/22	17:30:00	17.486					
15	01/06/22	18:00:00	17.915					
16	01/06/22	18:30:00	17.272					
17	01/06/22	19:00:00	17.368					
18	01/06/22	19:30:00	17.486					
19	01/06/22	20:00:00	18.366					
20	01/06/22	20:30:00	18.247					
21	01/06/22	21:00:00	17.724					
22	01/06/22	21:30:00	17.272					
23	01/06/22	22:00:00	17.796					
24	01/06/22	22:30:00	18.200					
25	01/06/22	23:00:00	18.295					
26	01/06/22	23:30:00	18.010					
27	02/06/22	00:00:00	18.176					
28	02/06/22	00:30:00	18.557					
29	02/06/22	01:00:00	18.010					
30	02/06/22	01:30:00	18.129					
31	02/06/22	02:00:00	18.509					
32	02/06/22	02:30:00	18.557					
33	02/06/22	03:00:00	18.390					
34	02/06/22	03:30:00	18.224					
35	02/06/22	04:00:00	18.794					
36	02/06/22	04:30:00	18.652					
37	02/06/22	05:00:00	18.390					
38	02/06/22	05:30:00	17.962					
39	02/06/22	06:00:00	18.200					
40	02/06/22	06:30:00	18.319					
41	02/06/22	07:00:00	18.461					
42	02/06/22	07:30:00	18.675					
43	02/06/22	08:00:00	18.675					
44	02/06/22	08:30:00	18.723					
45	02/06/22	09:00:00	18.961					
46	02/06/22	09:30:00	19.056					
47	02/06/22	10:00:00	19.579					
48	02/06/22	10:30:00	18.771					
49	02/06/22	11:00:00	19.246					
50	02/06/22	11:30:00	19.888					
51	02/06/22	12:00:00	19.318					
52	02/06/22	12:30:00	20.317					
53	02/06/22	13:00:00	19.246					
54	02/06/22	13:30:00	19.460					
55	02/06/22	14:00:00	19.436					
56	02/06/22	14:30:00	19.175					
57	02/06/22	15:00:00	19.389					
58	02/06/22	15:30:00	19.294					
59	02/06/22	16:00:00	19.199					
60	02/06/22	16:30:00	19.674					
61	02/06/22	17:00:00	19.674					
62	02/06/22	17:30:00	18.794					
63	02/06/22	18:00:00	18.985					
64	02/06/22	18:30:00	19.746					
65	02/06/22	19:00:00	18.200					
66	02/06/22	19:30:00	17.582					
67	02/06/22	20:00:00	17.938					
68	02/06/22	20:30:00	18.319					
69	02/06/22	21:00:00	18.129					
70	02/06/22	21:30:00	19.651					
71	02/06/22	22:00:00	17.629					
72	02/06/22	22:30:00	17.724					
73	02/06/22	23:00:00	17.819					
74	02/06/22	23:30:00	17.962					
75	03/06/22	00:00:00	18.580					
76	03/06/22	00:30:00	18.723					
77	03/06/22	01:00:00	19.103					
78	03/06/22	01:30:00	19.222					
79	03/06/22	02:00:00	19.103					
80	03/06/22	02:30:00	18.913					
81	03/06/22	03:00:00	18.414					
82	03/06/22	03:30:00	20.103					
83	03/06/22	04:00:00	19.341					
84	03/06/22	04:30:00	19.817					
85	03/06/22	05:00:00	19.627					
86	03/06/22	05:30:00	19.532					
87	03/06/22	06:00:00	19.603					
88	03/06/22	06:30:00	20.198					
89	03/06/22	07:00:00	19.770					
90	03/06/22	07:30:00	19.651					
91	03/06/22	08:00:00	19.413					
92	03/06/22	08:30:00	19.722					
93	03/06/22	09:00:00	19.651					
94	03/06/22	09:30:00	19.960					
95	03/06/22	10:00:00	19.484					
96	03/06/22	10:30:00	19.627					
97	03/06/22	11:00:00	20.269					
98	03/06/22	11:30:00	20.698					
99	03/06/22	12:00:00	20.103					
100	03/06/22	12:30:00	20.507					
101	03/06/22	13:00:00	20.698					
102	03/06/22	13:30:00	20.770					
103	03/06/22	14:00:00	21.008					
104	03/06/22	14:30:00	21.056					
105	03/06/22	15:00:00	21.175					
106	03/06/22	15:30:00	21.223					
107	03/06/22	16:00:00	21.294					
108	03/06/22	16:30:00	21.342					
109	03/06/22	17:00:00	21.079					
110	03/06/22	17:30:00	21.342					
111	03/06/22	18:00:00	21.652					
112	03/06/22	18:30:00	21.724					
113	03/06/22	19:00:00	21.604					
114	03/06/22	19:30:00	21.413					
115	03/06/22	20:00:00	21.843					
116	03/06/22	20:30:00	21.867					
117	03/06/22	21:00:00	21.867					
