"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20922216, SEN S/N: 20922216)"	"Acoplador separado (LGR S/N: 20922216, SEN S/N: 20922216)"	"Acoplador adjunto (LGR S/N: 20922216, SEN S/N: 20922216)"	"Host conectado (LGR S/N: 20922216, SEN S/N: 20922216)"	"Parado (LGR S/N: 20922216, SEN S/N: 20922216)"	"Final de archivo (LGR S/N: 20922216, SEN S/N: 20922216)"
1	03/06/22	12:00:00	17.629	Registrado				
2	03/06/22	13:00:00	17.486					
3	03/06/22	14:00:00	16.749					
4	03/06/22	15:00:00	17.415					
5	03/06/22	16:00:00	17.605					
6	03/06/22	17:00:00	17.415					
7	03/06/22	18:00:00	17.463					
8	03/06/22	19:00:00	17.177					
9	03/06/22	20:00:00	17.486					
10	03/06/22	21:00:00	17.486					
11	03/06/22	22:00:00	16.487					
12	03/06/22	23:00:00	16.392					
13	04/06/22	00:00:00	16.439					
14	04/06/22	01:00:00	16.368					
15	04/06/22	02:00:00	16.415					
16	04/06/22	03:00:00	16.511					
17	04/06/22	04:00:00	16.439					
18	04/06/22	05:00:00	16.392					
19	04/06/22	06:00:00	16.534					
20	04/06/22	07:00:00	16.511					
21	04/06/22	08:00:00	16.773					
22	04/06/22	09:00:00	16.582					
23	04/06/22	10:00:00	16.630					
24	04/06/22	11:00:00	16.677					
25	04/06/22	12:00:00	16.939					
26	04/06/22	13:00:00	17.439					
27	04/06/22	14:00:00	18.200					
28	04/06/22	15:00:00	18.580					
29	04/06/22	16:00:00	18.937					
30	04/06/22	17:00:00	18.485					
31	04/06/22	18:00:00	19.056					
32	04/06/22	19:00:00	17.201					
33	04/06/22	20:00:00	16.963					
34	04/06/22	21:00:00	17.249					
35	04/06/22	22:00:00	17.201					
36	04/06/22	23:00:00	16.892					
37	05/06/22	00:00:00	16.820					
38	05/06/22	01:00:00	16.773					
39	05/06/22	02:00:00	16.725					
40	05/06/22	03:00:00	16.725					
41	05/06/22	04:00:00	16.749					
42	05/06/22	05:00:00	16.844					
43	05/06/22	06:00:00	16.892					
44	05/06/22	07:00:00	16.630					
45	05/06/22	08:00:00	16.630					
46	05/06/22	09:00:00	16.654					
47	05/06/22	10:00:00	17.368					
48	05/06/22	11:00:00	17.058					
49	05/06/22	12:00:00	18.176					
50	05/06/22	13:00:00	17.843					
51	05/06/22	14:00:00	17.819					
52	05/06/22	15:00:00	17.701					
53	05/06/22	16:00:00	17.320					
54	05/06/22	17:00:00	17.724					
55	05/06/22	18:00:00	17.653					
56	05/06/22	19:00:00	17.701					
57	05/06/22	20:00:00	17.486					
58	05/06/22	21:00:00	16.987					
59	05/06/22	22:00:00	17.510					
60	05/06/22	23:00:00	17.629					
61	06/06/22	00:00:00	17.796					
62	06/06/22	01:00:00	17.819					
63	06/06/22	02:00:00	16.701					
64	06/06/22	03:00:00	16.844					
65	06/06/22	04:00:00	17.629					
66	06/06/22	05:00:00	17.510					
67	06/06/22	06:00:00	17.391					
68	06/06/22	07:00:00	17.486					
69	06/06/22	08:00:00	17.153					
70	06/06/22	09:00:00	17.391					
71	06/06/22	10:00:00	17.415					
72	06/06/22	11:00:00	17.391					
73	06/06/22	12:00:00	17.843					
74	06/06/22	13:00:00	17.368					
75	06/06/22	14:00:00	17.249					
76	06/06/22	15:00:00	16.987					
77	06/06/22	16:00:00	16.987					
78	06/06/22	17:00:00	16.915					
79	06/06/22	18:00:00	17.153					
80	06/06/22	19:00:00	17.201					
81	06/06/22	20:00:00	16.844					
82	06/06/22	21:00:00	16.868					
83	06/06/22	22:00:00	16.820					
84	06/06/22	23:00:00	16.820					
85	07/06/22	00:00:00	16.892					
86	07/06/22	01:00:00	16.725					
87	07/06/22	02:00:00	16.868					
88	07/06/22	03:00:00	16.915					
89	07/06/22	04:00:00	17.034					
90	07/06/22	05:00:00	16.939					
91	07/06/22	06:00:00	17.177					
92	07/06/22	07:00:00	16.844					
93	07/06/22	08:00:00	17.058					
94	07/06/22	09:00:00	16.987					
95	07/06/22	10:00:00	17.225					
96	07/06/22	11:00:00	17.249					
97	07/06/22	12:00:00	17.034					
98	07/06/22	13:00:00	17.034					
99	07/06/22	14:00:00	17.130					
100	07/06/22	15:00:00	17.153					
101	07/06/22	16:00:00	17.130					
102	07/06/22	17:00:00	17.106					
103	07/06/22	18:00:00	17.058					
104	07/06/22	19:00:00	17.106					
105	07/06/22	20:00:00	17.153					
106	07/06/22	21:00:00	17.296					
107	07/06/22	22:00:00	17.201					
108	07/06/22	23:00:00	17.011					
109	08/06/22	00:00:00	17.225					
110	08/06/22	01:00:00	17.344					
111	08/06/22	02:00:00	17.391					
112	08/06/22	03:00:00	17.296					
113	08/06/22	04:00:00	17.320					
114	08/06/22	05:00:00	18.010					
115	08/06/22	06:00:00	17.368					
116	08/06/22	07:00:00	17.629					
117	08/06/22	08:00:00	17.962					
118	08/06/22	09:00:00	17.296					
119	08/06/22	10:00:00	18.224					
120	08/06/22	11:00:00	17.891					
121	08/06/22	12:00:00	17.558					
122	08/06/22	13:00:00	17.582					
