"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20922211, SEN S/N: 20922211)"	"Acoplador separado (LGR S/N: 20922211, SEN S/N: 20922211)"	"Acoplador adjunto (LGR S/N: 20922211, SEN S/N: 20922211)"	"Host conectado (LGR S/N: 20922211, SEN S/N: 20922211)"	"Parado (LGR S/N: 20922211, SEN S/N: 20922211)"	"Final de archivo (LGR S/N: 20922211, SEN S/N: 20922211)"
1	30/07/21	12:00:00	14.768	Registrado				
2	30/07/21	13:00:00	14.577					
3	30/07/21	14:00:00	14.625					
4	30/07/21	15:00:00	14.649					
5	30/07/21	16:00:00	14.673					
6	30/07/21	17:00:00	15.915					
7	30/07/21	18:00:00	15.939					
8	30/07/21	19:00:00	15.318					
9	30/07/21	20:00:00	15.079					
10	30/07/21	21:00:00	14.864					
11	30/07/21	22:00:00	14.505					
12	30/07/21	23:00:00	14.673					
13	31/07/21	00:00:00	14.481					
14	31/07/21	01:00:00	15.318					
15	31/07/21	02:00:00	15.414					
16	31/07/21	03:00:00	16.749					
17	31/07/21	04:00:00	17.225					
18	31/07/21	05:00:00	15.748					
19	31/07/21	06:00:00	16.320					
20	31/07/21	07:00:00	14.960					
21	31/07/21	08:00:00	15.318					
22	31/07/21	09:00:00	15.103					
23	31/07/21	10:00:00	15.342					
24	31/07/21	11:00:00	16.201					
25	31/07/21	12:00:00	16.249					
26	31/07/21	13:00:00	16.225					
27	31/07/21	14:00:00	15.986					
28	31/07/21	15:00:00	16.606					
29	31/07/21	16:00:00	16.010					
30	31/07/21	17:00:00	16.034					
31	31/07/21	18:00:00	16.082					
32	31/07/21	19:00:00	22.992					
33	31/07/21	20:00:00	22.824					
34	31/07/21	21:00:00	22.920					
35	31/07/21	22:00:00	22.848					
36	31/07/21	23:00:00	22.776					
37	01/08/21	00:00:00	22.633					
38	01/08/21	01:00:00	22.513					
39	01/08/21	02:00:00	22.489					
40	01/08/21	03:00:00	22.513					
41	01/08/21	04:00:00	21.963					
42	01/08/21	05:00:00	21.987					
43	01/08/21	06:00:00	22.058					
44	01/08/21	07:00:00	22.202					
45	01/08/21	08:00:00	21.939					
46	01/08/21	09:00:00	21.891					
47	01/08/21	10:00:00	22.106					
48	01/08/21	11:00:00	21.915					
49	01/08/21	12:00:00	21.963					
50	01/08/21	13:00:00	21.819					
51	01/08/21	14:00:00	21.819					
52	01/08/21	15:00:00	21.748					
53	01/08/21	16:00:00	15.485					
54	01/08/21	17:00:00	15.151					
55	01/08/21	18:00:00	15.103					
56	01/08/21	19:00:00	15.151					
57	01/08/21	20:00:00	21.676					
58	01/08/21	21:00:00	21.891					
59	01/08/21	22:00:00	21.795					
60	01/08/21	23:00:00	15.055					
61	02/08/21	00:00:00	15.939					
62	02/08/21	01:00:00	15.819					
63	02/08/21	02:00:00	15.151					
64	02/08/21	03:00:00	15.819					
65	02/08/21	04:00:00	16.010					
66	02/08/21	05:00:00	17.558					
67	02/08/21	06:00:00	15.843					
68	02/08/21	07:00:00	15.772					
69	02/08/21	08:00:00	15.031					
70	02/08/21	09:00:00	14.792					
71	02/08/21	10:00:00	14.768					
72	02/08/21	11:00:00	14.697					
73	02/08/21	12:00:00	14.936					
74	02/08/21	13:00:00	15.796					
75	02/08/21	14:00:00	21.915					
76	02/08/21	15:00:00	16.963					
77	02/08/21	16:00:00	21.223					
78	02/08/21	17:00:00	16.463					
79	02/08/21	18:00:00	16.987					
80	02/08/21	19:00:00	16.654					
81	02/08/21	20:00:00	15.772					
82	02/08/21	21:00:00	14.912					
83	02/08/21	22:00:00	14.816					
84	02/08/21	23:00:00	14.649					
85	03/08/21	00:00:00	14.577					
86	03/08/21	01:00:00	14.721					
87	03/08/21	02:00:00	14.625					
88	03/08/21	03:00:00	14.721					
89	03/08/21	04:00:00	14.625					
90	03/08/21	05:00:00	14.697					
91	03/08/21	06:00:00	14.673					
92	03/08/21	07:00:00	14.553					
93	03/08/21	08:00:00	14.697					
94	03/08/21	09:00:00	14.553					
95	03/08/21	10:00:00	14.529					
96	03/08/21	11:00:00	14.577					
97	03/08/21	12:00:00	14.433					
98	03/08/21	13:00:00	14.433					
99	03/08/21	14:00:00	14.481					
100	03/08/21	15:00:00	14.361					
101	03/08/21	16:00:00	14.505					
102	03/08/21	17:00:00	14.457					
103	03/08/21	18:00:00	14.457					
104	03/08/21	19:00:00	14.529					
105	03/08/21	20:00:00	14.505					
106	03/08/21	21:00:00	14.481					
107	03/08/21	22:00:00	14.529					
108	03/08/21	23:00:00	14.697					
109	04/08/21	00:00:00	14.721					
110	04/08/21	01:00:00	14.745					
111	04/08/21	02:00:00	14.697					
112	04/08/21	03:00:00	14.792					
113	04/08/21	04:00:00	14.816					
114	04/08/21	05:00:00	14.912					
115	04/08/21	06:00:00	14.984					
116	04/08/21	07:00:00	14.721					
117	04/08/21	08:00:00	14.529					
118	04/08/21	09:00:00	14.649					
119	04/08/21	10:00:00	14.529					
120	04/08/21	11:00:00	14.577					
121	04/08/21	12:00:00	14.936					
122	04/08/21	13:00:00	14.745					
123	04/08/21	14:00:00	14.912					
124	04/08/21	15:00:00	14.745					
125	04/08/21	16:00:00	14.697					
126	04/08/21	17:00:00	15.366					
127	04/08/21	18:00:00	14.433					
128	04/08/21	19:00:00	14.385					
129	04/08/21	20:00:00	14.337					
130	04/08/21	21:00:00	14.840					
131	04/08/21	22:00:00	15.247					
132	04/08/21	23:00:00	15.438					
133	05/08/21	00:00:00	15.342					
134	05/08/21	01:00:00	15.199					
135	05/08/21	02:00:00	14.768					
136	05/08/21	03:00:00	14.625					
137	05/08/21	04:00:00	14.625					
138	05/08/21	05:00:00	14.768					
139	05/08/21	06:00:00	14.553					
140	05/08/21	07:00:00	14.433					
141	05/08/21	08:00:00	14.505					
142	05/08/21	09:00:00	14.673					
143	05/08/21	10:00:00	14.745					
144	05/08/21	11:00:00	14.697					
145	05/08/21	12:00:00	15.031					
146	05/08/21	13:00:00	14.912					
147	05/08/21	14:00:00	15.055					
148	05/08/21	15:00:00	14.721					
149	05/08/21	16:00:00	14.529					
150	05/08/21	17:00:00	14.481					
151	05/08/21	18:00:00	14.481					
152	05/08/21	19:00:00	14.577					
153	05/08/21	20:00:00	14.745					
154	05/08/21	21:00:00	14.792					
155	05/08/21	22:00:00	14.529					
156	05/08/21	23:00:00	14.409					
157	06/08/21	00:00:00	14.194					
158	06/08/21	01:00:00	14.361					
159	06/08/21	02:00:00	14.505					
160	06/08/21	03:00:00	14.481					
161	06/08/21	04:00:00	14.577					
162	06/08/21	05:00:00	14.649					
163	06/08/21	06:00:00	14.625					
164	06/08/21	07:00:00	14.625					
165	06/08/21	08:00:00	14.601					
166	06/08/21	09:00:00	14.577					
167	06/08/21	10:00:00	14.481					
168	06/08/21	11:00:00	14.457					
169	06/08/21	12:00:00	14.433					
170	06/08/21	13:00:00	14.385					
171	06/08/21	14:00:00	14.481					
172	06/08/21	15:00:00	14.840					
173	06/08/21	16:00:00	14.529					
174	06/08/21	17:00:00	14.697					
175	06/08/21	18:00:00	14.745					
176	06/08/21	19:00:00	14.816					
177	06/08/21	20:00:00	14.840					
178	06/08/21	21:00:00	14.673					
179	06/08/21	22:00:00	14.601					
180	06/08/21	23:00:00	14.433					
181	07/08/21	00:00:00	14.314					
182	07/08/21	01:00:00	14.409					
183	07/08/21	02:00:00	14.385					
184	07/08/21	03:00:00	14.409					
185	07/08/21	04:00:00	14.457					
186	07/08/21	05:00:00	14.505					
187	07/08/21	06:00:00	14.936					
188	07/08/21	07:00:00	14.481					
189	07/08/21	08:00:00	14.649					
190	07/08/21	09:00:00	14.433					
191	07/08/21	10:00:00	14.577					
192	07/08/21	11:00:00	14.601					
193	07/08/21	12:00:00	14.673					
194	07/08/21	13:00:00	14.697					
195	07/08/21	14:00:00	14.673					
196	07/08/21	15:00:00	14.242					
197	07/08/21	16:00:00	14.194					
198	07/08/21	17:00:00	14.457					
199	07/08/21	18:00:00	14.553					
200	07/08/21	19:00:00	14.888					
201	07/08/21	20:00:00	15.270					
202	07/08/21	21:00:00	14.864					
203	07/08/21	22:00:00	15.438					
204	07/08/21	23:00:00	15.318					
205	08/08/21	00:00:00	15.915					
206	08/08/21	01:00:00	21.987					
207	08/08/21	02:00:00	22.106					
208	08/08/21	03:00:00	19.436					
209	08/08/21	04:00:00	15.008					
210	08/08/21	05:00:00	15.461					
211	08/08/21	06:00:00	19.674					
212	08/08/21	07:00:00	16.010					
213	08/08/21	08:00:00	20.531					
214	08/08/21	09:00:00	22.106					
215	08/08/21	10:00:00	22.058					
216	08/08/21	11:00:00	22.058					
217	08/08/21	12:00:00	19.389					
218	08/08/21	13:00:00	15.294					
219	08/08/21	14:00:00	15.509					
220	08/08/21	15:00:00	15.819					
221	08/08/21	16:00:00	16.082					
222	08/08/21	17:00:00	15.581					
223	08/08/21	18:00:00	15.247					
224	08/08/21	19:00:00	15.175					
225	08/08/21	20:00:00	15.079					
226	08/08/21	21:00:00	14.816					
227	08/08/21	22:00:00	14.649					
228	08/08/21	23:00:00	14.505					
229	09/08/21	00:00:00	14.481					
230	09/08/21	01:00:00	14.290					
231	09/08/21	02:00:00	14.122					
232	09/08/21	03:00:00	14.984					
233	09/08/21	04:00:00	14.864					
234	09/08/21	05:00:00	14.792					
235	09/08/21	06:00:00	14.649					
236	09/08/21	07:00:00	14.601					
237	09/08/21	08:00:00	14.505					
238	09/08/21	09:00:00	14.457					
239	09/08/21	10:00:00	14.433					
240	09/08/21	11:00:00	14.457					
241	09/08/21	12:00:00	14.361					
242	09/08/21	13:00:00	14.529					
243	09/08/21	14:00:00	14.457					
