"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20922212, SEN S/N: 20922212)"	"Acoplador separado (LGR S/N: 20922212, SEN S/N: 20922212)"	"Acoplador adjunto (LGR S/N: 20922212, SEN S/N: 20922212)"	"Host conectado (LGR S/N: 20922212, SEN S/N: 20922212)"	"Parado (LGR S/N: 20922212, SEN S/N: 20922212)"	"Final de archivo (LGR S/N: 20922212, SEN S/N: 20922212)"
1	30/07/21	12:00:00	32.924	Registrado				
2	30/07/21	13:00:00	31.179					
3	30/07/21	14:00:00	24.774					
4	30/07/21	15:00:00	18.081					
5	30/07/21	16:00:00	17.391					
6	30/07/21	17:00:00	17.368					
7	30/07/21	18:00:00	15.055					
8	30/07/21	19:00:00	14.864					
9	30/07/21	20:00:00	14.649					
10	30/07/21	21:00:00	14.673					
11	30/07/21	22:00:00	14.816					
12	30/07/21	23:00:00	14.864					
13	31/07/21	00:00:00	15.605					
14	31/07/21	01:00:00	16.439					
15	31/07/21	02:00:00	16.654					
16	31/07/21	03:00:00	17.082					
17	31/07/21	04:00:00	17.486					
18	31/07/21	05:00:00	17.415					
19	31/07/21	06:00:00	18.794					
20	31/07/21	07:00:00	20.627					
21	31/07/21	08:00:00	23.232					
22	31/07/21	09:00:00	23.352					
23	31/07/21	10:00:00	23.424					
24	31/07/21	11:00:00	22.585					
25	31/07/21	12:00:00	21.748					
26	31/07/21	13:00:00	22.130					
27	31/07/21	14:00:00	19.389					
28	31/07/21	15:00:00	19.508					
29	31/07/21	16:00:00	19.222					
30	31/07/21	17:00:00	19.888					
31	31/07/21	18:00:00	21.724					
32	31/07/21	19:00:00	23.593					
33	31/07/21	20:00:00	24.146					
34	31/07/21	21:00:00	22.920					
35	31/07/21	22:00:00	23.641					
36	31/07/21	23:00:00	23.545					
37	01/08/21	00:00:00	23.737					
38	01/08/21	01:00:00	21.795					
39	01/08/21	02:00:00	22.011					
40	01/08/21	03:00:00	21.819					
41	01/08/21	04:00:00	23.930					
42	01/08/21	05:00:00	23.593					
43	01/08/21	06:00:00	23.208					
44	01/08/21	07:00:00	23.280					
45	01/08/21	08:00:00	23.040					
46	01/08/21	09:00:00	22.776					
47	01/08/21	10:00:00	22.753					
48	01/08/21	11:00:00	22.465					
49	01/08/21	12:00:00	22.202					
50	01/08/21	13:00:00	22.298					
51	01/08/21	14:00:00	22.369					
52	01/08/21	15:00:00	22.489					
53	01/08/21	16:00:00	22.345					
54	01/08/21	17:00:00	22.657					
55	01/08/21	18:00:00	22.729					
56	01/08/21	19:00:00	22.561					
57	01/08/21	20:00:00	22.417					
58	01/08/21	21:00:00	22.082					
59	01/08/21	22:00:00	22.274					
60	01/08/21	23:00:00	22.657					
61	02/08/21	00:00:00	22.585					
62	02/08/21	01:00:00	21.294					
63	02/08/21	02:00:00	22.250					
64	02/08/21	03:00:00	22.393					
65	02/08/21	04:00:00	22.944					
66	02/08/21	05:00:00	22.417					
67	02/08/21	06:00:00	22.250					
68	02/08/21	07:00:00	20.007					
69	02/08/21	08:00:00	20.341					
70	02/08/21	09:00:00	18.343					
71	02/08/21	10:00:00	17.296					
72	02/08/21	11:00:00	15.819					
73	02/08/21	12:00:00	16.439					
74	02/08/21	13:00:00	15.915					
75	02/08/21	14:00:00	15.055					
76	02/08/21	15:00:00	14.816					
77	02/08/21	16:00:00	15.151					
78	02/08/21	17:00:00	15.127					
79	02/08/21	18:00:00	17.106					
80	02/08/21	19:00:00	18.485					
81	02/08/21	20:00:00	17.106					
82	02/08/21	21:00:00	18.628					
83	02/08/21	22:00:00	20.388					
84	02/08/21	23:00:00	22.011					
85	03/08/21	00:00:00	19.413					
86	03/08/21	01:00:00	20.889					
87	03/08/21	02:00:00	19.318					
88	03/08/21	03:00:00	17.772					
89	03/08/21	04:00:00	15.175					
90	03/08/21	05:00:00	14.960					
91	03/08/21	06:00:00	15.366					
92	03/08/21	07:00:00	15.461					
93	03/08/21	08:00:00	16.296					
94	03/08/21	09:00:00	17.867					
95	03/08/21	10:00:00	18.033					
96	03/08/21	11:00:00	18.010					
97	03/08/21	12:00:00	20.269					
98	03/08/21	13:00:00	20.555					
99	03/08/21	14:00:00	21.843					
100	03/08/21	15:00:00	22.058					
101	03/08/21	16:00:00	20.436					
102	03/08/21	17:00:00	18.485					
103	03/08/21	18:00:00	18.200					
104	03/08/21	19:00:00	17.558					
105	03/08/21	20:00:00	16.796					
106	03/08/21	21:00:00	15.986					
107	03/08/21	22:00:00	15.199					
108	03/08/21	23:00:00	14.864					
109	04/08/21	00:00:00	14.673					
110	04/08/21	01:00:00	14.553					
111	04/08/21	02:00:00	14.697					
112	04/08/21	03:00:00	14.673					
113	04/08/21	04:00:00	14.577					
114	04/08/21	05:00:00	14.290					
115	04/08/21	06:00:00	14.577					
116	04/08/21	07:00:00	16.487					
117	04/08/21	08:00:00	19.841					
118	04/08/21	09:00:00	21.246					
119	04/08/21	10:00:00	21.342					
120	04/08/21	11:00:00	22.202					
121	04/08/21	12:00:00	21.748					
122	04/08/21	13:00:00	19.318					
123	04/08/21	14:00:00	19.032					
124	04/08/21	15:00:00	17.320					
125	04/08/21	16:00:00	15.772					
126	04/08/21	17:00:00	14.697					
127	04/08/21	18:00:00	14.673					
128	04/08/21	19:00:00	14.697					
129	04/08/21	20:00:00	14.433					
130	04/08/21	21:00:00	14.409					
131	04/08/21	22:00:00	14.314					
132	04/08/21	23:00:00	14.266					
133	05/08/21	00:00:00	14.385					
134	05/08/21	01:00:00	14.409					
135	05/08/21	02:00:00	14.433					
136	05/08/21	03:00:00	14.433					
137	05/08/21	04:00:00	14.816					
138	05/08/21	05:00:00	14.960					
139	05/08/21	06:00:00	14.673					
140	05/08/21	07:00:00	15.819					
141	05/08/21	08:00:00	16.201					
142	05/08/21	09:00:00	14.577					
143	05/08/21	10:00:00	14.409					
144	05/08/21	11:00:00	14.242					
145	05/08/21	12:00:00	14.266					
146	05/08/21	13:00:00	14.290					
147	05/08/21	14:00:00	14.290					
148	05/08/21	15:00:00	14.266					
149	05/08/21	16:00:00	14.337					
150	05/08/21	17:00:00	14.888					
151	05/08/21	18:00:00	19.508					
152	05/08/21	19:00:00	19.984					
153	05/08/21	20:00:00	20.770					
154	05/08/21	21:00:00	19.484					
155	05/08/21	22:00:00	20.198					
156	05/08/21	23:00:00	20.126					
157	06/08/21	00:00:00	17.915					
158	06/08/21	01:00:00	16.892					
159	06/08/21	02:00:00	15.700					
160	06/08/21	03:00:00	14.840					
161	06/08/21	04:00:00	14.601					
162	06/08/21	05:00:00	14.409					
163	06/08/21	06:00:00	14.505					
164	06/08/21	07:00:00	14.314					
165	06/08/21	08:00:00	14.337					
166	06/08/21	09:00:00	14.529					
167	06/08/21	10:00:00	15.724					
168	06/08/21	11:00:00	16.677					
169	06/08/21	12:00:00	18.176					
170	06/08/21	13:00:00	19.436					
171	06/08/21	14:00:00	20.841					
172	06/08/21	15:00:00	20.770					
