"N.º"	"Fecha"	"Tiempo, GMT+03:00"	"Temp, °C (LGR S/N: 21152054, SEN S/N: 21152054, LBL: 21152054)"	"Acoplador separado (LGR S/N: 21152054, SEN S/N: 21152054)"	"Acoplador adjunto (LGR S/N: 21152054, SEN S/N: 21152054)"	"Host conectado (LGR S/N: 21152054, SEN S/N: 21152054)"	"Parado (LGR S/N: 21152054, SEN S/N: 21152054)"	"Final de archivo (LGR S/N: 21152054, SEN S/N: 21152054)"
1	21/10/21	15:00:00	22.920	Registrado				
2	21/10/21	16:00:00	22.944					
3	21/10/21	17:00:00	22.944					
4	21/10/21	18:00:00	22.944					
5	21/10/21	19:00:00	22.944					
6	21/10/21	20:00:00	22.944					
7	21/10/21	21:00:00	22.944					
8	21/10/21	22:00:00	22.944					
9	21/10/21	23:00:00	22.944					
10	22/10/21	00:00:00	22.920					
11	22/10/21	01:00:00	22.920					
12	22/10/21	02:00:00	22.896					
13	22/10/21	03:00:00	22.896					
14	22/10/21	04:00:00	22.896					
15	22/10/21	05:00:00	22.872					
16	22/10/21	06:00:00	22.896					
17	22/10/21	07:00:00	22.872					
18	22/10/21	08:00:00	22.872					
19	22/10/21	09:00:00	22.872					
20	22/10/21	10:00:00	22.848					
21	22/10/21	11:00:00	22.848					
22	22/10/21	12:00:00	22.848					
23	22/10/21	13:00:00	22.896					
24	22/10/21	14:00:00	22.920					
25	22/10/21	15:00:00	22.896					
26	22/10/21	16:00:00	22.896					
27	22/10/21	17:00:00	22.872					
28	22/10/21	18:00:00	22.872					
29	22/10/21	19:00:00	22.872					
30	22/10/21	20:00:00	22.872					
31	22/10/21	21:00:00	22.872					
32	22/10/21	22:00:00	22.872					
33	22/10/21	23:00:00	22.848					
34	23/10/21	00:00:00	22.848					
35	23/10/21	01:00:00	22.848					
36	23/10/21	02:00:00	22.848					
37	23/10/21	03:00:00	22.824					
38	23/10/21	04:00:00	22.800					
39	23/10/21	05:00:00	22.800					
40	23/10/21	06:00:00	22.776					
41	23/10/21	07:00:00	22.753					
42	23/10/21	08:00:00	22.776					
43	23/10/21	09:00:00	22.753					
44	23/10/21	10:00:00	22.753					
45	23/10/21	11:00:00	22.753					
46	23/10/21	12:00:00	22.753					
47	23/10/21	13:00:00	22.776					
48	23/10/21	14:00:00	22.776					
49	23/10/21	15:00:00	22.800					
50	23/10/21	16:00:00	22.800					
51	23/10/21	17:00:00	22.800					
52	23/10/21	18:00:00	22.776					
53	23/10/21	19:00:00	22.776					
54	23/10/21	20:00:00	22.776					
55	23/10/21	21:00:00	22.776					
56	23/10/21	22:00:00	22.753					
57	23/10/21	23:00:00	22.753					
58	24/10/21	00:00:00	22.776					
59	24/10/21	01:00:00	22.776					
60	24/10/21	02:00:00	22.776					
61	24/10/21	03:00:00	22.776					
62	24/10/21	04:00:00	22.776					
63	24/10/21	05:00:00	22.753					
64	24/10/21	06:00:00	22.705					
65	24/10/21	07:00:00	22.729					
66	24/10/21	08:00:00	22.705					
67	24/10/21	09:00:00	22.705					
68	24/10/21	10:00:00	22.729					
69	24/10/21	11:00:00	22.729					
70	24/10/21	12:00:00	22.753					
71	24/10/21	13:00:00	22.729					
72	24/10/21	14:00:00	22.753					
73	24/10/21	15:00:00	22.753					
74	24/10/21	16:00:00	22.753					
75	24/10/21	17:00:00	22.753					
76	24/10/21	18:00:00	22.729					
77	24/10/21	19:00:00	22.729					
78	24/10/21	20:00:00	22.729					
79	24/10/21	21:00:00	22.705					
80	24/10/21	22:00:00	22.705					
81	24/10/21	23:00:00	22.705					
82	25/10/21	00:00:00	22.705					
83	25/10/21	01:00:00	22.705					
84	25/10/21	02:00:00	22.705					
85	25/10/21	03:00:00	22.705					
86	25/10/21	04:00:00	22.705					
87	25/10/21	05:00:00	22.705					
88	25/10/21	06:00:00	22.705					
89	25/10/21	07:00:00	22.681					
90	25/10/21	08:00:00	22.705					
91	25/10/21	09:00:00	22.681					
92	25/10/21	10:00:00	22.633					
93	25/10/21	11:00:00	22.657					
94	25/10/21	12:00:00	22.681					
95	25/10/21	13:00:00	22.681					
96	25/10/21	14:00:00	22.705					
97	25/10/21	15:00:00	22.705					
98	25/10/21	16:00:00	22.705					
99	25/10/21	17:00:00	22.705					
100	25/10/21	18:00:00	22.681					
101	25/10/21	19:00:00	22.681					
102	25/10/21	20:00:00	22.681					
103	25/10/21	21:00:00	22.657					
104	25/10/21	22:00:00	22.633					
105	25/10/21	23:00:00	22.657					
106	26/10/21	00:00:00	22.633					
107	26/10/21	01:00:00	22.609					
108	26/10/21	02:00:00	22.609					
109	26/10/21	03:00:00	22.561					
110	26/10/21	04:00:00	22.561					
111	26/10/21	05:00:00	22.561					
112	26/10/21	06:00:00	22.561					
113	26/10/21	07:00:00	22.537					
114	26/10/21	08:00:00	22.537					
115	26/10/21	09:00:00	22.513					
116	26/10/21	10:00:00	22.537					
117	26/10/21	11:00:00	22.537					
118	26/10/21	12:00:00	22.537					
119	26/10/21	13:00:00	22.561					
120	26/10/21	14:00:00	22.561					
121	26/10/21	15:00:00	22.561					
122	26/10/21	16:00:00	22.561					
123	26/10/21	17:00:00	22.561					
124	26/10/21	18:00:00	22.537					
125	26/10/21	19:00:00	22.537					
126	26/10/21	20:00:00	22.537					
127	26/10/21	21:00:00	22.561					
128	26/10/21	22:00:00	22.561					
129	26/10/21	23:00:00	22.513					
130	27/10/21	00:00:00	22.513					
131	27/10/21	01:00:00	22.513					
132	27/10/21	02:00:00	22.537					
133	27/10/21	03:00:00	22.537					
134	27/10/21	04:00:00	22.537					
135	27/10/21	05:00:00	22.513					
136	27/10/21	06:00:00	22.513					
137	27/10/21	07:00:00	22.489					
138	27/10/21	08:00:00	22.489					
139	27/10/21	09:00:00	22.489					
140	27/10/21	10:00:00	22.489					
141	27/10/21	11:00:00	22.489					
142	27/10/21	12:00:00	22.513					
143	27/10/21	13:00:00	22.513					
144	27/10/21	14:00:00	22.489					
145	27/10/21	15:00:00	22.489					
146	27/10/21	16:00:00	22.489					
147	27/10/21	17:00:00	22.489					
148	27/10/21	18:00:00	22.489					
