"N.º"	"Fecha"	"Tiempo, GMT+03:00"	"Temp, °C (LGR S/N: 20700308, SEN S/N: 20700308, LBL: G35)"	"Acoplador separado (LGR S/N: 20700308, SEN S/N: 20700308)"	"Acoplador adjunto (LGR S/N: 20700308, SEN S/N: 20700308)"	"Host conectado (LGR S/N: 20700308, SEN S/N: 20700308)"	"Parado (LGR S/N: 20700308, SEN S/N: 20700308)"	"Final de archivo (LGR S/N: 20700308, SEN S/N: 20700308)"
1	21/10/21	15:00:00	22.393	Registrado				
2	21/10/21	16:00:00	22.465					
3	21/10/21	17:00:00	22.417					
4	21/10/21	18:00:00	22.441					
5	21/10/21	19:00:00	22.705					
6	21/10/21	20:00:00	22.776					
7	21/10/21	21:00:00	22.800					
8	21/10/21	22:00:00	22.729					
9	21/10/21	23:00:00	22.537					
10	22/10/21	00:00:00	22.441					
11	22/10/21	01:00:00	22.489					
12	22/10/21	02:00:00	22.465					
13	22/10/21	03:00:00	22.441					
14	22/10/21	04:00:00	22.417					
15	22/10/21	05:00:00	22.393					
16	22/10/21	06:00:00	22.417					
17	22/10/21	07:00:00	22.345					
18	22/10/21	08:00:00	22.393					
19	22/10/21	09:00:00	22.369					
20	22/10/21	10:00:00	22.321					
21	22/10/21	11:00:00	22.369					
22	22/10/21	12:00:00	22.321					
23	22/10/21	13:00:00	22.369					
24	22/10/21	14:00:00	22.154					
25	22/10/21	15:00:00	22.226					
26	22/10/21	16:00:00	22.226					
27	22/10/21	17:00:00	22.106					
28	22/10/21	18:00:00	22.106					
29	22/10/21	19:00:00	22.106					
30	22/10/21	20:00:00	22.345					
31	22/10/21	21:00:00	22.058					
32	22/10/21	22:00:00	22.011					
33	22/10/21	23:00:00	22.154					
34	23/10/21	00:00:00	22.178					
35	23/10/21	01:00:00	22.202					
36	23/10/21	02:00:00	22.202					
37	23/10/21	03:00:00	22.226					
38	23/10/21	04:00:00	22.202					
39	23/10/21	05:00:00	22.130					
40	23/10/21	06:00:00	22.130					
41	23/10/21	07:00:00	22.202					
42	23/10/21	08:00:00	22.106					
43	23/10/21	09:00:00	22.202					
44	23/10/21	10:00:00	22.154					
45	23/10/21	11:00:00	22.082					
46	23/10/21	12:00:00	22.082					
47	23/10/21	13:00:00	22.058					
48	23/10/21	14:00:00	22.106					
49	23/10/21	15:00:00	22.154					
50	23/10/21	16:00:00	21.915					
51	23/10/21	17:00:00	21.867					
52	23/10/21	18:00:00	21.867					
53	23/10/21	19:00:00	21.843					
54	23/10/21	20:00:00	21.891					
55	23/10/21	21:00:00	21.939					
56	23/10/21	22:00:00	21.939					
57	23/10/21	23:00:00	21.987					
58	24/10/21	00:00:00	21.915					
59	24/10/21	01:00:00	22.106					
60	24/10/21	02:00:00	22.178					
61	24/10/21	03:00:00	22.250					
62	24/10/21	04:00:00	22.130					
63	24/10/21	05:00:00	22.226					
64	24/10/21	06:00:00	22.345					
65	24/10/21	07:00:00	22.393					
66	24/10/21	08:00:00	22.106					
67	24/10/21	09:00:00	22.011					
68	24/10/21	10:00:00	21.963					
69	24/10/21	11:00:00	22.034					
70	24/10/21	12:00:00	22.106					
71	24/10/21	13:00:00	22.058					
72	24/10/21	14:00:00	22.082					
73	24/10/21	15:00:00	22.082					
74	24/10/21	16:00:00	22.106					
75	24/10/21	17:00:00	22.298					
76	24/10/21	18:00:00	22.345					
77	24/10/21	19:00:00	22.513					
78	24/10/21	20:00:00	22.441					
79	24/10/21	21:00:00	22.226					
80	24/10/21	22:00:00	22.226					
81	24/10/21	23:00:00	22.274					
82	25/10/21	00:00:00	22.274					
83	25/10/21	01:00:00	22.250					
84	25/10/21	02:00:00	22.321					
85	25/10/21	03:00:00	22.250					
86	25/10/21	04:00:00	22.250					
87	25/10/21	05:00:00	22.298					
88	25/10/21	06:00:00	22.298					
89	25/10/21	07:00:00	22.345					
90	25/10/21	08:00:00	22.345					
91	25/10/21	09:00:00	22.345					
92	25/10/21	10:00:00	22.274					
93	25/10/21	11:00:00	22.154					
94	25/10/21	12:00:00	22.058					
95	25/10/21	13:00:00	22.011					
96	25/10/21	14:00:00	22.106					
97	25/10/21	15:00:00	22.106					
98	25/10/21	16:00:00	22.130					
99	25/10/21	17:00:00	22.226					
100	25/10/21	18:00:00	22.298					
101	25/10/21	19:00:00	22.417					
102	25/10/21	20:00:00	22.489					
103	25/10/21	21:00:00	22.489					
104	25/10/21	22:00:00	22.345					
105	25/10/21	23:00:00	22.393					
106	26/10/21	00:00:00	22.274					
107	26/10/21	01:00:00	22.202					
108	26/10/21	02:00:00	22.202					
109	26/10/21	03:00:00	22.154					
110	26/10/21	04:00:00	22.106					
111	26/10/21	05:00:00	22.082					
112	26/10/21	06:00:00	22.154					
113	26/10/21	07:00:00	22.226					
114	26/10/21	08:00:00	22.250					
115	26/10/21	09:00:00	22.178					
116	26/10/21	10:00:00	22.154					
117	26/10/21	11:00:00	22.106					
118	26/10/21	12:00:00	21.987					
119	26/10/21	13:00:00	21.939					
120	26/10/21	14:00:00	21.963					
121	26/10/21	15:00:00	21.915					
122	26/10/21	16:00:00	21.843					
123	26/10/21	17:00:00	21.867					
124	26/10/21	18:00:00	21.867					
125	26/10/21	19:00:00	21.867					
126	26/10/21	20:00:00	21.915					
127	26/10/21	21:00:00	21.843					
128	26/10/21	22:00:00	21.843					
129	26/10/21	23:00:00	21.843					
130	27/10/21	00:00:00	21.772					
131	27/10/21	01:00:00	21.819					
132	27/10/21	02:00:00	21.819					
133	27/10/21	03:00:00	21.772					
134	27/10/21	04:00:00	21.748					
135	27/10/21	05:00:00	21.795					
136	27/10/21	06:00:00	21.819					
137	27/10/21	07:00:00	21.843					
138	27/10/21	08:00:00	21.843					
139	27/10/21	09:00:00	21.819					
140	27/10/21	10:00:00	21.772					
141	27/10/21	11:00:00	21.748					
142	27/10/21	12:00:00	21.724					
143	27/10/21	13:00:00	21.819					
144	27/10/21	14:00:00	21.867					
145	27/10/21	15:00:00	21.819					
146	27/10/21	16:00:00	21.676					
147	27/10/21	17:00:00	21.748					
148	27/10/21	18:00:00	21.652					
149	27/10/21	19:00:00	21.700					
150	27/10/21	20:00:00	21.652					
151	27/10/21	21:00:00	21.676					
152	27/10/21	22:00:00	21.700					
153	27/10/21	23:00:00	21.604					
154	28/10/21	00:00:00	21.604					
155	28/10/21	01:00:00	21.581					
156	28/10/21	02:00:00	21.652					
157	28/10/21	03:00:00	21.151					
158	28/10/21	04:00:00	21.270					
159	28/10/21	05:00:00	21.342					
