N.º	Fecha	Tiempo, GMT+02:00	Pres abs, kPa (LGR S/N: 20353241, SEN S/N: 20353241)	Temp, °C (LGR S/N: 20353241, SEN S/N: 20353241)	Acoplador separado (LGR S/N: 20353241, SEN S/N: 20353241)	Acoplador adjunto (LGR S/N: 20353241, SEN S/N: 20353241)	Host conectado (LGR S/N: 20353241, SEN S/N: 20353241)	Parado (LGR S/N: 20353241, SEN S/N: 20353241)	Final de archivo (LGR S/N: 20353241, SEN S/N: 20353241)
1	14/06/22	09:00:00	27.862						
2	14/06/22	10:00:00	18.14						
3	14/06/22	11:00:00	21.569						
4	14/06/22	12:00:00	21.76						
5	14/06/22	13:00:00	21.664						
6	14/06/22	14:00:00	21.473						
7	14/06/22	15:00:00	21.664						
8	14/06/22	16:00:00	22.238						
9	14/06/22	17:00:00	22.142						
10	14/06/22	18:00:00	22.238						
11	14/06/22	19:00:00	22.238						
12	14/06/22	20:00:00	22.142						
13	14/06/22	21:00:00	22.238						
14	14/06/22	22:00:00	22.525						
15	14/06/22	23:00:00	22.525						
16	15/06/22	00:00:00	22.812						
17	15/06/22	01:00:00	23.1						
18	15/06/22	02:00:00	22.908						
19	15/06/22	03:00:00	22.908						
20	15/06/22	04:00:00	22.812						
21	15/06/22	05:00:00	23.004						
22	15/06/22	06:00:00	23.1						
23	15/06/22	07:00:00	23.1						
24	15/06/22	08:00:00	22.812						
25	15/06/22	09:00:00	22.621						
26	15/06/22	10:00:00	22.333						
27	15/06/22	11:00:00	22.046						
28	15/06/22	12:00:00	22.046						
29	15/06/22	13:00:00	22.142						
30	15/06/22	14:00:00	22.142						
31	15/06/22	15:00:00	22.238						
32	15/06/22	16:00:00	22.142						
33	15/06/22	17:00:00	22.238						
34	15/06/22	18:00:00	22.238						
35	15/06/22	19:00:00	22.621						
36	15/06/22	20:00:00	23.484						
37	15/06/22	21:00:00	23.773						
38	15/06/22	22:00:00	23.773						
39	15/06/22	23:00:00	23.677						
40	16/06/22	00:00:00	23.581						
41	16/06/22	01:00:00	23.484						
42	16/06/22	02:00:00	23.581						
43	16/06/22	03:00:00	23.581						
44	16/06/22	04:00:00	23.484						
45	16/06/22	05:00:00	22.717						
46	16/06/22	06:00:00	22.238						
47	16/06/22	07:00:00	21.951						
48	16/06/22	08:00:00	21.569						
49	16/06/22	09:00:00	21.473						
50	16/06/22	10:00:00	21.569						
51	16/06/22	11:00:00	21.855						
52	16/06/22	12:00:00	22.333						
53	16/06/22	13:00:00	22.621						
54	16/06/22	14:00:00	21.855						
55	16/06/22	15:00:00	21.951						
56	16/06/22	16:00:00	22.717						
57	16/06/22	17:00:00	22.238						
58	16/06/22	18:00:00	22.525						
59	16/06/22	19:00:00	22.429						
60	16/06/22	20:00:00	22.621						
61	16/06/22	21:00:00	22.812						
62	16/06/22	22:00:00	23.004						
63	16/06/22	23:00:00	22.812						
64	17/06/22	00:00:00	22.812						
65	17/06/22	01:00:00	22.812						
66	17/06/22	02:00:00	22.717						
67	17/06/22	03:00:00	22.525						
68	17/06/22	04:00:00	22.525						
69	17/06/22	05:00:00	22.621						
70	17/06/22	06:00:00	23.004						
71	17/06/22	07:00:00	22.717						
72	17/06/22	08:00:00	22.717						
73	17/06/22	09:00:00	22.908						
74	17/06/22	10:00:00	22.812						
75	17/06/22	11:00:00	22.429						
76	17/06/22	12:00:00	22.429						
77	17/06/22	13:00:00	22.333						
78	17/06/22	14:00:00	22.046						
79	17/06/22	15:00:00	22.238						
80	17/06/22	16:00:00	23.196						
81	17/06/22	17:00:00	22.812						
82	17/06/22	18:00:00	22.908						
83	17/06/22	19:00:00	23.1						
84	17/06/22	20:00:00	23.004						
85	17/06/22	21:00:00	23.292						
86	17/06/22	22:00:00	23.581						
87	17/06/22	23:00:00	23.677						
88	18/06/22	00:00:00	23.773						
89	18/06/22	01:00:00	23.966						
90	18/06/22	02:00:00	23.869						
91	18/06/22	03:00:00	23.966						
92	18/06/22	04:00:00	23.966						
93	18/06/22	05:00:00	23.869						
94	18/06/22	06:00:00	23.869						
95	18/06/22	07:00:00	23.869						
96	18/06/22	08:00:00	23.581						
97	18/06/22	09:00:00	23.484						
98	18/06/22	10:00:00	23.388						
99	18/06/22	11:00:00	23.484						
100	18/06/22	12:00:00	23.869						
101	18/06/22	13:00:00	23.677						
102	18/06/22	14:00:00	23.773						
103	18/06/22	15:00:00	23.869						
104	18/06/22	16:00:00	23.773						
105	18/06/22	17:00:00	23.1						
106	18/06/22	18:00:00	23.773						
107	18/06/22	19:00:00	23.292						
108	18/06/22	20:00:00	23.869						
109	18/06/22	21:00:00	24.062						
110	18/06/22	22:00:00	24.062						
111	18/06/22	23:00:00	23.869						
112	19/06/22	00:00:00	23.966						
113	19/06/22	01:00:00	23.966						
114	19/06/22	02:00:00	24.062						
115	19/06/22	03:00:00	24.062						
116	19/06/22	04:00:00	24.255						
117	19/06/22	05:00:00	24.158						
118	19/06/22	06:00:00	24.158						
119	19/06/22	07:00:00	24.158						
120	19/06/22	08:00:00	24.158						
121	19/06/22	09:00:00	23.966						
122	19/06/22	10:00:00	23.773						
123	19/06/22	11:00:00	23.966						
124	19/06/22	12:00:00	24.062						
125	19/06/22	13:00:00	24.062						
126	19/06/22	14:00:00	23.869						
127	19/06/22	15:00:00	24.062						
128	19/06/22	16:00:00	23.581						
129	19/06/22	17:00:00	23.966						
130	19/06/22	18:00:00	23.869						
131	19/06/22	19:00:00	24.448						
132	19/06/22	20:00:00	24.545						
133	19/06/22	21:00:00	24.545						
134	19/06/22	22:00:00	25.028						
135	19/06/22	23:00:00	25.028						
136	20/06/22	00:00:00	25.125						
137	20/06/22	01:00:00	25.125						
138	20/06/22	02:00:00	25.222						
139	20/06/22	03:00:00	25.222						
140	20/06/22	04:00:00	25.125						
141	20/06/22	05:00:00	25.125						
142	20/06/22	06:00:00	25.028						
143	20/06/22	07:00:00	25.028						
144	20/06/22	08:00:00	24.738						
145	20/06/22	09:00:00	24.835						
146	20/06/22	10:00:00	24.738						
147	20/06/22	11:00:00	24.448						
148	20/06/22	12:00:00	24.545						
149	20/06/22	13:00:00	24.835						
150	20/06/22	14:00:00	24.835						
151	20/06/22	15:00:00	24.641						
152	20/06/22	16:00:00	23.966						
153	20/06/22	17:00:00	24.255						
154	20/06/22	18:00:00	24.931						
155	20/06/22	19:00:00	24.931						
156	20/06/22	20:00:00	25.028						
157	20/06/22	21:00:00	25.028						
158	20/06/22	22:00:00	24.835						
159	20/06/22	23:00:00	25.028						
160	21/06/22	00:00:00	25.028						
161	21/06/22	01:00:00	24.931						
162	21/06/22	02:00:00	25.028						
163	21/06/22	03:00:00	25.028						
164	21/06/22	04:00:00	24.931						
165	21/06/22	05:00:00	24.738						
166	21/06/22	06:00:00	24.931						
167	21/06/22	07:00:00	24.545						
