"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20235958, SEN S/N: 20235958, LBL: 25 mètres)"	"Acoplador separado (LGR S/N: 20235958, SEN S/N: 20235958)"	"Acoplador adjunto (LGR S/N: 20235958, SEN S/N: 20235958)"	"Host conectado (LGR S/N: 20235958, SEN S/N: 20235958)"	"Parado (LGR S/N: 20235958, SEN S/N: 20235958)"	"Final de archivo (LGR S/N: 20235958, SEN S/N: 20235958)"
1	29/09/22	11:00:00	23.472	Registrado				
2	29/09/22	12:00:00	22.202					
3	29/09/22	13:00:00	22.226					
4	29/09/22	14:00:00	22.298					
5	29/09/22	15:00:00	22.345					
6	29/09/22	16:00:00	22.393					
7	29/09/22	17:00:00	22.561					
8	29/09/22	18:00:00	22.585					
9	29/09/22	19:00:00	22.585					
10	29/09/22	20:00:00	22.609					
11	29/09/22	21:00:00	22.633					
12	29/09/22	22:00:00	22.609					
13	29/09/22	23:00:00	22.537					
14	30/09/22	00:00:00	22.513					
15	30/09/22	01:00:00	22.345					
16	30/09/22	02:00:00	22.489					
17	30/09/22	03:00:00	22.561					
18	30/09/22	04:00:00	22.585					
19	30/09/22	05:00:00	22.633					
20	30/09/22	06:00:00	22.633					
21	30/09/22	07:00:00	22.681					
22	30/09/22	08:00:00	22.753					
23	30/09/22	09:00:00	22.729					
24	30/09/22	10:00:00	22.705					
25	30/09/22	11:00:00	22.705					
26	30/09/22	12:00:00	22.729					
27	30/09/22	13:00:00	22.633					
28	30/09/22	14:00:00	22.609					
29	30/09/22	15:00:00	22.537					
30	30/09/22	16:00:00	22.585					
31	30/09/22	17:00:00	22.561					
32	30/09/22	18:00:00	22.513					
33	30/09/22	19:00:00	22.561					
34	30/09/22	20:00:00	22.561					
35	30/09/22	21:00:00	22.417					
36	30/09/22	22:00:00	22.298					
37	30/09/22	23:00:00	22.345					
38	01/10/22	00:00:00	22.154					
39	01/10/22	01:00:00	21.987					
40	01/10/22	02:00:00	21.772					
41	01/10/22	03:00:00	21.891					
42	01/10/22	04:00:00	21.772					
43	01/10/22	05:00:00	21.485					
44	01/10/22	06:00:00	21.963					
45	01/10/22	07:00:00	22.058					
46	01/10/22	08:00:00	22.202					
47	01/10/22	09:00:00	22.130					
48	01/10/22	10:00:00	21.963					
49	01/10/22	11:00:00	21.581					
50	01/10/22	12:00:00	21.437					
51	01/10/22	13:00:00	21.413					
52	01/10/22	14:00:00	20.055					
53	01/10/22	15:00:00	19.746					
54	01/10/22	16:00:00	19.627					
55	01/10/22	17:00:00	19.341					
56	01/10/22	18:00:00	19.460					
57	01/10/22	19:00:00	19.888					
58	01/10/22	20:00:00	20.412					
59	01/10/22	21:00:00	20.793					
60	01/10/22	22:00:00	21.270					
61	01/10/22	23:00:00	20.436					
62	02/10/22	00:00:00	20.865					
63	02/10/22	01:00:00	20.913					
64	02/10/22	02:00:00	21.127					
65	02/10/22	03:00:00	20.388					
66	02/10/22	04:00:00	21.294					
67	02/10/22	05:00:00	21.867					
68	02/10/22	06:00:00	22.058					
69	02/10/22	07:00:00	22.226					
70	02/10/22	08:00:00	22.345					
71	02/10/22	09:00:00	22.393					
72	02/10/22	10:00:00	22.369					
73	02/10/22	11:00:00	22.369					
74	02/10/22	12:00:00	22.489					
75	02/10/22	13:00:00	22.489					
76	02/10/22	14:00:00	22.537					
77	02/10/22	15:00:00	22.274					
78	02/10/22	16:00:00	21.676					
79	02/10/22	17:00:00	21.795					
80	02/10/22	18:00:00	21.724					
81	02/10/22	19:00:00	20.507					
82	02/10/22	20:00:00	20.650					
83	02/10/22	21:00:00	20.817					
84	02/10/22	22:00:00	21.032					
85	02/10/22	23:00:00	21.127					
86	03/10/22	00:00:00	21.175					
87	03/10/22	01:00:00	21.223					
88	03/10/22	02:00:00	21.246					
89	03/10/22	03:00:00	21.079					
90	03/10/22	04:00:00	20.984					
91	03/10/22	05:00:00	21.008					
92	03/10/22	06:00:00	20.817					
93	03/10/22	07:00:00	20.960					
94	03/10/22	08:00:00	21.103					
95	03/10/22	09:00:00	21.079					
96	03/10/22	10:00:00	21.103					
97	03/10/22	11:00:00	21.103					
98	03/10/22	12:00:00	20.841					
99	03/10/22	13:00:00	20.793					
100	03/10/22	14:00:00	20.555					
101	03/10/22	15:00:00	20.627					
102	03/10/22	16:00:00	20.460					
103	03/10/22	17:00:00	20.674					
104	03/10/22	18:00:00	20.793					
105	03/10/22	19:00:00	20.793					
106	03/10/22	20:00:00	20.889					
107	03/10/22	21:00:00	20.984					
108	03/10/22	22:00:00	21.127					
109	03/10/22	23:00:00	21.079					
110	04/10/22	00:00:00	21.056					
