"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20618094, SEN S/N: 20618094, LBL: PTF-5)"	"Acoplador separado (LGR S/N: 20618094, SEN S/N: 20618094)"	"Acoplador adjunto (LGR S/N: 20618094, SEN S/N: 20618094)"	"Host conectado (LGR S/N: 20618094, SEN S/N: 20618094)"	"Parado (LGR S/N: 20618094, SEN S/N: 20618094)"	"Final de archivo (LGR S/N: 20618094, SEN S/N: 20618094)"
1	06/09/22	13:00:00	26.353	Registrado				
2	06/09/22	14:00:00	26.402					
3	06/09/22	15:00:00	26.402					
4	06/09/22	16:00:00	26.524					
5	06/09/22	17:00:00	26.720					
6	06/09/22	18:00:00	26.793					
7	06/09/22	19:00:00	26.622					
8	06/09/22	20:00:00	26.500					
9	06/09/22	21:00:00	26.695					
10	06/09/22	22:00:00	26.744					
11	06/09/22	23:00:00	26.598					
12	07/09/22	00:00:00	26.256					
13	07/09/22	01:00:00	26.500					
14	07/09/22	02:00:00	26.475					
15	07/09/22	03:00:00	26.329					
16	07/09/22	04:00:00	26.304					
17	07/09/22	05:00:00	26.304					
18	07/09/22	06:00:00	26.256					
19	07/09/22	07:00:00	26.280					
20	07/09/22	08:00:00	26.329					
21	07/09/22	09:00:00	26.378					
22	07/09/22	10:00:00	26.304					
23	07/09/22	11:00:00	26.256					
24	07/09/22	12:00:00	26.280					
25	07/09/22	13:00:00	26.256					
26	07/09/22	14:00:00	26.280					
27	07/09/22	15:00:00	26.231					
28	07/09/22	16:00:00	26.256					
29	07/09/22	17:00:00	26.378					
30	07/09/22	18:00:00	26.304					
31	07/09/22	19:00:00	26.426					
32	07/09/22	20:00:00	26.426					
33	07/09/22	21:00:00	26.402					
34	07/09/22	22:00:00	26.426					
35	07/09/22	23:00:00	26.256					
36	08/09/22	00:00:00	26.231					
37	08/09/22	01:00:00	26.207					
38	08/09/22	02:00:00	26.231					
39	08/09/22	03:00:00	26.207					
40	08/09/22	04:00:00	26.207					
41	08/09/22	05:00:00	26.182					
42	08/09/22	06:00:00	26.182					
43	08/09/22	07:00:00	26.207					
44	08/09/22	08:00:00	26.158					
45	08/09/22	09:00:00	26.207					
46	08/09/22	10:00:00	26.207					
47	08/09/22	11:00:00	26.231					
48	08/09/22	12:00:00	26.451					
49	08/09/22	13:00:00	26.500					
50	08/09/22	14:00:00	26.500					
51	08/09/22	15:00:00	26.549					
52	08/09/22	16:00:00	26.549					
53	08/09/22	17:00:00	26.549					
54	08/09/22	18:00:00	26.573					
55	08/09/22	19:00:00	26.549					
56	08/09/22	20:00:00	26.524					
57	08/09/22	21:00:00	26.500					
58	08/09/22	22:00:00	26.475					
59	08/09/22	23:00:00	26.378					
60	09/09/22	00:00:00	26.256					
61	09/09/22	01:00:00	26.231					
62	09/09/22	02:00:00	26.353					
63	09/09/22	03:00:00	26.329					
64	09/09/22	04:00:00	26.329					
65	09/09/22	05:00:00	26.304					
66	09/09/22	06:00:00	26.061					
67	09/09/22	07:00:00	26.085					
68	09/09/22	08:00:00	26.036					
69	09/09/22	09:00:00	25.914					
70	09/09/22	10:00:00	25.866					
71	09/09/22	11:00:00	25.963					
72	09/09/22	12:00:00	25.987					
73	09/09/22	13:00:00	26.158					
74	09/09/22	14:00:00	26.304					
75	09/09/22	15:00:00	26.426					
76	09/09/22	16:00:00	26.475					
77	09/09/22	17:00:00	26.500					
78	09/09/22	18:00:00	26.378					
79	09/09/22	19:00:00	26.280					
80	09/09/22	20:00:00	26.207					
81	09/09/22	21:00:00	26.134					
82	09/09/22	22:00:00	26.134					
83	09/09/22	23:00:00	26.182					
84	10/09/22	00:00:00	26.158					
85	10/09/22	01:00:00	26.182					
86	10/09/22	02:00:00	26.182					
87	10/09/22	03:00:00	26.158					
88	10/09/22	04:00:00	26.134					
89	10/09/22	05:00:00	26.134					
90	10/09/22	06:00:00	26.134					
91	10/09/22	07:00:00	26.109					
92	10/09/22	08:00:00	26.085					
93	10/09/22	09:00:00	26.158					
94	10/09/22	10:00:00	26.134					
95	10/09/22	11:00:00	26.134					
96	10/09/22	12:00:00	26.182					
97	10/09/22	13:00:00	26.182					
98	10/09/22	14:00:00	26.256					
99	10/09/22	15:00:00	26.304					
100	10/09/22	16:00:00	26.329					
101	10/09/22	17:00:00	26.475					
102	10/09/22	18:00:00	26.500					
103	10/09/22	19:00:00	26.426					
104	10/09/22	20:00:00	26.402					
105	10/09/22	21:00:00	26.353					
106	10/09/22	22:00:00	26.353					
107	10/09/22	23:00:00	26.353					
108	11/09/22	00:00:00	26.329					
109	11/09/22	01:00:00	26.280					
110	11/09/22	02:00:00	26.256					
111	11/09/22	03:00:00	26.256					
112	11/09/22	04:00:00	26.256					
113	11/09/22	05:00:00	26.256					
114	11/09/22	06:00:00	26.256					
115	11/09/22	07:00:00	26.231					
116	11/09/22	08:00:00	26.207					
117	11/09/22	09:00:00	26.207					
118	11/09/22	10:00:00	26.182					
119	11/09/22	11:00:00	26.231					
120	11/09/22	12:00:00	26.280					
121	11/09/22	13:00:00	26.329					
122	11/09/22	14:00:00	26.646					
123	11/09/22	15:00:00	26.451					
124	11/09/22	16:00:00	26.402					
125	11/09/22	17:00:00	26.402					
126	11/09/22	18:00:00	26.378					
127	11/09/22	19:00:00	26.304					
128	11/09/22	20:00:00	26.280					
129	11/09/22	21:00:00	26.280					
130	11/09/22	22:00:00	26.353					
131	11/09/22	23:00:00	26.304					
132	12/09/22	00:00:00	26.304					
133	12/09/22	01:00:00	26.304					
