"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20401552, SEN S/N: 20401552, LBL: PTF -15m)"	"Acoplador separado (LGR S/N: 20401552, SEN S/N: 20401552)"	"Acoplador adjunto (LGR S/N: 20401552, SEN S/N: 20401552)"	"Host conectado (LGR S/N: 20401552, SEN S/N: 20401552)"	"Parado (LGR S/N: 20401552, SEN S/N: 20401552)"	"Final de archivo (LGR S/N: 20401552, SEN S/N: 20401552)"
1	06/09/22	13:00:00	25.186	Registrado				
2	06/09/22	14:00:00	25.065					
3	06/09/22	15:00:00	25.355					
4	06/09/22	16:00:00	25.647					
5	06/09/22	17:00:00	25.768					
6	06/09/22	18:00:00	25.623					
7	06/09/22	19:00:00	25.453					
8	06/09/22	20:00:00	25.477					
9	06/09/22	21:00:00	25.768					
10	06/09/22	22:00:00	24.050					
11	06/09/22	23:00:00	25.695					
12	07/09/22	00:00:00	25.307					
13	07/09/22	01:00:00	25.841					
14	07/09/22	02:00:00	25.963					
15	07/09/22	03:00:00	25.768					
16	07/09/22	04:00:00	25.768					
17	07/09/22	05:00:00	25.283					
18	07/09/22	06:00:00	25.963					
19	07/09/22	07:00:00	25.890					
20	07/09/22	08:00:00	25.963					
21	07/09/22	09:00:00	26.012					
22	07/09/22	10:00:00	26.085					
23	07/09/22	11:00:00	26.109					
24	07/09/22	12:00:00	25.987					
25	07/09/22	13:00:00	26.012					
26	07/09/22	14:00:00	25.914					
27	07/09/22	15:00:00	25.987					
28	07/09/22	16:00:00	26.012					
29	07/09/22	17:00:00	26.109					
30	07/09/22	18:00:00	26.036					
31	07/09/22	19:00:00	26.085					
32	07/09/22	20:00:00	26.036					
33	07/09/22	21:00:00	26.085					
34	07/09/22	22:00:00	26.158					
35	07/09/22	23:00:00	26.134					
36	08/09/22	00:00:00	26.061					
37	08/09/22	01:00:00	26.036					
38	08/09/22	02:00:00	25.939					
39	08/09/22	03:00:00	25.720					
40	08/09/22	04:00:00	25.841					
41	08/09/22	05:00:00	25.841					
42	08/09/22	06:00:00	25.963					
43	08/09/22	07:00:00	26.036					
44	08/09/22	08:00:00	26.085					
45	08/09/22	09:00:00	26.158					
46	08/09/22	10:00:00	26.158					
47	08/09/22	11:00:00	26.207					
48	08/09/22	12:00:00	26.231					
49	08/09/22	13:00:00	26.304					
50	08/09/22	14:00:00	26.280					
51	08/09/22	15:00:00	26.353					
52	08/09/22	16:00:00	26.304					
53	08/09/22	17:00:00	26.256					
54	08/09/22	18:00:00	26.231					
55	08/09/22	19:00:00	26.158					
56	08/09/22	20:00:00	26.158					
57	08/09/22	21:00:00	25.939					
58	08/09/22	22:00:00	26.182					
59	08/09/22	23:00:00	26.036					
60	09/09/22	00:00:00	26.085					
61	09/09/22	01:00:00	26.134					
62	09/09/22	02:00:00	26.256					
63	09/09/22	03:00:00	26.256					
64	09/09/22	04:00:00	26.280					
65	09/09/22	05:00:00	25.768					
66	09/09/22	06:00:00	24.798					
67	09/09/22	07:00:00	25.671					
68	09/09/22	08:00:00	25.137					
69	09/09/22	09:00:00	25.671					
70	09/09/22	10:00:00	25.793					
71	09/09/22	11:00:00	25.866					
72	09/09/22	12:00:00	25.914					
73	09/09/22	13:00:00	25.987					
74	09/09/22	14:00:00	26.207					
75	09/09/22	15:00:00	26.256					
76	09/09/22	16:00:00	26.329					
77	09/09/22	17:00:00	26.280					
78	09/09/22	18:00:00	26.256					
79	09/09/22	19:00:00	26.207					
80	09/09/22	20:00:00	26.061					
81	09/09/22	21:00:00	26.012					
82	09/09/22	22:00:00	25.987					
83	09/09/22	23:00:00	26.109					
84	10/09/22	00:00:00	26.061					
85	10/09/22	01:00:00	26.085					
86	10/09/22	02:00:00	26.134					
87	10/09/22	03:00:00	26.109					
88	10/09/22	04:00:00	26.085					
89	10/09/22	05:00:00	26.085					
90	10/09/22	06:00:00	26.085					
91	10/09/22	07:00:00	26.036					
92	10/09/22	08:00:00	26.036					
93	10/09/22	09:00:00	26.085					
94	10/09/22	10:00:00	26.061					
95	10/09/22	11:00:00	26.012					
96	10/09/22	12:00:00	26.109					
97	10/09/22	13:00:00	26.134					
98	10/09/22	14:00:00	26.182					
99	10/09/22	15:00:00	26.207					
100	10/09/22	16:00:00	26.231					
101	10/09/22	17:00:00	26.304					
102	10/09/22	18:00:00	26.426					
103	10/09/22	19:00:00	26.353					
104	10/09/22	20:00:00	26.353					
105	10/09/22	21:00:00	26.304					
106	10/09/22	22:00:00	26.304					
107	10/09/22	23:00:00	26.304					
108	11/09/22	00:00:00	26.280					
109	11/09/22	01:00:00	26.231					
110	11/09/22	02:00:00	26.182					
111	11/09/22	03:00:00	26.207					
112	11/09/22	04:00:00	26.207					
113	11/09/22	05:00:00	26.207					
114	11/09/22	06:00:00	26.207					
115	11/09/22	07:00:00	26.182					
116	11/09/22	08:00:00	26.158					
117	11/09/22	09:00:00	26.158					
118	11/09/22	10:00:00	26.134					
119	11/09/22	11:00:00	26.134					
120	11/09/22	12:00:00	26.207					
121	11/09/22	13:00:00	26.231					
