"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20401564, SEN S/N: 20401564, LBL: CalaOro_20m)"	"Acoplador separado (LGR S/N: 20401564, SEN S/N: 20401564)"	"Acoplador adjunto (LGR S/N: 20401564, SEN S/N: 20401564)"	"Host conectado (LGR S/N: 20401564, SEN S/N: 20401564)"	"Parado (LGR S/N: 20401564, SEN S/N: 20401564)"	"Final de archivo (LGR S/N: 20401564, SEN S/N: 20401564)"
1	06/09/22	13:00:00	21.795	Registrado				
2	06/09/22	14:00:00	21.342					
3	06/09/22	15:00:00	22.920					
4	06/09/22	16:00:00	23.472					
5	06/09/22	17:00:00	24.532					
6	06/09/22	18:00:00	22.441					
7	06/09/22	19:00:00	21.437					
8	06/09/22	20:00:00	21.413					
9	06/09/22	21:00:00	21.987					
10	06/09/22	22:00:00	21.843					
11	06/09/22	23:00:00	21.748					
12	07/09/22	00:00:00	21.366					
13	07/09/22	01:00:00	22.824					
14	07/09/22	02:00:00	23.689					
15	07/09/22	03:00:00	22.106					
16	07/09/22	04:00:00	22.345					
17	07/09/22	05:00:00	22.513					
18	07/09/22	06:00:00	24.291					
19	07/09/22	07:00:00	24.002					
20	07/09/22	08:00:00	24.895					
21	07/09/22	09:00:00	25.477					
22	07/09/22	10:00:00	25.647					
23	07/09/22	11:00:00	25.768					
24	07/09/22	12:00:00	25.695					
25	07/09/22	13:00:00	25.647					
26	07/09/22	14:00:00	25.065					
27	07/09/22	15:00:00	24.605					
28	07/09/22	16:00:00	25.331					
29	07/09/22	17:00:00	25.939					
30	07/09/22	18:00:00	25.987					
31	07/09/22	19:00:00	25.963					
32	07/09/22	20:00:00	23.954					
33	07/09/22	21:00:00	24.532					
34	07/09/22	22:00:00	26.085					
35	07/09/22	23:00:00	23.256					
36	08/09/22	00:00:00	24.798					
37	08/09/22	01:00:00	24.629					
38	08/09/22	02:00:00	24.847					
39	08/09/22	03:00:00	25.623					
40	08/09/22	04:00:00	25.574					
41	08/09/22	05:00:00	25.720					
42	08/09/22	06:00:00	25.866					
43	08/09/22	07:00:00	25.939					
44	08/09/22	08:00:00	26.036					
45	08/09/22	09:00:00	26.085					
46	08/09/22	10:00:00	26.134					
47	08/09/22	11:00:00	26.158					
48	08/09/22	12:00:00	26.207					
49	08/09/22	13:00:00	26.134					
50	08/09/22	14:00:00	26.207					
51	08/09/22	15:00:00	25.404					
52	08/09/22	16:00:00	24.412					
53	08/09/22	17:00:00	26.012					
54	08/09/22	18:00:00	25.768					
55	08/09/22	19:00:00	25.525					
56	08/09/22	20:00:00	24.702					
57	08/09/22	21:00:00	25.283					
58	08/09/22	22:00:00	25.768					
59	08/09/22	23:00:00	25.987					
60	09/09/22	00:00:00	26.036					
61	09/09/22	01:00:00	26.085					
62	09/09/22	02:00:00	26.036					
63	09/09/22	03:00:00	25.720					
64	09/09/22	04:00:00	24.992					
65	09/09/22	05:00:00	24.267					
66	09/09/22	06:00:00	24.484					
67	09/09/22	07:00:00	24.823					
68	09/09/22	08:00:00	25.040					
69	09/09/22	09:00:00	25.234					
70	09/09/22	10:00:00	25.744					
71	09/09/22	11:00:00	25.841					
72	09/09/22	12:00:00	25.866					
73	09/09/22	13:00:00	25.987					
74	09/09/22	14:00:00	26.182					
75	09/09/22	15:00:00	26.256					
76	09/09/22	16:00:00	26.304					
77	09/09/22	17:00:00	26.182					
78	09/09/22	18:00:00	26.207					
79	09/09/22	19:00:00	26.182					
80	09/09/22	20:00:00	25.987					
81	09/09/22	21:00:00	25.939					
82	09/09/22	22:00:00	25.939					
83	09/09/22	23:00:00	26.036					
84	10/09/22	00:00:00	26.036					
85	10/09/22	01:00:00	26.061					
86	10/09/22	02:00:00	26.109					
87	10/09/22	03:00:00	26.085					
88	10/09/22	04:00:00	26.061					
89	10/09/22	05:00:00	26.061					
90	10/09/22	06:00:00	26.036					
91	10/09/22	07:00:00	26.036					
92	10/09/22	08:00:00	26.036					
93	10/09/22	09:00:00	26.061					
94	10/09/22	10:00:00	25.914					
95	10/09/22	11:00:00	26.036					
96	10/09/22	12:00:00	26.085					
97	10/09/22	13:00:00	26.134					
98	10/09/22	14:00:00	26.158					
99	10/09/22	15:00:00	26.182					
100	10/09/22	16:00:00	26.207					
101	10/09/22	17:00:00	26.280					
102	10/09/22	18:00:00	26.353					
103	10/09/22	19:00:00	26.353					
104	10/09/22	20:00:00	26.329					
105	10/09/22	21:00:00	26.256					
106	10/09/22	22:00:00	26.280					
107	10/09/22	23:00:00	26.280					
108	11/09/22	00:00:00	26.207					
109	11/09/22	01:00:00	26.182					
110	11/09/22	02:00:00	26.158					
111	11/09/22	03:00:00	26.182					
112	11/09/22	04:00:00	26.182					
113	11/09/22	05:00:00	26.207					
114	11/09/22	06:00:00	26.182					
115	11/09/22	07:00:00	26.158					
116	11/09/22	08:00:00	26.109					
117	11/09/22	09:00:00	26.109					
118	11/09/22	10:00:00	26.134					
119	11/09/22	11:00:00	26.109					
120	11/09/22	12:00:00	26.134					
121	11/09/22	13:00:00	26.207					
122	11/09/22	14:00:00	26.207					
123	11/09/22	15:00:00	26.256					
124	11/09/22	16:00:00	26.256					
125	11/09/22	17:00:00	26.207					
126	11/09/22	18:00:00	26.207					
127	11/09/22	19:00:00	26.207					
128	11/09/22	20:00:00	26.182					
129	11/09/22	21:00:00	26.182					
130	11/09/22	22:00:00	26.207					
131	11/09/22	23:00:00	26.182					
132	12/09/22	00:00:00	26.182					
133	12/09/22	01:00:00	26.158					
134	12/09/22	02:00:00	26.182					
135	12/09/22	03:00:00	26.207					
136	12/09/22	04:00:00	26.109					
