"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20401565, SEN S/N: 20401565, LBL: CalaOro_30m)"	"Acoplador separado (LGR S/N: 20401565, SEN S/N: 20401565)"	"Acoplador adjunto (LGR S/N: 20401565, SEN S/N: 20401565)"	"Parado (LGR S/N: 20401565, SEN S/N: 20401565)"	"Final de archivo (LGR S/N: 20401565, SEN S/N: 20401565)"
1	06/09/22	13:00:00	18.961	Registrado			
2	06/09/22	14:00:00	18.699				
3	06/09/22	15:00:00	18.295				
4	06/09/22	16:00:00	18.461				
5	06/09/22	17:00:00	19.484				
6	06/09/22	18:00:00	19.770				
7	06/09/22	19:00:00	19.532				
8	06/09/22	20:00:00	18.628				
9	06/09/22	21:00:00	18.414				
10	06/09/22	22:00:00	19.175				
11	06/09/22	23:00:00	19.246				
12	07/09/22	00:00:00	19.199				
13	07/09/22	01:00:00	19.294				
14	07/09/22	02:00:00	19.389				
15	07/09/22	03:00:00	19.579				
16	07/09/22	04:00:00	19.555				
17	07/09/22	05:00:00	19.270				
18	07/09/22	06:00:00	19.008				
19	07/09/22	07:00:00	19.103				
20	07/09/22	08:00:00	19.175				
21	07/09/22	09:00:00	19.222				
22	07/09/22	10:00:00	19.413				
23	07/09/22	11:00:00	19.722				
24	07/09/22	12:00:00	20.269				
25	07/09/22	13:00:00	19.960				
26	07/09/22	14:00:00	19.936				
27	07/09/22	15:00:00	19.674				
28	07/09/22	16:00:00	20.484				
29	07/09/22	17:00:00	20.579				
30	07/09/22	18:00:00	20.531				
31	07/09/22	19:00:00	20.507				
32	07/09/22	20:00:00	20.484				
33	07/09/22	21:00:00	20.674				
34	07/09/22	22:00:00	20.555				
35	07/09/22	23:00:00	20.793				
36	08/09/22	00:00:00	20.698				
37	08/09/22	01:00:00	20.746				
38	08/09/22	02:00:00	20.674				
39	08/09/22	03:00:00	20.388				
40	08/09/22	04:00:00	20.722				
41	08/09/22	05:00:00	20.627				
42	08/09/22	06:00:00	20.841				
43	08/09/22	07:00:00	20.984				
44	08/09/22	08:00:00	20.484				
45	08/09/22	09:00:00	21.151				
46	08/09/22	10:00:00	20.603				
47	08/09/22	11:00:00	20.627				
48	08/09/22	12:00:00	20.817				
49	08/09/22	13:00:00	20.793				
50	08/09/22	14:00:00	20.817				
51	08/09/22	15:00:00	20.484				
52	08/09/22	16:00:00	20.627				
53	08/09/22	17:00:00	20.507				
54	08/09/22	18:00:00	20.746				
55	08/09/22	19:00:00	21.270				
56	08/09/22	20:00:00	22.345				
57	08/09/22	21:00:00	24.339				
58	08/09/22	22:00:00	24.074				
59	08/09/22	23:00:00	25.210				
60	09/09/22	00:00:00	26.036				
61	09/09/22	01:00:00	23.833				
62	09/09/22	02:00:00	20.126				
63	09/09/22	03:00:00	20.984				
64	09/09/22	04:00:00	22.321				
65	09/09/22	05:00:00	21.366				
66	09/09/22	06:00:00	22.729				
67	09/09/22	07:00:00	23.881				
68	09/09/22	08:00:00	24.315				
69	09/09/22	09:00:00	24.243				
70	09/09/22	10:00:00	23.160				
71	09/09/22	11:00:00	24.508				
72	09/09/22	12:00:00	24.895				
73	09/09/22	13:00:00	25.866				
74	09/09/22	14:00:00	24.002				
75	09/09/22	15:00:00	22.992				
76	09/09/22	16:00:00	23.160				
77	09/09/22	17:00:00	23.256				
78	09/09/22	18:00:00	23.424				
79	09/09/22	19:00:00	23.352				
80	09/09/22	20:00:00	22.872				
81	09/09/22	21:00:00	23.208				
82	09/09/22	22:00:00	23.208				
83	09/09/22	23:00:00	25.574				
84	10/09/22	00:00:00	25.866				
85	10/09/22	01:00:00	25.186				
86	10/09/22	02:00:00	23.280				
87	10/09/22	03:00:00	23.857				
88	10/09/22	04:00:00	25.866				
89	10/09/22	05:00:00	25.793				
90	10/09/22	06:00:00	25.695				
91	10/09/22	07:00:00	25.234				
92	10/09/22	08:00:00	25.841				
93	10/09/22	09:00:00	23.497				
94	10/09/22	10:00:00	24.895				
95	10/09/22	11:00:00	23.737				
96	10/09/22	12:00:00	25.113				
97	10/09/22	13:00:00	26.085				
98	10/09/22	14:00:00	26.109				
99	10/09/22	15:00:00	26.182				
100	10/09/22	16:00:00	26.182				
101	10/09/22	17:00:00	26.158				
102	10/09/22	18:00:00	21.557				
103	10/09/22	19:00:00	24.098				
104	10/09/22	20:00:00	20.388				
105	10/09/22	21:00:00	20.484				
106	10/09/22	22:00:00	20.960				
107	10/09/22	23:00:00	21.819				
108	11/09/22	00:00:00	22.609				
109	11/09/22	01:00:00	22.848				
110	11/09/22	02:00:00	21.318				
111	11/09/22	03:00:00	20.817				
112	11/09/22	04:00:00	20.627				
113	11/09/22	05:00:00	21.963				
114	11/09/22	06:00:00	24.653				
115	11/09/22	07:00:00	25.258				
116	11/09/22	08:00:00	25.089				
117	11/09/22	09:00:00	21.939				
118	11/09/22	10:00:00	21.772				
119	11/09/22	11:00:00	19.865				
120	11/09/22	12:00:00	19.365				
121	11/09/22	13:00:00	21.103				
122	11/09/22	14:00:00	22.274				
123	11/09/22	15:00:00	22.633				
124	11/09/22	16:00:00	21.342				
125	11/09/22	17:00:00	21.056				
126	11/09/22	18:00:00	20.150				
127	11/09/22	19:00:00	20.460				
128	11/09/22	20:00:00	20.412				
129	11/09/22	21:00:00	20.746				
130	11/09/22	22:00:00	19.746				
131	11/09/22	23:00:00	20.079				
132	12/09/22	00:00:00	18.889				
133	12/09/22	01:00:00	18.889				
134	12/09/22	02:00:00	22.489				
135	12/09/22	03:00:00	25.186				
136	12/09/22	04:00:00	23.328				
137	12/09/22	05:00:00	19.175				
138	12/09/22	06:00:00	17.058				
139	12/09/22	07:00:00	17.058				
140	12/09/22	08:00:00	20.460				
141	12/09/22	09:00:00	19.460				
142	12/09/22	10:00:00	18.509				
143	12/09/22	11:00:00	17.772				
