"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20987441, SEN S/N: 20987441)"	"Acoplador separado (LGR S/N: 20987441, SEN S/N: 20987441)"	"Acoplador adjunto (LGR S/N: 20987441, SEN S/N: 20987441)"	"Host conectado (LGR S/N: 20987441, SEN S/N: 20987441)"	"Parado (LGR S/N: 20987441, SEN S/N: 20987441)"	"Final de archivo (LGR S/N: 20987441, SEN S/N: 20987441)"
1	24/05/22	12:00:00	21.939	Registrado				
2	24/05/22	13:00:00	20.460					
3	24/05/22	14:00:00	20.341					
4	24/05/22	15:00:00	20.317					
5	24/05/22	16:00:00	20.460					
6	24/05/22	17:00:00	20.507					
7	24/05/22	18:00:00	20.507					
8	24/05/22	19:00:00	20.198					
9	24/05/22	20:00:00	20.031					
10	24/05/22	21:00:00	20.412					
11	24/05/22	22:00:00	20.246					
12	24/05/22	23:00:00	20.460					
13	25/05/22	00:00:00	20.579					
14	25/05/22	01:00:00	20.841					
15	25/05/22	02:00:00	20.650					
16	25/05/22	03:00:00	20.603					
17	25/05/22	04:00:00	20.079					
18	25/05/22	05:00:00	20.126					
19	25/05/22	06:00:00	19.770					
20	25/05/22	07:00:00	20.126					
21	25/05/22	08:00:00	20.150					
22	25/05/22	09:00:00	20.317					
23	25/05/22	10:00:00	20.460					
24	25/05/22	11:00:00	20.388					
25	25/05/22	12:00:00	20.269					
26	25/05/22	13:00:00	20.317					
27	25/05/22	14:00:00	20.531					
28	25/05/22	15:00:00	19.960					
29	25/05/22	16:00:00	20.007					
30	25/05/22	17:00:00	20.603					
31	25/05/22	18:00:00	20.698					
32	25/05/22	19:00:00	20.936					
33	25/05/22	20:00:00	20.984					
34	25/05/22	21:00:00	20.913					
35	25/05/22	22:00:00	20.865					
36	25/05/22	23:00:00	20.889					
37	26/05/22	00:00:00	20.531					
38	26/05/22	01:00:00	20.365					
39	26/05/22	02:00:00	20.913					
40	26/05/22	03:00:00	21.103					
41	26/05/22	04:00:00	21.270					
42	26/05/22	05:00:00	21.318					
43	26/05/22	06:00:00	21.175					
44	26/05/22	07:00:00	21.461					
45	26/05/22	08:00:00	21.270					
46	26/05/22	09:00:00	21.127					
47	26/05/22	10:00:00	21.223					
48	26/05/22	11:00:00	21.127					
49	26/05/22	12:00:00	21.079					
50	26/05/22	13:00:00	20.960					
51	26/05/22	14:00:00	20.793					
52	26/05/22	15:00:00	20.603					
53	26/05/22	16:00:00	20.531					
54	26/05/22	17:00:00	20.460					
55	26/05/22	18:00:00	20.698					
56	26/05/22	19:00:00	20.817					
57	26/05/22	20:00:00	20.960					
58	26/05/22	21:00:00	20.984					
59	26/05/22	22:00:00	20.674					
60	26/05/22	23:00:00	20.722					
61	27/05/22	00:00:00	20.698					
62	27/05/22	01:00:00	20.674					
63	27/05/22	02:00:00	19.841					
64	27/05/22	03:00:00	19.841					
65	27/05/22	04:00:00	20.031					
66	27/05/22	05:00:00	20.246					
67	27/05/22	06:00:00	20.317					
68	27/05/22	07:00:00	20.507					
69	27/05/22	08:00:00	20.674					
70	27/05/22	09:00:00	20.698					
71	27/05/22	10:00:00	20.817					
72	27/05/22	11:00:00	20.674					
73	27/05/22	12:00:00	20.484					
74	27/05/22	13:00:00	20.484					
75	27/05/22	14:00:00	20.936					
76	27/05/22	15:00:00	20.531					
77	27/05/22	16:00:00	20.388					
78	27/05/22	17:00:00	20.412					
79	27/05/22	18:00:00	20.388					
80	27/05/22	19:00:00	20.531					
81	27/05/22	20:00:00	20.674					
82	27/05/22	21:00:00	20.817					
83	27/05/22	22:00:00	20.960					
84	27/05/22	23:00:00	20.579					
85	28/05/22	00:00:00	20.388					
86	28/05/22	01:00:00	20.222					
87	28/05/22	02:00:00	20.388					
88	28/05/22	03:00:00	20.103					
89	28/05/22	04:00:00	19.960					
90	28/05/22	05:00:00	20.293					
91	28/05/22	06:00:00	19.389					
92	28/05/22	07:00:00	20.579					
93	28/05/22	08:00:00	20.531					
94	28/05/22	09:00:00	20.222					
95	28/05/22	10:00:00	20.984					
96	28/05/22	11:00:00	20.865					
97	28/05/22	12:00:00	21.056					
98	28/05/22	13:00:00	20.960					
99	28/05/22	14:00:00	20.889					
100	28/05/22	15:00:00	20.817					
101	28/05/22	16:00:00	21.008					
102	28/05/22	17:00:00	21.437					
103	28/05/22	18:00:00	21.390					
104	28/05/22	19:00:00	21.390					
105	28/05/22	20:00:00	21.175					
106	28/05/22	21:00:00	21.199					
107	28/05/22	22:00:00	21.199					
108	28/05/22	23:00:00	21.342					
109	29/05/22	00:00:00	21.461					
110	29/05/22	01:00:00	21.581					
111	29/05/22	02:00:00	21.485					
112	29/05/22	03:00:00	21.509					
113	29/05/22	04:00:00	21.509					
114	29/05/22	05:00:00	21.246					
115	29/05/22	06:00:00	21.294					
116	29/05/22	07:00:00	21.342					
117	29/05/22	08:00:00	21.366					
118	29/05/22	09:00:00	20.555					
119	29/05/22	10:00:00	21.390					
120	29/05/22	11:00:00	20.555					
121	29/05/22	12:00:00	20.436					
122	29/05/22	13:00:00	19.555					
123	29/05/22	14:00:00	20.007					
124	29/05/22	15:00:00	19.365					
125	29/05/22	16:00:00	19.579					
126	29/05/22	17:00:00	19.793					
127	29/05/22	18:00:00	20.555					
128	29/05/22	19:00:00	21.270					
129	29/05/22	20:00:00	21.461					
130	29/05/22	21:00:00	21.199					
131	29/05/22	22:00:00	20.865					
132	29/05/22	23:00:00	19.579					
133	30/05/22	00:00:00	20.698					
134	30/05/22	01:00:00	21.103					
135	30/05/22	02:00:00	21.175					
136	30/05/22	03:00:00	21.175					
137	30/05/22	04:00:00	21.032					
138	30/05/22	05:00:00	21.056					
139	30/05/22	06:00:00	21.223					
140	30/05/22	07:00:00	20.960					
141	30/05/22	08:00:00	20.793					
142	30/05/22	09:00:00	21.056					
143	30/05/22	10:00:00	21.223					
144	30/05/22	11:00:00	21.199					
145	30/05/22	12:00:00	21.604					
146	30/05/22	13:00:00	20.770					
147	30/05/22	14:00:00	20.365					
148	30/05/22	15:00:00	20.150					
149	30/05/22	16:00:00	20.746					
150	30/05/22	17:00:00	21.079					
151	30/05/22	18:00:00	21.413					
152	30/05/22	19:00:00	21.652					
153	30/05/22	20:00:00	21.604					
154	30/05/22	21:00:00	21.485					
155	30/05/22	22:00:00	21.533					
156	30/05/22	23:00:00	21.199					
157	31/05/22	00:00:00	19.603					
158	31/05/22	01:00:00	19.722					
159	31/05/22	02:00:00	19.651					
160	31/05/22	03:00:00	19.484					
161	31/05/22	04:00:00	19.508					
162	31/05/22	05:00:00	19.389					
163	31/05/22	06:00:00	19.912					
164	31/05/22	07:00:00	19.960					
165	31/05/22	08:00:00	20.007					
166	31/05/22	09:00:00	20.484					
167	31/05/22	10:00:00	19.960					
168	31/05/22	11:00:00	19.532					
169	31/05/22	12:00:00	20.627					
170	31/05/22	13:00:00	20.841					
171	31/05/22	14:00:00	20.913					
172	31/05/22	15:00:00	21.581					
173	31/05/22	16:00:00	20.650					
174	31/05/22	17:00:00	20.412					
175	31/05/22	18:00:00	20.817					
176	31/05/22	19:00:00	21.318					
177	31/05/22	20:00:00	21.724					
178	31/05/22	21:00:00	21.246					
179	31/05/22	22:00:00	21.390					
180	31/05/22	23:00:00	21.437					
181	01/06/22	00:00:00	21.342					
182	01/06/22	01:00:00	21.366					
183	01/06/22	02:00:00	21.533					
184	01/06/22	03:00:00	21.724					
185	01/06/22	04:00:00	21.652					
186	01/06/22	05:00:00	21.700					
187	01/06/22	06:00:00	21.628					
188	01/06/22	07:00:00	22.011					
189	01/06/22	08:00:00	21.700					
190	01/06/22	09:00:00	21.604					
191	01/06/22	10:00:00	21.604					
