"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 10956559, SEN S/N: 10956559)"	"Acoplador separado (LGR S/N: 10956559, SEN S/N: 10956559)"	"Acoplador adjunto (LGR S/N: 10956559, SEN S/N: 10956559)"	"Host conectado (LGR S/N: 10956559, SEN S/N: 10956559)"	"Parado (LGR S/N: 10956559, SEN S/N: 10956559)"	"Final de archivo (LGR S/N: 10956559, SEN S/N: 10956559)"
1	14/01/22	10:00:00	14.529	Registrado				
2	14/01/22	11:00:00	14.553					
3	14/01/22	12:00:00	14.553					
4	14/01/22	13:00:00	14.577					
5	14/01/22	14:00:00	14.577					
6	14/01/22	15:00:00	14.553					
7	14/01/22	16:00:00	14.553					
8	14/01/22	17:00:00	14.529					
9	14/01/22	18:00:00	14.529					
10	14/01/22	19:00:00	14.505					
11	14/01/22	20:00:00	14.505					
12	14/01/22	21:00:00	14.505					
13	14/01/22	22:00:00	14.481					
14	14/01/22	23:00:00	14.457					
15	15/01/22	00:00:00	14.457					
16	15/01/22	01:00:00	14.457					
17	15/01/22	02:00:00	14.433					
18	15/01/22	03:00:00	14.433					
19	15/01/22	04:00:00	14.433					
20	15/01/22	05:00:00	14.409					
21	15/01/22	06:00:00	14.409					
22	15/01/22	07:00:00	14.385					
23	15/01/22	08:00:00	14.385					
24	15/01/22	09:00:00	14.361					
25	15/01/22	10:00:00	14.361					
26	15/01/22	11:00:00	14.385					
27	15/01/22	12:00:00	14.385					
28	15/01/22	13:00:00	14.409					
29	15/01/22	14:00:00	14.385					
30	15/01/22	15:00:00	14.385					
31	15/01/22	16:00:00	14.361					
32	15/01/22	17:00:00	14.361					
33	15/01/22	18:00:00	14.361					
34	15/01/22	19:00:00	14.361					
35	15/01/22	20:00:00	14.361					
36	15/01/22	21:00:00	14.361					
37	15/01/22	22:00:00	14.361					
38	15/01/22	23:00:00	14.337					
39	16/01/22	00:00:00	14.361					
40	16/01/22	01:00:00	14.337					
41	16/01/22	02:00:00	14.314					
