File name: h2o_palamos_n52csic_2024-09-14T14:34:20_2024-09-14T16:12:36

User: h2o_palamos

Sensor: n52csic[FD:44:65:43:93:19]

Dive: boreas
Dive date range: 2024-09-14 14:34:20 - 2024-09-14 16:12:36 (UTC +02:00)

"Location: 41.835478,3.12538"

Summary: 
Duration: 1:38:16 h.
Temp: 17.52 c (min.) 22.62 c (max.) 
Depth: -23.92 m (max.)

date,temperature(c),depth(m)
2024-09-14 14:34:20,22.6,-1.32
2024-09-14 14:34:21,22.59,-1.42
2024-09-14 14:34:22,22.6,-1.47
2024-09-14 14:34:23,22.59,-1.55
2024-09-14 14:34:24,22.61,-1.5
2024-09-14 14:34:25,22.6,-1.5
2024-09-14 14:34:26,22.58,-1.62
2024-09-14 14:34:27,22.6,-1.65
2024-09-14 14:34:28,22.61,-1.62
2024-09-14 14:34:29,22.59,-1.8
2024-09-14 14:34:30,22.61,-1.85
2024-09-14 14:34:31,22.6,-2.09
2024-09-14 14:34:32,22.6,-2.19
2024-09-14 14:34:33,22.59,-2.42
2024-09-14 14:34:34,22.62,-2.69
2024-09-14 14:34:35,22.6,-2.81
2024-09-14 14:34:36,22.58,-2.88
2024-09-14 14:34:37,22.6,-2.98
2024-09-14 14:34:38,22.58,-3.23
2024-09-14 14:34:39,22.59,-3.47
2024-09-14 14:34:40,22.58,-3.57
2024-09-14 14:34:41,22.6,-3.77
2024-09-14 14:34:42,22.61,-3.97
2024-09-14 14:34:43,22.62,-4.17
2024-09-14 14:34:44,22.61,-4.39
2024-09-14 14:34:45,22.61,-4.64
2024-09-14 14:34:46,22.61,-4.84
2024-09-14 14:34:47,22.58,-5.01
2024-09-14 14:34:48,22.58,-5.18
2024-09-14 14:34:49,22.58,-5.43
2024-09-14 14:34:50,22.6,-5.58
2024-09-14 14:34:51,22.6,-5.72
2024-09-14 14:34:52,22.59,-5.95
2024-09-14 14:34:53,22.59,-5.95
2024-09-14 14:34:54,22.6,-5.92
2024-09-14 14:34:55,22.57,-5.95
2024-09-14 14:34:56,22.58,-6.02
2024-09-14 14:34:57,22.58,-6.27
2024-09-14 14:34:58,22.58,-6.49
2024-09-14 14:34:59,22.59,-6.72
2024-09-14 14:35:00,22.59,-7.02
2024-09-14 14:35:01,22.59,-7.21
2024-09-14 14:35:02,22.58,-7.51
2024-09-14 14:35:03,22.61,-7.56
2024-09-14 14:35:04,22.58,-7.68
2024-09-14 14:35:05,22.58,-7.75
2024-09-14 14:35:06,22.57,-7.85
2024-09-14 14:35:07,22.57,-7.87
2024-09-14 14:35:08,22.6,-7.87
2024-09-14 14:35:09,22.58,-7.9
2024-09-14 14:35:10,22.58,-7.97
2024-09-14 14:35:11,22.59,-8.05
2024-09-14 14:35:12,22.57,-8.1
2024-09-14 14:35:13,22.58,-8.22
2024-09-14 14:35:14,22.58,-8.32
2024-09-14 14:35:15,22.57,-8.42
2024-09-14 14:35:16,22.55,-8.47
2024-09-14 14:35:17,22.58,-8.52
2024-09-14 14:35:18,22.59,-8.52
2024-09-14 14:35:19,22.59,-8.59
2024-09-14 14:35:20,22.57,-8.69
2024-09-14 14:35:21,22.57,-8.77
2024-09-14 14:35:22,22.58,-8.77
2024-09-14 14:35:23,22.57,-8.79
2024-09-14 14:35:24,22.57,-8.82
2024-09-14 14:35:25,22.57,-8.87
2024-09-14 14:35:26,22.57,-8.89
2024-09-14 14:35:27,22.57,-9.04
2024-09-14 14:35:28,22.57,-9.23
2024-09-14 14:35:29,22.56,-9.46
2024-09-14 14:35:30,22.57,-9.63
2024-09-14 14:35:31,22.57,-9.81
2024-09-14 14:35:32,22.57,-10.0
2024-09-14 14:35:33,22.57,-10.2
2024-09-14 14:35:34,22.57,-10.37
2024-09-14 14:35:35,22.56,-10.45
2024-09-14 14:35:36,22.56,-10.62
2024-09-14 14:35:37,22.57,-10.74
2024-09-14 14:35:38,22.56,-10.89
2024-09-14 14:35:39,22.56,-11.09
2024-09-14 14:35:40,22.56,-11.24
2024-09-14 14:35:41,22.51,-11.28
2024-09-14 14:35:42,22.5,-11.33
2024-09-14 14:35:43,22.48,-11.31
2024-09-14 14:35:44,22.47,-11.26
2024-09-14 14:35:45,22.47,-11.38
2024-09-14 14:35:46,22.46,-11.48
2024-09-14 14:35:47,22.46,-11.48
2024-09-14 14:35:48,22.44,-11.36
2024-09-14 14:35:49,22.46,-11.26
2024-09-14 14:35:50,22.45,-11.26
2024-09-14 14:35:51,22.45,-11.38
2024-09-14 14:35:52,22.42,-11.56
2024-09-14 14:35:53,22.42,-11.76
2024-09-14 14:35:54,22.4,-11.95
2024-09-14 14:35:55,22.39,-12.12
2024-09-14 14:35:56,22.35,-12.3
2024-09-14 14:35:57,22.32,-12.57
2024-09-14 14:35:58,22.31,-12.74
2024-09-14 14:35:59,22.28,-12.92
2024-09-14 14:36:00,22.26,-13.14
2024-09-14 14:36:01,22.23,-13.33
2024-09-14 14:36:02,22.21,-13.63
2024-09-14 14:36:03,22.19,-13.86
2024-09-14 14:36:04,22.16,-14.1
2024-09-14 14:36:05,22.14,-14.22
2024-09-14 14:36:06,22.14,-14.5
2024-09-14 14:36:07,22.13,-14.67
2024-09-14 14:36:08,22.12,-14.89
2024-09-14 14:36:09,22.12,-15.12
2024-09-14 14:36:10,22.1,-15.23
2024-09-14 14:36:11,22.1,-15.36
2024-09-14 14:36:12,22.08,-15.43
2024-09-14 14:36:13,22.06,-15.53
2024-09-14 14:36:14,22.04,-15.61
2024-09-14 14:36:15,22.05,-15.77
2024-09-14 14:36:16,22.05,-15.95
2024-09-14 14:36:17,22.04,-16.1
2024-09-14 14:36:18,22.04,-16.35
2024-09-14 14:36:19,22.04,-16.62
2024-09-14 14:36:20,22.04,-16.89
2024-09-14 14:36:21,22.03,-17.09
2024-09-14 14:36:22,22.02,-17.31
2024-09-14 14:36:23,22.01,-17.53
2024-09-14 14:36:24,22.02,-17.8
2024-09-14 14:36:25,22.0,-18.07
