Date	Time	5	10	15	20	25	30	35	40
01/07/2020	12:00:00		23.424	22.92	22.681				
01/07/2020	13:00:00		23.448	22.968	22.729				
01/07/2020	14:00:00		23.28	22.944	22.513				
01/07/2020	15:00:00		23.4	22.968	22.369				
01/07/2020	16:00:00		23.497	23.016	22.537				
01/07/2020	17:00:00		23.448	23.208	22.513				
01/07/2020	18:00:00		23.4	23.376	22.585				
01/07/2020	19:00:00		23.376	23.352	22.824				
01/07/2020	20:00:00		23.376	22.92	22.298				
01/07/2020	21:00:00		23.064	22.8	22.441				
01/07/2020	22:00:00		23.136	22.753	22.274				
01/07/2020	23:00:00		23.112	22.729	22.298				
02/07/2020	00:00:00		23.16	22.944	22.226				
02/07/2020	01:00:00		23.136	22.92	22.226				
02/07/2020	02:00:00		23.16	22.681	22.321				
02/07/2020	03:00:00		23.232	22.8	22.274				
02/07/2020	04:00:00		23.28	22.681	22.393				
02/07/2020	05:00:00		23.352	22.992	22.417				
02/07/2020	06:00:00		23.256	23.088	22.321				
02/07/2020	07:00:00		23.232	22.824	22.274				
02/07/2020	08:00:00		23.256	23.064	22.321				
02/07/2020	09:00:00		23.4	23.232	22.633				
02/07/2020	10:00:00		23.4	23.184	22.274				
02/07/2020	11:00:00		23.4	23.304	22.345				
02/07/2020	12:00:00		23.472	23.448	22.298				
02/07/2020	13:00:00		23.521	23.4	22.178				
02/07/2020	14:00:00		23.545	22.872	22.058				
02/07/2020	15:00:00		23.376	22.561	21.748				
02/07/2020	16:00:00		23.376	22.393	21.819				
02/07/2020	17:00:00		22.944	22.417	21.963				
02/07/2020	18:00:00		22.633	22.417	22.25				
02/07/2020	19:00:00		22.609	22.489	22.298				
02/07/2020	20:00:00		22.417	22.369	22.274				
02/07/2020	21:00:00		23.04	22.345	22.178				
02/07/2020	22:00:00		23.304	22.369	21.987				
02/07/2020	23:00:00		23.232	22.417	21.867				
03/07/2020	00:00:00		23.256	22.537	21.891				
03/07/2020	01:00:00		23.256	22.321	21.628				
03/07/2020	02:00:00		23.208	22.345	21.795				
03/07/2020	03:00:00		23.256	22.417	21.557				
03/07/2020	04:00:00		22.992	22.274	21.748				
03/07/2020	05:00:00		23.16	22.321	21.676				
03/07/2020	06:00:00		23.064	22.274	21.056				
03/07/2020	07:00:00		23.232	22.441	20.889				
03/07/2020	08:00:00		23.208	22.585	21.7				
03/07/2020	09:00:00		23.424	22.441	21.223				
03/07/2020	10:00:00		23.376	22.011	21.485				
03/07/2020	11:00:00		23.641	22.25	21.413				
03/07/2020	12:00:00		23.689	23.088	22.082				
03/07/2020	13:00:00		23.665	23.545	21.987				
03/07/2020	14:00:00		23.737	23.593	22.705				
03/07/2020	15:00:00		23.737	23.376	22.011				
03/07/2020	16:00:00		23.497	22.25	22.011				
03/07/2020	17:00:00		23.016	22.25	21.915				
03/07/2020	18:00:00		23.569	22.393	22.154				
03/07/2020	19:00:00		23.232	22.274	22.011				
03/07/2020	20:00:00		23.208	22.705	21.987				
03/07/2020	21:00:00		23.497	23.328	21.987				
03/07/2020	22:00:00		23.593	23.569	22.417				
03/07/2020	23:00:00		23.641	23.4	22.106				
04/07/2020	00:00:00		23.617	22.944	22.106				
04/07/2020	01:00:00		23.641	23.328	22.058				
04/07/2020	02:00:00		23.617	22.513	22.082				
04/07/2020	03:00:00		23.569	23.232	22.298				
04/07/2020	04:00:00		23.545	22.872	22.369				
04/07/2020	05:00:00		23.545	22.872	22.465				
