"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21151972, SEN S/N: 21151972)"	"Acoplador separado (LGR S/N: 21151972, SEN S/N: 21151972)"	"Acoplador adjunto (LGR S/N: 21151972, SEN S/N: 21151972)"	"Host conectado (LGR S/N: 21151972, SEN S/N: 21151972)"	"Parado (LGR S/N: 21151972, SEN S/N: 21151972)"	"Final de archivo (LGR S/N: 21151972, SEN S/N: 21151972)"
1	07/09/23	09:00:00	23.400	Registrado				
2	07/09/23	10:00:00	22.657					
3	07/09/23	11:00:00	23.040					
4	07/09/23	12:00:00	23.400					
5	07/09/23	13:00:00	23.881					
6	07/09/23	14:00:00	24.026					
7	07/09/23	15:00:00	24.605					
8	07/09/23	16:00:00	24.339					
9	07/09/23	17:00:00	23.809					
10	07/09/23	18:00:00	23.569					
11	07/09/23	19:00:00	22.992					
12	07/09/23	20:00:00	22.776					
13	07/09/23	21:00:00	22.753					
14	07/09/23	22:00:00	22.729					
15	07/09/23	23:00:00	22.729					
16	08/09/23	00:00:00	22.753					
17	08/09/23	01:00:00	22.729					
18	08/09/23	02:00:00	22.729					
19	08/09/23	03:00:00	22.705					
20	08/09/23	04:00:00	22.705					
21	08/09/23	05:00:00	22.705					
22	08/09/23	06:00:00	22.705					
23	08/09/23	07:00:00	22.824					
24	08/09/23	08:00:00	22.944					
25	08/09/23	09:00:00	23.040					
26	08/09/23	10:00:00	23.112					
27	08/09/23	11:00:00	23.256					
28	08/09/23	12:00:00	23.521					
29	08/09/23	13:00:00	23.785					
30	08/09/23	14:00:00	23.978					
31	08/09/23	15:00:00	24.026					
32	08/09/23	16:00:00	23.978					
33	08/09/23	17:00:00	23.857					
34	08/09/23	18:00:00	23.641					
35	08/09/23	19:00:00	23.472					
36	08/09/23	20:00:00	23.304					
37	08/09/23	21:00:00	23.256					
38	08/09/23	22:00:00	23.280					
39	08/09/23	23:00:00	23.448					
40	09/09/23	00:00:00	23.328					
41	09/09/23	01:00:00	23.376					
42	09/09/23	02:00:00	23.256					
43	09/09/23	03:00:00	23.400					
44	09/09/23	04:00:00	23.328					
45	09/09/23	05:00:00	23.088					
46	09/09/23	06:00:00	23.088					
47	09/09/23	07:00:00	23.064					
48	09/09/23	08:00:00	23.112					
49	09/09/23	09:00:00	23.136					
50	09/09/23	10:00:00	23.352					
51	09/09/23	11:00:00	23.448					
52	09/09/23	12:00:00	23.617					
53	09/09/23	13:00:00	23.809					
54	09/09/23	14:00:00	23.881					
55	09/09/23	15:00:00	23.954					
56	09/09/23	16:00:00	24.002					
57	09/09/23	17:00:00	23.785					
58	09/09/23	18:00:00	23.641					
59	09/09/23	19:00:00	23.472					
60	09/09/23	20:00:00	23.400					
61	09/09/23	21:00:00	23.497					
62	09/09/23	22:00:00	23.448					
63	09/09/23	23:00:00	23.328					
64	10/09/23	00:00:00	23.400					
65	10/09/23	01:00:00	23.400					
66	10/09/23	02:00:00	23.352					
67	10/09/23	03:00:00	23.400					
68	10/09/23	04:00:00	23.424					
69	10/09/23	05:00:00	23.400					
70	10/09/23	06:00:00	23.376					
71	10/09/23	07:00:00	23.376					
72	10/09/23	08:00:00	23.448					
73	10/09/23	09:00:00	23.472					
74	10/09/23	10:00:00	23.545					
75	10/09/23	11:00:00	23.593					
76	10/09/23	12:00:00	23.785					
77	10/09/23	13:00:00	24.026					
78	10/09/23	14:00:00	24.146					
79	10/09/23	15:00:00	24.098					
80	10/09/23	16:00:00	23.978					
81	10/09/23	17:00:00	23.833					
82	10/09/23	18:00:00	23.737					
83	10/09/23	19:00:00	23.424					
84	10/09/23	20:00:00	23.376					
85	10/09/23	21:00:00	23.400					
86	10/09/23	22:00:00	23.352					
87	10/09/23	23:00:00	23.256					
88	11/09/23	00:00:00	23.400					
89	11/09/23	01:00:00	23.424					
90	11/09/23	02:00:00	23.400					
91	11/09/23	03:00:00	23.424					
92	11/09/23	04:00:00	23.400					
93	11/09/23	05:00:00	23.400					
94	11/09/23	06:00:00	23.400					
95	11/09/23	07:00:00	23.400					
96	11/09/23	08:00:00	23.448					
97	11/09/23	09:00:00	23.521					
98	11/09/23	10:00:00	23.617					
99	11/09/23	11:00:00	23.737					
100	11/09/23	12:00:00	23.978					
101	11/09/23	13:00:00	24.122					
102	11/09/23	14:00:00	24.219					
103	11/09/23	15:00:00	24.074					
104	11/09/23	16:00:00	24.098					
105	11/09/23	17:00:00	23.881					
106	11/09/23	18:00:00	23.689					
107	11/09/23	19:00:00	23.448					
108	11/09/23	20:00:00	23.424					
109	11/09/23	21:00:00	23.448					
110	11/09/23	22:00:00	23.400					
111	11/09/23	23:00:00	23.376					
112	12/09/23	00:00:00	23.352					
113	12/09/23	01:00:00	23.400					
114	12/09/23	02:00:00	23.376					
115	12/09/23	03:00:00	23.400					
116	12/09/23	04:00:00	23.400					
117	12/09/23	05:00:00	23.400					
118	12/09/23	06:00:00	23.424					
119	12/09/23	07:00:00	23.448					
120	12/09/23	08:00:00	23.472					
121	12/09/23	09:00:00	23.521					
122	12/09/23	10:00:00	23.593					
123	12/09/23	11:00:00	23.761					
124	12/09/23	12:00:00	23.737					
125	12/09/23	13:00:00	23.930					
126	12/09/23	14:00:00	23.881					
127	12/09/23	15:00:00	24.291					
128	12/09/23	16:00:00	24.532					
129	12/09/23	17:00:00	24.002					
130	12/09/23	18:00:00	23.881					
131	12/09/23	19:00:00	23.713					
132	12/09/23	20:00:00	23.593					
133	12/09/23	21:00:00	23.472					
134	12/09/23	22:00:00	23.448					
135	12/09/23	23:00:00	23.448					
136	13/09/23	00:00:00	23.424					
137	13/09/23	01:00:00	23.424					
138	13/09/23	02:00:00	23.352					
139	13/09/23	03:00:00	23.376					
140	13/09/23	04:00:00	23.352					
141	13/09/23	05:00:00	23.376					
142	13/09/23	06:00:00	23.497					
143	13/09/23	07:00:00	23.545					
144	13/09/23	08:00:00	23.593					
145	13/09/23	09:00:00	23.641					
146	13/09/23	10:00:00	23.689					
147	13/09/23	11:00:00	23.737					
148	13/09/23	12:00:00	23.809					
149	13/09/23	13:00:00	24.050					
150	13/09/23	14:00:00	24.195					
151	13/09/23	15:00:00	23.930					
152	13/09/23	16:00:00	23.713					
153	13/09/23	17:00:00	23.785					
154	13/09/23	18:00:00	23.617					
155	13/09/23	19:00:00	23.472					
156	13/09/23	20:00:00	23.448					
157	13/09/23	21:00:00	23.472					
158	13/09/23	22:00:00	23.448					
159	13/09/23	23:00:00	23.521					
160	14/09/23	00:00:00	23.593					
161	14/09/23	01:00:00	23.593					
162	14/09/23	02:00:00	23.569					
163	14/09/23	03:00:00	23.593					
164	14/09/23	04:00:00	23.545					
165	14/09/23	05:00:00	23.545					
166	14/09/23	06:00:00	23.545					
167	14/09/23	07:00:00	23.569					
168	14/09/23	08:00:00	23.593					
169	14/09/23	09:00:00	23.593					
170	14/09/23	10:00:00	23.641					
171	14/09/23	11:00:00	23.761					
172	14/09/23	12:00:00	23.930					
173	14/09/23	13:00:00	24.026					
174	14/09/23	14:00:00	24.339					
175	14/09/23	15:00:00	24.171					
176	14/09/23	16:00:00	24.195					
177	14/09/23	17:00:00	23.930					
178	14/09/23	18:00:00	23.761					
179	14/09/23	19:00:00	23.641					
180	14/09/23	20:00:00	23.617					
181	14/09/23	21:00:00	23.617					
182	14/09/23	22:00:00	23.665					
183	14/09/23	23:00:00	23.737					
184	15/09/23	00:00:00	23.737					
185	15/09/23	01:00:00	23.713					
186	15/09/23	02:00:00	23.617					
187	15/09/23	03:00:00	23.593					
188	15/09/23	04:00:00	23.569					
189	15/09/23	05:00:00	23.545					
190	15/09/23	06:00:00	23.545					
191	15/09/23	07:00:00	23.521					
192	15/09/23	08:00:00	23.545					
193	15/09/23	09:00:00	23.545					
194	15/09/23	10:00:00	23.545					
195	15/09/23	11:00:00	23.641					
196	15/09/23	12:00:00	23.857					
197	15/09/23	13:00:00	24.122					
198	15/09/23	14:00:00	24.315					
199	15/09/23	15:00:00	24.243					
200	15/09/23	16:00:00	24.146					
201	15/09/23	17:00:00	24.122					
202	15/09/23	18:00:00	23.857					
203	15/09/23	19:00:00	23.737					
204	15/09/23	20:00:00	23.737					
205	15/09/23	21:00:00	23.713					
206	15/09/23	22:00:00	23.689					
207	15/09/23	23:00:00	23.689					
208	16/09/23	00:00:00	23.641					
209	16/09/23	01:00:00	23.689					
210	16/09/23	02:00:00	23.761					
211	16/09/23	03:00:00	23.761					
212	16/09/23	04:00:00	23.737					
213	16/09/23	05:00:00	23.713					
214	16/09/23	06:00:00	23.713					
215	16/09/23	07:00:00	23.689					
216	16/09/23	08:00:00	23.713					
217	16/09/23	09:00:00	23.857					
218	16/09/23	10:00:00	23.954					
219	16/09/23	11:00:00	23.954					
220	16/09/23	12:00:00	24.002					
221	16/09/23	13:00:00	24.098					
222	16/09/23	14:00:00	24.026					
223	16/09/23	15:00:00	24.484					
224	16/09/23	16:00:00	24.412					
225	16/09/23	17:00:00	24.122					
226	16/09/23	18:00:00	23.954					
227	16/09/23	19:00:00	23.905					
228	16/09/23	20:00:00	23.881					
229	16/09/23	21:00:00	23.881					
230	16/09/23	22:00:00	24.171					
231	16/09/23	23:00:00	24.195					
232	17/09/23	00:00:00	24.195					
233	17/09/23	01:00:00	24.171					
234	17/09/23	02:00:00	24.146					
235	17/09/23	03:00:00	24.074					
236	17/09/23	04:00:00	24.050					
237	17/09/23	05:00:00	24.026					
238	17/09/23	06:00:00	23.930					
239	17/09/23	07:00:00	23.905					
240	17/09/23	08:00:00	23.930					
241	17/09/23	09:00:00	23.978					
242	17/09/23	10:00:00	24.026					
243	17/09/23	11:00:00	24.050					
244	17/09/23	12:00:00	24.219					
245	17/09/23	13:00:00	24.460					
246	17/09/23	14:00:00	24.702					
247	17/09/23	15:00:00	24.750					
248	17/09/23	16:00:00	24.605					
249	17/09/23	17:00:00	24.412					
250	17/09/23	18:00:00	24.388					
251	17/09/23	19:00:00	24.219					
252	17/09/23	20:00:00	24.171					
253	17/09/23	21:00:00	24.098					
254	17/09/23	22:00:00	23.930					
255	17/09/23	23:00:00	23.881					
256	18/09/23	00:00:00	23.881					
257	18/09/23	01:00:00	23.978					
258	18/09/23	02:00:00	24.895					
259	18/09/23	03:00:00	24.798					
260	18/09/23	04:00:00	24.702					
261	18/09/23	05:00:00	24.557					
262	18/09/23	06:00:00	24.460					
263	18/09/23	07:00:00	24.436					
264	18/09/23	08:00:00	24.460					
265	18/09/23	09:00:00	24.484					
266	18/09/23	10:00:00	24.557					
267	18/09/23	11:00:00	24.557					
268	18/09/23	12:00:00	24.605					
269	18/09/23	13:00:00	24.557					
270	18/09/23	14:00:00	24.605					
271	18/09/23	15:00:00	24.412					
272	18/09/23	16:00:00	24.291					
273	18/09/23	17:00:00	24.146					
274	18/09/23	18:00:00	24.074					
275	18/09/23	19:00:00	24.050					
276	18/09/23	20:00:00	24.074					
277	18/09/23	21:00:00	24.074					
278	18/09/23	22:00:00	24.098					
279	18/09/23	23:00:00	24.098					
280	19/09/23	00:00:00	24.122					
