"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20235935, SEN S/N: 20235935, LBL: Canelle 20m)"	"Acoplador separado (LGR S/N: 20235935, SEN S/N: 20235935)"	"Acoplador adjunto (LGR S/N: 20235935, SEN S/N: 20235935)"	"Host conectado (LGR S/N: 20235935, SEN S/N: 20235935)"	"Parado (LGR S/N: 20235935, SEN S/N: 20235935)"	"Final de archivo (LGR S/N: 20235935, SEN S/N: 20235935)"
1	07/09/23	09:00:00	22.920	Registrado				
2	07/09/23	10:00:00	18.390					
3	07/09/23	11:00:00	20.555					
4	07/09/23	12:00:00	18.390					
5	07/09/23	13:00:00	18.438					
6	07/09/23	14:00:00	18.295					
7	07/09/23	15:00:00	18.533					
8	07/09/23	16:00:00	18.628					
9	07/09/23	17:00:00	18.176					
10	07/09/23	18:00:00	19.318					
11	07/09/23	19:00:00	21.342					
12	07/09/23	20:00:00	19.722					
13	07/09/23	21:00:00	19.674					
14	07/09/23	22:00:00	19.603					
15	07/09/23	23:00:00	18.913					
16	08/09/23	00:00:00	20.698					
17	08/09/23	01:00:00	20.079					
18	08/09/23	02:00:00	20.317					
19	08/09/23	03:00:00	20.031					
20	08/09/23	04:00:00	21.032					
21	08/09/23	05:00:00	21.294					
22	08/09/23	06:00:00	20.531					
23	08/09/23	07:00:00	20.269					
24	08/09/23	08:00:00	19.436					
25	08/09/23	09:00:00	21.437					
26	08/09/23	10:00:00	20.913					
27	08/09/23	11:00:00	20.198					
28	08/09/23	12:00:00	20.889					
29	08/09/23	13:00:00	21.652					
30	08/09/23	14:00:00	21.795					
31	08/09/23	15:00:00	21.604					
32	08/09/23	16:00:00	21.509					
33	08/09/23	17:00:00	21.867					
34	08/09/23	18:00:00	21.867					
35	08/09/23	19:00:00	21.437					
36	08/09/23	20:00:00	21.748					
37	08/09/23	21:00:00	21.079					
38	08/09/23	22:00:00	20.269					
39	08/09/23	23:00:00	20.055					
40	09/09/23	00:00:00	20.841					
41	09/09/23	01:00:00	20.984					
42	09/09/23	02:00:00	21.509					
43	09/09/23	03:00:00	19.912					
44	09/09/23	04:00:00	21.390					
45	09/09/23	05:00:00	22.465					
46	09/09/23	06:00:00	21.461					
47	09/09/23	07:00:00	20.007					
48	09/09/23	08:00:00	20.793					
49	09/09/23	09:00:00	21.056					
50	09/09/23	10:00:00	21.199					
51	09/09/23	11:00:00	21.795					
52	09/09/23	12:00:00	22.058					
53	09/09/23	13:00:00	21.724					
54	09/09/23	14:00:00	20.555					
55	09/09/23	15:00:00	20.412					
56	09/09/23	16:00:00	21.008					
57	09/09/23	17:00:00	20.388					
58	09/09/23	18:00:00	20.793					
59	09/09/23	19:00:00	20.341					
60	09/09/23	20:00:00	20.293					
61	09/09/23	21:00:00	20.579					
62	09/09/23	22:00:00	20.150					
63	09/09/23	23:00:00	21.151					
64	10/09/23	00:00:00	20.198					
65	10/09/23	01:00:00	21.008					
66	10/09/23	02:00:00	21.270					
67	10/09/23	03:00:00	20.865					
68	10/09/23	04:00:00	21.199					
69	10/09/23	05:00:00	21.318					
70	10/09/23	06:00:00	21.079					
71	10/09/23	07:00:00	20.746					
72	10/09/23	08:00:00	20.460					
73	10/09/23	09:00:00	21.557					
74	10/09/23	10:00:00	21.032					
75	10/09/23	11:00:00	21.413					
76	10/09/23	12:00:00	21.652					
77	10/09/23	13:00:00	20.531					
78	10/09/23	14:00:00	20.960					
79	10/09/23	15:00:00	21.127					
80	10/09/23	16:00:00	21.652					
81	10/09/23	17:00:00	21.056					
82	10/09/23	18:00:00	21.437					
83	10/09/23	19:00:00	21.676					
84	10/09/23	20:00:00	21.533					
85	10/09/23	21:00:00	21.366					
86	10/09/23	22:00:00	21.032					
87	10/09/23	23:00:00	21.461					
88	11/09/23	00:00:00	21.461					
89	11/09/23	01:00:00	21.652					
90	11/09/23	02:00:00	21.867					
91	11/09/23	03:00:00	21.628					
92	11/09/23	04:00:00	21.223					
93	11/09/23	05:00:00	21.724					
94	11/09/23	06:00:00	21.103					
95	11/09/23	07:00:00	21.294					
96	11/09/23	08:00:00	21.843					
97	11/09/23	09:00:00	21.915					
98	11/09/23	10:00:00	21.748					
99	11/09/23	11:00:00	21.891					
100	11/09/23	12:00:00	22.011					
101	11/09/23	13:00:00	20.865					
102	11/09/23	14:00:00	20.627					
103	11/09/23	15:00:00	21.366					
104	11/09/23	16:00:00	21.151					
105	11/09/23	17:00:00	21.485					
106	11/09/23	18:00:00	21.246					
107	11/09/23	19:00:00	21.390					
108	11/09/23	20:00:00	21.342					
109	11/09/23	21:00:00	21.079					
110	11/09/23	22:00:00	21.557					
111	11/09/23	23:00:00	21.318					
112	12/09/23	00:00:00	21.963					
113	12/09/23	01:00:00	21.843					
114	12/09/23	02:00:00	22.154					
115	12/09/23	03:00:00	21.819					
116	12/09/23	04:00:00	21.676					
117	12/09/23	05:00:00	21.008					
118	12/09/23	06:00:00	21.557					
119	12/09/23	07:00:00	21.437					
120	12/09/23	08:00:00	21.437					
121	12/09/23	09:00:00	21.056					
122	12/09/23	10:00:00	22.154					
123	12/09/23	11:00:00	21.724					
124	12/09/23	12:00:00	21.987					
125	12/09/23	13:00:00	22.082					
126	12/09/23	14:00:00	21.676					
127	12/09/23	15:00:00	21.963					
128	12/09/23	16:00:00	21.891					
129	12/09/23	17:00:00	21.819					
130	12/09/23	18:00:00	21.915					
131	12/09/23	19:00:00	22.058					
132	12/09/23	20:00:00	21.939					
133	12/09/23	21:00:00	22.034					
134	12/09/23	22:00:00	22.011					
135	12/09/23	23:00:00	21.581					
136	13/09/23	00:00:00	22.130					
137	13/09/23	01:00:00	22.202					
138	13/09/23	02:00:00	22.633					
139	13/09/23	03:00:00	23.040					
140	13/09/23	04:00:00	23.160					
141	13/09/23	05:00:00	23.256					
142	13/09/23	06:00:00	22.011					
143	13/09/23	07:00:00	22.250					
144	13/09/23	08:00:00	22.417					
145	13/09/23	09:00:00	22.729					
146	13/09/23	10:00:00	22.585					
147	13/09/23	11:00:00	22.345					
148	13/09/23	12:00:00	22.776					
149	13/09/23	13:00:00	23.016					
150	13/09/23	14:00:00	22.537					
151	13/09/23	15:00:00	21.867					
152	13/09/23	16:00:00	22.058					
153	13/09/23	17:00:00	22.011					
154	13/09/23	18:00:00	22.321					
155	13/09/23	19:00:00	22.537					
156	13/09/23	20:00:00	22.226					
157	13/09/23	21:00:00	22.465					
158	13/09/23	22:00:00	21.891					
159	13/09/23	23:00:00	22.274					
160	14/09/23	00:00:00	22.226					
161	14/09/23	01:00:00	22.154					
162	14/09/23	02:00:00	22.178					
163	14/09/23	03:00:00	22.250					
164	14/09/23	04:00:00	21.915					
165	14/09/23	05:00:00	21.843					
166	14/09/23	06:00:00	22.011					
167	14/09/23	07:00:00	22.226					
168	14/09/23	08:00:00	22.585					
169	14/09/23	09:00:00	22.513					
170	14/09/23	10:00:00	22.154					
171	14/09/23	11:00:00	21.819					
172	14/09/23	12:00:00	21.915					
173	14/09/23	13:00:00	22.058					
174	14/09/23	14:00:00	22.154					
175	14/09/23	15:00:00	22.250					
176	14/09/23	16:00:00	22.298					
177	14/09/23	17:00:00	22.298					
178	14/09/23	18:00:00	22.298					
179	14/09/23	19:00:00	22.489					
180	14/09/23	20:00:00	22.345					
181	14/09/23	21:00:00	22.250					
182	14/09/23	22:00:00	22.489					
183	14/09/23	23:00:00	22.465					
184	15/09/23	00:00:00	22.465					
185	15/09/23	01:00:00	22.250					
186	15/09/23	02:00:00	22.393					
187	15/09/23	03:00:00	22.513					
188	15/09/23	04:00:00	22.753					
189	15/09/23	05:00:00	22.585					
190	15/09/23	06:00:00	22.513					
191	15/09/23	07:00:00	22.776					
192	15/09/23	08:00:00	22.968					
193	15/09/23	09:00:00	23.016					
194	15/09/23	10:00:00	22.321					
195	15/09/23	11:00:00	22.585					
196	15/09/23	12:00:00	23.016					
197	15/09/23	13:00:00	22.393					
198	15/09/23	14:00:00	22.345					
199	15/09/23	15:00:00	22.681					
200	15/09/23	16:00:00	22.776					
201	15/09/23	17:00:00	22.681					
202	15/09/23	18:00:00	22.657					
203	15/09/23	19:00:00	22.753					
204	15/09/23	20:00:00	22.657					
205	15/09/23	21:00:00	22.489					
206	15/09/23	22:00:00	22.465					
207	15/09/23	23:00:00	22.417					
208	16/09/23	00:00:00	22.465					
209	16/09/23	01:00:00	22.489					
210	16/09/23	02:00:00	22.657					
211	16/09/23	03:00:00	22.489					
212	16/09/23	04:00:00	22.848					
213	16/09/23	05:00:00	22.872					
214	16/09/23	06:00:00	22.872					
215	16/09/23	07:00:00	22.776					
216	16/09/23	08:00:00	22.345					
217	16/09/23	09:00:00	22.848					
218	16/09/23	10:00:00	22.657					
219	16/09/23	11:00:00	22.848					
220	16/09/23	12:00:00	22.920					
221	16/09/23	13:00:00	22.729					
222	16/09/23	14:00:00	22.681					
223	16/09/23	15:00:00	22.872					
224	16/09/23	16:00:00	23.280					
225	16/09/23	17:00:00	23.521					
226	16/09/23	18:00:00	23.689					
227	16/09/23	19:00:00	23.617					
228	16/09/23	20:00:00	23.737					
229	16/09/23	21:00:00	23.809					
230	16/09/23	22:00:00	23.954					
231	16/09/23	23:00:00	22.681					
232	17/09/23	00:00:00	22.872					
233	17/09/23	01:00:00	22.896					
234	17/09/23	02:00:00	22.896					
235	17/09/23	03:00:00	22.992					
236	17/09/23	04:00:00	23.088					
237	17/09/23	05:00:00	22.633					
238	17/09/23	06:00:00	23.064					
239	17/09/23	07:00:00	23.112					
240	17/09/23	08:00:00	23.208					
241	17/09/23	09:00:00	22.824					
242	17/09/23	10:00:00	23.016					
243	17/09/23	11:00:00	23.208					
244	17/09/23	12:00:00	23.064					
245	17/09/23	13:00:00	22.633					
246	17/09/23	14:00:00	22.968					
247	17/09/23	15:00:00	23.040					
248	17/09/23	16:00:00	22.824					
249	17/09/23	17:00:00	22.298					
250	17/09/23	18:00:00	22.393					
251	17/09/23	19:00:00	22.298					
252	17/09/23	20:00:00	22.657					
253	17/09/23	21:00:00	22.633					
254	17/09/23	22:00:00	22.753					
255	17/09/23	23:00:00	22.585					
256	18/09/23	00:00:00	22.681					
257	18/09/23	01:00:00	23.160					
258	18/09/23	02:00:00	23.545					
259	18/09/23	03:00:00	23.424					
260	18/09/23	04:00:00	23.497					
261	18/09/23	05:00:00	23.665					
262	18/09/23	06:00:00	24.002					
263	18/09/23	07:00:00	23.232					
264	18/09/23	08:00:00	22.154					
265	18/09/23	09:00:00	22.776					
266	18/09/23	10:00:00	22.393					
267	18/09/23	11:00:00	22.968					
268	18/09/23	12:00:00	22.585					
269	18/09/23	13:00:00	22.896					
270	18/09/23	14:00:00	23.040					
271	18/09/23	15:00:00	23.232					
272	18/09/23	16:00:00	23.208					
273	18/09/23	17:00:00	23.184					
274	18/09/23	18:00:00	22.848					
275	18/09/23	19:00:00	23.088					
276	18/09/23	20:00:00	23.112					
277	18/09/23	21:00:00	23.112					
278	18/09/23	22:00:00	22.944					
279	18/09/23	23:00:00	22.920					
280	19/09/23	00:00:00	23.064					
281	19/09/23	01:00:00	23.112					
282	19/09/23	02:00:00	23.160					
283	19/09/23	03:00:00	23.208					
284	19/09/23	04:00:00	23.304					
285	19/09/23	05:00:00	23.400					
286	19/09/23	06:00:00	23.448					
287	19/09/23	07:00:00	23.448					
288	19/09/23	08:00:00	23.448					
289	19/09/23	09:00:00	23.472					
290	19/09/23	10:00:00	23.521					
291	19/09/23	11:00:00	23.545					
292	19/09/23	12:00:00	23.593					
293	19/09/23	13:00:00	23.497					
294	19/09/23	14:00:00	23.352					
295	19/09/23	15:00:00	23.304					
296	19/09/23	16:00:00	23.400					
297	19/09/23	17:00:00	23.352					
298	19/09/23	18:00:00	23.424					
299	19/09/23	19:00:00	23.569					
300	19/09/23	20:00:00	23.521					
301	19/09/23	21:00:00	23.328					
302	19/09/23	22:00:00	23.424					
303	19/09/23	23:00:00	23.448					
304	20/09/23	00:00:00	23.424					
305	20/09/23	01:00:00	23.352					
306	20/09/23	02:00:00	23.400					
307	20/09/23	03:00:00	23.376					
308	20/09/23	04:00:00	23.352					
309	20/09/23	05:00:00	23.328					
310	20/09/23	06:00:00	23.280					
311	20/09/23	07:00:00	23.424					
312	20/09/23	08:00:00	23.545					
313	20/09/23	09:00:00	23.641					
314	20/09/23	10:00:00	23.665					
315	20/09/23	11:00:00	23.689					
316	20/09/23	12:00:00	23.689					
317	20/09/23	13:00:00	23.737					
318	20/09/23	14:00:00	23.761					
319	20/09/23	15:00:00	23.713					
320	20/09/23	16:00:00	23.737					
321	20/09/23	17:00:00	23.256					
322	20/09/23	18:00:00	23.400					
323	20/09/23	19:00:00	23.376					
324	20/09/23	20:00:00	23.352					
325	20/09/23	21:00:00	23.376					
326	20/09/23	22:00:00	23.497					
327	20/09/23	23:00:00	23.665					
328	21/09/23	00:00:00	23.761					
329	21/09/23	01:00:00	23.713					
330	21/09/23	02:00:00	23.689					
331	21/09/23	03:00:00	23.665					
332	21/09/23	04:00:00	23.665					
333	21/09/23	05:00:00	23.689					
334	21/09/23	06:00:00	23.713					
335	21/09/23	07:00:00	23.641					
336	21/09/23	08:00:00	23.641					
337	21/09/23	09:00:00	23.617					
338	21/09/23	10:00:00	23.665					
339	21/09/23	11:00:00	23.713					
340	21/09/23	12:00:00	23.761					
341	21/09/23	13:00:00	23.785					
342	21/09/23	14:00:00	23.761					
343	21/09/23	15:00:00	23.737					
344	21/09/23	16:00:00	23.665					
345	21/09/23	17:00:00	23.641					
346	21/09/23	18:00:00	23.689					
347	21/09/23	19:00:00	23.689					
348	21/09/23	20:00:00	23.689					
349	21/09/23	21:00:00	23.713					
350	21/09/23	22:00:00	23.689					
351	21/09/23	23:00:00	23.689					
352	22/09/23	00:00:00	23.689					
353	22/09/23	01:00:00	23.689					
