"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20618091, SEN S/N: 20618091, LBL: Tonnarella_25)"	"Acoplador separado (LGR S/N: 20618091, SEN S/N: 20618091)"	"Acoplador adjunto (LGR S/N: 20618091, SEN S/N: 20618091)"	"Parado (LGR S/N: 20618091, SEN S/N: 20618091)"	"Final de archivo (LGR S/N: 20618091, SEN S/N: 20618091)"
1	28/07/23	13:00:00	19.199	Registrado			
2	28/07/23	14:00:00	18.580				
3	28/07/23	15:00:00	19.888				
4	28/07/23	16:00:00	20.055				
5	28/07/23	17:00:00	20.031				
6	28/07/23	18:00:00	19.365				
7	28/07/23	19:00:00	19.532				
8	28/07/23	20:00:00	20.555				
9	28/07/23	21:00:00	21.342				
10	28/07/23	22:00:00	22.465				
11	28/07/23	23:00:00	22.298				
12	29/07/23	00:00:00	22.058				
13	29/07/23	01:00:00	19.912				
14	29/07/23	02:00:00	19.865				
15	29/07/23	03:00:00	20.579				
16	29/07/23	04:00:00	20.770				
17	29/07/23	05:00:00	21.724				
18	29/07/23	06:00:00	22.082				
19	29/07/23	07:00:00	19.674				
20	29/07/23	08:00:00	18.580				
21	29/07/23	09:00:00	20.198				
22	29/07/23	10:00:00	19.912				
23	29/07/23	11:00:00	20.079				
24	29/07/23	12:00:00	20.960				
25	29/07/23	13:00:00	20.793				
26	29/07/23	14:00:00	20.055				
27	29/07/23	15:00:00	19.912				
28	29/07/23	16:00:00	20.007				
29	29/07/23	17:00:00	19.960				
30	29/07/23	18:00:00	20.817				
31	29/07/23	19:00:00	20.341				
32	29/07/23	20:00:00	20.555				
33	29/07/23	21:00:00	20.341				
34	29/07/23	22:00:00	19.888				
35	29/07/23	23:00:00	19.746				
36	30/07/23	00:00:00	21.175				
37	30/07/23	01:00:00	19.246				
38	30/07/23	02:00:00	19.175				
39	30/07/23	03:00:00	19.413				
40	30/07/23	04:00:00	18.937				
41	30/07/23	05:00:00	18.913				
42	30/07/23	06:00:00	19.056				
43	30/07/23	07:00:00	20.246				
44	30/07/23	08:00:00	23.256				
45	30/07/23	09:00:00	24.847				
46	30/07/23	10:00:00	23.665				
47	30/07/23	11:00:00	21.652				
48	30/07/23	12:00:00	20.222				
49	30/07/23	13:00:00	19.722				
50	30/07/23	14:00:00	19.912				
51	30/07/23	15:00:00	20.174				
52	30/07/23	16:00:00	20.412				
53	30/07/23	17:00:00	20.126				
