"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20401552, SEN S/N: 20401552, LBL: Tonnarella_30)"	"Acoplador separado (LGR S/N: 20401552, SEN S/N: 20401552)"	"Acoplador adjunto (LGR S/N: 20401552, SEN S/N: 20401552)"	"Host conectado (LGR S/N: 20401552, SEN S/N: 20401552)"	"Parado (LGR S/N: 20401552, SEN S/N: 20401552)"	"Final de archivo (LGR S/N: 20401552, SEN S/N: 20401552)"
1	28/07/23	13:00:00	17.391	Registrado				
2	28/07/23	14:00:00	17.011					
3	28/07/23	15:00:00	17.772					
4	28/07/23	16:00:00	17.225					
5	28/07/23	17:00:00	17.677					
6	28/07/23	18:00:00	17.962					
7	28/07/23	19:00:00	18.200					
8	28/07/23	20:00:00	18.771					
9	28/07/23	21:00:00	19.365					
10	28/07/23	22:00:00	19.222					
11	28/07/23	23:00:00	18.628					
12	29/07/23	00:00:00	18.461					
13	29/07/23	01:00:00	18.224					
14	29/07/23	02:00:00	17.439					
15	29/07/23	03:00:00	17.962					
16	29/07/23	04:00:00	18.176					
17	29/07/23	05:00:00	17.938					
18	29/07/23	06:00:00	17.891					
19	29/07/23	07:00:00	17.368					
20	29/07/23	08:00:00	16.963					
21	29/07/23	09:00:00	17.843					
22	29/07/23	10:00:00	18.628					
23	29/07/23	11:00:00	19.484					
24	29/07/23	12:00:00	19.508					
25	29/07/23	13:00:00	18.985					
26	29/07/23	14:00:00	18.343					
27	29/07/23	15:00:00	18.390					
28	29/07/23	16:00:00	18.794					
29	29/07/23	17:00:00	18.319					
30	29/07/23	18:00:00	18.343					
31	29/07/23	19:00:00	18.247					
32	29/07/23	20:00:00	18.105					
33	29/07/23	21:00:00	17.986					
34	29/07/23	22:00:00	17.653					
35	29/07/23	23:00:00	17.629					
36	30/07/23	00:00:00	18.343					
37	30/07/23	01:00:00	18.105					
38	30/07/23	02:00:00	17.986					
39	30/07/23	03:00:00	17.677					
40	30/07/23	04:00:00	17.629					
41	30/07/23	05:00:00	17.320					
42	30/07/23	06:00:00	17.368					
43	30/07/23	07:00:00	17.510					
44	30/07/23	08:00:00	18.913					
45	30/07/23	09:00:00	19.080					
46	30/07/23	10:00:00	18.247					
47	30/07/23	11:00:00	17.724					
48	30/07/23	12:00:00	16.987					
49	30/07/23	13:00:00	17.796					
50	30/07/23	14:00:00	17.986					
51	30/07/23	15:00:00	18.319					
52	30/07/23	16:00:00	18.247					
53	30/07/23	17:00:00	18.081					
54	30/07/23	18:00:00	17.344					
55	30/07/23	19:00:00	17.296					
