"""N.º""	""Fecha""	""Tiempo,	GMT+01:00""	""Temp,	°C	(LGR	S/N:	XXXXXXXX,	SEN	S/N:	XXXXXXXX)""	""Intensidad,	lux	(LGR	S/N:	XXXXXXXX,	SEN	S/N:	XXXXXXXX)""	""Acoplador	adjunto	(LGR	S/N:	XXXXXXXX,	SEN	S/N:	XXXXXXXX)""	""Host	conectado	(LGR	S/N:	XXXXXXXX,	SEN	S/N:	XXXXXXXX)""	""Parado	(LGR	S/N:	XXXXXXXX,	SEN	S/N:	XXXXXXXX)""	""Final	de	archivo	(LGR	S/N:	XXXXXXXX,	SEN	S/N:	XXXXXXXX)"""	
18/11/22	15:00:00	22.034
18/11/22	16:00:00	23.881
18/11/22	17:00:00	25.307
18/11/22	18:00:00	26.402
18/11/22	19:00:00	27.161
18/11/22	20:00:00	27.677
18/11/22	21:00:00	28.072
18/11/22	22:00:00	28.369
18/11/22	23:00:00	28.593
19/11/22	00:00:00	28.766
19/11/22	01:00:00	28.866
19/11/22	02:00:00	28.965
19/11/22	03:00:00	29.015
19/11/22	04:00:00	29.09
19/11/22	05:00:00	29.115
19/11/22	06:00:00	29.165
19/11/22	07:00:00	29.24
19/11/22	08:00:00	29.315
19/11/22	09:00:00	29.365
19/11/22	10:00:00	29.515
19/11/22	11:00:00	29.615
19/11/22	12:00:00	29.69
19/11/22	13:00:00	29.765
19/11/22	14:00:00	29.84
19/11/22	15:00:00	29.815
19/11/22	16:00:00	29.765
19/11/22	17:00:00	24.243
19/11/22	18:00:00	23.064
19/11/22	19:00:00	22.345
19/11/22	20:00:00	21.819
19/11/22	21:00:00	21.39
19/11/22	22:00:00	21.032
19/11/22	23:00:00	20.746
20/11/22	00:00:00	20.507
20/11/22	01:00:00	20.293
20/11/22	02:00:00	20.126
20/11/22	03:00:00	19.984
20/11/22	04:00:00	19.865
20/11/22	05:00:00	19.77
20/11/22	06:00:00	19.698
20/11/22	07:00:00	19.651
20/11/22	08:00:00	19.603
20/11/22	09:00:00	18.533
20/11/22	10:00:00	19.984
20/11/22	11:00:00	20.031
20/11/22	12:00:00	20.007
20/11/22	13:00:00	19.984
20/11/22	14:00:00	20.007
20/11/22	15:00:00	20.007
20/11/22	16:00:00	20.031
20/11/22	17:00:00	20.007
20/11/22	18:00:00	19.984
20/11/22	19:00:00	19.984
20/11/22	20:00:00	20.007
20/11/22	21:00:00	19.984
20/11/22	22:00:00	19.96
20/11/22	23:00:00	19.96
21/11/22	00:00:00	19.936
21/11/22	01:00:00	19.936
21/11/22	02:00:00	19.936
21/11/22	03:00:00	19.912
21/11/22	04:00:00	19.888
21/11/22	05:00:00	19.888
21/11/22	06:00:00	19.888
21/11/22	07:00:00	19.888
21/11/22	08:00:00	19.888
21/11/22	09:00:00	19.912
21/11/22	10:00:00	19.936
21/11/22	11:00:00	19.96
21/11/22	12:00:00	19.984
21/11/22	13:00:00	20.031
21/11/22	14:00:00	20.055
21/11/22	15:00:00	20.055
21/11/22	16:00:00	20.031
21/11/22	17:00:00	20.055
21/11/22	18:00:00	20.031
21/11/22	19:00:00	20.031
21/11/22	20:00:00	20.031
21/11/22	21:00:00	20.007
21/11/22	22:00:00	19.984
21/11/22	23:00:00	19.984
22/11/22	00:00:00	19.984
22/11/22	01:00:00	19.984
22/11/22	02:00:00	19.984
22/11/22	03:00:00	19.865
22/11/22	04:00:00	19.793
22/11/22	05:00:00	19.484
