"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21483057, SEN S/N: 21483057)"	"Acoplador separado (LGR S/N: 21483057, SEN S/N: 21483057)"	"Acoplador adjunto (LGR S/N: 21483057, SEN S/N: 21483057)"	"Host conectado (LGR S/N: 21483057, SEN S/N: 21483057)"	"Parado (LGR S/N: 21483057, SEN S/N: 21483057)"	"Final de archivo (LGR S/N: 21483057, SEN S/N: 21483057)"
1	03/07/24	10:00:00	22.633	Registrado				
2	03/07/24	11:00:00	24.243					
3	03/07/24	12:00:00	32.433					
4	03/07/24	13:00:00	22.465					
5	03/07/24	14:00:00	21.891					
6	03/07/24	15:00:00	21.366					
7	03/07/24	16:00:00	21.700					
8	03/07/24	17:00:00	21.724					
9	03/07/24	18:00:00	21.772					
10	03/07/24	19:00:00	21.939					
11	03/07/24	20:00:00	21.700					
12	03/07/24	21:00:00	21.509					
13	03/07/24	22:00:00	21.270					
14	03/07/24	23:00:00	20.889					
15	04/07/24	00:00:00	21.795					
16	04/07/24	01:00:00	21.891					
17	04/07/24	02:00:00	21.939					
18	04/07/24	03:00:00	21.915					
19	04/07/24	04:00:00	22.106					
20	04/07/24	05:00:00	22.106					
21	04/07/24	06:00:00	22.106					
22	04/07/24	07:00:00	22.130					
23	04/07/24	08:00:00	21.652					
24	04/07/24	09:00:00	22.034					
25	04/07/24	10:00:00	21.413					
26	04/07/24	11:00:00	21.390					
27	04/07/24	12:00:00	21.700					
28	04/07/24	13:00:00	21.843					
29	04/07/24	14:00:00	21.724					
30	04/07/24	15:00:00	21.843					
31	04/07/24	16:00:00	21.819					
32	04/07/24	17:00:00	21.963					
33	04/07/24	18:00:00	21.963					
34	04/07/24	19:00:00	21.748					
35	04/07/24	20:00:00	22.034					
36	04/07/24	21:00:00	19.698					
37	04/07/24	22:00:00	19.722					
38	04/07/24	23:00:00	19.365					
39	05/07/24	00:00:00	21.461					
40	05/07/24	01:00:00	19.841					
41	05/07/24	02:00:00	19.365					
42	05/07/24	03:00:00	21.390					
43	05/07/24	04:00:00	20.222					
44	05/07/24	05:00:00	21.772					
45	05/07/24	06:00:00	21.700					
46	05/07/24	07:00:00	22.130					
47	05/07/24	08:00:00	20.913					
48	05/07/24	09:00:00	20.936					
49	05/07/24	10:00:00	19.508					
50	05/07/24	11:00:00	19.722					
51	05/07/24	12:00:00	19.579					
52	05/07/24	13:00:00	19.746					
53	05/07/24	14:00:00	18.033					
