"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20291512, SEN S/N: 20291512, LBL: Aire 5m_02072020)"	"Acoplador separado (LGR S/N: 20291512, SEN S/N: 20291512)"	"Acoplador adjunto (LGR S/N: 20291512, SEN S/N: 20291512)"	"Host conectado (LGR S/N: 20291512, SEN S/N: 20291512)"	"Parado (LGR S/N: 20291512, SEN S/N: 20291512)"	"Final de archivo (LGR S/N: 20291512, SEN S/N: 20291512)"
1	02/07/20	16:00:00	25.355	Registrado				
2	02/07/20	17:00:00	25.525					
3	02/07/20	18:00:00	25.744					
4	02/07/20	19:00:00	25.550					
5	02/07/20	20:00:00	25.380					
6	02/07/20	21:00:00	25.210					
7	02/07/20	22:00:00	25.258					
8	02/07/20	23:00:00	25.841					
9	03/07/20	00:00:00	25.574					
10	03/07/20	01:00:00	24.823					
11	03/07/20	02:00:00	24.895					
12	03/07/20	03:00:00	24.484					
13	03/07/20	04:00:00	24.219					
14	03/07/20	05:00:00	24.605					
15	03/07/20	06:00:00	24.895					
16	03/07/20	07:00:00	24.750					
17	03/07/20	08:00:00	24.098					
18	03/07/20	09:00:00	22.705					
19	03/07/20	10:00:00	22.585					
20	03/07/20	11:00:00	23.472					
21	03/07/20	12:00:00	23.713					
22	03/07/20	13:00:00	24.339					
23	03/07/20	14:00:00	24.532					
24	03/07/20	15:00:00	24.388					
25	03/07/20	16:00:00	24.002					
26	03/07/20	17:00:00	23.954					
27	03/07/20	18:00:00	24.002					
28	03/07/20	19:00:00	23.954					
29	03/07/20	20:00:00	24.098					
30	03/07/20	21:00:00	24.243					
31	03/07/20	22:00:00	24.412					
32	03/07/20	23:00:00	24.267					
33	04/07/20	00:00:00	24.195					
34	04/07/20	01:00:00	24.412					
35	04/07/20	02:00:00	24.460					
36	04/07/20	03:00:00	24.484					
37	04/07/20	04:00:00	24.388					
38	04/07/20	05:00:00	24.363					
39	04/07/20	06:00:00	24.484					
40	04/07/20	07:00:00	24.508					
41	04/07/20	08:00:00	24.508					
42	04/07/20	09:00:00	24.557					
43	04/07/20	10:00:00	24.605					
44	04/07/20	11:00:00	24.581					
45	04/07/20	12:00:00	24.074					
46	04/07/20	13:00:00	24.243					
47	04/07/20	14:00:00	24.557					
48	04/07/20	15:00:00	24.605					
49	04/07/20	16:00:00	24.774					
50	04/07/20	17:00:00	24.750					
51	04/07/20	18:00:00	24.702					
52	04/07/20	19:00:00	24.750					
53	04/07/20	20:00:00	24.726					
54	04/07/20	21:00:00	24.581					
55	04/07/20	22:00:00	24.532					
56	04/07/20	23:00:00	24.532					
57	05/07/20	00:00:00	24.605					
58	05/07/20	01:00:00	24.484					
59	05/07/20	02:00:00	24.363					
60	05/07/20	03:00:00	24.122					
61	05/07/20	04:00:00	24.243					
62	05/07/20	05:00:00	24.171					
63	05/07/20	06:00:00	24.098					
64	05/07/20	07:00:00	24.002					
65	05/07/20	08:00:00	24.026					
66	05/07/20	09:00:00	24.146					
67	05/07/20	10:00:00	24.388					
68	05/07/20	11:00:00	24.460					
69	05/07/20	12:00:00	24.532					
70	05/07/20	13:00:00	24.508					
71	05/07/20	14:00:00	24.653					
72	05/07/20	15:00:00	24.702					
73	05/07/20	16:00:00	24.267					
74	05/07/20	17:00:00	24.557					
75	05/07/20	18:00:00	24.581					
76	05/07/20	19:00:00	24.653					
77	05/07/20	20:00:00	24.677					
78	05/07/20	21:00:00	24.677					
79	05/07/20	22:00:00	24.532					
80	05/07/20	23:00:00	24.484					
81	06/07/20	00:00:00	24.436					
82	06/07/20	01:00:00	24.436					
83	06/07/20	02:00:00	24.436					
84	06/07/20	03:00:00	24.363					
85	06/07/20	04:00:00	24.339					
86	06/07/20	05:00:00	24.002					
87	06/07/20	06:00:00	24.050					
88	06/07/20	07:00:00	24.122					
89	06/07/20	08:00:00	24.146					
90	06/07/20	09:00:00	24.146					
91	06/07/20	10:00:00	24.171					
92	06/07/20	11:00:00	24.291					
93	06/07/20	12:00:00	24.388					
94	06/07/20	13:00:00	24.557					
95	06/07/20	14:00:00	24.436					
96	06/07/20	15:00:00	24.195					
97	06/07/20	16:00:00	24.074					
98	06/07/20	17:00:00	24.171					
99	06/07/20	18:00:00	24.146					
100	06/07/20	19:00:00	24.171					
101	06/07/20	20:00:00	24.026					
102	06/07/20	21:00:00	24.026					
103	06/07/20	22:00:00	24.267					
104	06/07/20	23:00:00	24.243					
105	07/07/20	00:00:00	24.339					
106	07/07/20	01:00:00	24.363					
107	07/07/20	02:00:00	24.363					
108	07/07/20	03:00:00	24.388					
109	07/07/20	04:00:00	24.388					
110	07/07/20	05:00:00	24.363					
111	07/07/20	06:00:00	24.315					
112	07/07/20	07:00:00	24.219					
113	07/07/20	08:00:00	24.267					
114	07/07/20	09:00:00	24.315					
115	07/07/20	10:00:00	24.315					
116	07/07/20	11:00:00	24.171					
117	07/07/20	12:00:00	24.243					
118	07/07/20	13:00:00	24.243					
119	07/07/20	14:00:00	24.267					
120	07/07/20	15:00:00	24.243					
121	07/07/20	16:00:00	24.388					
122	07/07/20	17:00:00	24.315					
123	07/07/20	18:00:00	24.339					
124	07/07/20	19:00:00	24.315					
125	07/07/20	20:00:00	24.219					
126	07/07/20	21:00:00	24.098					
