"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20291508, SEN S/N: 20291508, LBL: Aire_25m_02072020)"	"Acoplador separado (LGR S/N: 20291508, SEN S/N: 20291508)"	"Acoplador adjunto (LGR S/N: 20291508, SEN S/N: 20291508)"	"Host conectado (LGR S/N: 20291508, SEN S/N: 20291508)"	"Parado (LGR S/N: 20291508, SEN S/N: 20291508)"	"Final de archivo (LGR S/N: 20291508, SEN S/N: 20291508)"
1	02/07/20	16:00:00	19.770	Registrado				
2	02/07/20	17:00:00	19.888					
3	02/07/20	18:00:00	19.912					
4	02/07/20	19:00:00	20.674					
5	02/07/20	20:00:00	20.865					
6	02/07/20	21:00:00	20.960					
7	02/07/20	22:00:00	21.032					
8	02/07/20	23:00:00	20.674					
9	03/07/20	00:00:00	20.627					
10	03/07/20	01:00:00	20.746					
11	03/07/20	02:00:00	20.507					
12	03/07/20	03:00:00	20.507					
13	03/07/20	04:00:00	20.579					
14	03/07/20	05:00:00	20.007					
15	03/07/20	06:00:00	19.984					
16	03/07/20	07:00:00	21.437					
17	03/07/20	08:00:00	22.058					
18	03/07/20	09:00:00	22.034					
19	03/07/20	10:00:00	20.841					
20	03/07/20	11:00:00	20.579					
21	03/07/20	12:00:00	20.365					
22	03/07/20	13:00:00	20.293					
23	03/07/20	14:00:00	20.246					
24	03/07/20	15:00:00	20.055					
25	03/07/20	16:00:00	20.079					
26	03/07/20	17:00:00	21.103					
27	03/07/20	18:00:00	21.795					
28	03/07/20	19:00:00	22.106					
29	03/07/20	20:00:00	22.465					
30	03/07/20	21:00:00	23.809					
31	03/07/20	22:00:00	23.881					
32	03/07/20	23:00:00	22.944					
33	04/07/20	00:00:00	22.657					
34	04/07/20	01:00:00	22.800					
35	04/07/20	02:00:00	22.920					
36	04/07/20	03:00:00	21.533					
37	04/07/20	04:00:00	20.698					
38	04/07/20	05:00:00	20.198					
39	04/07/20	06:00:00	19.674					
40	04/07/20	07:00:00	20.079					
41	04/07/20	08:00:00	23.424					
42	04/07/20	09:00:00	23.689					
43	04/07/20	10:00:00	23.785					
44	04/07/20	11:00:00	24.412					
45	04/07/20	12:00:00	23.593					
46	04/07/20	13:00:00	22.585					
47	04/07/20	14:00:00	22.944					
48	04/07/20	15:00:00	23.737					
49	04/07/20	16:00:00	24.436					
50	04/07/20	17:00:00	22.465					
51	04/07/20	18:00:00	22.130					
52	04/07/20	19:00:00	22.417					
53	04/07/20	20:00:00	23.905					
54	04/07/20	21:00:00	24.146					
55	04/07/20	22:00:00	23.857					
56	04/07/20	23:00:00	23.809					
57	05/07/20	00:00:00	23.809					
58	05/07/20	01:00:00	21.676					
59	05/07/20	02:00:00	20.650					
60	05/07/20	03:00:00	20.579					
61	05/07/20	04:00:00	20.246					
62	05/07/20	05:00:00	19.817					
63	05/07/20	06:00:00	19.175					
64	05/07/20	07:00:00	18.842					
65	05/07/20	08:00:00	19.032					
66	05/07/20	09:00:00	21.032					
67	05/07/20	10:00:00	22.369					
68	05/07/20	11:00:00	23.641					
69	05/07/20	12:00:00	24.074					
70	05/07/20	13:00:00	24.243					
71	05/07/20	14:00:00	23.280					
72	05/07/20	15:00:00	20.174					
73	05/07/20	16:00:00	20.269					
74	05/07/20	17:00:00	20.126					
75	05/07/20	18:00:00	19.912					
76	05/07/20	19:00:00	19.746					
77	05/07/20	20:00:00	21.151					
78	05/07/20	21:00:00	22.896					
79	05/07/20	22:00:00	23.400					
80	05/07/20	23:00:00	23.737					
81	06/07/20	00:00:00	23.809					
82	06/07/20	01:00:00	23.641					
83	06/07/20	02:00:00	23.352					
84	06/07/20	03:00:00	21.843					
85	06/07/20	04:00:00	22.058					
86	06/07/20	05:00:00	21.700					
87	06/07/20	06:00:00	20.484					
88	06/07/20	07:00:00	20.269					
89	06/07/20	08:00:00	19.674					
90	06/07/20	09:00:00	20.198					
91	06/07/20	10:00:00	20.412					
92	06/07/20	11:00:00	20.603					
93	06/07/20	12:00:00	21.032					
94	06/07/20	13:00:00	20.341					
95	06/07/20	14:00:00	20.484					
96	06/07/20	15:00:00	20.722					
97	06/07/20	16:00:00	20.388					
98	06/07/20	17:00:00	20.317					
99	06/07/20	18:00:00	21.127					
100	06/07/20	19:00:00	22.417					
101	06/07/20	20:00:00	22.872					
102	06/07/20	21:00:00	23.040					
103	06/07/20	22:00:00	23.881					
104	06/07/20	23:00:00	24.146					
105	07/07/20	00:00:00	24.315					
106	07/07/20	01:00:00	24.339					
107	07/07/20	02:00:00	24.388					
108	07/07/20	03:00:00	23.521					
109	07/07/20	04:00:00	23.497					
110	07/07/20	05:00:00	23.256					
111	07/07/20	06:00:00	23.256					
112	07/07/20	07:00:00	23.521					
113	07/07/20	08:00:00	23.809					
114	07/07/20	09:00:00	23.857					
115	07/07/20	10:00:00	24.219					
116	07/07/20	11:00:00	24.122					
117	07/07/20	12:00:00	24.122					
118	07/07/20	13:00:00	24.050					
119	07/07/20	14:00:00	23.400					
120	07/07/20	15:00:00	23.352					
121	07/07/20	16:00:00	24.171					
122	07/07/20	17:00:00	23.930					
123	07/07/20	18:00:00	24.195					
124	07/07/20	19:00:00	24.122					
125	07/07/20	20:00:00	23.737					
126	07/07/20	21:00:00	23.665					
127	07/07/20	22:00:00	23.593					
128	07/07/20	23:00:00	23.689					
129	08/07/20	00:00:00	24.002					
130	08/07/20	01:00:00	24.146					
131	08/07/20	02:00:00	24.195					
132	08/07/20	03:00:00	22.753					
133	08/07/20	04:00:00	22.417					
134	08/07/20	05:00:00	22.513					
135	08/07/20	06:00:00	22.705					
136	08/07/20	07:00:00	22.872					
137	08/07/20	08:00:00	23.040					
138	08/07/20	09:00:00	23.232					
139	08/07/20	10:00:00	23.833					
140	08/07/20	11:00:00	24.026					
141	08/07/20	12:00:00	24.267					
142	08/07/20	13:00:00	24.315					
143	08/07/20	14:00:00	24.195					
144	08/07/20	15:00:00	23.737					
145	08/07/20	16:00:00	23.641					
146	08/07/20	17:00:00	23.930					
147	08/07/20	18:00:00	24.171					
148	08/07/20	19:00:00	23.472					
149	08/07/20	20:00:00	22.896					
150	08/07/20	21:00:00	21.676					
151	08/07/20	22:00:00	21.509					
152	08/07/20	23:00:00	23.448					
153	09/07/20	00:00:00	24.315					
154	09/07/20	01:00:00	24.267					
155	09/07/20	02:00:00	24.122					
156	09/07/20	03:00:00	23.833					
157	09/07/20	04:00:00	23.954					
158	09/07/20	05:00:00	24.146					
159	09/07/20	06:00:00	24.050					
160	09/07/20	07:00:00	23.448					
161	09/07/20	08:00:00	22.345					
162	09/07/20	09:00:00	22.920					
163	09/07/20	10:00:00	23.280					
164	09/07/20	11:00:00	22.800					
165	09/07/20	12:00:00	22.465					
166	09/07/20	13:00:00	22.106					
167	09/07/20	14:00:00	21.939					
168	09/07/20	15:00:00	22.393					
169	09/07/20	16:00:00	22.537					
170	09/07/20	17:00:00	21.915					
171	09/07/20	18:00:00	20.770					
172	09/07/20	19:00:00	21.056					
173	09/07/20	20:00:00	22.058					
174	09/07/20	21:00:00	21.175					
175	09/07/20	22:00:00	22.393					
176	09/07/20	23:00:00	23.857					
177	10/07/20	00:00:00	24.532					
178	10/07/20	01:00:00	23.497					
179	10/07/20	02:00:00	23.665					
180	10/07/20	03:00:00	24.122					
181	10/07/20	04:00:00	23.569					
182	10/07/20	05:00:00	23.184					
183	10/07/20	06:00:00	21.461					
184	10/07/20	07:00:00	21.175					
185	10/07/20	08:00:00	20.722					
186	10/07/20	09:00:00	20.341					
187	10/07/20	10:00:00	20.460					
188	10/07/20	11:00:00	19.080					
189	10/07/20	12:00:00	19.080					
190	10/07/20	13:00:00	19.389					
191	10/07/20	14:00:00	20.674					
192	10/07/20	15:00:00	20.865					
193	10/07/20	16:00:00	21.056					
194	10/07/20	17:00:00	22.321					
195	10/07/20	18:00:00	23.160					
196	10/07/20	19:00:00	22.274					
197	10/07/20	20:00:00	22.537					
198	10/07/20	21:00:00	22.369					
199	10/07/20	22:00:00	22.633					
200	10/07/20	23:00:00	22.202					
201	11/07/20	00:00:00	21.676					
202	11/07/20	01:00:00	21.795					
203	11/07/20	02:00:00	21.604					
204	11/07/20	03:00:00	20.507					
205	11/07/20	04:00:00	20.841					
206	11/07/20	05:00:00	22.321					
207	11/07/20	06:00:00	23.593					
208	11/07/20	07:00:00	21.342					
209	11/07/20	08:00:00	21.079					
210	11/07/20	09:00:00	21.175					
211	11/07/20	10:00:00	21.270					
212	11/07/20	11:00:00	20.984					
213	11/07/20	12:00:00	20.960					
214	11/07/20	13:00:00	21.509					
215	11/07/20	14:00:00	22.345					
216	11/07/20	15:00:00	23.472					
217	11/07/20	16:00:00	23.328					
218	11/07/20	17:00:00	23.304					
219	11/07/20	18:00:00	22.824					
220	11/07/20	19:00:00	22.250					
221	11/07/20	20:00:00	22.058					
222	11/07/20	21:00:00	22.250					
223	11/07/20	22:00:00	22.681					
224	11/07/20	23:00:00	23.184					
225	12/07/20	00:00:00	21.151					
226	12/07/20	01:00:00	19.960					
227	12/07/20	02:00:00	19.508					
228	12/07/20	03:00:00	20.055					
229	12/07/20	04:00:00	21.223					
230	12/07/20	05:00:00	23.617					
231	12/07/20	06:00:00	24.605					
232	12/07/20	07:00:00	24.050					
233	12/07/20	08:00:00	23.160					
234	12/07/20	09:00:00	22.872					
235	12/07/20	10:00:00	22.585					
236	12/07/20	11:00:00	23.064					
237	12/07/20	12:00:00	24.291					
238	12/07/20	13:00:00	24.847					
239	12/07/20	14:00:00	24.895					
240	12/07/20	15:00:00	25.040					
241	12/07/20	16:00:00	24.968					
242	12/07/20	17:00:00	24.702					
243	12/07/20	18:00:00	24.702					
244	12/07/20	19:00:00	24.171					
245	12/07/20	20:00:00	22.202					
246	12/07/20	21:00:00	22.178					
247	12/07/20	22:00:00	21.963					
248	12/07/20	23:00:00	21.867					
249	13/07/20	00:00:00	22.106					
250	13/07/20	01:00:00	23.569					
251	13/07/20	02:00:00	23.978					
252	13/07/20	03:00:00	22.537					
253	13/07/20	04:00:00	22.585					
254	13/07/20	05:00:00	22.369					
255	13/07/20	06:00:00	22.058					
256	13/07/20	07:00:00	21.819					
257	13/07/20	08:00:00	21.461					
258	13/07/20	09:00:00	21.008					
259	13/07/20	10:00:00	20.555					
260	13/07/20	11:00:00	20.198					
261	13/07/20	12:00:00	20.484					
262	13/07/20	13:00:00	21.437					
263	13/07/20	14:00:00	24.412					
264	13/07/20	15:00:00	25.040					
265	13/07/20	16:00:00	25.307					
266	13/07/20	17:00:00	24.677					
267	13/07/20	18:00:00	24.557					
268	13/07/20	19:00:00	25.210					
269	13/07/20	20:00:00	23.184					
270	13/07/20	21:00:00	23.040					
271	13/07/20	22:00:00	23.040					
272	13/07/20	23:00:00	23.184					
273	14/07/20	00:00:00	24.098					
274	14/07/20	01:00:00	24.074					
275	14/07/20	02:00:00	24.508					
276	14/07/20	03:00:00	24.315					
277	14/07/20	04:00:00	24.388					
278	14/07/20	05:00:00	24.074					
279	14/07/20	06:00:00	23.376					
280	14/07/20	07:00:00	23.954					
281	14/07/20	08:00:00	24.605					
282	14/07/20	09:00:00	24.460					
283	14/07/20	10:00:00	23.448					
284	14/07/20	11:00:00	23.256					
285	14/07/20	12:00:00	22.800					
286	14/07/20	13:00:00	22.321					
287	14/07/20	14:00:00	22.298					
288	14/07/20	15:00:00	22.537					
289	14/07/20	16:00:00	22.681					
290	14/07/20	17:00:00	22.729					
291	14/07/20	18:00:00	22.417					
292	14/07/20	19:00:00	22.082					
293	14/07/20	20:00:00	21.724					
294	14/07/20	21:00:00	21.103					
295	14/07/20	22:00:00	20.936					
296	14/07/20	23:00:00	21.223					
297	15/07/20	00:00:00	21.390					
298	15/07/20	01:00:00	21.437					
299	15/07/20	02:00:00	21.700					
300	15/07/20	03:00:00	21.318					
301	15/07/20	04:00:00	21.079					
302	15/07/20	05:00:00	20.889					
303	15/07/20	06:00:00	22.082					
304	15/07/20	07:00:00	23.064					
305	15/07/20	08:00:00	22.776					
306	15/07/20	09:00:00	22.609					
307	15/07/20	10:00:00	22.034					
308	15/07/20	11:00:00	21.461					
309	15/07/20	12:00:00	22.441					
310	15/07/20	13:00:00	22.369					
311	15/07/20	14:00:00	22.345					
312	15/07/20	15:00:00	23.593					
313	15/07/20	16:00:00	24.436					
314	15/07/20	17:00:00	24.195					
315	15/07/20	18:00:00	23.424					
316	15/07/20	19:00:00	23.954					
317	15/07/20	20:00:00	24.074					
318	15/07/20	21:00:00	24.388					
319	15/07/20	22:00:00	24.629					
320	15/07/20	23:00:00	24.847					
321	16/07/20	00:00:00	23.833					
322	16/07/20	01:00:00	22.513					
323	16/07/20	02:00:00	21.748					
324	16/07/20	03:00:00	21.032					
325	16/07/20	04:00:00	20.913					
326	16/07/20	05:00:00	21.008					
327	16/07/20	06:00:00	22.800					
328	16/07/20	07:00:00	23.881					
329	16/07/20	08:00:00	24.557					
330	16/07/20	09:00:00	24.050					
331	16/07/20	10:00:00	23.376					
332	16/07/20	11:00:00	23.881					
333	16/07/20	12:00:00	24.315					
334	16/07/20	13:00:00	24.968					
335	16/07/20	14:00:00	25.016					
336	16/07/20	15:00:00	25.307					
337	16/07/20	16:00:00	25.525					
338	16/07/20	17:00:00	24.847					
339	16/07/20	18:00:00	24.460					
340	16/07/20	19:00:00	24.050					
341	16/07/20	20:00:00	24.798					
342	16/07/20	21:00:00	24.363					
343	16/07/20	22:00:00	23.280					
344	16/07/20	23:00:00	22.226					
345	17/07/20	00:00:00	21.581					
346	17/07/20	01:00:00	20.627					
347	17/07/20	02:00:00	20.174					
348	17/07/20	03:00:00	22.824					
349	17/07/20	04:00:00	23.761					
350	17/07/20	05:00:00	22.321					
351	17/07/20	06:00:00	21.772					
352	17/07/20	07:00:00	21.437					
353	17/07/20	08:00:00	23.905					
354	17/07/20	09:00:00	24.677					
355	17/07/20	10:00:00	24.798					
356	17/07/20	11:00:00	24.919					
357	17/07/20	12:00:00	22.393					
358	17/07/20	13:00:00	22.465					
359	17/07/20	14:00:00	22.896					
360	17/07/20	15:00:00	22.202					
361	17/07/20	16:00:00	22.202					
362	17/07/20	17:00:00	21.652					
363	17/07/20	18:00:00	21.604					
364	17/07/20	19:00:00	23.064					
365	17/07/20	20:00:00	24.557					
366	17/07/20	21:00:00	25.089					
367	17/07/20	22:00:00	25.234					
368	17/07/20	23:00:00	25.137					
369	18/07/20	00:00:00	24.653					
370	18/07/20	01:00:00	24.557					
371	18/07/20	02:00:00	24.774					
372	18/07/20	03:00:00	24.992					
373	18/07/20	04:00:00	24.823					
374	18/07/20	05:00:00	24.436					
375	18/07/20	06:00:00	24.074					
376	18/07/20	07:00:00	24.436					
377	18/07/20	08:00:00	24.484					
378	18/07/20	09:00:00	24.219					
379	18/07/20	10:00:00	23.978					
380	18/07/20	11:00:00	23.569					
381	18/07/20	12:00:00	23.665					
382	18/07/20	13:00:00	25.258					
383	18/07/20	14:00:00	25.307					
384	18/07/20	15:00:00	25.380					
385	18/07/20	16:00:00	25.331					
386	18/07/20	17:00:00	24.774					
387	18/07/20	18:00:00	25.137					
388	18/07/20	19:00:00	25.186					
389	18/07/20	20:00:00	25.234					
390	18/07/20	21:00:00	25.137					
391	18/07/20	22:00:00	24.992					
392	18/07/20	23:00:00	25.016					
393	19/07/20	00:00:00	22.369					
394	19/07/20	01:00:00	22.058					
395	19/07/20	02:00:00	21.867					
396	19/07/20	03:00:00	21.963					
397	19/07/20	04:00:00	23.352					
398	19/07/20	05:00:00	21.008					
399	19/07/20	06:00:00	20.055					
400	19/07/20	07:00:00	21.342					
401	19/07/20	08:00:00	23.881					
402	19/07/20	09:00:00	24.315					
403	19/07/20	10:00:00	24.171					
404	19/07/20	11:00:00	24.219					
405	19/07/20	12:00:00	23.905					
406	19/07/20	13:00:00	24.436					
407	19/07/20	14:00:00	24.605					
408	19/07/20	15:00:00	24.992					
409	19/07/20	16:00:00	25.234					
410	19/07/20	17:00:00	24.750					
411	19/07/20	18:00:00	24.677					
412	19/07/20	19:00:00	24.460					
413	19/07/20	20:00:00	23.905					
414	19/07/20	21:00:00	23.761					
415	19/07/20	22:00:00	24.026					
416	19/07/20	23:00:00	24.050					
417	20/07/20	00:00:00	24.315					
418	20/07/20	01:00:00	24.363					
419	20/07/20	02:00:00	23.593					
420	20/07/20	03:00:00	23.280					
421	20/07/20	04:00:00	23.016					
422	20/07/20	05:00:00	22.968					
423	20/07/20	06:00:00	23.448					
424	20/07/20	07:00:00	23.713					
425	20/07/20	08:00:00	24.098					
426	20/07/20	09:00:00	24.146					
427	20/07/20	10:00:00	24.315					
428	20/07/20	11:00:00	24.823					
429	20/07/20	12:00:00	25.065					
430	20/07/20	13:00:00	24.774					
431	20/07/20	14:00:00	24.484					
432	20/07/20	15:00:00	23.641					
433	20/07/20	16:00:00	22.082					
434	20/07/20	17:00:00	21.939					
435	20/07/20	18:00:00	20.960					
436	20/07/20	19:00:00	20.198					
437	20/07/20	20:00:00	19.817					
438	20/07/20	21:00:00	20.960					
439	20/07/20	22:00:00	22.681					
440	20/07/20	23:00:00	24.122					
441	21/07/20	00:00:00	24.847					
442	21/07/20	01:00:00	24.557					
443	21/07/20	02:00:00	24.412					
444	21/07/20	03:00:00	24.339					
445	21/07/20	04:00:00	24.098					
446	21/07/20	05:00:00	24.002					
447	21/07/20	06:00:00	23.136					
448	21/07/20	07:00:00	22.465					
449	21/07/20	08:00:00	22.345					
450	21/07/20	09:00:00	22.393					
451	21/07/20	10:00:00	22.681					
452	21/07/20	11:00:00	23.448					
453	21/07/20	12:00:00	23.472					
454	21/07/20	13:00:00	24.339					
455	21/07/20	14:00:00	24.944					
456	21/07/20	15:00:00	24.847					
457	21/07/20	16:00:00	22.944					
458	21/07/20	17:00:00	22.776					
459	21/07/20	18:00:00	23.112					
460	21/07/20	19:00:00	23.641					
461	21/07/20	20:00:00	24.146					
462	21/07/20	21:00:00	24.098					
463	21/07/20	22:00:00	23.905					
464	21/07/20	23:00:00	23.881					
465	22/07/20	00:00:00	24.074					
466	22/07/20	01:00:00	24.002					
467	22/07/20	02:00:00	23.737					
468	22/07/20	03:00:00	22.609					
469	22/07/20	04:00:00	21.987					
470	22/07/20	05:00:00	21.079					
471	22/07/20	06:00:00	20.412					
472	22/07/20	07:00:00	20.079					
473	22/07/20	08:00:00	20.055					
474	22/07/20	09:00:00	21.390					
475	22/07/20	10:00:00	22.393					
476	22/07/20	11:00:00	22.537					
477	22/07/20	12:00:00	22.705					
478	22/07/20	13:00:00	22.729					
479	22/07/20	14:00:00	23.497					
480	22/07/20	15:00:00	25.258					
481	22/07/20	16:00:00	25.404					
482	22/07/20	17:00:00	23.376					
483	22/07/20	18:00:00	23.016					
484	22/07/20	19:00:00	22.920					
485	22/07/20	20:00:00	23.136					
486	22/07/20	21:00:00	23.569					
487	22/07/20	22:00:00	23.232					
488	22/07/20	23:00:00	23.184					
489	23/07/20	00:00:00	23.617					
490	23/07/20	01:00:00	23.809					
