"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 20364086, SEN S/N: 20364086, LBL: Aire_25m_Febrero_2021)"	"Acoplador separado (LGR S/N: 20364086, SEN S/N: 20364086)"	"Acoplador adjunto (LGR S/N: 20364086, SEN S/N: 20364086)"	"Host conectado (LGR S/N: 20364086, SEN S/N: 20364086)"	"Parado (LGR S/N: 20364086, SEN S/N: 20364086)"	"Final de archivo (LGR S/N: 20364086, SEN S/N: 20364086)"
1	04/02/21	14:00:00	14.266	Registrado				
2	04/02/21	15:00:00	14.266					
3	04/02/21	16:00:00	14.266					
4	04/02/21	17:00:00	14.242					
5	04/02/21	18:00:00	14.218					
6	04/02/21	19:00:00	14.218					
7	04/02/21	20:00:00	14.242					
8	04/02/21	21:00:00	14.218					
9	04/02/21	22:00:00	14.218					
10	04/02/21	23:00:00	14.218					
11	05/02/21	00:00:00	14.218					
12	05/02/21	01:00:00	14.218					
13	05/02/21	02:00:00	14.266					
14	05/02/21	03:00:00	14.242					
15	05/02/21	04:00:00	14.242					
16	05/02/21	05:00:00	14.242					
17	05/02/21	06:00:00	14.218					
18	05/02/21	07:00:00	14.194					
19	05/02/21	08:00:00	14.170					
20	05/02/21	09:00:00	14.194					
21	05/02/21	10:00:00	14.194					
22	05/02/21	11:00:00	14.242					
23	05/02/21	12:00:00	14.290					
24	05/02/21	13:00:00	14.266					
25	05/02/21	14:00:00	14.266					
26	05/02/21	15:00:00	14.290					
27	05/02/21	16:00:00	14.290					
28	05/02/21	17:00:00	14.290					
29	05/02/21	18:00:00	14.266					
30	05/02/21	19:00:00	14.266					
31	05/02/21	20:00:00	14.266					
32	05/02/21	21:00:00	14.266					
33	05/02/21	22:00:00	14.266					
34	05/02/21	23:00:00	14.266					
35	06/02/21	00:00:00	14.290					
36	06/02/21	01:00:00	14.721					
37	06/02/21	02:00:00	14.745					
38	06/02/21	03:00:00	14.721					
39	06/02/21	04:00:00	14.768					
40	06/02/21	05:00:00	14.792					
41	06/02/21	06:00:00	14.792					
42	06/02/21	07:00:00	14.768					
43	06/02/21	08:00:00	14.768					
44	06/02/21	09:00:00	14.409					
45	06/02/21	10:00:00	14.337					
46	06/02/21	11:00:00	14.314					
47	06/02/21	12:00:00	14.314					
48	06/02/21	13:00:00	14.290					
49	06/02/21	14:00:00	14.290					
50	06/02/21	15:00:00	14.290					
51	06/02/21	16:00:00	14.266					
52	06/02/21	17:00:00	14.290					
53	06/02/21	18:00:00	14.457					
54	06/02/21	19:00:00	14.433					
55	06/02/21	20:00:00	14.290					
56	06/02/21	21:00:00	14.242					
57	06/02/21	22:00:00	14.242					
58	06/02/21	23:00:00	14.218					
59	07/02/21	00:00:00	14.266					
60	07/02/21	01:00:00	14.242					
61	07/02/21	02:00:00	14.242					
62	07/02/21	03:00:00	14.194					
63	07/02/21	04:00:00	14.194					
64	07/02/21	05:00:00	14.170					
65	07/02/21	06:00:00	14.170					
66	07/02/21	07:00:00	14.290					
67	07/02/21	08:00:00	14.194					
68	07/02/21	09:00:00	14.218					
69	07/02/21	10:00:00	14.218					
70	07/02/21	11:00:00	14.242					
71	07/02/21	12:00:00	14.314					
72	07/02/21	13:00:00	14.385					
73	07/02/21	14:00:00	14.242					
74	07/02/21	15:00:00	14.242					
75	07/02/21	16:00:00	14.242					
76	07/02/21	17:00:00	14.218					
77	07/02/21	18:00:00	14.218					
78	07/02/21	19:00:00	14.194					
79	07/02/21	20:00:00	14.218					
80	07/02/21	21:00:00	14.194					
81	07/02/21	22:00:00	14.337					
82	07/02/21	23:00:00	14.457					
83	08/02/21	00:00:00	14.529					
84	08/02/21	01:00:00	14.553					
85	08/02/21	02:00:00	14.577					
86	08/02/21	03:00:00	14.553					
87	08/02/21	04:00:00	14.529					
88	08/02/21	05:00:00	14.481					
89	08/02/21	06:00:00	14.433					
90	08/02/21	07:00:00	14.385					
91	08/02/21	08:00:00	14.314					
92	08/02/21	09:00:00	14.314					
93	08/02/21	10:00:00	14.314					
94	08/02/21	11:00:00	14.290					
95	08/02/21	12:00:00	14.290					
96	08/02/21	13:00:00	14.266					
97	08/02/21	14:00:00	14.266					
98	08/02/21	15:00:00	14.266					
99	08/02/21	16:00:00	14.242					
100	08/02/21	17:00:00	14.242					
101	08/02/21	18:00:00	14.242					
102	08/02/21	19:00:00	14.242					
103	08/02/21	20:00:00	14.218					
104	08/02/21	21:00:00	14.194					
105	08/02/21	22:00:00	14.170					
106	08/02/21	23:00:00	14.170					
107	09/02/21	00:00:00	14.170					
