"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21202618, SEN S/N: 21202618, LBL: Aire_10m)"	"Acoplador separado (LGR S/N: 21202618, SEN S/N: 21202618)"	"Acoplador adjunto (LGR S/N: 21202618, SEN S/N: 21202618)"	"Host conectado (LGR S/N: 21202618, SEN S/N: 21202618)"	"Parado (LGR S/N: 21202618, SEN S/N: 21202618)"	"Final de archivo (LGR S/N: 21202618, SEN S/N: 21202618)"
1	17/05/22	10:00:00	21.557	Registrado				
2	17/05/22	11:00:00	22.800					
3	17/05/22	12:00:00	18.057					
4	17/05/22	13:00:00	18.200					
5	17/05/22	14:00:00	17.938					
6	17/05/22	15:00:00	17.891					
7	17/05/22	16:00:00	17.463					
8	17/05/22	17:00:00	17.249					
9	17/05/22	18:00:00	17.058					
10	17/05/22	19:00:00	16.820					
11	17/05/22	20:00:00	16.630					
12	17/05/22	21:00:00	17.368					
13	17/05/22	22:00:00	17.534					
14	17/05/22	23:00:00	17.368					
15	18/05/22	00:00:00	17.605					
16	18/05/22	01:00:00	18.152					
17	18/05/22	02:00:00	18.366					
18	18/05/22	03:00:00	18.461					
19	18/05/22	04:00:00	18.533					
20	18/05/22	05:00:00	17.629					
21	18/05/22	06:00:00	17.843					
22	18/05/22	07:00:00	17.558					
23	18/05/22	08:00:00	17.106					
24	18/05/22	09:00:00	16.915					
25	18/05/22	10:00:00	16.844					
26	18/05/22	11:00:00	17.106					
27	18/05/22	12:00:00	17.843					
28	18/05/22	13:00:00	18.247					
29	18/05/22	14:00:00	18.295					
30	18/05/22	15:00:00	17.962					
31	18/05/22	16:00:00	17.915					
32	18/05/22	17:00:00	17.891					
33	18/05/22	18:00:00	18.057					
34	18/05/22	19:00:00	17.819					
35	18/05/22	20:00:00	17.486					
36	18/05/22	21:00:00	17.201					
37	18/05/22	22:00:00	16.963					
38	18/05/22	23:00:00	17.344					
39	19/05/22	00:00:00	17.391					
40	19/05/22	01:00:00	17.701					
41	19/05/22	02:00:00	17.653					
42	19/05/22	03:00:00	17.558					
43	19/05/22	04:00:00	17.677					
44	19/05/22	05:00:00	17.153					
45	19/05/22	06:00:00	16.844					
46	19/05/22	07:00:00	16.844					
47	19/05/22	08:00:00	16.915					
48	19/05/22	09:00:00	17.249					
49	19/05/22	10:00:00	17.486					
50	19/05/22	11:00:00	17.724					
51	19/05/22	12:00:00	18.652					
52	19/05/22	13:00:00	19.746					
53	19/05/22	14:00:00	19.294					
54	19/05/22	15:00:00	19.270					
55	19/05/22	16:00:00	19.080					
56	19/05/22	17:00:00	17.819					
57	19/05/22	18:00:00	18.057					
58	19/05/22	19:00:00	17.415					
59	19/05/22	20:00:00	18.295					
60	19/05/22	21:00:00	17.915					
61	19/05/22	22:00:00	17.249					
62	19/05/22	23:00:00	16.915					
63	20/05/22	00:00:00	18.224					
64	20/05/22	01:00:00	18.675					
65	20/05/22	02:00:00	19.008					
66	20/05/22	03:00:00	20.555					
67	20/05/22	04:00:00	20.913					
68	20/05/22	05:00:00	18.723					
