"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20291509, SEN S/N: 20291509, LBL: Porros 15m_22052019)"	"Acoplador separado (LGR S/N: 20291509, SEN S/N: 20291509)"	"Acoplador adjunto (LGR S/N: 20291509, SEN S/N: 20291509)"	"Host conectado (LGR S/N: 20291509, SEN S/N: 20291509)"	"Parado (LGR S/N: 20291509, SEN S/N: 20291509)"	"Final de archivo (LGR S/N: 20291509, SEN S/N: 20291509)"
1	19/09/20	14:00:00	25.987	Registrado				
2	19/09/20	15:00:00	26.036					
3	19/09/20	16:00:00	26.061					
4	19/09/20	17:00:00	26.061					
5	19/09/20	18:00:00	25.987					
6	19/09/20	19:00:00	25.939					
7	19/09/20	20:00:00	25.890					
8	19/09/20	21:00:00	25.890					
9	19/09/20	22:00:00	25.866					
10	19/09/20	23:00:00	25.890					
11	20/09/20	00:00:00	25.890					
12	20/09/20	01:00:00	25.890					
13	20/09/20	02:00:00	25.890					
14	20/09/20	03:00:00	25.890					
15	20/09/20	04:00:00	25.890					
16	20/09/20	05:00:00	25.866					
17	20/09/20	06:00:00	25.841					
18	20/09/20	07:00:00	25.866					
19	20/09/20	08:00:00	25.841					
20	20/09/20	09:00:00	25.841					
21	20/09/20	10:00:00	25.866					
22	20/09/20	11:00:00	25.866					
23	20/09/20	12:00:00	25.939					
24	20/09/20	13:00:00	25.939					
25	20/09/20	14:00:00	25.963					
26	20/09/20	15:00:00	25.963					
27	20/09/20	16:00:00	25.963					
28	20/09/20	17:00:00	25.963					
29	20/09/20	18:00:00	25.939					
30	20/09/20	19:00:00	25.914					
31	20/09/20	20:00:00	25.890					
32	20/09/20	21:00:00	25.890					
33	20/09/20	22:00:00	25.890					
34	20/09/20	23:00:00	25.890					
35	21/09/20	00:00:00	25.914					
36	21/09/20	01:00:00	25.914					
37	21/09/20	02:00:00	25.914					
38	21/09/20	03:00:00	25.890					
39	21/09/20	04:00:00	25.890					
40	21/09/20	05:00:00	25.890					
41	21/09/20	06:00:00	25.890					
42	21/09/20	07:00:00	25.890					
43	21/09/20	08:00:00	25.890					
44	21/09/20	09:00:00	25.890					
45	21/09/20	10:00:00	25.866					
46	21/09/20	11:00:00	25.914					
47	21/09/20	12:00:00	25.939					
48	21/09/20	13:00:00	25.914					
49	21/09/20	14:00:00	25.914					
50	21/09/20	15:00:00	25.866					
51	21/09/20	16:00:00	25.866					
52	21/09/20	17:00:00	25.841					
53	21/09/20	18:00:00	25.841					
54	21/09/20	19:00:00	25.841					
55	21/09/20	20:00:00	25.841					
56	21/09/20	21:00:00	25.866					
57	21/09/20	22:00:00	25.866					
58	21/09/20	23:00:00	25.866					
59	22/09/20	00:00:00	25.866					
60	22/09/20	01:00:00	25.841					
61	22/09/20	02:00:00	25.841					
62	22/09/20	03:00:00	25.817					
63	22/09/20	04:00:00	25.817					
64	22/09/20	05:00:00	25.817					
65	22/09/20	06:00:00	25.793					
66	22/09/20	07:00:00	25.817					
67	22/09/20	08:00:00	25.793					
68	22/09/20	09:00:00	25.817					
69	22/09/20	10:00:00	25.817					
70	22/09/20	11:00:00	25.866					
71	22/09/20	12:00:00	25.890					
72	22/09/20	13:00:00	25.914					
73	22/09/20	14:00:00	25.963					
74	22/09/20	15:00:00	25.793					
75	22/09/20	16:00:00	25.841					
76	22/09/20	17:00:00	25.841					
77	22/09/20	18:00:00	25.841					
78	22/09/20	19:00:00	25.793					
79	22/09/20	20:00:00	25.768					
80	22/09/20	21:00:00	25.768					
81	22/09/20	22:00:00	25.768					
82	22/09/20	23:00:00	25.768					
83	23/09/20	00:00:00	25.793					
84	23/09/20	01:00:00	25.793					
85	23/09/20	02:00:00	25.793					
86	23/09/20	03:00:00	25.768					
87	23/09/20	04:00:00	25.768					
88	23/09/20	05:00:00	25.768					
89	23/09/20	06:00:00	25.744					
90	23/09/20	07:00:00	25.768					
91	23/09/20	08:00:00	25.768					
92	23/09/20	09:00:00	25.793					
93	23/09/20	10:00:00	25.793					
94	23/09/20	11:00:00	25.793					
95	23/09/20	12:00:00	25.817					
96	23/09/20	13:00:00	25.987					
97	23/09/20	14:00:00	26.012					
98	23/09/20	15:00:00	25.914					
99	23/09/20	16:00:00	25.914					
100	23/09/20	17:00:00	25.963					
101	23/09/20	18:00:00	26.012					
102	23/09/20	19:00:00	25.987					
103	23/09/20	20:00:00	25.939					
104	23/09/20	21:00:00	25.939					
105	23/09/20	22:00:00	25.914					
106	23/09/20	23:00:00	25.841					
107	24/09/20	00:00:00	25.793					
108	24/09/20	01:00:00	25.793					
109	24/09/20	02:00:00	25.793					
110	24/09/20	03:00:00	25.768					
111	24/09/20	04:00:00	25.768					
112	24/09/20	05:00:00	25.768					
113	24/09/20	06:00:00	25.768					
114	24/09/20	07:00:00	25.768					
115	24/09/20	08:00:00	25.768					
116	24/09/20	09:00:00	25.768					
117	24/09/20	10:00:00	25.793					
118	24/09/20	11:00:00	25.841					
119	24/09/20	12:00:00	25.890					
120	24/09/20	13:00:00	25.963					
121	24/09/20	14:00:00	25.963					
122	24/09/20	15:00:00	25.866					
123	24/09/20	16:00:00	25.890					
124	24/09/20	17:00:00	25.939					
125	24/09/20	18:00:00	25.866					
126	24/09/20	19:00:00	25.866					
127	24/09/20	20:00:00	25.817					
128	24/09/20	21:00:00	25.768					
