"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 10718615, SEN S/N: 10718615, LBL: Porros_20m_05022021)"	"Acoplador separado (LGR S/N: 10718615, SEN S/N: 10718615)"	"Acoplador adjunto (LGR S/N: 10718615, SEN S/N: 10718615)"	"Host conectado (LGR S/N: 10718615, SEN S/N: 10718615)"	"Parado (LGR S/N: 10718615, SEN S/N: 10718615)"	"Final de archivo (LGR S/N: 10718615, SEN S/N: 10718615)"
1	05/02/21	12:00:00	17.724	Registrado				
2	05/02/21	13:00:00	14.337					
3	05/02/21	14:00:00	14.337					
4	05/02/21	15:00:00	14.337					
5	05/02/21	16:00:00	14.337					
6	05/02/21	17:00:00	14.361					
7	05/02/21	18:00:00	14.337					
8	05/02/21	19:00:00	14.337					
9	05/02/21	20:00:00	14.290					
10	05/02/21	21:00:00	14.242					
11	05/02/21	22:00:00	14.218					
12	05/02/21	23:00:00	14.218					
13	06/02/21	00:00:00	14.218					
14	06/02/21	01:00:00	14.194					
15	06/02/21	02:00:00	14.194					
16	06/02/21	03:00:00	14.242					
17	06/02/21	04:00:00	14.290					
18	06/02/21	05:00:00	14.290					
19	06/02/21	06:00:00	14.266					
20	06/02/21	07:00:00	14.242					
21	06/02/21	08:00:00	14.242					
22	06/02/21	09:00:00	14.242					
23	06/02/21	10:00:00	14.218					
24	06/02/21	11:00:00	14.218					
25	06/02/21	12:00:00	14.242					
26	06/02/21	13:00:00	14.266					
27	06/02/21	14:00:00	14.242					
28	06/02/21	15:00:00	14.242					
29	06/02/21	16:00:00	14.194					
30	06/02/21	17:00:00	14.218					
31	06/02/21	18:00:00	14.242					
32	06/02/21	19:00:00	14.242					
33	06/02/21	20:00:00	14.266					
34	06/02/21	21:00:00	14.242					
35	06/02/21	22:00:00	14.242					
36	06/02/21	23:00:00	14.218					
37	07/02/21	00:00:00	14.242					
38	07/02/21	01:00:00	14.242					
39	07/02/21	02:00:00	14.242					
40	07/02/21	03:00:00	14.242					
41	07/02/21	04:00:00	14.242					
42	07/02/21	05:00:00	14.242					
43	07/02/21	06:00:00	14.242					
44	07/02/21	07:00:00	14.242					
45	07/02/21	08:00:00	14.242					
46	07/02/21	09:00:00	14.242					
47	07/02/21	10:00:00	14.242					
48	07/02/21	11:00:00	14.242					
49	07/02/21	12:00:00	14.242					
50	07/02/21	13:00:00	14.242					
51	07/02/21	14:00:00	14.242					
52	07/02/21	15:00:00	14.242					
53	07/02/21	16:00:00	14.218					
54	07/02/21	17:00:00	14.218					
55	07/02/21	18:00:00	14.218					
56	07/02/21	19:00:00	14.242					
57	07/02/21	20:00:00	14.242					
58	07/02/21	21:00:00	14.218					
59	07/02/21	22:00:00	14.194					
60	07/02/21	23:00:00	14.194					
61	08/02/21	00:00:00	14.194					
62	08/02/21	01:00:00	14.170					
63	08/02/21	02:00:00	14.146					
64	08/02/21	03:00:00	14.170					
65	08/02/21	04:00:00	14.146					
66	08/02/21	05:00:00	14.170					
67	08/02/21	06:00:00	14.146					
68	08/02/21	07:00:00	14.146					
69	08/02/21	08:00:00	14.146					
70	08/02/21	09:00:00	14.122					
71	08/02/21	10:00:00	14.146					
72	08/02/21	11:00:00	14.146					
73	08/02/21	12:00:00	14.146					
74	08/02/21	13:00:00	14.146					
75	08/02/21	14:00:00	14.146					
76	08/02/21	15:00:00	14.146					
77	08/02/21	16:00:00	14.146					
78	08/02/21	17:00:00	14.146					
79	08/02/21	18:00:00	14.146					
80	08/02/21	19:00:00	14.146					
81	08/02/21	20:00:00	14.146					
82	08/02/21	21:00:00	14.146					
83	08/02/21	22:00:00	14.146					
84	08/02/21	23:00:00	14.146					
85	09/02/21	00:00:00	14.146					
86	09/02/21	01:00:00	14.146					
87	09/02/21	02:00:00	14.146					
88	09/02/21	03:00:00	14.122					
89	09/02/21	04:00:00	14.122					
90	09/02/21	05:00:00	14.122					
91	09/02/21	06:00:00	14.122					
92	09/02/21	07:00:00	14.098					
93	09/02/21	08:00:00	14.098					
94	09/02/21	09:00:00	14.098					
95	09/02/21	10:00:00	14.098					
96	09/02/21	11:00:00	14.122					
97	09/02/21	12:00:00	14.146					
98	09/02/21	13:00:00	14.146					
99	09/02/21	14:00:00	14.146					
100	09/02/21	15:00:00	14.146					
101	09/02/21	16:00:00	14.146					
102	09/02/21	17:00:00	14.146					
103	09/02/21	18:00:00	14.122					
104	09/02/21	19:00:00	14.122					
105	09/02/21	20:00:00	14.098					
106	09/02/21	21:00:00	14.098					
107	09/02/21	22:00:00	14.098					
108	09/02/21	23:00:00	14.098					
109	10/02/21	00:00:00	14.098					
110	10/02/21	01:00:00	14.098					
111	10/02/21	02:00:00	14.098					
112	10/02/21	03:00:00	14.098					
113	10/02/21	04:00:00	14.098					
114	10/02/21	05:00:00	14.098					
115	10/02/21	06:00:00	14.098					
116	10/02/21	07:00:00	14.074					
117	10/02/21	08:00:00	14.074					
118	10/02/21	09:00:00	14.074					
119	10/02/21	10:00:00	14.074					
120	10/02/21	11:00:00	14.050					
121	10/02/21	12:00:00	14.050					
122	10/02/21	13:00:00	14.050					
123	10/02/21	14:00:00	14.050					
124	10/02/21	15:00:00	14.050					
125	10/02/21	16:00:00	14.050					
126	10/02/21	17:00:00	14.050					
127	10/02/21	18:00:00	14.050					
128	10/02/21	19:00:00	14.050					
129	10/02/21	20:00:00	14.026					
130	10/02/21	21:00:00	14.002					
131	10/02/21	22:00:00	14.002					
132	10/02/21	23:00:00	14.002					
133	11/02/21	00:00:00	14.002					
134	11/02/21	01:00:00	14.002					
135	11/02/21	02:00:00	14.002					
136	11/02/21	03:00:00	14.002					
137	11/02/21	04:00:00	13.978					
138	11/02/21	05:00:00	13.978					
139	11/02/21	06:00:00	13.978					
140	11/02/21	07:00:00	13.978					
141	11/02/21	08:00:00	13.978					
142	11/02/21	09:00:00	13.978					
143	11/02/21	10:00:00	13.978					
144	11/02/21	11:00:00	13.978					
145	11/02/21	12:00:00	13.978					
146	11/02/21	13:00:00	13.978					
147	11/02/21	14:00:00	14.050					
148	11/02/21	15:00:00	14.074					
149	11/02/21	16:00:00	14.002					
150	11/02/21	17:00:00	14.026					
151	11/02/21	18:00:00	14.050					
152	11/02/21	19:00:00	14.050					
153	11/02/21	20:00:00	14.002					
154	11/02/21	21:00:00	14.002					
155	11/02/21	22:00:00	13.978					
156	11/02/21	23:00:00	14.002					
157	12/02/21	00:00:00	14.026					
158	12/02/21	01:00:00	14.002					
159	12/02/21	02:00:00	14.026					
160	12/02/21	03:00:00	14.026					
161	12/02/21	04:00:00	14.002					
162	12/02/21	05:00:00	14.002					
163	12/02/21	06:00:00	14.002					
164	12/02/21	07:00:00	14.002					
165	12/02/21	08:00:00	13.978					
166	12/02/21	09:00:00	13.978					
167	12/02/21	10:00:00	13.978					
168	12/02/21	11:00:00	13.978					
169	12/02/21	12:00:00	14.002					
170	12/02/21	13:00:00	14.026					
171	12/02/21	14:00:00	14.026					
172	12/02/21	15:00:00	14.050					
173	12/02/21	16:00:00	14.050					
174	12/02/21	17:00:00	14.050					
175	12/02/21	18:00:00	14.050					
176	12/02/21	19:00:00	14.050					
177	12/02/21	20:00:00	14.050					
