"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20361913, SEN S/N: 20361913, LBL: Porros_10m)"	"Acoplador separado (LGR S/N: 20361913, SEN S/N: 20361913)"	"Acoplador adjunto (LGR S/N: 20361913, SEN S/N: 20361913)"	"Host conectado (LGR S/N: 20361913, SEN S/N: 20361913)"	"Parado (LGR S/N: 20361913, SEN S/N: 20361913)"	"Final de archivo (LGR S/N: 20361913, SEN S/N: 20361913)"
1	18/05/22	10:00:00	20.865	Registrado				
2	18/05/22	11:00:00	22.489					
3	18/05/22	12:00:00	20.246					
4	18/05/22	13:00:00	18.961					
5	18/05/22	14:00:00	18.961					
6	18/05/22	15:00:00	18.771					
7	18/05/22	16:00:00	18.771					
8	18/05/22	17:00:00	18.699					
9	18/05/22	18:00:00	18.747					
10	18/05/22	19:00:00	18.604					
11	18/05/22	20:00:00	18.604					
12	18/05/22	21:00:00	18.557					
13	18/05/22	22:00:00	18.533					
14	18/05/22	23:00:00	18.557					
15	19/05/22	00:00:00	18.604					
16	19/05/22	01:00:00	18.414					
17	19/05/22	02:00:00	18.604					
18	19/05/22	03:00:00	18.652					
19	19/05/22	04:00:00	18.699					
20	19/05/22	05:00:00	18.961					
21	19/05/22	06:00:00	18.842					
22	19/05/22	07:00:00	18.842					
23	19/05/22	08:00:00	18.818					
24	19/05/22	09:00:00	18.771					
25	19/05/22	10:00:00	18.794					
26	19/05/22	11:00:00	18.866					
27	19/05/22	12:00:00	18.866					
28	19/05/22	13:00:00	19.103					
29	19/05/22	14:00:00	19.103					
30	19/05/22	15:00:00	18.889					
31	19/05/22	16:00:00	18.913					
32	19/05/22	17:00:00	18.699					
33	19/05/22	18:00:00	18.081					
34	19/05/22	19:00:00	17.819					
35	19/05/22	20:00:00	17.534					
36	19/05/22	21:00:00	17.629					
37	19/05/22	22:00:00	17.486					
38	19/05/22	23:00:00	17.344					
39	20/05/22	00:00:00	17.368					
40	20/05/22	01:00:00	17.391					
41	20/05/22	02:00:00	17.439					
42	20/05/22	03:00:00	17.368					
43	20/05/22	04:00:00	17.439					
44	20/05/22	05:00:00	17.272					
45	20/05/22	06:00:00	17.272					
46	20/05/22	07:00:00	17.201					
47	20/05/22	08:00:00	17.249					
48	20/05/22	09:00:00	17.344					
49	20/05/22	10:00:00	17.534					
50	20/05/22	11:00:00	17.629					
51	20/05/22	12:00:00	17.867					
52	20/05/22	13:00:00	17.819					
53	20/05/22	14:00:00	17.938					
54	20/05/22	15:00:00	17.724					
55	20/05/22	16:00:00	17.629					
56	20/05/22	17:00:00	17.629					
57	20/05/22	18:00:00	17.486					
58	20/05/22	19:00:00	17.439					
59	20/05/22	20:00:00	17.272					
60	20/05/22	21:00:00	17.653					
61	20/05/22	22:00:00	17.153					
62	20/05/22	23:00:00	17.439					
63	21/05/22	00:00:00	17.748					
64	21/05/22	01:00:00	17.486					
65	21/05/22	02:00:00	18.295					
66	21/05/22	03:00:00	19.627					
67	21/05/22	04:00:00	18.937					
68	21/05/22	05:00:00	18.343					
69	21/05/22	06:00:00	19.080					
70	21/05/22	07:00:00	18.438					
71	21/05/22	08:00:00	18.747					
72	21/05/22	09:00:00	19.008					
73	21/05/22	10:00:00	19.294					
74	21/05/22	11:00:00	19.555					
75	21/05/22	12:00:00	18.771					
76	21/05/22	13:00:00	19.651					
77	21/05/22	14:00:00	19.698					
78	21/05/22	15:00:00	19.294					
79	21/05/22	16:00:00	19.674					
80	21/05/22	17:00:00	20.436					
81	21/05/22	18:00:00	20.770					
82	21/05/22	19:00:00	20.770					
83	21/05/22	20:00:00	20.770					
84	21/05/22	21:00:00	20.674					
85	21/05/22	22:00:00	20.507					
86	21/05/22	23:00:00	20.198					
87	22/05/22	00:00:00	20.365					
88	22/05/22	01:00:00	20.317					
89	22/05/22	02:00:00	21.056					
90	22/05/22	03:00:00	21.151					
91	22/05/22	04:00:00	21.413					
92	22/05/22	05:00:00	21.127					
93	22/05/22	06:00:00	20.722					
94	22/05/22	07:00:00	20.436					
95	22/05/22	08:00:00	20.507					
96	22/05/22	09:00:00	20.722					
97	22/05/22	10:00:00	20.841					
98	22/05/22	11:00:00	20.936					
