Agde 15m ;Date ;heure ;T°C
;18/04/2023;0:00:00;13.401
;18/04/2023;1:00:00;13.401
;18/04/2023;2:00:00;13.377
;18/04/2023;3:00:00;13.377
;18/04/2023;4:00:00;13.377
;18/04/2023;5:00:00;13.401
;18/04/2023;6:00:00;13.425
;18/04/2023;7:00:00;13.401
;18/04/2023;8:00:00;13.401
;18/04/2023;9:00:00;13.401
;18/04/2023;10:00:00;13.425
;18/04/2023;11:00:00;13.425
;18/04/2023;12:00:00;13.401
;18/04/2023;13:00:00;13.377
;18/04/2023;14:00:00;13.401
;18/04/2023;15:00:00;13.401
;18/04/2023;16:00:00;13.449
;18/04/2023;17:00:00;13.473
;05/05/2023;16:00:00;15.199
;05/05/2023;17:00:00;15.199
;05/05/2023;18:00:00;15.294
;05/05/2023;19:00:00;15.294
;05/05/2023;20:00:00;15.247
;05/05/2023;21:00:00;15.390
;05/05/2023;22:00:00;15.199
;05/05/2023;23:00:00;15.461
;06/05/2023;0:00:00;15.247
;06/05/2023;1:00:00;15.175
;06/05/2023;2:00:00;15.223
;06/05/2023;3:00:00;15.223
;06/05/2023;4:00:00;15.270
;06/05/2023;5:00:00;15.294
;06/05/2023;6:00:00;15.247
;06/05/2023;7:00:00;15.199
;06/05/2023;8:00:00;15.175
;06/05/2023;9:00:00;15.175
;06/05/2023;10:00:00;15.366
;06/05/2023;11:00:00;15.461
;06/05/2023;12:00:00;15.438
;06/05/2023;13:00:00;15.438
;06/05/2023;14:00:00;15.438
;06/05/2023;15:00:00;15.509
;06/05/2023;16:00:00;15.509
;06/05/2023;17:00:00;15.533
;06/05/2023;18:00:00;15.390
;06/05/2023;19:00:00;15.366
;06/05/2023;20:00:00;15.342
;06/05/2023;21:00:00;15.031
;06/05/2023;22:00:00;14.792
;06/05/2023;23:00:00;14.553
;07/05/2023;0:00:00;14.721
;07/05/2023;1:00:00;14.864
;07/05/2023;2:00:00;14.625
;07/05/2023;3:00:00;14.816
;07/05/2023;4:00:00;14.936
;07/05/2023;5:00:00;14.960
;07/05/2023;6:00:00;15.342
;07/05/2023;7:00:00;15.438
;07/05/2023;8:00:00;15.581
;07/05/2023;9:00:00;15.533
;07/05/2023;10:00:00;15.366
;07/05/2023;11:00:00;15.270
;07/05/2023;12:00:00;14.864
;07/05/2023;13:00:00;14.721
;07/05/2023;14:00:00;14.960
;07/05/2023;15:00:00;14.912
;07/05/2023;16:00:00;14.529
;07/05/2023;17:00:00;14.625
;07/05/2023;18:00:00;14.625
;07/05/2023;19:00:00;14.577
;07/05/2023;20:00:00;14.816
;07/05/2023;21:00:00;14.433
;07/05/2023;22:00:00;14.242
;07/05/2023;23:00:00;14.601
;08/05/2023;0:00:00;14.481
;08/05/2023;1:00:00;14.553
;08/05/2023;2:00:00;14.649
;08/05/2023;3:00:00;14.649
;08/05/2023;4:00:00;14.409
;08/05/2023;5:00:00;14.505
;08/05/2023;6:00:00;14.673
;08/05/2023;7:00:00;14.888
;08/05/2023;8:00:00;14.433
;08/05/2023;9:00:00;14.266
;08/05/2023;10:00:00;14.361
;08/05/2023;11:00:00;14.385
;08/05/2023;12:00:00;14.673
;08/05/2023;13:00:00;14.122
;08/05/2023;14:00:00;13.882
;08/05/2023;15:00:00;13.858
;08/05/2023;16:00:00;13.906
;08/05/2023;17:00:00;14.194
;08/05/2023;18:00:00;14.361
;08/05/2023;19:00:00;14.840
;08/05/2023;20:00:00;14.385
;08/05/2023;21:00:00;14.481
;08/05/2023;22:00:00;14.218
;08/05/2023;23:00:00;14.337
;09/05/2023;0:00:00;14.074
;09/05/2023;1:00:00;14.050
;09/05/2023;2:00:00;13.954
;09/05/2023;3:00:00;14.050
;09/05/2023;4:00:00;13.930
;09/05/2023;5:00:00;13.810
;09/05/2023;6:00:00;13.834
;09/05/2023;7:00:00;13.858
;09/05/2023;8:00:00;13.834
;09/05/2023;9:00:00;13.810
;09/05/2023;10:00:00;13.834
;09/05/2023;11:00:00;13.834
;09/05/2023;12:00:00;14.577
;09/05/2023;13:00:00;14.026
;09/05/2023;14:00:00;14.002
;09/05/2023;15:00:00;14.050
;09/05/2023;16:00:00;13.954
;09/05/2023;17:00:00;14.170
;09/05/2023;18:00:00;13.906
;09/05/2023;19:00:00;14.026
;09/05/2023;20:00:00;13.882
;09/05/2023;21:00:00;13.834
;09/05/2023;22:00:00;13.882
;09/05/2023;23:00:00;13.906
;10/05/2023;0:00:00;13.906
;10/05/2023;1:00:00;13.834
;10/05/2023;2:00:00;13.810
;10/05/2023;3:00:00;13.906
;10/05/2023;4:00:00;13.906
;10/05/2023;5:00:00;14.146
;10/05/2023;6:00:00;13.882
;10/05/2023;7:00:00;13.858
;10/05/2023;8:00:00;13.810
;10/05/2023;9:00:00;13.714
;10/05/2023;10:00:00;13.690
;10/05/2023;11:00:00;13.954
;10/05/2023;12:00:00;14.290
;10/05/2023;13:00:00;14.337
;10/05/2023;14:00:00;14.385
;10/05/2023;15:00:00;14.385
;10/05/2023;16:00:00;14.385
;10/05/2023;17:00:00;14.481
;10/05/2023;18:00:00;14.529
;10/05/2023;19:00:00;14.601
;10/05/2023;20:00:00;14.361
;10/05/2023;21:00:00;14.577
;10/05/2023;22:00:00;14.577
;10/05/2023;23:00:00;14.601
;11/05/2023;0:00:00;14.577
;11/05/2023;1:00:00;14.577
;11/05/2023;2:00:00;14.314
;11/05/2023;3:00:00;14.433
;11/05/2023;4:00:00;14.457
;11/05/2023;5:00:00;14.409
;11/05/2023;6:00:00;14.385
;11/05/2023;7:00:00;14.361
;11/05/2023;8:00:00;14.361
;11/05/2023;9:00:00;14.361
;11/05/2023;10:00:00;14.361
;11/05/2023;11:00:00;14.361
;11/05/2023;12:00:00;14.337
