	"""N.º""	""Fecha""	""Tiempo, GMT+02:00""	""Temp, °C (LGR S/N: XXXXXXXX, SEN S/N: XXXXXXXX)""	""Acoplador separado (LGR S/N: XXXXXXXX, SEN S/N: XXXXXXXX)""	""Acoplador adjunto (LGR S/N: XXXXXXXX, SEN S/N: XXXXXXXX)""	""Host conectado (LGR S/N: XXXXXXXX, SEN S/N: XXXXXXXX)""	""Parado (LGR S/N: XXXXXXXX, SEN S/N: XXXXXXXX)""	""Final de archivo (LGR S/N: XXXXXXXX, SEN S/N: XXXXXXXX)"""		
0	18/04/23	00:00:00	14.433
1	18/04/23	01:00:00	14.29
2	18/04/23	02:00:00	14.17
3	18/04/23	03:00:00	13.978
4	18/04/23	04:00:00	14.122
5	18/04/23	05:00:00	14.002
6	18/04/23	06:00:00	14.074
7	18/04/23	07:00:00	14.074
8	18/04/23	08:00:00	14.05
9	18/04/23	09:00:00	14.17
10	18/04/23	10:00:00	14.266
11	18/04/23	11:00:00	14.242
12	18/04/23	12:00:00	14.242
13	18/04/23	13:00:00	14.242
14	18/04/23	14:00:00	14.17
15	18/04/23	15:00:00	13.954
16	18/04/23	16:00:00	14.05
17	18/04/23	17:00:00	14.002
18	05/05/23	16:00:00	14.026
19	05/05/23	17:00:00	13.93
20	05/05/23	18:00:00	14.146
21	05/05/23	19:00:00	14.146
22	05/05/23	20:00:00	14.17
23	05/05/23	21:00:00	14.242
24	05/05/23	22:00:00	14.385
25	05/05/23	23:00:00	14.409
26	06/05/23	00:00:00	14.026
27	06/05/23	01:00:00	13.834
28	06/05/23	02:00:00	13.93
29	06/05/23	03:00:00	13.978
30	06/05/23	04:00:00	13.882
31	06/05/23	05:00:00	14.146
32	06/05/23	06:00:00	14.146
33	06/05/23	07:00:00	13.786
34	06/05/23	08:00:00	14.098
35	06/05/23	09:00:00	14.146
36	06/05/23	10:00:00	13.738
37	06/05/23	11:00:00	14.05
38	06/05/23	12:00:00	14.122
39	06/05/23	13:00:00	13.81
40	06/05/23	14:00:00	13.858
41	06/05/23	15:00:00	13.882
42	06/05/23	16:00:00	14.002
43	06/05/23	17:00:00	14.098
44	06/05/23	18:00:00	13.954
45	06/05/23	19:00:00	14.074
46	06/05/23	20:00:00	14.026
47	06/05/23	21:00:00	13.978
48	06/05/23	22:00:00	13.786
49	06/05/23	23:00:00	14.002
50	07/05/23	00:00:00	14.05
51	07/05/23	01:00:00	14.194
