"Título de trazado: 20481169_L35"
"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 21011583, SEN S/N: 21011583)"	"Acoplador separado (LGR S/N: 21011583, SEN S/N: 21011583)"	"Acoplador adjunto (LGR S/N: 21011583, SEN S/N: 21011583)"	"Host conectado (LGR S/N: 21011583, SEN S/N: 21011583)"	"Parado (LGR S/N: 21011583, SEN S/N: 21011583)"	"Final de archivo (LGR S/N: 21011583, SEN S/N: 21011583)"
1	30/01/24	13:00:00	14.194	Registrado				
2	30/01/24	14:00:00	14.194					
3	30/01/24	15:00:00	14.194					
4	30/01/24	16:00:00	14.194					
5	30/01/24	17:00:00	14.194					
6	30/01/24	18:00:00	14.194					
7	30/01/24	19:00:00	14.194					
8	30/01/24	20:00:00	14.194					
9	30/01/24	21:00:00	14.218					
10	30/01/24	22:00:00	14.218					
11	30/01/24	23:00:00	14.218					
12	31/01/24	00:00:00	14.218					
13	31/01/24	01:00:00	14.218					
14	31/01/24	02:00:00	14.218					
15	31/01/24	03:00:00	14.218					
16	31/01/24	04:00:00	14.218					
17	31/01/24	05:00:00	14.218					
18	31/01/24	06:00:00	14.194					
19	31/01/24	07:00:00	14.194					
20	31/01/24	08:00:00	14.194					
21	31/01/24	09:00:00	14.194					
22	31/01/24	10:00:00	14.170					
23	31/01/24	11:00:00	14.170					
24	31/01/24	12:00:00	14.170					
25	31/01/24	13:00:00	14.170					
26	31/01/24	14:00:00	14.170					
27	31/01/24	15:00:00	14.170					
28	31/01/24	16:00:00	14.146					
29	31/01/24	17:00:00	14.146					
30	31/01/24	18:00:00	14.146					
31	31/01/24	19:00:00	14.122					
32	31/01/24	20:00:00	14.122					
33	31/01/24	21:00:00	14.122					
34	31/01/24	22:00:00	14.122					
35	31/01/24	23:00:00	14.122					
36	01/02/24	00:00:00	14.146					
37	01/02/24	01:00:00	14.146					
38	01/02/24	02:00:00	14.146					
39	01/02/24	03:00:00	14.146					
40	01/02/24	04:00:00	14.146					
41	01/02/24	05:00:00	14.146					
42	01/02/24	06:00:00	14.122					
43	01/02/24	07:00:00	14.098					
44	01/02/24	08:00:00	14.026					
45	01/02/24	09:00:00	14.002					
46	01/02/24	10:00:00	14.002					
47	01/02/24	11:00:00	13.978					
48	01/02/24	12:00:00	13.978					
49	01/02/24	13:00:00	13.978					
50	01/02/24	14:00:00	13.954					
51	01/02/24	15:00:00	13.954					
52	01/02/24	16:00:00	13.954					
53	01/02/24	17:00:00	13.978					
54	01/02/24	18:00:00	14.002					
55	01/02/24	19:00:00	14.002					
56	01/02/24	20:00:00	14.002					
57	01/02/24	21:00:00	14.002					
58	01/02/24	22:00:00	14.026					
59	01/02/24	23:00:00	14.002					
60	02/02/24	00:00:00	14.002					
61	02/02/24	01:00:00	13.954					
62	02/02/24	02:00:00	14.002					
63	02/02/24	03:00:00	14.002					
64	02/02/24	04:00:00	13.978					
65	02/02/24	05:00:00	13.954					
66	02/02/24	06:00:00	13.930					
67	02/02/24	07:00:00	13.906					
68	02/02/24	08:00:00	13.978					
69	02/02/24	09:00:00	13.978					
70	02/02/24	10:00:00	13.978					
71	02/02/24	11:00:00	14.002					
72	02/02/24	12:00:00	14.026					
73	02/02/24	13:00:00	14.026					
74	02/02/24	14:00:00	14.050					
75	02/02/24	15:00:00	14.050					
76	02/02/24	16:00:00	14.050					
77	02/02/24	17:00:00	14.074					
78	02/02/24	18:00:00	14.146					
79	02/02/24	19:00:00	14.074					
80	02/02/24	20:00:00	14.074					
81	02/02/24	21:00:00	14.098					
82	02/02/24	22:00:00	14.122					
83	02/02/24	23:00:00	14.146					
84	03/02/24	00:00:00	14.170					
85	03/02/24	01:00:00	14.194					
86	03/02/24	02:00:00	14.194					
87	03/02/24	03:00:00	14.194					
88	03/02/24	04:00:00	14.194					
89	03/02/24	05:00:00	14.194					
90	03/02/24	06:00:00	14.194					
91	03/02/24	07:00:00	14.218					
92	03/02/24	08:00:00	14.218					
93	03/02/24	09:00:00	14.218					
94	03/02/24	10:00:00	14.218					
95	03/02/24	11:00:00	14.194					
96	03/02/24	12:00:00	14.194					
97	03/02/24	13:00:00	14.194					
98	03/02/24	14:00:00	14.194					
99	03/02/24	15:00:00	14.194					
100	03/02/24	16:00:00	14.194					
101	03/02/24	17:00:00	14.194					
102	03/02/24	18:00:00	14.218					
103	03/02/24	19:00:00	14.218					
104	03/02/24	20:00:00	14.170					
105	03/02/24	21:00:00	14.170					
106	03/02/24	22:00:00	14.170					
107	03/02/24	23:00:00	14.170					
108	04/02/24	00:00:00	14.146					
109	04/02/24	01:00:00	14.170					
110	04/02/24	02:00:00	14.146					
111	04/02/24	03:00:00	14.170					
112	04/02/24	04:00:00	14.194					
113	04/02/24	05:00:00	14.194					
114	04/02/24	06:00:00	14.194					
115	04/02/24	07:00:00	14.194					
116	04/02/24	08:00:00	14.170					
117	04/02/24	09:00:00	14.170					
118	04/02/24	10:00:00	14.170					
119	04/02/24	11:00:00	14.170					
120	04/02/24	12:00:00	14.170					
121	04/02/24	13:00:00	14.146					
122	04/02/24	14:00:00	14.146					
123	04/02/24	15:00:00	14.146					
124	04/02/24	16:00:00	14.146					
125	04/02/24	17:00:00	14.146					
126	04/02/24	18:00:00	14.146					
127	04/02/24	19:00:00	14.146					
128	04/02/24	20:00:00	14.146					
129	04/02/24	21:00:00	14.146					
130	04/02/24	22:00:00	14.146					
131	04/02/24	23:00:00	14.146					
132	05/02/24	00:00:00	14.146					
133	05/02/24	01:00:00	14.146					
134	05/02/24	02:00:00	14.146					
135	05/02/24	03:00:00	14.146					
136	05/02/24	04:00:00	14.074					
137	05/02/24	05:00:00	14.050					
138	05/02/24	06:00:00	14.074					
139	05/02/24	07:00:00	14.098					
140	05/02/24	08:00:00	14.050					
141	05/02/24	09:00:00	14.050					
142	05/02/24	10:00:00	14.098					
143	05/02/24	11:00:00	14.122					
144	05/02/24	12:00:00	14.194					
145	05/02/24	13:00:00	14.170					
146	05/02/24	14:00:00	14.194					
147	05/02/24	15:00:00	14.194					
148	05/02/24	16:00:00	14.218					
149	05/02/24	17:00:00	14.218					
150	05/02/24	18:00:00	14.194					
151	05/02/24	19:00:00	14.242					
152	05/02/24	20:00:00	14.242					
153	05/02/24	21:00:00	14.242					
154	05/02/24	22:00:00	14.242					
155	05/02/24	23:00:00	14.290					
156	06/02/24	00:00:00	14.266					
157	06/02/24	01:00:00	14.290					
158	06/02/24	02:00:00	14.290					
159	06/02/24	03:00:00	14.266					
160	06/02/24	04:00:00	14.266					
161	06/02/24	05:00:00	14.266					
162	06/02/24	06:00:00	14.242					
163	06/02/24	07:00:00	14.242					
164	06/02/24	08:00:00	14.242					
165	06/02/24	09:00:00	14.242					
166	06/02/24	10:00:00	14.242					
167	06/02/24	11:00:00	14.218					
168	06/02/24	12:00:00	14.218					
169	06/02/24	13:00:00	14.218					
170	06/02/24	14:00:00	14.218					
171	06/02/24	15:00:00	14.218					
172	06/02/24	16:00:00	14.218					
173	06/02/24	17:00:00	14.218					
174	06/02/24	18:00:00	14.242					
175	06/02/24	19:00:00	14.242					
176	06/02/24	20:00:00	14.242					
177	06/02/24	21:00:00	14.242					
178	06/02/24	22:00:00	14.242					
179	06/02/24	23:00:00	14.242					
180	07/02/24	00:00:00	14.266					
181	07/02/24	01:00:00	14.242					
182	07/02/24	02:00:00	14.242					
183	07/02/24	03:00:00	14.242					
184	07/02/24	04:00:00	14.242					
185	07/02/24	05:00:00	14.242					
186	07/02/24	06:00:00	14.242					
187	07/02/24	07:00:00	14.242					
188	07/02/24	08:00:00	14.242					
189	07/02/24	09:00:00	14.242					
190	07/02/24	10:00:00	14.242					
191	07/02/24	11:00:00	14.242					
192	07/02/24	12:00:00	14.266					
193	07/02/24	13:00:00	14.266					
194	07/02/24	14:00:00	14.266					
195	07/02/24	15:00:00	14.266					
196	07/02/24	16:00:00	14.266					
197	07/02/24	17:00:00	14.218					
198	07/02/24	18:00:00	14.218					
199	07/02/24	19:00:00	14.194					
200	07/02/24	20:00:00	14.194					
201	07/02/24	21:00:00	14.194					
