"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21784770, SEN S/N: 21784770)"	"Acoplador separado (LGR S/N: 21784770, SEN S/N: 21784770)"	"Acoplador adjunto (LGR S/N: 21784770, SEN S/N: 21784770)"	"Host conectado (LGR S/N: 21784770, SEN S/N: 21784770)"	"Parado (LGR S/N: 21784770, SEN S/N: 21784770)"	"Final de archivo (LGR S/N: 21784770, SEN S/N: 21784770)"
1	09/07/25	13:00:00	15.819	Registrado				
2	09/07/25	13:30:00	15.533					
3	09/07/25	14:00:00	15.605					
4	09/07/25	14:30:00	15.629					
5	09/07/25	15:00:00	15.772					
6	09/07/25	15:30:00	15.939					
7	09/07/25	16:00:00	15.915					
8	09/07/25	16:30:00	16.010					
9	09/07/25	17:00:00	16.034					
10	09/07/25	17:30:00	16.177					
11	09/07/25	18:00:00	16.249					
12	09/07/25	18:30:00	16.439					
13	09/07/25	19:00:00	16.415					
14	09/07/25	19:30:00	16.272					
15	09/07/25	20:00:00	16.201					
16	09/07/25	20:30:00	16.153					
17	09/07/25	21:00:00	16.106					
18	09/07/25	21:30:00	16.106					
19	09/07/25	22:00:00	16.129					
20	09/07/25	22:30:00	16.129					
21	09/07/25	23:00:00	16.225					
22	09/07/25	23:30:00	16.296					
23	10/07/25	00:00:00	16.249					
24	10/07/25	00:30:00	16.177					
25	10/07/25	01:00:00	16.177					
26	10/07/25	01:30:00	16.106					
27	10/07/25	02:00:00	16.034					
28	10/07/25	02:30:00	16.034					
29	10/07/25	03:00:00	16.058					
30	10/07/25	03:30:00	15.867					
31	10/07/25	04:00:00	15.581					
32	10/07/25	04:30:00	15.438					
33	10/07/25	05:00:00	15.509					
34	10/07/25	05:30:00	15.652					
35	10/07/25	06:00:00	15.533					
36	10/07/25	06:30:00	15.438					
37	10/07/25	07:00:00	15.509					
38	10/07/25	07:30:00	15.867					
39	10/07/25	08:00:00	15.939					
40	10/07/25	08:30:00	16.010					
41	10/07/25	09:00:00	15.867					
42	10/07/25	09:30:00	15.676					
43	10/07/25	10:00:00	15.867					
44	10/07/25	10:30:00	15.819					
45	10/07/25	11:00:00	15.676					
46	10/07/25	11:30:00	15.939					
47	10/07/25	12:00:00	16.034					
48	10/07/25	12:30:00	16.606					
49	10/07/25	13:00:00	16.368					
