"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20969995, SEN S/N: 20969995)"	"Acoplador separado (LGR S/N: 20969995, SEN S/N: 20969995)"	"Acoplador adjunto (LGR S/N: 20969995, SEN S/N: 20969995)"	"Host conectado (LGR S/N: 20969995, SEN S/N: 20969995)"	"Parado (LGR S/N: 20969995, SEN S/N: 20969995)"	"Final de archivo (LGR S/N: 20969995, SEN S/N: 20969995)"
1	03/07/23	12:00:00	18.176	Registrado				
2	03/07/23	13:00:00	19.436					
3	03/07/23	14:00:00	20.388					
4	03/07/23	15:00:00	20.269					
5	03/07/23	16:00:00	19.199					
6	03/07/23	17:00:00	18.033					
7	03/07/23	18:00:00	18.033					
8	03/07/23	19:00:00	17.986					
9	03/07/23	20:00:00	17.201					
10	03/07/23	21:00:00	15.915					
11	03/07/23	22:00:00	14.984					
12	03/07/23	23:00:00	14.721					
13	04/07/23	00:00:00	14.745					
14	04/07/23	01:00:00	14.816					
15	04/07/23	02:00:00	14.697					
16	04/07/23	03:00:00	14.864					
17	04/07/23	04:00:00	14.816					
18	04/07/23	05:00:00	14.912					
19	04/07/23	06:00:00	14.984					
20	04/07/23	07:00:00	15.079					
21	04/07/23	08:00:00	14.697					
22	04/07/23	09:00:00	15.414					
23	04/07/23	10:00:00	16.630					
24	04/07/23	11:00:00	15.103					
25	04/07/23	12:00:00	16.010					
26	04/07/23	13:00:00	17.986					
27	04/07/23	14:00:00	16.868					
28	04/07/23	15:00:00	16.344					
29	04/07/23	16:00:00	16.320					
30	04/07/23	17:00:00	16.201					
31	04/07/23	18:00:00	15.151					
32	04/07/23	19:00:00	14.792					
33	04/07/23	20:00:00	14.816					
34	04/07/23	21:00:00	14.577					
35	04/07/23	22:00:00	15.127					
36	04/07/23	23:00:00	15.461					
37	05/07/23	00:00:00	16.272					
38	05/07/23	01:00:00	15.533					
39	05/07/23	02:00:00	15.414					
40	05/07/23	03:00:00	15.390					
41	05/07/23	04:00:00	14.792					
42	05/07/23	05:00:00	14.816					
43	05/07/23	06:00:00	14.816					
44	05/07/23	07:00:00	14.745					
45	05/07/23	08:00:00	15.151					
46	05/07/23	09:00:00	14.792					
47	05/07/23	10:00:00	14.768					
48	05/07/23	11:00:00	14.625					
49	05/07/23	12:00:00	14.768					
50	05/07/23	13:00:00	14.577					
51	05/07/23	14:00:00	15.939					
52	05/07/23	15:00:00	15.819					
53	05/07/23	16:00:00	14.960					
54	05/07/23	17:00:00	15.652					
55	05/07/23	18:00:00	15.055					
56	05/07/23	19:00:00	14.697					
57	05/07/23	20:00:00	14.529					
58	05/07/23	21:00:00	14.625					
59	05/07/23	22:00:00	14.649					
60	05/07/23	23:00:00	14.864					
61	06/07/23	00:00:00	14.912					
62	06/07/23	01:00:00	14.816					
63	06/07/23	02:00:00	14.457					
64	06/07/23	03:00:00	14.361					
65	06/07/23	04:00:00	14.361					
66	06/07/23	05:00:00	14.409					
67	06/07/23	06:00:00	14.505					
68	06/07/23	07:00:00	14.625					
69	06/07/23	08:00:00	15.055					
70	06/07/23	09:00:00	15.390					
71	06/07/23	10:00:00	15.151					
72	06/07/23	11:00:00	16.106					
73	06/07/23	12:00:00	15.438					
74	06/07/23	13:00:00	15.485					
75	06/07/23	14:00:00	14.673					
76	06/07/23	15:00:00	15.103					
77	06/07/23	16:00:00	15.247					
78	06/07/23	17:00:00	14.936					
79	06/07/23	18:00:00	14.625					
80	06/07/23	19:00:00	14.553					
81	06/07/23	20:00:00	14.385					
82	06/07/23	21:00:00	14.649					
83	06/07/23	22:00:00	15.008					
84	06/07/23	23:00:00	15.103					
85	07/07/23	00:00:00	15.151					
86	07/07/23	01:00:00	14.864					
87	07/07/23	02:00:00	14.721					
88	07/07/23	03:00:00	14.505					
89	07/07/23	04:00:00	14.505					
90	07/07/23	05:00:00	14.457					
91	07/07/23	06:00:00	14.481					
92	07/07/23	07:00:00	14.337					
93	07/07/23	08:00:00	14.314					
94	07/07/23	09:00:00	14.314					
95	07/07/23	10:00:00	14.577					
96	07/07/23	11:00:00	14.721					
97	07/07/23	12:00:00	14.960					
98	07/07/23	13:00:00	15.199					
99	07/07/23	14:00:00	15.008					
100	07/07/23	15:00:00	15.223					
101	07/07/23	16:00:00	15.127					
102	07/07/23	17:00:00	14.745					
103	07/07/23	18:00:00	15.103					
104	07/07/23	19:00:00	15.151					
105	07/07/23	20:00:00	16.034					
106	07/07/23	21:00:00	14.840					
107	07/07/23	22:00:00	14.936					
108	07/07/23	23:00:00	14.625					
109	08/07/23	00:00:00	14.625					
110	08/07/23	01:00:00	14.433					
111	08/07/23	02:00:00	14.481					
112	08/07/23	03:00:00	14.409					
113	08/07/23	04:00:00	14.745					
114	08/07/23	05:00:00	15.175					
115	08/07/23	06:00:00	15.055					
116	08/07/23	07:00:00	14.721					
117	08/07/23	08:00:00	14.673					
118	08/07/23	09:00:00	14.505					
119	08/07/23	10:00:00	14.457					
120	08/07/23	11:00:00	14.505					
121	08/07/23	12:00:00	14.625					
122	08/07/23	13:00:00	14.960					
123	08/07/23	14:00:00	15.318					
124	08/07/23	15:00:00	15.796					
125	08/07/23	16:00:00	15.175					
126	08/07/23	17:00:00	14.625					
127	08/07/23	18:00:00	14.505					
128	08/07/23	19:00:00	14.481					
129	08/07/23	20:00:00	14.481					
130	08/07/23	21:00:00	14.529					
131	08/07/23	22:00:00	14.577					
132	08/07/23	23:00:00	14.721					
133	09/07/23	00:00:00	14.697					
134	09/07/23	01:00:00	14.649					
135	09/07/23	02:00:00	14.553					
136	09/07/23	03:00:00	15.414					
137	09/07/23	04:00:00	15.485					
138	09/07/23	05:00:00	15.438					
139	09/07/23	06:00:00	15.294					
140	09/07/23	07:00:00	15.103					
141	09/07/23	08:00:00	15.199					
142	09/07/23	09:00:00	15.175					
143	09/07/23	10:00:00	15.629					
144	09/07/23	11:00:00	14.912					
145	09/07/23	12:00:00	14.601					
146	09/07/23	13:00:00	14.745					
147	09/07/23	14:00:00	14.816					
148	09/07/23	15:00:00	14.673					
149	09/07/23	16:00:00	14.601					
150	09/07/23	17:00:00	14.649					
151	09/07/23	18:00:00	15.223					
152	09/07/23	19:00:00	15.461					
153	09/07/23	20:00:00	14.936					
154	09/07/23	21:00:00	15.557					
155	09/07/23	22:00:00	14.960					
156	09/07/23	23:00:00	14.816					
157	10/07/23	00:00:00	14.768					
158	10/07/23	01:00:00	14.625					
159	10/07/23	02:00:00	14.529					
160	10/07/23	03:00:00	14.553					
161	10/07/23	04:00:00	14.409					
162	10/07/23	05:00:00	14.529					
163	10/07/23	06:00:00	15.294					
164	10/07/23	07:00:00	15.247					
165	10/07/23	08:00:00	14.984					
166	10/07/23	09:00:00	14.960					
167	10/07/23	10:00:00	14.888					
168	10/07/23	11:00:00	14.864					
169	10/07/23	12:00:00	14.864					
170	10/07/23	13:00:00	14.864					
171	10/07/23	14:00:00	14.864					
172	10/07/23	15:00:00	14.984					
173	10/07/23	16:00:00	15.031					
174	10/07/23	17:00:00	15.270					
175	10/07/23	18:00:00	15.318					
176	10/07/23	19:00:00	15.366					
177	10/07/23	20:00:00	15.366					
178	10/07/23	21:00:00	15.031					
179	10/07/23	22:00:00	14.721					
180	10/07/23	23:00:00	14.601					
181	11/07/23	00:00:00	14.601					
182	11/07/23	01:00:00	14.577					
183	11/07/23	02:00:00	14.697					
184	11/07/23	03:00:00	14.673					
185	11/07/23	04:00:00	14.673					
186	11/07/23	05:00:00	14.768					
187	11/07/23	06:00:00	14.816					
188	11/07/23	07:00:00	14.936					
189	11/07/23	08:00:00	15.008					
190	11/07/23	09:00:00	14.960					
191	11/07/23	10:00:00	15.151					
192	11/07/23	11:00:00	14.840					
193	11/07/23	12:00:00	15.031					
194	11/07/23	13:00:00	14.984					
195	11/07/23	14:00:00	14.673					
196	11/07/23	15:00:00	14.721					
197	11/07/23	16:00:00	14.864					
198	11/07/23	17:00:00	14.745					
199	11/07/23	18:00:00	14.912					
200	11/07/23	19:00:00	15.151					
201	11/07/23	20:00:00	15.199					
202	11/07/23	21:00:00	15.127					
203	11/07/23	22:00:00	15.127					
204	11/07/23	23:00:00	15.175					
205	12/07/23	00:00:00	15.151					
206	12/07/23	01:00:00	14.960					
207	12/07/23	02:00:00	14.816					
208	12/07/23	03:00:00	14.840					
209	12/07/23	04:00:00	14.673					
210	12/07/23	05:00:00	14.816					
211	12/07/23	06:00:00	14.768					
212	12/07/23	07:00:00	14.792					
213	12/07/23	08:00:00	14.625					
214	12/07/23	09:00:00	14.601					
215	12/07/23	10:00:00	14.697					
216	12/07/23	11:00:00	14.601					
217	12/07/23	12:00:00	14.625					
218	12/07/23	13:00:00	14.673					
219	12/07/23	14:00:00	14.840					
220	12/07/23	15:00:00	15.318					
221	12/07/23	16:00:00	15.533					
222	12/07/23	17:00:00	15.605					
223	12/07/23	18:00:00	15.151					
224	12/07/23	19:00:00	15.151					
225	12/07/23	20:00:00	14.912					
226	12/07/23	21:00:00	14.960					
227	12/07/23	22:00:00	15.055					
228	12/07/23	23:00:00	15.079					
229	13/07/23	00:00:00	15.175					
230	13/07/23	01:00:00	15.103					
231	13/07/23	02:00:00	15.294					
232	13/07/23	03:00:00	15.318					
233	13/07/23	04:00:00	15.366					
234	13/07/23	05:00:00	15.509					
235	13/07/23	06:00:00	15.438					
236	13/07/23	07:00:00	16.201					
237	13/07/23	08:00:00	16.225					
238	13/07/23	09:00:00	16.201					
239	13/07/23	10:00:00	16.082					
240	13/07/23	11:00:00	15.915					
241	13/07/23	12:00:00	15.915					
242	13/07/23	13:00:00	15.939					
243	13/07/23	14:00:00	16.106					
244	13/07/23	15:00:00	15.796					
245	13/07/23	16:00:00	15.724					
246	13/07/23	17:00:00	16.010					
247	13/07/23	18:00:00	15.796					
248	13/07/23	19:00:00	15.724					
249	13/07/23	20:00:00	15.629					
250	13/07/23	21:00:00	15.414					
251	13/07/23	22:00:00	15.103					
252	13/07/23	23:00:00	14.912					
253	14/07/23	00:00:00	15.366					
254	14/07/23	01:00:00	15.390					
255	14/07/23	02:00:00	15.819					
256	14/07/23	03:00:00	16.654					
257	14/07/23	04:00:00	16.820					
258	14/07/23	05:00:00	16.415					
259	14/07/23	06:00:00	15.986					
260	14/07/23	07:00:00	16.034					
261	14/07/23	08:00:00	15.772					
262	14/07/23	09:00:00	15.724					
263	14/07/23	10:00:00	15.939					
264	14/07/23	11:00:00	15.318					
265	14/07/23	12:00:00	15.270					
266	14/07/23	13:00:00	15.175					
267	14/07/23	14:00:00	15.079					
268	14/07/23	15:00:00	14.936					
269	14/07/23	16:00:00	14.912					
270	14/07/23	17:00:00	14.888					
271	14/07/23	18:00:00	14.840					
272	14/07/23	19:00:00	14.888					
273	14/07/23	20:00:00	15.270					
274	14/07/23	21:00:00	14.840					
275	14/07/23	22:00:00	15.127					
276	14/07/23	23:00:00	15.008					
277	15/07/23	00:00:00	15.151					
278	15/07/23	01:00:00	14.673					
279	15/07/23	02:00:00	14.529					
280	15/07/23	03:00:00	14.481					
281	15/07/23	04:00:00	14.290					
282	15/07/23	05:00:00	14.361					
283	15/07/23	06:00:00	14.409					
284	15/07/23	07:00:00	14.697					
285	15/07/23	08:00:00	14.601					
286	15/07/23	09:00:00	14.601					
287	15/07/23	10:00:00	14.457					
288	15/07/23	11:00:00	14.505					
289	15/07/23	12:00:00	17.843					
290	15/07/23	13:00:00	18.105					
291	15/07/23	14:00:00	18.033					
292	15/07/23	15:00:00	16.249					
293	15/07/23	16:00:00	16.034					
294	15/07/23	17:00:00	15.843					
295	15/07/23	18:00:00	15.724					
296	15/07/23	19:00:00	15.485					
297	15/07/23	20:00:00	15.055					
298	15/07/23	21:00:00	15.461					
299	15/07/23	22:00:00	15.629					
300	15/07/23	23:00:00	15.939					
301	16/07/23	00:00:00	16.010					
302	16/07/23	01:00:00	16.344					
303	16/07/23	02:00:00	16.677					
304	16/07/23	03:00:00	16.630					
305	16/07/23	04:00:00	16.225					
306	16/07/23	05:00:00	15.843					
307	16/07/23	06:00:00	15.867					
308	16/07/23	07:00:00	16.773					
309	16/07/23	08:00:00	15.438					
310	16/07/23	09:00:00	15.414					
311	16/07/23	10:00:00	16.749					
312	16/07/23	11:00:00	15.963					
313	16/07/23	12:00:00	16.344					
314	16/07/23	13:00:00	16.487					
315	16/07/23	14:00:00	18.652					
316	16/07/23	15:00:00	17.558					
317	16/07/23	16:00:00	15.652					
318	16/07/23	17:00:00	16.010					
319	16/07/23	18:00:00	15.963					
320	16/07/23	19:00:00	16.344					
321	16/07/23	20:00:00	15.700					
322	16/07/23	21:00:00	16.582					
323	16/07/23	22:00:00	15.891					
324	16/07/23	23:00:00	15.915					
325	17/07/23	00:00:00	16.058					
326	17/07/23	01:00:00	16.058					
327	17/07/23	02:00:00	17.011					
328	17/07/23	03:00:00	20.841					
329	17/07/23	04:00:00	21.366					
330	17/07/23	05:00:00	21.891					
331	17/07/23	06:00:00	22.011					
332	17/07/23	07:00:00	18.866					
333	17/07/23	08:00:00	17.272					
334	17/07/23	09:00:00	18.010					
335	17/07/23	10:00:00	16.963					
336	17/07/23	11:00:00	17.106					
337	17/07/23	12:00:00	16.796					
338	17/07/23	13:00:00	16.463					
339	17/07/23	14:00:00	16.272					
340	17/07/23	15:00:00	16.010					
341	17/07/23	16:00:00	16.034					
342	17/07/23	17:00:00	16.272					
343	17/07/23	18:00:00	16.201					
344	17/07/23	19:00:00	17.225					
345	17/07/23	20:00:00	15.986					
346	17/07/23	21:00:00	16.630					
347	17/07/23	22:00:00	17.582					
348	17/07/23	23:00:00	17.249					
349	18/07/23	00:00:00	16.963					
350	18/07/23	01:00:00	16.010					
351	18/07/23	02:00:00	16.415					
352	18/07/23	03:00:00	16.701					
353	18/07/23	04:00:00	15.939					
354	18/07/23	05:00:00	15.557					
355	18/07/23	06:00:00	15.629					
356	18/07/23	07:00:00	15.605					
357	18/07/23	08:00:00	15.700					
358	18/07/23	09:00:00	16.153					
359	18/07/23	10:00:00	15.819					
360	18/07/23	11:00:00	16.439					
361	18/07/23	12:00:00	17.272					
362	18/07/23	13:00:00	16.392					
363	18/07/23	14:00:00	16.677					
364	18/07/23	15:00:00	16.511					
365	18/07/23	16:00:00	17.558					
366	18/07/23	17:00:00	16.606					
367	18/07/23	18:00:00	17.344					
368	18/07/23	19:00:00	17.249					
369	18/07/23	20:00:00	16.463					
370	18/07/23	21:00:00	15.676					
371	18/07/23	22:00:00	16.201					
372	18/07/23	23:00:00	15.843					
373	19/07/23	00:00:00	15.843					
374	19/07/23	01:00:00	15.175					
375	19/07/23	02:00:00	15.438					
376	19/07/23	03:00:00	15.700					
377	19/07/23	04:00:00	16.511					
378	19/07/23	05:00:00	19.484					
379	19/07/23	06:00:00	18.604					
380	19/07/23	07:00:00	17.106					
381	19/07/23	08:00:00	19.627					
382	19/07/23	09:00:00	18.699					
383	19/07/23	10:00:00	18.057					
384	19/07/23	11:00:00	16.106					
385	19/07/23	12:00:00	15.748					
386	19/07/23	13:00:00	16.201					
387	19/07/23	14:00:00	15.557					
388	19/07/23	15:00:00	15.390					
389	19/07/23	16:00:00	15.748					
390	19/07/23	17:00:00	15.843					
391	19/07/23	18:00:00	15.724					
392	19/07/23	19:00:00	15.724					
393	19/07/23	20:00:00	16.582					
394	19/07/23	21:00:00	18.271					
395	19/07/23	22:00:00	19.770					
396	19/07/23	23:00:00	19.722					
397	20/07/23	00:00:00	20.436					
398	20/07/23	01:00:00	21.795					
399	20/07/23	02:00:00	18.438					
400	20/07/23	03:00:00	17.463					
401	20/07/23	04:00:00	17.153					
402	20/07/23	05:00:00	16.820					
403	20/07/23	06:00:00	16.844					
404	20/07/23	07:00:00	16.249					
405	20/07/23	08:00:00	15.963					
406	20/07/23	09:00:00	16.534					
407	20/07/23	10:00:00	16.654					
408	20/07/23	11:00:00	16.820					
409	20/07/23	12:00:00	17.867					
410	20/07/23	13:00:00	19.199					
411	20/07/23	14:00:00	20.436					
412	20/07/23	15:00:00	20.412					
413	20/07/23	16:00:00	21.342					
414	20/07/23	17:00:00	20.198					
415	20/07/23	18:00:00	16.415					
416	20/07/23	19:00:00	15.915					
417	20/07/23	20:00:00	15.843					
418	20/07/23	21:00:00	15.533					
419	20/07/23	22:00:00	15.915					
420	20/07/23	23:00:00	15.270					
421	21/07/23	00:00:00	15.438					
422	21/07/23	01:00:00	15.342					
423	21/07/23	02:00:00	15.008					
424	21/07/23	03:00:00	15.008					
425	21/07/23	04:00:00	15.963					
426	21/07/23	05:00:00	16.201					
427	21/07/23	06:00:00	16.368					
428	21/07/23	07:00:00	17.819					
429	21/07/23	08:00:00	18.985					
430	21/07/23	09:00:00	20.627					
431	21/07/23	10:00:00	22.561					
432	21/07/23	11:00:00	22.561					
433	21/07/23	12:00:00	22.968					
434	21/07/23	13:00:00	22.465					
435	21/07/23	14:00:00	21.939					
436	21/07/23	15:00:00	21.485					
437	21/07/23	16:00:00	21.461					
438	21/07/23	17:00:00	22.202					
439	21/07/23	18:00:00	22.537					
440	21/07/23	19:00:00	21.270					
441	21/07/23	20:00:00	19.460					
442	21/07/23	21:00:00	20.889					
443	21/07/23	22:00:00	19.532					
444	21/07/23	23:00:00	19.008					
445	22/07/23	00:00:00	17.106					
446	22/07/23	01:00:00	16.225					
447	22/07/23	02:00:00	15.605					
448	22/07/23	03:00:00	15.533					
449	22/07/23	04:00:00	15.390					
450	22/07/23	05:00:00	15.390					
451	22/07/23	06:00:00	17.534					
452	22/07/23	07:00:00	18.366					
453	22/07/23	08:00:00	18.699					
454	22/07/23	09:00:00	17.439					
455	22/07/23	10:00:00	22.776					
456	22/07/23	11:00:00	22.920					
457	22/07/23	12:00:00	23.497					
458	22/07/23	13:00:00	23.424					
459	22/07/23	14:00:00	22.633					
460	22/07/23	15:00:00	22.824					
461	22/07/23	16:00:00	20.913					
462	22/07/23	17:00:00	19.912					
463	22/07/23	18:00:00	19.294					
464	22/07/23	19:00:00	18.580					
465	22/07/23	20:00:00	19.555					
466	22/07/23	21:00:00	18.675					
467	22/07/23	22:00:00	17.915					
468	22/07/23	23:00:00	17.296					
469	23/07/23	00:00:00	18.057					
470	23/07/23	01:00:00	16.606					
471	23/07/23	02:00:00	16.487					
472	23/07/23	03:00:00	15.581					
473	23/07/23	04:00:00	15.127					
474	23/07/23	05:00:00	14.936					
475	23/07/23	06:00:00	14.840					
476	23/07/23	07:00:00	15.772					
477	23/07/23	08:00:00	15.461					
478	23/07/23	09:00:00	15.533					
479	23/07/23	10:00:00	18.081					
480	23/07/23	11:00:00	18.010					
481	23/07/23	12:00:00	17.582					
482	23/07/23	13:00:00	17.439					
483	23/07/23	14:00:00	17.130					
484	23/07/23	15:00:00	16.320					
485	23/07/23	16:00:00	15.867					
486	23/07/23	17:00:00	15.605					
487	23/07/23	18:00:00	15.294					
488	23/07/23	19:00:00	14.816					
489	23/07/23	20:00:00	14.673					
490	23/07/23	21:00:00	15.055					
491	23/07/23	22:00:00	14.960					
492	23/07/23	23:00:00	14.721					
493	24/07/23	00:00:00	14.553					
494	24/07/23	01:00:00	14.505					
495	24/07/23	02:00:00	14.721					
496	24/07/23	03:00:00	14.601					
497	24/07/23	04:00:00	14.697					
498	24/07/23	05:00:00	14.864					
499	24/07/23	06:00:00	14.912					
500	24/07/23	07:00:00	14.601					
501	24/07/23	08:00:00	14.553					
502	24/07/23	09:00:00	14.385					
503	24/07/23	10:00:00	14.816					
504	24/07/23	11:00:00	14.792					
505	24/07/23	12:00:00	14.864					
506	24/07/23	13:00:00	15.079					
507	24/07/23	14:00:00	14.984					
508	24/07/23	15:00:00	15.485					
509	24/07/23	16:00:00	15.485					
510	24/07/23	17:00:00	15.342					
511	24/07/23	18:00:00	15.485					
512	24/07/23	19:00:00	15.700					
513	24/07/23	20:00:00	15.939					
514	24/07/23	21:00:00	15.103					
515	24/07/23	22:00:00	16.249					
516	24/07/23	23:00:00	16.106					
517	25/07/23	00:00:00	16.034					
518	25/07/23	01:00:00	16.058					
519	25/07/23	02:00:00	15.055					
520	25/07/23	03:00:00	15.629					
521	25/07/23	04:00:00	15.629					
522	25/07/23	05:00:00	15.318					
523	25/07/23	06:00:00	15.103					
524	25/07/23	07:00:00	14.936					
525	25/07/23	08:00:00	15.103					
526	25/07/23	09:00:00	15.533					
527	25/07/23	10:00:00	15.843					
528	25/07/23	11:00:00	19.651					
529	25/07/23	12:00:00	21.032					
530	25/07/23	13:00:00	20.174					
531	25/07/23	14:00:00	21.461					
532	25/07/23	15:00:00	20.770					
533	25/07/23	16:00:00	22.489					
534	25/07/23	17:00:00	22.154					
535	25/07/23	18:00:00	22.011					
536	25/07/23	19:00:00	21.032					
537	25/07/23	20:00:00	20.007					
538	25/07/23	21:00:00	16.463					
539	25/07/23	22:00:00	16.415					
540	25/07/23	23:00:00	17.011					
541	26/07/23	00:00:00	17.130					
542	26/07/23	01:00:00	17.249					
543	26/07/23	02:00:00	19.341					
544	26/07/23	03:00:00	22.417					
545	26/07/23	04:00:00	23.569					
546	26/07/23	05:00:00	24.388					
547	26/07/23	06:00:00	23.833					
548	26/07/23	07:00:00	23.400					
