"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 20954377, SEN S/N: 20954377, LBL: Foradada_30m_01122022)"	"Acoplador separado (LGR S/N: 20954377, SEN S/N: 20954377)"	"Acoplador adjunto (LGR S/N: 20954377, SEN S/N: 20954377)"	"Host conectado (LGR S/N: 20954377, SEN S/N: 20954377)"	"Parado (LGR S/N: 20954377, SEN S/N: 20954377)"	"Final de archivo (LGR S/N: 20954377, SEN S/N: 20954377)"
1	01/12/22	10:00:00	15.414	Registrado				
2	01/12/22	11:00:00	18.628					
3	01/12/22	12:00:00	18.675					
4	01/12/22	13:00:00	18.675					
5	01/12/22	14:00:00	18.675					
6	01/12/22	15:00:00	18.723					
7	01/12/22	16:00:00	19.008					
8	01/12/22	17:00:00	19.175					
9	01/12/22	18:00:00	19.151					
10	01/12/22	19:00:00	19.222					
11	01/12/22	20:00:00	19.199					
12	01/12/22	21:00:00	19.175					
13	01/12/22	22:00:00	19.199					
14	01/12/22	23:00:00	19.175					
15	02/12/22	00:00:00	19.103					
16	02/12/22	01:00:00	18.343					
17	02/12/22	02:00:00	18.699					
18	02/12/22	03:00:00	18.771					
19	02/12/22	04:00:00	18.723					
20	02/12/22	05:00:00	18.461					
21	02/12/22	06:00:00	17.486					
22	02/12/22	07:00:00	18.652					
23	02/12/22	08:00:00	18.295					
24	02/12/22	09:00:00	18.557					
25	02/12/22	10:00:00	18.628					
26	02/12/22	11:00:00	18.866					
27	02/12/22	12:00:00	18.937					
28	02/12/22	13:00:00	19.056					
29	02/12/22	14:00:00	19.032					
30	02/12/22	15:00:00	19.056					
31	02/12/22	16:00:00	19.080					
32	02/12/22	17:00:00	19.127					
33	02/12/22	18:00:00	19.127					
34	02/12/22	19:00:00	19.199					
35	02/12/22	20:00:00	19.175					
36	02/12/22	21:00:00	18.390					
37	02/12/22	22:00:00	18.414					
38	02/12/22	23:00:00	18.675					
39	03/12/22	00:00:00	18.818					
40	03/12/22	01:00:00	16.773					
41	03/12/22	02:00:00	18.961					
42	03/12/22	03:00:00	18.866					
43	03/12/22	04:00:00	18.913					
44	03/12/22	05:00:00	18.985					
45	03/12/22	06:00:00	19.008					
46	03/12/22	07:00:00	18.961					
47	03/12/22	08:00:00	19.008					
48	03/12/22	09:00:00	19.008					
49	03/12/22	10:00:00	19.032					
50	03/12/22	11:00:00	19.056					
51	03/12/22	12:00:00	18.771					
52	03/12/22	13:00:00	18.152					
53	03/12/22	14:00:00	19.103					
54	03/12/22	15:00:00	19.127					
55	03/12/22	16:00:00	19.127					
56	03/12/22	17:00:00	17.938					
57	03/12/22	18:00:00	18.105					
58	03/12/22	19:00:00	18.129					
59	03/12/22	20:00:00	18.652					
60	03/12/22	21:00:00	18.485					
61	03/12/22	22:00:00	18.461					
62	03/12/22	23:00:00	18.937					
63	04/12/22	00:00:00	18.985					
64	04/12/22	01:00:00	18.985					
65	04/12/22	02:00:00	18.961					
66	04/12/22	03:00:00	18.985					
67	04/12/22	04:00:00	18.985					
68	04/12/22	05:00:00	18.985					
69	04/12/22	06:00:00	18.985					
70	04/12/22	07:00:00	18.889					
71	04/12/22	08:00:00	18.961					
72	04/12/22	09:00:00	18.961					
73	04/12/22	10:00:00	18.937					
74	04/12/22	11:00:00	18.937					
75	04/12/22	12:00:00	18.937					
76	04/12/22	13:00:00	18.937					
77	04/12/22	14:00:00	18.961					
78	04/12/22	15:00:00	18.961					
79	04/12/22	16:00:00	18.985					
80	04/12/22	17:00:00	19.008					
81	04/12/22	18:00:00	19.008					
82	04/12/22	19:00:00	19.032					
83	04/12/22	20:00:00	19.032					
84	04/12/22	21:00:00	19.032					
85	04/12/22	22:00:00	19.032					
86	04/12/22	23:00:00	19.032					
87	05/12/22	00:00:00	18.937					
88	05/12/22	01:00:00	18.913					
89	05/12/22	02:00:00	18.889					
90	05/12/22	03:00:00	18.866					
91	05/12/22	04:00:00	18.771					
92	05/12/22	05:00:00	18.937					
93	05/12/22	06:00:00	18.866					
94	05/12/22	07:00:00	18.937					
95	05/12/22	08:00:00	18.771					
96	05/12/22	09:00:00	18.866					
97	05/12/22	10:00:00	18.913					
98	05/12/22	11:00:00	18.913					
99	05/12/22	12:00:00	18.913					
100	05/12/22	13:00:00	18.937					
101	05/12/22	14:00:00	18.961					
102	05/12/22	15:00:00	18.937					
103	05/12/22	16:00:00	18.937					
104	05/12/22	17:00:00	18.937					
105	05/12/22	18:00:00	18.652					
106	05/12/22	19:00:00	18.604					
107	05/12/22	20:00:00	18.747					
108	05/12/22	21:00:00	18.866					
109	05/12/22	22:00:00	18.937					
110	05/12/22	23:00:00	18.913					
111	06/12/22	00:00:00	18.913					
112	06/12/22	01:00:00	18.889					
113	06/12/22	02:00:00	18.913					
114	06/12/22	03:00:00	18.937					
115	06/12/22	04:00:00	18.937					
116	06/12/22	05:00:00	18.604					
117	06/12/22	06:00:00	18.771					
118	06/12/22	07:00:00	18.937					
119	06/12/22	08:00:00	18.866					
120	06/12/22	09:00:00	18.699					
121	06/12/22	10:00:00	18.866					
122	06/12/22	11:00:00	18.699					
123	06/12/22	12:00:00	18.152					
124	06/12/22	13:00:00	18.913					
125	06/12/22	14:00:00	18.937					
126	06/12/22	15:00:00	18.913					
127	06/12/22	16:00:00	18.937					
128	06/12/22	17:00:00	18.913					
129	06/12/22	18:00:00	18.937					
130	06/12/22	19:00:00	18.913					
131	06/12/22	20:00:00	18.961					
132	06/12/22	21:00:00	18.937					
133	06/12/22	22:00:00	18.913					
134	06/12/22	23:00:00	18.366					
135	07/12/22	00:00:00	18.580					
136	07/12/22	01:00:00	18.485					
137	07/12/22	02:00:00	18.438					
138	07/12/22	03:00:00	18.438					
139	07/12/22	04:00:00	18.390					
140	07/12/22	05:00:00	18.414					
141	07/12/22	06:00:00	18.081					
142	07/12/22	07:00:00	18.747					
143	07/12/22	08:00:00	18.866					
144	07/12/22	09:00:00	18.652					
145	07/12/22	10:00:00	18.533					
146	07/12/22	11:00:00	18.461					
147	07/12/22	12:00:00	18.580					
148	07/12/22	13:00:00	18.842					
149	07/12/22	14:00:00	18.866					
150	07/12/22	15:00:00	18.842					
151	07/12/22	16:00:00	18.794					
152	07/12/22	17:00:00	18.771					
153	07/12/22	18:00:00	18.723					
154	07/12/22	19:00:00	18.271					
155	07/12/22	20:00:00	18.295					
156	07/12/22	21:00:00	18.699					
157	07/12/22	22:00:00	18.723					
158	07/12/22	23:00:00	18.723					
159	08/12/22	00:00:00	18.699					
160	08/12/22	01:00:00	18.747					
161	08/12/22	02:00:00	18.723					
162	08/12/22	03:00:00	18.438					
163	08/12/22	04:00:00	18.295					
164	08/12/22	05:00:00	18.533					
165	08/12/22	06:00:00	18.557					
166	08/12/22	07:00:00	18.675					
167	08/12/22	08:00:00	18.652					
168	08/12/22	09:00:00	18.557					
169	08/12/22	10:00:00	18.580					
170	08/12/22	11:00:00	18.580					
171	08/12/22	12:00:00	18.533					
172	08/12/22	13:00:00	18.557					
173	08/12/22	14:00:00	18.247					
174	08/12/22	15:00:00	18.390					
175	08/12/22	16:00:00	18.319					
176	08/12/22	17:00:00	18.343					
177	08/12/22	18:00:00	18.390					
178	08/12/22	19:00:00	18.580					
179	08/12/22	20:00:00	18.628					
180	08/12/22	21:00:00	18.176					
181	08/12/22	22:00:00	18.247					
182	08/12/22	23:00:00	18.509					
