"N.º"	"Fecha"	"Tiempo, GMT+03:00"	"Temp, °C (LGR S/N: 20700312, SEN S/N: 20700312)"	"Acoplador separado (LGR S/N: 20700312, SEN S/N: 20700312)"	"Acoplador adjunto (LGR S/N: 20700312, SEN S/N: 20700312)"	"Host conectado (LGR S/N: 20700312, SEN S/N: 20700312)"	"Parado (LGR S/N: 20700312, SEN S/N: 20700312)"	"Final de archivo (LGR S/N: 20700312, SEN S/N: 20700312)"
1	26/10/22	16:00:00	22.417	Registrado				
2	26/10/22	17:00:00	22.250					
3	26/10/22	18:00:00	22.106					
4	26/10/22	19:00:00	22.058					
5	26/10/22	20:00:00	22.034					
6	26/10/22	21:00:00	21.987					
7	26/10/22	22:00:00	21.963					
8	26/10/22	23:00:00	21.939					
9	27/10/22	00:00:00	21.963					
10	27/10/22	01:00:00	21.939					
11	27/10/22	02:00:00	21.891					
12	27/10/22	03:00:00	21.867					
13	27/10/22	04:00:00	21.867					
14	27/10/22	05:00:00	21.867					
15	27/10/22	06:00:00	21.819					
16	27/10/22	07:00:00	21.819					
17	27/10/22	08:00:00	21.843					
18	27/10/22	09:00:00	21.891					
19	27/10/22	10:00:00	21.891					
20	27/10/22	11:00:00	21.939					
21	27/10/22	12:00:00	21.939					
22	27/10/22	13:00:00	21.939					
23	27/10/22	14:00:00	21.987					
24	27/10/22	15:00:00	22.106					
25	27/10/22	16:00:00	22.250					
26	27/10/22	17:00:00	22.393					
27	27/10/22	18:00:00	22.226					
28	27/10/22	19:00:00	22.130					
29	27/10/22	20:00:00	22.106					
30	27/10/22	21:00:00	22.058					
31	27/10/22	22:00:00	22.034					
32	27/10/22	23:00:00	22.082					
33	28/10/22	00:00:00	21.987					
34	28/10/22	01:00:00	21.963					
35	28/10/22	02:00:00	21.987					
36	28/10/22	03:00:00	21.915					
37	28/10/22	04:00:00	21.915					
38	28/10/22	05:00:00	21.867					
39	28/10/22	06:00:00	21.843					
40	28/10/22	07:00:00	21.819					
41	28/10/22	08:00:00	21.867					
42	28/10/22	09:00:00	21.843					
43	28/10/22	10:00:00	21.843					
44	28/10/22	11:00:00	21.915					
45	28/10/22	12:00:00	21.939					
46	28/10/22	13:00:00	21.963					
47	28/10/22	14:00:00	22.011					
48	28/10/22	15:00:00	22.417					
49	28/10/22	16:00:00	22.345					
50	28/10/22	17:00:00	22.202					
51	28/10/22	18:00:00	22.058					
52	28/10/22	19:00:00	22.011					
53	28/10/22	20:00:00	21.987					
54	28/10/22	21:00:00	21.963					
55	28/10/22	22:00:00	21.963					
56	28/10/22	23:00:00	21.939					
57	29/10/22	00:00:00	21.963					
58	29/10/22	01:00:00	21.939					
59	29/10/22	02:00:00	21.891					
60	29/10/22	03:00:00	21.867					
61	29/10/22	04:00:00	21.891					
62	29/10/22	05:00:00	21.867					
63	29/10/22	06:00:00	21.843					
64	29/10/22	07:00:00	21.819					
65	29/10/22	08:00:00	21.819					
66	29/10/22	09:00:00	21.819					
67	29/10/22	10:00:00	21.795					
68	29/10/22	11:00:00	21.891					
69	29/10/22	12:00:00	21.939					
70	29/10/22	13:00:00	21.915					
71	29/10/22	14:00:00	22.034					
72	29/10/22	15:00:00	22.034					
73	29/10/22	16:00:00	22.034					
74	29/10/22	17:00:00	21.987					
75	29/10/22	18:00:00	21.915					
76	29/10/22	19:00:00	21.891					
77	29/10/22	20:00:00	21.891					
78	29/10/22	21:00:00	21.867					
79	29/10/22	22:00:00	21.819					
80	29/10/22	23:00:00	21.795					
81	30/10/22	00:00:00	21.772					
82	30/10/22	01:00:00	21.772					
83	30/10/22	02:00:00	21.795					
84	30/10/22	03:00:00	21.772					
85	30/10/22	04:00:00	21.748					
86	30/10/22	05:00:00	21.748					
87	30/10/22	06:00:00	21.724					
88	30/10/22	07:00:00	21.700					
89	30/10/22	08:00:00	21.700					
90	30/10/22	09:00:00	21.700					
91	30/10/22	10:00:00	21.748					
92	30/10/22	11:00:00	21.748					
93	30/10/22	12:00:00	21.795					
94	30/10/22	13:00:00	21.819					
95	30/10/22	14:00:00	21.867					
96	30/10/22	15:00:00	21.891					
97	30/10/22	16:00:00	22.034					
98	30/10/22	17:00:00	21.987					
99	30/10/22	18:00:00	21.891					
100	30/10/22	19:00:00	21.795					
101	30/10/22	20:00:00	21.772					
102	30/10/22	21:00:00	21.748					
103	30/10/22	22:00:00	21.724					
104	30/10/22	23:00:00	21.724					
105	31/10/22	00:00:00	21.676					
106	31/10/22	01:00:00	21.652					
107	31/10/22	02:00:00	21.676					
108	31/10/22	03:00:00	21.652					
109	31/10/22	04:00:00	21.628					
110	31/10/22	05:00:00	21.628					
111	31/10/22	06:00:00	21.628					
112	31/10/22	07:00:00	21.604					
113	31/10/22	08:00:00	21.628					
114	31/10/22	09:00:00	21.652					
115	31/10/22	10:00:00	21.676					
116	31/10/22	11:00:00	21.700					
117	31/10/22	12:00:00	21.724					
118	31/10/22	13:00:00	21.748					
119	31/10/22	14:00:00	21.795					
120	31/10/22	15:00:00	21.987					
121	31/10/22	16:00:00	22.011					
122	31/10/22	17:00:00	21.939					
123	31/10/22	18:00:00	21.819					
124	31/10/22	19:00:00	21.795					
125	31/10/22	20:00:00	21.795					
126	31/10/22	21:00:00	21.748					
127	31/10/22	22:00:00	21.748					
128	31/10/22	23:00:00	21.676					
129	01/11/22	00:00:00	21.581					
130	01/11/22	01:00:00	21.581					
131	01/11/22	02:00:00	21.581					
132	01/11/22	03:00:00	21.581					
133	01/11/22	04:00:00	21.557					
134	01/11/22	05:00:00	21.533					
135	01/11/22	06:00:00	21.509					
136	01/11/22	07:00:00	21.509					
137	01/11/22	08:00:00	21.533					
138	01/11/22	09:00:00	21.557					
139	01/11/22	10:00:00	21.557					
140	01/11/22	11:00:00	21.628					
141	01/11/22	12:00:00	21.652					
142	01/11/22	13:00:00	21.724					
143	01/11/22	14:00:00	21.748					
144	01/11/22	15:00:00	21.795					
145	01/11/22	16:00:00	21.939					
146	01/11/22	17:00:00	21.867					
147	01/11/22	18:00:00	21.795					
148	01/11/22	19:00:00	21.795					
149	01/11/22	20:00:00	21.748					
150	01/11/22	21:00:00	21.700					
151	01/11/22	22:00:00	21.676					
152	01/11/22	23:00:00	21.676					
153	02/11/22	00:00:00	21.652					
154	02/11/22	01:00:00	21.628					
