"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 20969990, SEN S/N: 20969990)"	"Acoplador separado (LGR S/N: 20969990, SEN S/N: 20969990)"	"Acoplador adjunto (LGR S/N: 20969990, SEN S/N: 20969990)"	"Host conectado (LGR S/N: 20969990, SEN S/N: 20969990)"	"Parado (LGR S/N: 20969990, SEN S/N: 20969990)"	"Final de archivo (LGR S/N: 20969990, SEN S/N: 20969990)"
1	14/11/23	11:00:00	17.296	Registrado				
2	14/11/23	12:00:00	17.296					
3	14/11/23	13:00:00	17.296					
4	14/11/23	14:00:00	17.344					
5	14/11/23	15:00:00	17.344					
6	14/11/23	16:00:00	17.320					
7	14/11/23	17:00:00	17.249					
8	14/11/23	18:00:00	17.320					
9	14/11/23	19:00:00	17.344					
10	14/11/23	20:00:00	17.082					
11	14/11/23	21:00:00	17.296					
12	14/11/23	22:00:00	17.272					
13	14/11/23	23:00:00	17.296					
14	15/11/23	00:00:00	17.296					
15	15/11/23	01:00:00	17.249					
16	15/11/23	02:00:00	17.249					
17	15/11/23	03:00:00	17.249					
18	15/11/23	04:00:00	17.272					
19	15/11/23	05:00:00	17.272					
20	15/11/23	06:00:00	17.296					
21	15/11/23	07:00:00	17.320					
22	15/11/23	08:00:00	17.225					
23	15/11/23	09:00:00	17.272					
24	15/11/23	10:00:00	17.272					
25	15/11/23	11:00:00	17.272					
26	15/11/23	12:00:00	17.249					
27	15/11/23	13:00:00	17.249					
28	15/11/23	14:00:00	17.272					
29	15/11/23	15:00:00	17.272					
30	15/11/23	16:00:00	17.249					
31	15/11/23	17:00:00	17.225					
32	15/11/23	18:00:00	17.201					
33	15/11/23	19:00:00	17.249					
34	15/11/23	20:00:00	17.249					
35	15/11/23	21:00:00	17.225					
36	15/11/23	22:00:00	17.201					
37	15/11/23	23:00:00	17.177					
38	16/11/23	00:00:00	17.177					
39	16/11/23	01:00:00	17.201					
40	16/11/23	02:00:00	17.201					
41	16/11/23	03:00:00	17.177					
42	16/11/23	04:00:00	17.153					
43	16/11/23	05:00:00	17.130					
44	16/11/23	06:00:00	17.153					
45	16/11/23	07:00:00	17.106					
46	16/11/23	08:00:00	17.153					
47	16/11/23	09:00:00	17.153					
48	16/11/23	10:00:00	17.130					
