date,temperature(c),depth(m)
2024-10-04 15:37:46,21.4,1.82
2024-10-04 15:37:47,21.42,1.95
2024-10-04 15:37:48,21.4,2.02
2024-10-04 15:37:49,21.42,2.12
2024-10-04 15:37:50,21.42,2.21
2024-10-04 15:37:51,21.41,2.18
2024-10-04 15:37:52,21.42,2.14
2024-10-04 15:37:53,21.4,2.14
2024-10-04 15:37:54,21.4,2.18
2024-10-04 15:37:55,21.4,2.28
2024-10-04 15:37:56,21.42,2.35
2024-10-04 15:37:57,21.42,2.4
2024-10-04 15:37:58,21.4,2.42
2024-10-04 15:37:59,21.42,2.47
2024-10-04 15:38:00,21.4,2.47
2024-10-04 15:38:01,21.41,2.37
2024-10-04 15:38:02,21.4,2.42
2024-10-04 15:38:03,21.39,2.37
2024-10-04 15:38:04,21.41,2.26
2024-10-04 15:38:05,21.41,2.21
2024-10-04 15:38:06,21.42,2.18
2024-10-04 15:38:07,21.4,2.16
2024-10-04 15:38:08,21.41,2.07
2024-10-04 15:38:09,21.38,2.04
2024-10-04 15:38:10,21.41,2.02
2024-10-04 15:38:11,21.4,1.99
2024-10-04 15:38:12,21.42,2.04
2024-10-04 15:38:13,21.39,2.07
2024-10-04 15:38:14,21.39,2.12
2024-10-04 15:38:15,21.4,2.16
2024-10-04 15:38:16,21.4,2.09
2024-10-04 15:38:17,21.42,2.21
2024-10-04 15:38:18,21.41,2.18
2024-10-04 15:38:19,21.38,2.28
2024-10-04 15:38:20,21.42,2.23
2024-10-04 15:38:21,21.4,2.16
2024-10-04 15:38:22,21.42,1.97
2024-10-04 15:38:23,21.41,1.95
2024-10-04 15:38:24,21.41,1.97
2024-10-04 15:38:25,21.4,2.14
2024-10-04 15:38:26,21.42,2.23
2024-10-04 15:38:27,21.42,2.32
2024-10-04 15:38:28,21.4,2.57
2024-10-04 15:38:29,21.41,2.73
2024-10-04 15:38:30,21.42,2.81
2024-10-04 15:38:31,21.39,2.92
2024-10-04 15:38:32,21.41,3.07
2024-10-04 15:38:33,21.39,3.16
2024-10-04 15:38:34,21.4,3.31
2024-10-04 15:38:35,21.42,3.45
2024-10-04 15:38:36,21.4,3.49
2024-10-04 15:38:37,21.39,3.64
2024-10-04 15:38:38,21.4,3.78
2024-10-04 15:38:39,21.39,3.92
2024-10-04 15:38:40,21.41,4.02
2024-10-04 15:38:41,21.4,4.04
2024-10-04 15:38:42,21.4,4.04
2024-10-04 15:38:43,21.39,4.26
2024-10-04 15:38:44,21.42,4.52
2024-10-04 15:38:45,21.42,4.71
2024-10-04 15:38:46,21.4,4.97
2024-10-04 15:38:47,21.39,5.23
2024-10-04 15:38:48,21.4,5.45
2024-10-04 15:38:49,21.42,5.62
2024-10-04 15:38:50,21.41,5.73
2024-10-04 15:38:51,21.39,5.9
2024-10-04 15:38:52,21.41,6.02
2024-10-04 15:38:53,21.39,6.14
2024-10-04 15:38:54,21.4,6.23
2024-10-04 15:38:55,21.39,6.42
2024-10-04 15:38:56,21.39,6.54
2024-10-04 15:38:57,21.4,6.66
2024-10-04 15:38:58,21.4,6.82
2024-10-04 15:38:59,21.41,6.97
2024-10-04 15:39:00,21.39,7.07
2024-10-04 15:39:01,21.39,7.21
2024-10-04 15:39:02,21.39,7.37
2024-10-04 15:39:03,21.4,7.54
2024-10-04 15:39:04,21.4,7.73
2024-10-04 15:39:05,21.4,7.9
2024-10-04 15:39:06,21.39,8.09
2024-10-04 15:39:07,21.37,8.32
2024-10-04 15:39:08,21.37,8.52
2024-10-04 15:39:09,21.36,8.73
2024-10-04 15:39:10,21.35,8.9
2024-10-04 15:39:11,21.35,9.12
2024-10-04 15:39:12,21.35,9.26
2024-10-04 15:39:13,21.34,9.47
2024-10-04 15:39:14,21.34,9.54
2024-10-04 15:39:15,21.33,9.85
2024-10-04 15:39:16,21.33,10.09
2024-10-04 15:39:17,21.34,10.17
2024-10-04 15:39:18,21.33,10.37
2024-10-04 15:39:19,21.32,10.57
2024-10-04 15:39:20,21.29,10.78
2024-10-04 15:39:21,21.34,11.09
2024-10-04 15:39:22,21.33,11.33
2024-10-04 15:39:23,21.32,11.54
2024-10-04 15:39:24,21.32,11.78
2024-10-04 15:39:25,21.32,12.02
2024-10-04 15:39:26,21.31,12.23
2024-10-04 15:39:27,21.31,12.35
2024-10-04 15:39:28,21.29,12.52
2024-10-04 15:39:29,21.29,12.73
2024-10-04 15:39:30,21.28,12.97
