date,temperature(c),depth(m)
2024-09-12 09:10:02,25.45,1.47
2024-09-12 09:10:03,25.45,1.6
2024-09-12 09:10:04,25.45,1.95
2024-09-12 09:10:05,25.46,2.15
2024-09-12 09:10:06,25.46,2.25
2024-09-12 09:10:07,25.48,2.37
2024-09-12 09:10:08,25.46,2.44
2024-09-12 09:10:09,25.46,2.62
2024-09-12 09:10:10,25.46,2.82
2024-09-12 09:10:11,25.47,2.97
2024-09-12 09:10:12,25.47,3.07
2024-09-12 09:10:13,25.49,3.22
2024-09-12 09:10:14,25.5,3.33
2024-09-12 09:10:15,25.49,3.56
2024-09-12 09:10:16,25.5,3.78
2024-09-12 09:10:17,25.49,3.88
2024-09-12 09:10:18,25.51,4.11
2024-09-12 09:10:19,25.5,4.32
2024-09-12 09:10:20,25.5,4.55
2024-09-12 09:10:21,25.5,4.7
2024-09-12 09:10:22,25.5,5.0
2024-09-12 09:10:23,25.5,5.17
2024-09-12 09:10:24,25.5,5.37
2024-09-12 09:10:25,25.51,5.59
2024-09-12 09:10:26,25.49,5.84
2024-09-12 09:10:27,25.5,6.02
2024-09-12 09:10:28,25.51,6.17
2024-09-12 09:10:29,25.52,6.29
2024-09-12 09:10:30,25.51,6.46
2024-09-12 09:10:31,25.52,6.63
2024-09-12 09:10:32,25.52,6.81
2024-09-12 09:10:33,25.52,7.11
2024-09-12 09:10:34,25.5,7.41
2024-09-12 09:10:35,25.49,7.67
2024-09-12 09:10:36,25.46,8.02
2024-09-12 09:10:37,25.45,8.27
2024-09-12 09:10:38,25.42,8.47
2024-09-12 09:10:39,25.4,8.72
2024-09-12 09:10:40,25.41,8.97
2024-09-12 09:10:41,25.38,9.24
2024-09-12 09:10:42,25.35,9.52
2024-09-12 09:10:43,25.35,9.77
2024-09-12 09:10:44,25.34,10.07
2024-09-12 09:10:45,25.31,10.31
2024-09-12 09:10:46,25.3,10.53
2024-09-12 09:10:47,25.28,10.76
2024-09-12 09:10:48,25.3,10.88
2024-09-12 09:10:49,25.28,11.08
2024-09-12 09:10:50,25.28,11.16
2024-09-12 09:10:51,25.29,11.31
2024-09-12 09:10:52,25.28,11.52
2024-09-12 09:10:53,25.26,11.75
