date,temperature(c),depth(m)
2024-10-25 09:15:42,18.53,1.3
2024-10-25 09:15:43,18.56,1.36
2024-10-25 09:15:44,18.53,1.26
2024-10-25 09:15:45,18.53,1.3
2024-10-25 09:15:46,18.54,1.3
2024-10-25 09:15:47,18.54,1.54
2024-10-25 09:15:48,18.54,1.93
2024-10-25 09:15:49,18.55,2.22
2024-10-25 09:15:50,18.53,2.19
2024-10-25 09:15:51,18.55,2.22
2024-10-25 09:15:52,18.54,2.35
2024-10-25 09:15:53,18.53,2.35
2024-10-25 09:15:54,18.55,2.38
2024-10-25 09:15:55,18.55,2.44
2024-10-25 09:15:56,18.55,2.64
2024-10-25 09:15:57,18.53,3.21
2024-10-25 09:15:58,18.54,3.43
2024-10-25 09:15:59,18.53,3.52
2024-10-25 09:16:00,18.54,3.66
2024-10-25 09:16:01,18.52,3.88
2024-10-25 09:16:02,18.53,4.06
2024-10-25 09:16:03,18.53,4.09
2024-10-25 09:16:04,18.53,4.26
2024-10-25 09:16:05,18.54,4.71
2024-10-25 09:16:06,18.56,4.65
2024-10-25 09:16:07,18.55,4.89
2024-10-25 09:16:08,18.55,5.13
2024-10-25 09:16:09,18.56,5.22
2024-10-25 09:16:10,18.54,5.25
2024-10-25 09:16:11,18.53,5.22
2024-10-25 09:16:12,18.55,5.19
2024-10-25 09:16:13,18.58,5.16
2024-10-25 09:16:14,18.55,5.13
2024-10-25 09:16:15,18.55,5.16
2024-10-25 09:16:16,18.55,5.28
2024-10-25 09:16:17,18.56,5.34
2024-10-25 09:16:18,18.58,5.5
2024-10-25 09:16:19,18.56,5.67
2024-10-25 09:16:20,18.57,5.85
2024-10-25 09:16:21,18.58,6.04
2024-10-25 09:16:22,18.55,6.27
2024-10-25 09:16:23,18.55,6.52
2024-10-25 09:16:24,18.56,6.72
2024-10-25 09:16:25,18.55,7.0
2024-10-25 09:16:26,18.55,7.11
2024-10-25 09:16:27,18.58,7.17
2024-10-25 09:16:28,18.57,7.26
2024-10-25 09:16:29,18.56,7.47
2024-10-25 09:16:30,18.57,7.71
2024-10-25 09:16:31,18.57,7.98
2024-10-25 09:16:32,18.57,8.22
2024-10-25 09:16:33,18.59,8.4
2024-10-25 09:16:34,18.58,8.49
2024-10-25 09:16:35,18.58,8.64
2024-10-25 09:16:36,18.6,8.76
2024-10-25 09:16:37,18.56,8.91
2024-10-25 09:16:38,18.58,9.03
2024-10-25 09:16:39,18.57,9.27
2024-10-25 09:16:40,18.56,9.54
2024-10-25 09:16:41,18.59,9.75
2024-10-25 09:16:42,18.58,9.99
2024-10-25 09:16:43,18.6,10.32
2024-10-25 09:16:44,18.58,10.71
2024-10-25 09:16:45,18.59,10.98
2024-10-25 09:16:46,18.6,10.98
2024-10-25 09:16:47,18.59,11.16
2024-10-25 09:16:48,18.58,11.28
2024-10-25 09:16:49,18.59,11.43
2024-10-25 09:16:50,18.57,11.7
2024-10-25 09:16:51,18.59,12.03
2024-10-25 09:16:52,18.59,12.18
2024-10-25 09:16:53,18.59,12.33
2024-10-25 09:16:54,18.59,12.42
2024-10-25 09:16:55,18.58,12.54
2024-10-25 09:16:56,18.58,12.62
2024-10-25 09:16:57,18.56,12.69
2024-10-25 09:16:58,18.59,12.54
2024-10-25 09:16:59,18.56,12.48
2024-10-25 09:17:00,18.57,12.21
2024-10-25 09:17:01,18.57,12.08
2024-10-25 09:17:02,18.55,12.15
2024-10-25 09:17:03,18.56,12.18
2024-10-25 09:17:04,18.56,12.02
2024-10-25 09:17:05,18.54,12.05
2024-10-25 09:17:06,18.56,12.05
2024-10-25 09:17:07,18.55,11.88
2024-10-25 09:17:08,18.56,11.85
2024-10-25 09:17:09,18.55,11.67
2024-10-25 09:17:10,18.57,11.43
2024-10-25 09:17:11,18.55,11.46
2024-10-25 09:17:12,18.55,11.09
2024-10-25 09:17:13,18.54,10.8
2024-10-25 09:17:14,18.54,10.47
2024-10-25 09:17:15,18.54,10.44
2024-10-25 09:17:16,18.54,10.47
2024-10-25 09:17:17,18.54,10.41
2024-10-25 09:17:18,18.53,10.2
2024-10-25 09:17:19,18.55,9.87
2024-10-25 09:17:20,18.54,9.66
2024-10-25 09:17:21,18.53,9.48
2024-10-25 09:17:22,18.54,9.39
2024-10-25 09:17:23,18.56,9.27
2024-10-25 09:17:24,18.54,8.82
2024-10-25 09:17:25,18.58,8.34
2024-10-25 09:17:26,18.56,8.02
2024-10-25 09:17:27,18.57,7.71
2024-10-25 09:17:28,18.57,7.68
2024-10-25 09:17:29,18.57,7.68
2024-10-25 09:17:30,18.57,7.56
2024-10-25 09:17:31,18.55,7.59
2024-10-25 09:17:32,18.57,7.62
2024-10-25 09:17:33,18.57,7.41
2024-10-25 09:17:34,18.58,7.17
2024-10-25 09:17:35,18.56,6.81
2024-10-25 09:17:36,18.56,6.57
2024-10-25 09:17:37,18.59,6.27
2024-10-25 09:17:38,18.57,6.21
2024-10-25 09:17:39,18.56,6.21
2024-10-25 09:17:40,18.59,6.33
2024-10-25 09:17:41,18.56,6.57
2024-10-25 09:17:42,18.59,6.75
2024-10-25 09:17:43,18.57,6.96
2024-10-25 09:17:44,18.57,7.14
2024-10-25 09:17:45,18.57,7.47
2024-10-25 09:17:46,18.58,7.74
2024-10-25 09:17:47,18.58,7.98
2024-10-25 09:17:48,18.58,8.16
2024-10-25 09:17:49,18.58,8.19
2024-10-25 09:17:50,18.58,8.19
2024-10-25 09:17:51,18.57,8.1
2024-10-25 09:17:52,18.59,8.07
2024-10-25 09:17:53,18.6,8.31
2024-10-25 09:17:54,18.59,8.58
2024-10-25 09:17:55,18.6,8.88
2024-10-25 09:17:56,18.61,9.15
2024-10-25 09:17:57,18.6,9.42
2024-10-25 09:17:58,18.62,9.66
2024-10-25 09:17:59,18.62,9.9
2024-10-25 09:18:00,18.61,10.17
2024-10-25 09:18:01,18.64,10.26
2024-10-25 09:18:02,18.6,10.58
2024-10-25 09:18:03,18.62,10.83
2024-10-25 09:18:04,18.63,11.03
2024-10-25 09:18:05,18.61,11.4
2024-10-25 09:18:06,18.6,11.94
2024-10-25 09:18:07,18.62,12.24
2024-10-25 09:18:08,18.6,12.18
2024-10-25 09:18:09,18.6,12.39
2024-10-25 09:18:10,18.58,12.66
2024-10-25 09:18:11,18.59,13.02
2024-10-25 09:18:12,18.59,13.16
2024-10-25 09:18:13,18.59,13.44
2024-10-25 09:18:14,18.6,13.71
2024-10-25 09:18:15,18.6,14.03
2024-10-25 09:18:16,18.6,14.34
2024-10-25 09:18:17,18.59,14.63
2024-10-25 09:18:18,18.59,14.88
2024-10-25 09:18:19,18.57,15.11
2024-10-25 09:18:20,18.56,15.39
2024-10-25 09:18:21,18.59,15.68
2024-10-25 09:18:22,18.57,15.96
2024-10-25 09:18:23,18.56,16.1
2024-10-25 09:18:24,18.56,16.38
2024-10-25 09:18:25,18.55,16.53
2024-10-25 09:18:26,18.57,16.76
2024-10-25 09:18:27,18.53,17.06
2024-10-25 09:18:28,18.55,17.43
2024-10-25 09:18:29,18.53,17.54
2024-10-25 09:18:30,18.55,17.66
2024-10-25 09:18:31,18.54,17.69
2024-10-25 09:18:32,18.53,17.91
2024-10-25 09:18:33,18.54,18.11
2024-10-25 09:18:34,18.54,18.23
2024-10-25 09:18:35,18.55,18.39
2024-10-25 09:18:36,18.53,18.62
2024-10-25 09:18:37,18.53,18.74
2024-10-25 09:18:38,18.54,18.9
2024-10-25 09:18:39,18.53,19.04
2024-10-25 09:18:40,18.53,19.22
2024-10-25 09:18:41,18.53,19.47
2024-10-25 09:18:42,18.53,19.73
2024-10-25 09:18:43,18.53,19.92
2024-10-25 09:18:44,18.52,20.09
2024-10-25 09:18:45,18.53,20.09
2024-10-25 09:18:46,18.53,20.21
2024-10-25 09:18:47,18.53,20.57
2024-10-25 09:18:48,18.54,20.75
2024-10-25 09:18:49,18.54,20.78
2024-10-25 09:18:50,18.54,20.75
2024-10-25 09:18:51,18.54,20.75
2024-10-25 09:18:52,18.53,20.81
2024-10-25 09:18:53,18.54,20.97
2024-10-25 09:18:54,18.55,21.03
2024-10-25 09:18:55,18.54,20.87
2024-10-25 09:18:56,18.53,20.72
2024-10-25 09:18:57,18.54,20.84
2024-10-25 09:18:58,18.56,20.94
2024-10-25 09:18:59,18.56,21.08
2024-10-25 09:19:00,18.57,21.2
2024-10-25 09:19:01,18.56,21.35
2024-10-25 09:19:02,18.55,21.45
2024-10-25 09:19:03,18.53,21.62
2024-10-25 09:19:04,18.56,21.62
2024-10-25 09:19:05,18.54,21.62
2024-10-25 09:19:06,18.54,21.62
2024-10-25 09:19:07,18.54,21.65
2024-10-25 09:19:08,18.53,21.48
2024-10-25 09:19:09,18.54,21.59
2024-10-25 09:19:10,18.57,21.74
2024-10-25 09:19:11,18.55,21.74
2024-10-25 09:19:12,18.55,21.86
2024-10-25 09:19:13,18.55,21.99
2024-10-25 09:19:14,18.56,21.92
2024-10-25 09:19:15,18.53,21.99
2024-10-25 09:19:16,18.55,22.13
2024-10-25 09:19:17,18.55,22.28
2024-10-25 09:19:18,18.55,22.28
2024-10-25 09:19:19,18.56,22.34
2024-10-25 09:19:20,18.56,22.4
2024-10-25 09:19:21,18.56,22.61
2024-10-25 09:19:22,18.56,22.73
2024-10-25 09:19:23,18.54,22.97
2024-10-25 09:19:24,18.53,23.12
2024-10-25 09:19:25,18.53,23.3
2024-10-25 09:19:26,18.54,23.55
2024-10-25 09:19:27,18.56,23.72
2024-10-25 09:19:28,18.53,23.9
2024-10-25 09:19:29,18.54,24.03
2024-10-25 09:19:30,18.54,24.08
2024-10-25 09:19:31,18.56,24.35
2024-10-25 09:19:32,18.54,24.56
2024-10-25 09:19:33,18.55,24.68
2024-10-25 09:19:34,18.55,24.86
2024-10-25 09:19:35,18.55,25.13
2024-10-25 09:19:36,18.55,25.34
2024-10-25 09:19:37,18.58,25.52
2024-10-25 09:19:38,18.56,25.64
2024-10-25 09:19:39,18.54,25.73
2024-10-25 09:19:40,18.54,25.91
2024-10-25 09:19:41,18.54,26.03
2024-10-25 09:19:42,18.53,26.12
2024-10-25 09:19:43,18.52,26.15
2024-10-25 09:19:44,18.54,26.21
2024-10-25 09:19:45,18.53,26.33
2024-10-25 09:19:46,18.52,26.42
2024-10-25 09:19:47,18.52,26.54
2024-10-25 09:19:48,18.53,26.56
2024-10-25 09:19:49,18.52,26.56
2024-10-25 09:19:50,18.53,26.63
2024-10-25 09:19:51,18.52,26.78
2024-10-25 09:19:52,18.52,26.96
2024-10-25 09:19:53,18.5,27.2
2024-10-25 09:19:54,18.51,27.2
2024-10-25 09:19:55,18.51,27.23
2024-10-25 09:19:56,18.51,27.5
2024-10-25 09:19:57,18.53,27.61
2024-10-25 09:19:58,18.51,27.53
2024-10-25 09:19:59,18.53,27.65
2024-10-25 09:20:00,18.53,27.83
2024-10-25 09:20:01,18.55,27.83
2024-10-25 09:20:02,18.53,28.16
2024-10-25 09:20:03,18.51,28.43
2024-10-25 09:20:04,18.51,28.55
2024-10-25 09:20:05,18.52,28.76
2024-10-25 09:20:06,18.54,28.85
2024-10-25 09:20:07,18.53,28.88
2024-10-25 09:20:08,18.52,28.91
2024-10-25 09:20:09,18.51,29.03
2024-10-25 09:20:10,18.51,29.06
2024-10-25 09:20:11,18.52,29.21
2024-10-25 09:20:12,18.53,29.48
2024-10-25 09:20:13,18.51,29.68
2024-10-25 09:20:14,18.5,29.87
2024-10-25 09:20:15,18.52,30.08
2024-10-25 09:20:16,18.5,30.32
2024-10-25 09:20:17,18.51,30.38
2024-10-25 09:20:18,18.5,30.41
2024-10-25 09:20:19,18.5,30.5
2024-10-25 09:20:20,18.52,30.56
2024-10-25 09:20:21,18.52,30.61
2024-10-25 09:20:22,18.53,30.67
2024-10-25 09:20:23,18.53,30.67
2024-10-25 09:20:24,18.53,30.7
2024-10-25 09:20:25,18.52,30.83
2024-10-25 09:20:26,18.5,30.95
2024-10-25 09:20:27,18.5,31.09
2024-10-25 09:20:28,18.53,31.31
2024-10-25 09:20:29,18.51,31.37
2024-10-25 09:20:30,18.52,31.54
2024-10-25 09:20:31,18.52,31.66
2024-10-25 09:20:32,18.52,31.79
2024-10-25 09:20:33,18.52,31.82
2024-10-25 09:20:34,18.52,31.75
2024-10-25 09:20:35,18.53,31.69
2024-10-25 09:20:36,18.52,31.63
2024-10-25 09:20:37,18.53,31.66
2024-10-25 09:20:38,18.52,31.69
2024-10-25 09:20:39,18.52,31.79
2024-10-25 09:20:40,18.54,31.82
2024-10-25 09:20:41,18.54,31.72
2024-10-25 09:20:42,18.53,31.72
2024-10-25 09:20:43,18.53,31.85
2024-10-25 09:20:44,18.53,31.85
2024-10-25 09:20:45,18.53,31.79
2024-10-25 09:20:46,18.53,31.75
2024-10-25 09:20:47,18.51,31.79
2024-10-25 09:20:48,18.54,31.91
2024-10-25 09:20:49,18.53,32.0
2024-10-25 09:20:50,18.55,31.66
2024-10-25 09:20:51,18.53,31.66
2024-10-25 09:20:52,18.53,31.82
2024-10-25 09:20:53,18.56,31.91
2024-10-25 09:20:54,18.53,31.91
2024-10-25 09:20:55,18.53,31.97
2024-10-25 09:20:56,18.53,32.03
2024-10-25 09:20:57,18.53,31.97
2024-10-25 09:20:58,18.53,31.94
2024-10-25 09:20:59,18.53,31.94
2024-10-25 09:21:00,18.53,31.94
2024-10-25 09:21:01,18.53,32.0
2024-10-25 09:21:02,18.53,31.97
2024-10-25 09:21:03,18.53,31.88
2024-10-25 09:21:04,18.53,31.82
2024-10-25 09:21:05,18.54,31.85
2024-10-25 09:21:06,18.53,32.0
2024-10-25 09:21:07,18.53,32.17
2024-10-25 09:21:08,18.55,32.3
2024-10-25 09:21:09,18.54,32.3
2024-10-25 09:21:10,18.53,32.17
2024-10-25 09:21:11,18.53,32.17
2024-10-25 09:21:12,18.53,32.06
2024-10-25 09:21:13,18.54,32.11
2024-10-25 09:21:14,18.53,32.03
2024-10-25 09:21:15,18.53,32.2
2024-10-25 09:21:16,18.56,32.14
2024-10-25 09:21:17,18.53,32.08
2024-10-25 09:21:18,18.53,31.91
2024-10-25 09:21:19,18.55,31.82
2024-10-25 09:21:20,18.55,31.88
2024-10-25 09:21:21,18.54,31.79
