date,temperature(c),depth(m)
2024-09-11 10:08:54,21.37,1.53
2024-09-11 10:08:55,21.61,1.53
2024-09-11 10:08:56,21.74,1.3
2024-09-11 10:13:37,22.03,1.15
2024-09-11 10:13:38,22.05,1.42
2024-09-11 10:13:39,22.06,1.86
2024-09-11 10:13:40,22.03,2.26
2024-09-11 10:13:41,22.03,2.61
2024-09-11 10:13:42,22.03,2.91
2024-09-11 10:13:43,22.03,3.2
2024-09-11 10:13:44,22.03,3.52
2024-09-11 10:13:45,22.03,3.78
2024-09-11 10:13:46,22.03,4.05
2024-09-11 10:13:47,22.03,4.36
2024-09-11 10:13:48,22.02,4.69
2024-09-11 10:13:49,22.03,5.04
2024-09-11 10:13:50,22.02,5.36
2024-09-11 10:13:51,22.02,5.63
2024-09-11 10:13:52,22.03,5.83
2024-09-11 10:13:53,22.03,6.04
2024-09-11 10:13:54,22.03,6.3
2024-09-11 10:13:55,22.01,6.6
2024-09-11 10:13:56,22.03,6.77
2024-09-11 10:13:57,22.03,6.82
2024-09-11 10:13:58,22.03,6.91
2024-09-11 10:13:59,22.02,7.06
2024-09-11 10:14:00,22.03,7.15
2024-09-11 10:14:01,22.03,7.35
2024-09-11 10:14:02,22.03,7.35
2024-09-11 10:14:03,22.04,7.38
2024-09-11 10:14:04,22.03,7.41
2024-09-11 10:14:05,22.04,7.27
2024-09-11 10:14:06,22.05,7.27
2024-09-11 10:14:07,22.04,7.27
2024-09-11 10:14:08,22.03,7.38
2024-09-11 10:14:09,22.04,7.53
2024-09-11 10:14:10,22.02,7.68
2024-09-11 10:14:11,22.03,7.73
2024-09-11 10:14:12,22.03,7.68
2024-09-11 10:14:13,22.02,7.68
2024-09-11 10:14:14,22.02,7.68
2024-09-11 10:14:15,22.02,7.68
2024-09-11 10:14:16,22.02,7.56
2024-09-11 10:14:17,22.03,7.53
2024-09-11 10:14:18,22.02,7.35
2024-09-11 10:14:19,22.01,7.06
2024-09-11 10:14:20,22.03,7.01
2024-09-11 10:14:21,22.02,6.91
2024-09-11 10:14:22,22.05,7.01
2024-09-11 10:14:23,22.05,7.09
2024-09-11 10:14:24,22.02,7.21
2024-09-11 10:14:25,22.03,7.12
2024-09-11 10:14:26,22.03,6.98
2024-09-11 10:14:27,22.03,6.88
2024-09-11 10:14:28,22.03,6.85
2024-09-11 10:14:29,22.03,6.8
2024-09-11 10:14:30,22.01,6.94
2024-09-11 10:14:31,22.03,7.01
2024-09-11 10:14:32,22.03,6.98
2024-09-11 10:14:33,22.01,6.8
2024-09-11 10:14:34,22.02,6.82
2024-09-11 10:14:35,22.03,6.94
2024-09-11 10:14:36,22.01,7.09
2024-09-11 10:14:37,22.03,7.32
2024-09-11 10:14:38,22.02,7.44
2024-09-11 10:14:39,22.02,7.38
2024-09-11 10:14:40,22.03,7.38
2024-09-11 10:14:41,22.03,7.38
2024-09-11 10:14:42,22.02,7.44
2024-09-11 10:14:43,22.0,7.59
2024-09-11 10:14:44,22.01,7.73
2024-09-11 10:14:45,22.02,7.94
2024-09-11 10:14:46,22.03,8.15
2024-09-11 10:14:47,22.01,8.43
2024-09-11 10:14:48,22.03,8.73
2024-09-11 10:14:49,22.03,8.99
2024-09-11 10:14:50,22.03,9.2
2024-09-11 10:14:51,22.03,9.31
2024-09-11 10:14:52,22.03,9.49
2024-09-11 10:14:53,22.03,9.7
2024-09-11 10:14:54,22.02,9.9
2024-09-11 10:14:55,22.02,10.14
2024-09-11 10:14:56,22.03,10.42
2024-09-11 10:14:57,22.03,10.75
2024-09-11 10:14:58,22.02,10.89
2024-09-11 10:14:59,22.01,10.86
2024-09-11 10:15:00,22.0,10.92
2024-09-11 10:15:01,22.02,10.92
2024-09-11 10:15:02,22.03,10.86
2024-09-11 10:15:03,22.02,10.98
2024-09-11 10:15:04,22.03,10.92
2024-09-11 10:15:05,22.02,10.95
2024-09-11 10:15:06,22.03,10.89
2024-09-11 10:15:07,22.03,10.81
2024-09-11 10:15:08,22.03,10.81
2024-09-11 10:15:09,22.03,10.78
2024-09-11 10:15:10,22.02,10.81
2024-09-11 10:15:11,22.03,10.89
2024-09-11 10:15:12,22.02,10.95
2024-09-11 10:15:13,22.01,10.89
2024-09-11 10:15:14,22.01,10.78
2024-09-11 10:15:15,22.01,10.66
2024-09-11 10:15:16,22.02,10.54
2024-09-11 10:15:17,22.03,10.61
2024-09-11 10:15:18,22.02,10.66
2024-09-11 10:15:19,22.01,10.78
2024-09-11 10:15:20,22.03,10.86
2024-09-11 10:15:21,22.0,10.72
2024-09-11 10:15:22,22.03,10.61
2024-09-11 10:15:23,22.03,10.69
2024-09-11 10:15:24,22.02,10.64
2024-09-11 10:15:25,22.02,10.81
2024-09-11 10:15:26,22.03,10.92
2024-09-11 10:15:27,22.03,10.95
2024-09-11 10:15:28,22.02,10.89
2024-09-11 10:15:29,22.03,10.75
2024-09-11 10:15:30,22.02,10.69
2024-09-11 10:15:31,22.02,10.75
2024-09-11 10:15:32,22.02,10.86
2024-09-11 10:15:33,22.03,10.98
2024-09-11 10:15:34,22.02,11.01
2024-09-11 10:15:35,22.01,10.89
2024-09-11 10:15:36,22.03,10.72
2024-09-11 10:15:37,22.01,10.61
2024-09-11 10:15:38,22.03,10.63
2024-09-11 10:15:39,22.01,10.63
2024-09-11 10:15:40,22.02,10.66
2024-09-11 10:15:41,22.03,10.66
2024-09-11 10:15:42,22.03,10.61
2024-09-11 10:15:43,22.03,10.48
2024-09-11 10:15:44,22.05,10.48
2024-09-11 10:15:45,22.05,10.37
2024-09-11 10:15:46,22.05,10.31
2024-09-11 10:15:47,22.07,10.28
2024-09-11 10:15:48,22.08,10.31
2024-09-11 10:15:49,22.06,10.34
2024-09-11 10:15:50,22.06,10.42
2024-09-11 10:15:51,22.08,10.45
2024-09-11 10:15:52,22.07,10.42
2024-09-11 10:15:53,22.07,10.4
2024-09-11 10:15:54,22.05,10.37
2024-09-11 10:15:55,22.05,10.45
2024-09-11 10:15:56,22.05,10.51
2024-09-11 10:15:57,22.05,10.63
2024-09-11 10:15:58,22.05,10.64
2024-09-11 10:15:59,22.06,10.42
2024-09-11 10:16:00,22.05,10.17
2024-09-11 10:16:01,22.07,10.14
2024-09-11 10:16:02,22.06,10.17
2024-09-11 10:16:03,22.07,10.28
2024-09-11 10:16:04,22.06,10.4
2024-09-11 10:16:05,22.05,10.4
2024-09-11 10:16:06,22.07,10.45
2024-09-11 10:16:07,22.06,10.48
2024-09-11 10:16:08,22.04,10.61
2024-09-11 10:16:09,22.06,10.63
2024-09-11 10:16:10,22.05,10.72
2024-09-11 10:16:11,22.06,10.81
2024-09-11 10:16:12,22.06,10.86
2024-09-11 10:16:13,22.05,10.78
2024-09-11 10:16:14,22.06,10.75
2024-09-11 10:16:15,22.05,10.72
2024-09-11 10:16:16,22.04,10.57
2024-09-11 10:16:17,22.06,10.61
2024-09-11 10:16:18,22.06,10.51
2024-09-11 10:16:19,22.07,10.4
2024-09-11 10:16:20,22.06,10.28
2024-09-11 10:16:21,22.06,10.08
2024-09-11 10:16:22,22.05,9.96
2024-09-11 10:16:23,22.03,9.96
2024-09-11 10:16:24,22.06,10.04
2024-09-11 10:16:25,22.06,10.11
2024-09-11 10:16:26,22.06,10.14
2024-09-11 10:16:27,22.04,10.14
2024-09-11 10:16:28,22.03,10.17
2024-09-11 10:16:29,22.05,10.14
2024-09-11 10:16:30,22.04,10.14
2024-09-11 10:16:31,22.04,10.11
2024-09-11 10:16:32,22.04,10.04
2024-09-11 10:16:33,22.05,9.98
2024-09-11 10:16:34,22.04,10.04
2024-09-11 10:16:35,22.04,10.08
2024-09-11 10:16:36,22.04,10.11
2024-09-11 10:16:37,22.05,10.11
2024-09-11 10:16:38,22.05,10.11
2024-09-11 10:16:39,22.04,10.17
2024-09-11 10:16:40,22.04,10.22
2024-09-11 10:16:41,22.04,10.17
2024-09-11 10:16:42,22.05,10.08
2024-09-11 10:16:43,22.04,9.98
2024-09-11 10:16:44,22.04,9.96
2024-09-11 10:16:45,22.04,9.98
2024-09-11 10:16:46,22.05,10.14
2024-09-11 10:16:47,22.06,10.22
2024-09-11 10:16:48,22.04,10.28
2024-09-11 10:16:49,22.05,10.14
2024-09-11 10:16:50,22.07,10.11
2024-09-11 10:16:51,22.05,10.04
2024-09-11 10:16:52,22.04,10.08
2024-09-11 10:16:53,22.03,10.14
2024-09-11 10:16:54,22.05,10.11
2024-09-11 10:16:55,22.05,10.08
2024-09-11 10:16:56,22.05,10.04
2024-09-11 10:16:57,22.06,9.98
2024-09-11 10:16:58,22.07,9.96
2024-09-11 10:16:59,22.05,10.04
2024-09-11 10:17:00,22.05,10.19
2024-09-11 10:17:01,22.05,10.25
2024-09-11 10:17:02,22.05,10.17
2024-09-11 10:17:03,22.03,9.96
2024-09-11 10:17:04,22.04,9.84
2024-09-11 10:17:05,22.04,9.93
2024-09-11 10:17:06,22.03,10.14
2024-09-11 10:17:07,22.05,10.37
2024-09-11 10:17:08,22.03,10.34
2024-09-11 10:17:09,22.05,10.19
2024-09-11 10:17:10,22.04,10.04
2024-09-11 10:17:11,22.05,9.98
2024-09-11 10:17:12,22.03,9.98
2024-09-11 10:17:13,22.07,10.08
2024-09-11 10:17:14,22.05,10.11
2024-09-11 10:17:15,22.05,10.08
2024-09-11 10:17:16,22.04,9.98
2024-09-11 10:17:17,22.05,9.9
2024-09-11 10:17:18,22.05,9.96
2024-09-11 10:17:19,22.05,10.08
2024-09-11 10:17:20,22.05,10.11
2024-09-11 10:17:21,22.05,10.19
2024-09-11 10:17:22,22.03,10.14
2024-09-11 10:17:23,22.06,10.11
2024-09-11 10:17:24,22.06,10.08
2024-09-11 10:17:25,22.04,10.08
2024-09-11 10:17:26,22.05,10.11
2024-09-11 10:17:27,22.06,10.14
2024-09-11 10:17:28,22.03,10.14
2024-09-11 10:17:29,22.05,10.11
2024-09-11 10:17:30,22.05,10.08
2024-09-11 10:17:31,22.07,10.04
2024-09-11 10:17:32,22.05,10.08
2024-09-11 10:17:33,22.06,10.17
2024-09-11 10:17:34,22.05,10.19
2024-09-11 10:17:35,22.04,10.14
2024-09-11 10:17:36,22.05,10.04
2024-09-11 10:17:37,22.05,9.96
2024-09-11 10:17:38,22.04,10.01
2024-09-11 10:17:39,22.05,10.11
2024-09-11 10:17:40,22.05,10.19
2024-09-11 10:17:41,22.05,10.14
2024-09-11 10:17:42,22.05,10.04
2024-09-11 10:17:43,22.06,10.01
2024-09-11 10:17:44,22.04,10.11
2024-09-11 10:17:45,22.04,10.25
2024-09-11 10:17:46,22.06,10.42
2024-09-11 10:17:47,22.05,10.45
2024-09-11 10:17:48,22.05,10.4
2024-09-11 10:17:49,22.06,10.37
2024-09-11 10:17:50,22.03,10.45
2024-09-11 10:17:51,22.04,10.66
2024-09-11 10:17:52,22.07,10.81
2024-09-11 10:17:53,22.06,10.92
2024-09-11 10:17:54,22.07,10.89
2024-09-11 10:17:55,22.06,10.89
2024-09-11 10:17:56,22.06,10.84
2024-09-11 10:17:57,22.06,10.78
2024-09-11 10:17:58,22.06,10.78
2024-09-11 10:17:59,22.06,10.89
2024-09-11 10:18:00,22.08,11.07
2024-09-11 10:18:01,22.08,11.19
2024-09-11 10:18:02,22.08,11.19
2024-09-11 10:18:03,22.06,11.09
2024-09-11 10:18:04,22.04,10.95
2024-09-11 10:18:05,22.07,10.98
2024-09-11 10:18:06,22.06,11.16
2024-09-11 10:18:07,22.06,11.45
2024-09-11 10:18:08,22.08,11.66
2024-09-11 10:18:09,22.07,11.63
2024-09-11 10:18:10,22.06,11.48
2024-09-11 10:18:11,22.08,11.39
2024-09-11 10:18:12,22.08,11.51
2024-09-11 10:18:13,22.06,11.66
2024-09-11 10:18:14,22.07,11.77
2024-09-11 10:18:15,22.05,11.83
2024-09-11 10:18:16,22.07,11.72
2024-09-11 10:18:17,22.07,11.63
2024-09-11 10:18:18,22.07,11.66
2024-09-11 10:18:19,22.06,11.69
2024-09-11 10:18:20,22.06,11.8
2024-09-11 10:18:21,22.05,11.95
2024-09-11 10:18:22,22.04,11.92
2024-09-11 10:18:23,22.02,11.89
2024-09-11 10:18:24,22.03,11.75
2024-09-11 10:18:25,22.03,11.59
2024-09-11 10:18:26,22.02,11.53
2024-09-11 10:18:27,22.05,11.75
2024-09-11 10:18:28,22.04,11.95
2024-09-11 10:18:29,22.03,11.92
2024-09-11 10:18:30,22.02,11.75
2024-09-11 10:18:31,22.03,11.56
2024-09-11 10:18:32,22.05,11.56
2024-09-11 10:18:33,22.04,11.77
2024-09-11 10:18:34,22.05,12.0
2024-09-11 10:18:35,22.05,12.06
2024-09-11 10:18:36,22.05,12.0
2024-09-11 10:18:37,22.05,11.86
2024-09-11 10:18:38,22.07,11.72
2024-09-11 10:18:39,22.06,11.66
2024-09-11 10:18:40,22.04,11.75
2024-09-11 10:18:41,22.05,11.86
2024-09-11 10:18:42,22.07,11.98
2024-09-11 10:18:43,22.04,11.97
2024-09-11 10:18:44,22.05,11.92
2024-09-11 10:18:45,22.06,11.86
2024-09-11 10:18:46,22.05,11.89
2024-09-11 10:18:47,22.06,11.97
2024-09-11 10:18:48,22.06,12.12
2024-09-11 10:18:49,22.04,12.24
2024-09-11 10:18:50,22.04,12.27
2024-09-11 10:18:51,22.03,12.3
2024-09-11 10:18:52,22.02,12.39
2024-09-11 10:18:53,22.03,12.5
2024-09-11 10:18:54,22.04,12.64
2024-09-11 10:18:55,22.03,12.74
2024-09-11 10:18:56,22.03,12.86
2024-09-11 10:18:57,22.03,12.83
2024-09-11 10:18:58,22.05,12.74
2024-09-11 10:18:59,22.05,12.68
2024-09-11 10:19:00,22.04,12.64
2024-09-11 10:19:01,22.04,12.64
2024-09-11 10:19:02,22.04,12.74
2024-09-11 10:19:03,22.03,12.77
2024-09-11 10:19:04,22.05,12.71
2024-09-11 10:19:05,22.04,12.68
2024-09-11 10:19:06,22.04,12.59
2024-09-11 10:19:07,22.03,12.53
2024-09-11 10:19:08,22.06,12.44
2024-09-11 10:19:09,22.02,12.44
2024-09-11 10:19:10,22.03,12.5
2024-09-11 10:19:11,22.03,12.53
2024-09-11 10:19:12,22.04,12.59
2024-09-11 10:19:13,22.03,12.64
2024-09-11 10:19:14,22.06,12.71
2024-09-11 10:19:15,22.03,12.71
2024-09-11 10:19:16,22.03,12.64
2024-09-11 10:19:17,22.03,12.59
2024-09-11 10:19:18,22.03,12.59
2024-09-11 10:19:19,22.03,12.64
2024-09-11 10:19:20,22.02,12.64
2024-09-11 10:19:21,22.03,12.59
2024-09-11 10:19:22,22.01,12.59
2024-09-11 10:19:23,22.02,12.59
2024-09-11 10:19:24,22.03,12.62
2024-09-11 10:19:25,22.05,12.62
2024-09-11 10:19:26,22.03,12.59
2024-09-11 10:19:27,22.02,12.47
2024-09-11 10:19:28,22.03,12.47
2024-09-11 10:19:29,22.04,12.59
2024-09-11 10:19:30,22.03,12.62
2024-09-11 10:19:31,22.03,12.62
2024-09-11 10:19:32,22.03,12.56
2024-09-11 10:19:33,22.03,12.53
2024-09-11 10:19:34,22.03,12.64
2024-09-11 10:19:35,22.02,12.74
2024-09-11 10:19:36,22.04,12.83
2024-09-11 10:19:37,22.03,12.8
2024-09-11 10:19:38,22.03,12.83
2024-09-11 10:19:39,22.03,12.88
2024-09-11 10:19:40,22.03,12.94
2024-09-11 10:19:41,22.04,12.94
2024-09-11 10:19:42,22.03,12.91
2024-09-11 10:19:43,22.04,12.86
2024-09-11 10:19:44,22.04,12.74
2024-09-11 10:19:45,22.05,12.71
2024-09-11 10:19:46,22.04,12.64
2024-09-11 10:19:47,22.03,12.56
2024-09-11 10:19:48,22.04,12.71
2024-09-11 10:19:49,22.03,12.86
2024-09-11 10:19:50,22.03,12.88
2024-09-11 10:19:51,22.04,12.86
2024-09-11 10:19:52,22.05,12.74
2024-09-11 10:19:53,22.04,12.71
2024-09-11 10:19:54,22.06,12.83
2024-09-11 10:19:55,22.04,12.88
2024-09-11 10:19:56,22.04,12.83
2024-09-11 10:19:57,22.03,12.74
2024-09-11 10:19:58,22.05,12.64
2024-09-11 10:19:59,22.04,12.59
2024-09-11 10:20:00,22.05,12.56
2024-09-11 10:20:01,22.04,12.66
2024-09-11 10:20:02,22.08,12.8
2024-09-11 10:20:03,22.05,12.86
2024-09-11 10:20:04,22.03,12.8
2024-09-11 10:20:05,22.04,12.56
2024-09-11 10:20:06,22.03,12.33
2024-09-11 10:20:07,22.05,12.24
2024-09-11 10:20:08,22.03,12.21
2024-09-11 10:20:09,22.07,12.24
2024-09-11 10:20:10,22.06,12.27
2024-09-11 10:20:11,22.03,12.24
2024-09-11 10:20:12,22.05,12.27
2024-09-11 10:20:13,22.05,12.19
2024-09-11 10:20:14,22.05,12.03
2024-09-11 10:20:15,22.03,12.06
2024-09-11 10:20:16,22.05,12.16
2024-09-11 10:20:17,22.05,12.21
2024-09-11 10:20:18,22.03,12.27
2024-09-11 10:20:19,22.03,12.21
2024-09-11 10:20:20,22.03,11.97
2024-09-11 10:20:21,22.05,11.89
2024-09-11 10:20:22,22.03,11.95
2024-09-11 10:20:23,22.05,12.06
2024-09-11 10:20:24,22.03,12.21
2024-09-11 10:20:25,22.03,12.21
2024-09-11 10:20:26,22.06,12.16
2024-09-11 10:20:27,22.03,12.09
2024-09-11 10:20:28,22.05,11.95
2024-09-11 10:20:29,22.05,11.92
2024-09-11 10:20:30,22.04,12.03
2024-09-11 10:20:31,22.05,12.19
2024-09-11 10:20:32,22.04,12.21
2024-09-11 10:20:33,22.05,12.09
2024-09-11 10:20:34,22.03,11.97
2024-09-11 10:20:35,22.04,11.83
2024-09-11 10:20:36,22.03,11.92
2024-09-11 10:20:37,22.03,12.19
2024-09-11 10:20:38,22.04,12.3
2024-09-11 10:20:39,22.04,12.27
2024-09-11 10:20:40,22.05,12.16
2024-09-11 10:20:41,22.05,12.03
2024-09-11 10:20:42,22.06,11.97
2024-09-11 10:20:43,22.03,12.09
2024-09-11 10:20:44,22.04,12.19
2024-09-11 10:20:45,22.03,12.27
2024-09-11 10:20:46,22.06,12.24
2024-09-11 10:20:47,22.04,12.09
2024-09-11 10:20:48,22.04,12.06
2024-09-11 10:20:49,22.04,12.09
2024-09-11 10:20:50,22.01,12.21
2024-09-11 10:20:51,22.03,12.33
2024-09-11 10:20:52,22.03,12.33
2024-09-11 10:20:53,22.03,12.27
2024-09-11 10:20:54,22.03,12.16
2024-09-11 10:20:55,22.03,12.06
2024-09-11 10:20:56,22.04,12.12
2024-09-11 10:20:57,22.04,12.27
2024-09-11 10:20:58,22.04,12.42
2024-09-11 10:20:59,22.03,12.42
2024-09-11 10:21:00,22.03,12.27
2024-09-11 10:21:01,22.03,12.12
2024-09-11 10:21:02,22.06,12.16
2024-09-11 10:21:03,22.05,12.36
2024-09-11 10:21:04,22.05,12.47
2024-09-11 10:21:05,22.05,12.44
2024-09-11 10:21:06,22.06,12.39
2024-09-11 10:21:07,22.06,12.3
2024-09-11 10:21:08,22.04,12.27
2024-09-11 10:21:09,22.05,12.39
2024-09-11 10:21:10,22.04,12.53
2024-09-11 10:21:11,22.04,12.62
2024-09-11 10:21:12,22.03,12.62
2024-09-11 10:21:13,22.06,12.5
2024-09-11 10:21:14,22.06,12.44
2024-09-11 10:21:15,22.05,12.5
2024-09-11 10:21:16,22.05,12.56
2024-09-11 10:21:17,22.03,12.56
2024-09-11 10:21:18,22.04,12.62
2024-09-11 10:21:19,22.03,12.53
2024-09-11 10:21:20,22.05,12.42
2024-09-11 10:21:21,22.03,12.39
2024-09-11 10:21:22,22.04,12.39
2024-09-11 10:21:23,22.04,12.47
2024-09-11 10:21:24,22.03,12.5
2024-09-11 10:21:25,22.04,12.56
2024-09-11 10:21:26,22.05,12.53
2024-09-11 10:21:27,22.05,12.47
2024-09-11 10:21:28,22.05,12.47
2024-09-11 10:21:29,22.04,12.47
2024-09-11 10:21:30,22.07,12.53
2024-09-11 10:21:31,22.04,12.5
2024-09-11 10:21:32,22.07,12.47
2024-09-11 10:21:33,22.05,12.47
2024-09-11 10:21:34,22.06,12.59
2024-09-11 10:21:35,22.05,12.62
2024-09-11 10:21:36,22.05,12.62
2024-09-11 10:21:37,22.05,12.62
2024-09-11 10:21:38,22.05,12.64
2024-09-11 10:21:39,22.05,12.64
2024-09-11 10:21:40,22.05,12.64
2024-09-11 10:21:41,22.05,12.64
2024-09-11 10:21:42,22.05,12.64
2024-09-11 10:21:43,22.07,12.68
2024-09-11 10:21:44,22.06,12.71
2024-09-11 10:21:45,22.04,12.74
2024-09-11 10:21:46,22.05,12.8
2024-09-11 10:21:47,22.04,12.77
2024-09-11 10:21:48,22.05,12.74
2024-09-11 10:21:49,22.04,12.62
2024-09-11 10:21:50,22.04,12.62
2024-09-11 10:21:51,22.06,12.71
2024-09-11 10:21:52,22.05,12.71
2024-09-11 10:21:53,22.06,12.71
2024-09-11 10:21:54,22.05,12.62
2024-09-11 10:21:55,22.06,12.59
2024-09-11 10:21:56,22.06,12.62
2024-09-11 10:21:57,22.07,12.68
2024-09-11 10:21:58,22.06,12.64
2024-09-11 10:21:59,22.07,12.66
2024-09-11 10:22:00,22.07,12.68
2024-09-11 10:22:01,22.07,12.68
2024-09-11 10:22:02,22.06,12.71
2024-09-11 10:22:03,22.05,12.74
2024-09-11 10:22:04,22.05,12.8
2024-09-11 10:22:05,22.06,12.8
2024-09-11 10:22:06,22.08,12.77
2024-09-11 10:22:07,22.08,12.74
2024-09-11 10:22:08,22.08,12.59
2024-09-11 10:22:09,22.05,12.5
2024-09-11 10:22:10,22.07,12.5
2024-09-11 10:22:11,22.04,12.56
2024-09-11 10:22:12,22.06,12.62
2024-09-11 10:22:13,22.04,12.59
2024-09-11 10:22:14,22.08,12.56
2024-09-11 10:22:15,22.06,12.64
2024-09-11 10:22:16,22.05,12.77
2024-09-11 10:22:17,22.06,12.74
2024-09-11 10:22:18,22.04,12.64
2024-09-11 10:22:19,22.05,12.62
2024-09-11 10:22:20,22.05,12.59
2024-09-11 10:22:21,22.06,12.68
2024-09-11 10:22:22,22.07,12.59
2024-09-11 10:22:23,22.08,12.56
2024-09-11 10:22:24,22.07,12.53
2024-09-11 10:22:25,22.05,12.53
2024-09-11 10:22:26,22.07,12.53
2024-09-11 10:22:27,22.06,12.5
2024-09-11 10:22:28,22.07,12.44
2024-09-11 10:22:29,22.06,12.44
2024-09-11 10:22:30,22.05,12.47
2024-09-11 10:22:31,22.08,12.44
2024-09-11 10:22:32,22.06,12.42
2024-09-11 10:22:33,22.05,12.39
2024-09-11 10:22:34,22.07,12.42
