date,temperature(c),depth(m)
2024-10-08 10:13:18,19.64,1.36
2024-10-08 10:13:19,19.64,1.53
2024-10-08 10:13:20,19.64,1.71
2024-10-08 10:13:21,19.64,1.99
2024-10-08 10:13:22,19.65,2.25
2024-10-08 10:13:23,19.64,2.56
2024-10-08 10:13:24,19.62,2.79
2024-10-08 10:13:25,19.65,3.13
2024-10-08 10:13:26,19.63,3.37
2024-10-08 10:13:27,19.64,3.58
2024-10-08 10:13:28,19.64,3.75
2024-10-08 10:13:29,19.63,3.91
2024-10-08 10:13:30,19.64,4.15
2024-10-08 10:13:31,19.64,4.42
2024-10-08 10:13:32,19.64,4.66
2024-10-08 10:13:33,19.64,4.86
2024-10-08 10:13:34,19.64,5.05
2024-10-08 10:13:35,19.63,5.23
2024-10-08 10:13:36,19.64,5.5
2024-10-08 10:13:37,19.64,5.83
2024-10-08 10:13:38,19.64,6.16
2024-10-08 10:13:39,19.64,6.43
2024-10-08 10:13:40,19.64,6.67
2024-10-08 10:13:41,19.63,6.85
2024-10-08 10:13:42,19.64,7.01
2024-10-08 10:13:43,19.63,7.21
2024-10-08 10:13:44,19.62,7.42
2024-10-08 10:13:45,19.64,7.72
2024-10-08 10:13:46,19.64,7.99
2024-10-08 10:13:47,19.64,8.15
2024-10-08 10:13:48,19.64,8.06
2024-10-08 10:13:49,19.64,8.09
2024-10-08 10:13:50,19.63,8.21
2024-10-08 10:13:51,19.63,8.32
2024-10-08 10:13:52,19.64,8.54
2024-10-08 10:13:53,19.63,8.75
2024-10-08 10:13:54,19.62,8.86
2024-10-08 10:13:55,19.64,8.92
2024-10-08 10:13:56,19.64,9.14
2024-10-08 10:13:57,19.63,9.46
2024-10-08 10:13:58,19.62,9.8
2024-10-08 10:13:59,19.62,10.13
2024-10-08 10:14:00,19.66,10.4
2024-10-08 10:14:01,19.64,10.57
2024-10-08 10:14:02,19.63,10.76
2024-10-08 10:14:03,19.64,10.91
2024-10-08 10:14:04,19.63,11.08
2024-10-08 10:14:05,19.64,11.33
2024-10-08 10:14:06,19.64,11.66
2024-10-08 10:14:07,19.63,11.9
2024-10-08 10:14:08,19.62,12.08
2024-10-08 10:14:09,19.63,12.32
2024-10-08 10:14:10,19.64,12.56
2024-10-08 10:14:11,19.62,12.86
2024-10-08 10:14:12,19.64,13.1
2024-10-08 10:14:13,19.63,13.29
2024-10-08 10:14:14,19.62,13.34
2024-10-08 10:14:15,19.64,13.61
2024-10-08 10:14:16,19.64,13.88
2024-10-08 10:14:17,19.62,14.15
2024-10-08 10:14:18,19.6,14.34
2024-10-08 10:14:19,19.62,14.73
2024-10-08 10:14:20,19.62,15.02
2024-10-08 10:14:21,19.63,15.39
2024-10-08 10:14:22,19.64,15.65
2024-10-08 10:14:23,19.61,15.9
2024-10-08 10:14:24,19.62,16.32
2024-10-08 10:14:25,19.64,16.71
2024-10-08 10:14:26,19.6,17.07
2024-10-08 10:14:27,19.62,17.49
2024-10-08 10:14:28,19.6,17.83
2024-10-08 10:14:29,19.6,18.15
2024-10-08 10:14:30,19.63,18.63
2024-10-08 10:14:31,19.63,19.05
2024-10-08 10:14:32,19.62,19.42
2024-10-08 10:14:33,19.63,19.83
2024-10-08 10:14:34,19.61,20.25
2024-10-08 10:14:35,19.64,20.62
2024-10-08 10:14:36,19.62,21.04
2024-10-08 10:14:37,19.62,21.36
2024-10-08 10:14:38,19.64,21.7
2024-10-08 10:14:39,19.6,22.12
2024-10-08 10:14:40,19.61,22.44
2024-10-08 10:14:41,19.63,22.81
2024-10-08 10:14:42,19.61,23.2
2024-10-08 10:14:43,19.62,23.62
2024-10-08 10:14:44,19.61,24.01
2024-10-08 10:14:45,19.61,24.43
2024-10-08 10:14:46,19.61,24.85
2024-10-08 10:14:47,19.6,25.07
2024-10-08 10:14:48,19.6,25.07
2024-10-08 10:14:49,19.6,25.22
2024-10-08 10:14:50,19.6,25.36
2024-10-08 10:14:51,19.6,25.61
2024-10-08 10:14:52,19.58,25.9
2024-10-08 10:14:53,19.57,26.3
2024-10-08 10:14:54,19.58,26.72
2024-10-08 10:14:55,19.6,27.1
2024-10-08 10:14:56,19.59,27.44
2024-10-08 10:14:57,19.59,27.86
2024-10-08 10:14:58,19.57,28.25
2024-10-08 10:14:59,19.58,28.61
2024-10-08 10:15:00,19.57,28.97
2024-10-08 10:15:01,19.55,29.36
2024-10-08 10:15:02,19.57,29.79
2024-10-08 10:15:03,19.54,30.2
2024-10-08 10:15:04,19.57,30.62
2024-10-08 10:15:05,19.57,30.87
2024-10-08 10:15:06,19.54,31.19
2024-10-08 10:15:07,19.53,31.61
2024-10-08 10:15:08,19.55,31.98
2024-10-08 10:15:09,19.53,32.21
2024-10-08 10:15:10,19.53,32.55
2024-10-08 10:15:11,19.55,32.82
2024-10-08 10:15:12,19.54,33.12
2024-10-08 10:15:13,19.57,33.48
2024-10-08 10:15:14,19.53,33.75
2024-10-08 10:15:15,19.54,33.96
2024-10-08 10:15:16,19.52,34.17
2024-10-08 10:15:17,19.53,34.42
2024-10-08 10:15:18,19.52,34.62
2024-10-08 10:15:19,19.52,34.9
2024-10-08 10:15:20,19.5,35.13
2024-10-08 10:15:21,19.5,35.31
2024-10-08 10:15:22,19.49,35.61
2024-10-08 10:15:23,19.5,35.92
2024-10-08 10:15:24,19.51,36.15
2024-10-08 10:15:25,19.52,36.33
2024-10-08 10:15:26,19.5,36.55
2024-10-08 10:15:27,19.5,36.69
2024-10-08 10:15:28,19.49,36.9
2024-10-08 10:15:29,19.5,37.06
2024-10-08 10:15:30,19.5,37.2
2024-10-08 10:15:31,19.5,37.29
2024-10-08 10:15:32,19.5,37.48
2024-10-08 10:15:33,19.51,37.54
2024-10-08 10:15:34,19.49,37.69
2024-10-08 10:15:35,19.49,37.83
2024-10-08 10:15:36,19.49,37.99
2024-10-08 10:15:37,19.48,38.08
2024-10-08 10:15:38,19.48,38.08
2024-10-08 10:15:39,19.49,38.05
2024-10-08 10:15:40,19.48,38.11
2024-10-08 10:15:41,19.47,38.17
2024-10-08 10:15:42,19.46,38.31
2024-10-08 10:15:43,19.47,38.34
2024-10-08 10:15:44,19.48,38.4
2024-10-08 10:15:45,19.46,38.56
2024-10-08 10:15:46,19.46,38.62
2024-10-08 10:15:47,19.46,38.68
2024-10-08 10:15:48,19.46,38.76
2024-10-08 10:15:49,19.46,38.82
2024-10-08 10:15:50,19.46,38.97
2024-10-08 10:15:51,19.47,39.16
2024-10-08 10:15:52,19.46,39.25
2024-10-08 10:15:53,19.46,39.34
2024-10-08 10:15:54,19.42,39.27
2024-10-08 10:15:55,19.4,39.25
2024-10-08 10:15:56,19.41,39.27
2024-10-08 10:15:57,19.39,39.42
2024-10-08 10:15:58,19.39,39.52
2024-10-08 10:15:59,19.38,39.64
2024-10-08 10:16:00,19.36,39.75
2024-10-08 10:16:01,19.37,39.78
2024-10-08 10:16:02,19.36,39.84
2024-10-08 10:16:03,19.35,39.81
2024-10-08 10:16:04,19.35,39.75
2024-10-08 10:16:05,19.34,39.7
2024-10-08 10:16:06,19.34,39.78
2024-10-08 10:16:07,19.34,39.81
2024-10-08 10:16:08,19.32,39.84
2024-10-08 10:16:09,19.34,39.87
2024-10-08 10:16:10,19.31,39.87
2024-10-08 10:16:11,19.32,39.99
2024-10-08 10:16:12,19.31,40.02
2024-10-08 10:16:13,19.29,40.06
2024-10-08 10:16:14,19.31,39.99
2024-10-08 10:16:15,19.29,39.96
2024-10-08 10:16:16,19.29,39.9
2024-10-08 10:16:17,19.28,39.78
2024-10-08 10:16:18,19.28,39.72
2024-10-08 10:16:19,19.26,39.6
2024-10-08 10:16:20,19.26,39.44
2024-10-08 10:16:21,19.27,39.36
2024-10-08 10:16:22,19.24,39.27
2024-10-08 10:16:23,19.24,39.24
2024-10-08 10:16:24,19.25,39.24
2024-10-08 10:16:25,19.25,39.35
2024-10-08 10:16:26,19.23,39.41
2024-10-08 10:16:27,19.21,39.38
2024-10-08 10:16:28,19.18,39.32
2024-10-08 10:16:29,19.18,39.3
2024-10-08 10:16:30,19.17,39.29
2024-10-08 10:16:31,19.18,39.35
2024-10-08 10:16:32,19.17,39.38
2024-10-08 10:16:33,19.16,39.47
2024-10-08 10:16:34,19.18,39.47
2024-10-08 10:16:35,19.21,39.44
2024-10-08 10:16:36,19.17,39.44
2024-10-08 10:16:37,19.16,39.5
2024-10-08 10:16:38,19.17,39.47
2024-10-08 10:16:39,19.15,39.5
2024-10-08 10:16:40,19.16,39.6
2024-10-08 10:16:41,19.14,39.57
2024-10-08 10:16:42,19.16,39.53
2024-10-08 10:16:43,19.16,39.57
2024-10-08 10:16:44,19.15,39.62
2024-10-08 10:16:45,19.16,39.68
2024-10-08 10:16:46,19.17,39.74
2024-10-08 10:16:47,19.14,39.74
2024-10-08 10:16:48,19.14,39.74
2024-10-08 10:16:49,19.14,39.77
2024-10-08 10:16:50,19.15,39.77
2024-10-08 10:16:51,19.14,39.77
2024-10-08 10:16:52,19.13,39.74
2024-10-08 10:16:53,19.14,39.83
2024-10-08 10:16:54,19.14,39.89
2024-10-08 10:16:55,19.12,39.83
2024-10-08 10:16:56,19.1,39.86
2024-10-08 10:16:57,19.11,39.8
2024-10-08 10:16:58,19.09,39.71
2024-10-08 10:16:59,19.06,39.46
2024-10-08 10:17:00,19.07,39.43
2024-10-08 10:17:01,19.05,39.37
2024-10-08 10:17:02,19.06,39.37
2024-10-08 10:17:03,19.06,39.43
2024-10-08 10:17:04,19.03,39.43
2024-10-08 10:17:05,19.03,39.53
2024-10-08 10:17:06,19.04,39.65
2024-10-08 10:17:07,19.04,39.65
2024-10-08 10:17:08,19.04,39.59
2024-10-08 10:17:09,19.05,39.53
2024-10-08 10:17:10,19.03,39.53
2024-10-08 10:17:11,19.04,39.53
2024-10-08 10:17:12,19.05,39.46
2024-10-08 10:17:13,19.03,39.43
2024-10-08 10:17:14,19.03,39.49
2024-10-08 10:17:15,19.04,39.59
2024-10-08 10:17:16,19.05,39.56
2024-10-08 10:17:17,19.03,39.46
2024-10-08 10:17:18,19.03,39.37
2024-10-08 10:17:19,19.03,39.4
2024-10-08 10:17:20,19.01,39.31
2024-10-08 10:17:21,19.0,39.4
2024-10-08 10:17:22,19.0,39.37
2024-10-08 10:17:23,19.02,39.34
2024-10-08 10:17:24,19.01,39.22
2024-10-08 10:17:25,19.0,39.04
2024-10-08 10:17:26,19.0,39.07
2024-10-08 10:17:27,19.0,39.1
2024-10-08 10:17:28,18.99,39.01
2024-10-08 10:17:29,18.98,39.13
2024-10-08 10:17:30,18.98,39.07
2024-10-08 10:17:31,18.96,39.1
2024-10-08 10:17:32,18.96,39.19
2024-10-08 10:17:33,18.96,39.16
2024-10-08 10:17:34,18.96,39.28
2024-10-08 10:17:35,18.96,39.36
2024-10-08 10:17:36,18.96,39.45
2024-10-08 10:17:37,18.93,39.55
2024-10-08 10:17:38,18.92,39.58
2024-10-08 10:17:39,18.93,39.58
2024-10-08 10:17:40,18.92,39.52
2024-10-08 10:17:41,18.92,39.55
2024-10-08 10:17:42,18.92,39.48
2024-10-08 10:17:43,18.91,39.52
2024-10-08 10:17:44,18.89,39.52
2024-10-08 10:17:45,18.89,39.52
2024-10-08 10:17:46,18.86,39.55
2024-10-08 10:17:47,18.89,39.58
2024-10-08 10:17:48,18.88,39.58
2024-10-08 10:17:49,18.87,39.55
2024-10-08 10:17:50,18.88,39.58
2024-10-08 10:17:51,18.87,39.58
2024-10-08 10:17:52,18.85,39.55
2024-10-08 10:17:53,18.85,39.58
2024-10-08 10:17:54,18.85,39.64
2024-10-08 10:17:55,18.85,39.61
2024-10-08 10:17:56,18.85,39.58
2024-10-08 10:17:57,18.82,39.6
2024-10-08 10:17:58,18.84,39.58
2024-10-08 10:17:59,18.85,39.58
2024-10-08 10:18:00,18.85,39.58
2024-10-08 10:18:01,18.84,39.6
2024-10-08 10:18:02,18.82,39.63
2024-10-08 10:18:03,18.82,39.66
2024-10-08 10:18:04,18.82,39.69
2024-10-08 10:18:05,18.8,39.69
2024-10-08 10:18:06,18.83,39.66
2024-10-08 10:18:07,18.81,39.66
2024-10-08 10:18:08,18.81,39.69
2024-10-08 10:18:09,18.84,39.66
2024-10-08 10:18:10,18.81,39.66
2024-10-08 10:18:11,18.79,39.69
2024-10-08 10:18:12,18.8,39.69
2024-10-08 10:18:13,18.82,39.69
2024-10-08 10:18:14,18.79,39.66
2024-10-08 10:18:15,18.79,39.66
2024-10-08 10:18:16,18.79,39.63
2024-10-08 10:18:17,18.76,39.6
2024-10-08 10:18:18,18.78,39.69
2024-10-08 10:18:19,18.76,39.78
2024-10-08 10:18:20,18.78,39.81
2024-10-08 10:18:21,18.78,39.83
2024-10-08 10:18:22,18.76,39.83
2024-10-08 10:18:23,18.75,39.78
2024-10-08 10:18:24,18.76,39.78
2024-10-08 10:18:25,18.78,39.78
2024-10-08 10:18:26,18.76,39.72
2024-10-08 10:18:27,18.76,39.69
2024-10-08 10:18:28,18.77,39.69
2024-10-08 10:18:29,18.78,39.66
2024-10-08 10:18:30,18.76,39.69
2024-10-08 10:18:31,18.77,39.69
2024-10-08 10:18:32,18.77,39.75
2024-10-08 10:18:33,18.77,39.75
2024-10-08 10:18:34,18.77,39.77
2024-10-08 10:18:35,18.75,39.75
2024-10-08 10:18:36,18.76,39.8
2024-10-08 10:18:37,18.76,39.77
2024-10-08 10:18:38,18.77,39.8
2024-10-08 10:18:39,18.75,39.77
2024-10-08 10:18:40,18.75,39.71
2024-10-08 10:18:41,18.73,39.66
2024-10-08 10:18:42,18.74,39.68
2024-10-08 10:18:43,18.75,39.71
2024-10-08 10:18:44,18.73,39.74
2024-10-08 10:18:45,18.72,39.71
2024-10-08 10:18:46,18.73,39.71
2024-10-08 10:18:47,18.71,39.74
2024-10-08 10:18:48,18.71,39.71
2024-10-08 10:18:49,18.71,39.71
2024-10-08 10:18:50,18.71,39.68
2024-10-08 10:18:51,18.71,39.74
2024-10-08 10:18:52,18.71,39.74
2024-10-08 10:18:53,18.68,39.77
2024-10-08 10:18:54,18.68,39.77
2024-10-08 10:18:55,18.69,39.71
2024-10-08 10:18:56,18.67,39.77
2024-10-08 10:18:57,18.69,39.77
2024-10-08 10:18:58,18.69,39.77
2024-10-08 10:18:59,18.67,39.77
2024-10-08 10:19:00,18.68,39.8
2024-10-08 10:19:01,18.68,39.8
2024-10-08 10:19:02,18.68,39.8
2024-10-08 10:19:03,18.68,39.83
2024-10-08 10:19:04,18.68,39.83
2024-10-08 10:19:05,18.66,39.86
2024-10-08 10:19:06,18.69,39.83
2024-10-08 10:19:07,18.68,39.83
2024-10-08 10:19:08,18.67,39.8
2024-10-08 10:19:09,18.67,39.83
2024-10-08 10:19:10,18.67,39.89
2024-10-08 10:19:11,18.65,39.89
2024-10-08 10:19:12,18.66,39.88
2024-10-08 10:19:13,18.67,39.86
2024-10-08 10:19:14,18.67,39.71
2024-10-08 10:19:15,18.66,39.59
2024-10-08 10:19:16,18.67,39.56
2024-10-08 10:19:17,18.66,39.53
2024-10-08 10:19:18,18.66,39.49
2024-10-08 10:19:19,18.67,39.43
2024-10-08 10:19:20,18.66,39.28
2024-10-08 10:19:21,18.65,39.17
2024-10-08 10:19:22,18.66,39.16
2024-10-08 10:19:23,18.65,39.08
2024-10-08 10:19:24,18.66,38.92
2024-10-08 10:19:25,18.67,38.8
2024-10-08 10:19:26,18.65,38.68
2024-10-08 10:19:27,18.66,38.68
2024-10-08 10:19:28,18.64,38.62
2024-10-08 10:19:29,18.66,38.62
2024-10-08 10:19:30,18.64,38.54
2024-10-08 10:19:31,18.64,38.41
2024-10-08 10:19:32,18.64,38.35
2024-10-08 10:19:33,18.62,38.35
2024-10-08 10:19:34,18.64,38.35
2024-10-08 10:19:35,18.64,38.29
2024-10-08 10:19:36,18.64,38.26
2024-10-08 10:19:37,18.64,38.23
2024-10-08 10:19:38,18.63,38.11
2024-10-08 10:19:39,18.63,37.99
2024-10-08 10:19:40,18.62,37.92
2024-10-08 10:19:41,18.61,37.83
2024-10-08 10:19:42,18.62,37.77
2024-10-08 10:19:43,18.61,37.6
2024-10-08 10:19:44,18.63,37.45
2024-10-08 10:19:45,18.61,37.29
2024-10-08 10:19:46,18.59,37.2
2024-10-08 10:19:47,18.59,37.2
2024-10-08 10:19:48,18.57,37.18
2024-10-08 10:19:49,18.58,37.09
2024-10-08 10:19:50,18.59,37.03
2024-10-08 10:19:51,18.58,36.87
