File name: buceo_natura_BNatura15_2024-10-04T17:17:03_2024-10-05T09:59:03

User: buceo_natura

Sensor: BNatura15[D9:C4:88:EA:81:E1]

Dive: Punta de la Mona - Corales
Dive date range: 2024-10-04 17:17:03 - 2024-10-05 09:59:03 (UTC +01:00)

"Location: 36.719027,-3.726704"

Summary: 
Duration: 16:42:00 h.
Temp: 14.63 c (min.) 25.11 c (max.) 
Depth: -49.16 m (max.)

date,temperature(c),depth(m)
2024-10-04 17:17:03,17.82,-1.48
2024-10-04 17:17:04,17.48,-10.61
2024-10-04 17:17:05,17.31,-15.2
2024-10-04 17:17:06,16.25,-19.81
2024-10-04 17:17:07,15.96,-23.99
2024-10-04 17:17:08,16.08,-35.81
2024-10-04 17:17:09,15.53,-45.86
2024-10-04 17:17:10,15.0,-45.54
2024-10-04 17:17:11,15.06,-46.28
2024-10-04 17:17:12,14.99,-47.87
2024-10-04 17:17:13,14.88,-48.82
2024-10-04 17:17:14,14.89,-48.9
2024-10-04 17:17:15,14.87,-49.16
2024-10-04 17:17:16,14.87,-49.13
2024-10-04 17:17:17,14.9,-48.56
2024-10-04 17:17:18,14.95,-48.44
2024-10-04 17:17:19,15.11,-47.79
2024-10-04 17:17:20,15.17,-47.8
2024-10-04 17:17:21,14.92,-47.1
2024-10-04 17:17:22,14.78,-47.3
2024-10-04 17:17:23,14.68,-47.14
2024-10-04 17:17:24,14.65,-47.07
2024-10-04 17:17:25,14.64,-46.41
2024-10-04 17:17:26,14.63,-47.1
2024-10-04 17:17:27,14.65,-47.04
2024-10-04 17:17:28,14.64,-48.42
2024-10-04 17:17:29,14.64,-47.85
2024-10-04 17:17:30,14.66,-47.37
2024-10-04 17:17:31,14.69,-47.18
2024-10-04 17:17:32,14.73,-46.19
2024-10-04 17:17:33,14.98,-45.97
2024-10-04 17:17:34,15.17,-43.25
2024-10-04 17:17:35,15.35,-43.49
2024-10-04 17:17:36,15.31,-43.93
2024-10-04 17:17:37,15.46,-39.54
2024-10-04 17:17:38,15.67,-33.74
2024-10-04 17:17:39,16.14,-27.64
2024-10-04 17:17:40,16.32,-23.49
2024-10-04 17:17:41,16.45,-22.11
2024-10-04 17:17:42,16.52,-19.13
2024-10-04 17:17:43,16.57,-17.74
2024-10-04 17:17:44,16.72,-16.37
2024-10-04 17:17:45,16.85,-14.26
2024-10-04 17:17:46,16.98,-12.72
2024-10-04 17:17:47,17.2,-12.47
2024-10-04 17:17:48,17.25,-11.3
2024-10-04 17:17:49,17.31,-9.82
2024-10-04 17:17:50,17.35,-10.1
2024-10-04 17:17:51,17.37,-9.31
2024-10-04 17:17:52,17.39,-9.25
2024-10-04 17:17:53,17.42,-9.45
2024-10-04 17:17:54,17.45,-6.53
2024-10-04 17:17:55,17.57,-6.56
2024-10-04 17:17:56,17.58,-6.31
2024-10-04 17:17:57,17.59,-6.31
2024-10-04 17:17:58,17.57,-6.65
2024-10-04 17:17:59,17.53,-6.56
2024-10-04 17:18:00,17.49,-6.62
2024-10-04 17:18:01,17.57,-6.62
2024-10-04 17:18:02,17.58,-6.53
2024-10-04 17:18:03,17.58,-6.19
2024-10-04 17:18:04,17.58,-6.16
2024-10-04 17:18:05,17.58,-6.34
